,PLAAAF~1,
Wavenumbers [1/cm],Intensity,
2175.920,442.99863,
2173.010,447.87528,
2170.099,472.64733,
2167.189,494.15672,
2164.278,481.39673,
2161.368,489.96335,
2158.457,514.75715,
2155.546,533.46156,
2152.636,568.72865,
2149.725,588.57214,
2146.815,602.8162,
2143.904,619.65891,
2140.993,641.25,
2138.083,650.00375,
2135.172,662.27519,
2132.262,673.64525,
2129.351,661.10505,
2126.441,643.64803,
2123.530,631.98062,
2120.619,610.58935,
2117.709,611.80193,
2114.798,573.86153,
2111.888,553.77586,
2108.977,521.26324,
2106.067,515.52513,
2103.156,487.21544,
2100.245,496.23306,
2097.335,470.21335,
2094.424,475.3352,
2091.514,469.96506,
2088.603,467.45278,
2085.692,462.65893,
2082.782,463.66365,
2079.871,466.71441,
2076.961,467.25,
2074.050,478.82576,
2071.140,437.20355,
2068.229,467.97787,
2065.318,466.86725,
2062.408,446.55259,
2059.497,438.27383,
2056.587,449.79645,
2053.676,450.43338,
2050.766,432.71263,
2047.855,459.65194,
2044.944,441.11217,
2042.034,455.85697,
2039.123,462.88973,
2036.213,460.69222,
2033.302,461.79347,
2030.391,454.5214,
2027.481,480.74972,
2024.570,476.07897,
2021.660,494.89003,
2018.749,471.75612,
2015.839,460.05709,
2012.928,470.99665,
2010.017,493.17183,
2007.107,492.96961,
2004.196,491.9286,
2001.286,493.81185,
1998.375,485.37893,
1995.465,489.54286,
1992.554,503.52048,
1989.643,509.11175,
1986.733,483.82193,
1983.822,480.34084,
1980.912,499.55647,
1978.001,492.16467,
1975.090,514.66374,
1972.180,507.80186,
1969.269,503.98562,
1966.359,490.57417,
1963.448,488.63309,
1960.538,501.61114,
1957.627,509.59985,
1954.716,545.21583,
1951.806,537.44871,
1948.895,538.06179,
1945.985,514.00327,
1943.074,502.44562,
1940.164,504.14443,
1937.253,518.5283,
1934.342,520.28422,
1931.432,534.06388,
1928.521,525.01511,
1925.611,530.66544,
1922.700,529.91851,
1919.790,514.46981,
1916.879,522.48276,
1913.968,546.22172,
1911.058,511.30706,
1908.147,526.78139,
1905.237,534.22061,
1902.326,534.95522,
1899.415,480.76828,
1896.505,450.59329,
1893.594,462.50923,
1890.684,532.10592,
1887.773,575.71543,
1884.863,569.32062,
1881.952,546.11518,
1879.041,553.37981,
1876.131,574.53758,
1873.220,547.74103,
1870.310,603.58621,
1867.399,554.12965,
1864.489,561.82162,
1861.578,551.5302,
1858.667,565.83974,
1855.757,624.48151,
1852.846,589.25,
1849.936,579.57634,
1847.025,564.30595,
1844.114,580.06648,
1841.204,590.56468,
1838.293,588.7658,
1835.383,583.622,
1832.472,611.56478,
1829.562,623.77838,
1826.651,602.10423,
1823.740,583.78638,
1820.830,594.91155,
1817.919,592.73499,
1815.009,581.83143,
1812.098,609.87203,
1809.188,604.80816,
1806.277,608.16147,
1803.366,586.74909,
1800.456,616.25,
1797.545,614.95929,
1794.635,603.54002,
1791.724,614.06551,
1788.813,624.05103,
1785.903,609.19392,
1782.992,530.13071,
1780.082,435.48335,
1777.171,308.56475,
1774.261,278.30579,
1771.350,421.83828,
1768.439,558.52957,
1765.529,602.25282,
1762.618,619.76687,
1759.708,636.61974,
1756.797,651.09848,
1753.887,656.58382,
1750.976,660.48102,
1748.065,646.96122,
1745.155,631.58554,
1742.244,664.99179,
1739.334,679.45706,
1736.423,664.53226,
1733.512,680.35169,
1730.602,691.99008,
1727.691,682.50275,
1724.781,694.98153,
1721.870,704.88337,
1718.960,689.80536,
1716.049,721.48694,
1713.138,738.50995,
1710.228,701.95693,
1707.317,707.74943,
1704.407,745.18589,
1701.496,746.51536,
1698.586,746.25,
1695.675,798.64968,
1692.764,788.04917,
1689.854,803.51379,
1686.943,727.91432,
1684.033,789.61081,
1681.122,776.50489,
1678.211,804.974,
1675.301,804.25308,
1672.390,849.17523,
1669.480,824.20187,
1666.569,818.8594,
1663.659,866.57665,
1660.748,885.98006,
1657.837,872.86235,
1654.927,901.5386,
1652.016,955.3472,
1649.106,958.46661,
1646.195,927.46579,
1643.285,937.25261,
1640.374,979.8946,
1637.463,964.27683,
1634.553,1020.2943,
1631.642,1023.4997,
1628.732,1046.2974,
1625.821,1054.32,
1622.911,1160.647,
1620.000,1193.8342,
1617.089,1173.6679,
1614.179,1257.7965,
1611.268,1310.3167,
1608.358,1342.7517,
1605.447,1370.6502,
1602.536,1440.2778,
1599.626,1434.2108,
1596.715,1428.712,
1593.805,1380.8504,
1590.894,1439.5389,
1587.984,1374.6322,
1585.073,1376.0123,
1582.162,1353.2034,
1579.252,1350.7049,
1576.341,1328.8202,
1573.431,1338.1303,
1570.520,1307.853,
1567.610,1368.7805,
1564.699,1333.7976,
1561.788,1293.6445,
1558.878,1301.2708,
1555.967,1279.8414,
