,PLCFEC~1,
Wavenumbers [1/cm],Intensity,
2175.920,494.625,
2173.010,510.57625,
2170.099,501.89335,
2167.189,560.53889,
2164.278,551.85314,
2161.368,574.62452,
2158.457,595.6393,
2155.546,624.63945,
2152.636,650.95474,
2149.725,657.625,
2146.815,675.02436,
2143.904,690.63985,
2140.993,724.52979,
2138.083,720.54292,
2135.172,734.05363,
2132.262,749.50968,
2129.351,723.41792,
2126.441,708.32401,
2123.530,728.10869,
2120.619,680.28565,
2117.709,659.56019,
2114.798,641.4596,
2111.888,623.7382,
2108.977,592.09519,
2106.067,572.76609,
2103.156,563.46615,
2100.245,524.63692,
2097.335,541.33705,
2094.424,527.97589,
2091.514,527.18404,
2088.603,516.11805,
2085.692,521.30533,
2082.782,514.79771,
2079.871,530.0544,
2076.961,518.65825,
2074.050,540.84924,
2071.140,525.46409,
2068.229,529.79556,
2065.318,537.11824,
2062.408,516.77629,
2059.497,517.44644,
2056.587,506.18344,
2053.676,526.38997,
2050.766,506.78046,
2047.855,518.65348,
2044.944,519.625,
2042.034,519.15101,
2039.123,518.98527,
2036.213,526.04724,
2033.302,544.12481,
2030.391,540.45589,
2027.481,539.32006,
2024.570,557.63886,
2021.660,576.6198,
2018.749,539.94117,
2015.839,526.12238,
2012.928,556.44044,
2010.017,572.88558,
2007.107,558.90539,
2004.196,561.48212,
2001.286,548.37413,
1998.375,558.2382,
1995.465,559.11875,
1992.554,549.73683,
1989.643,561.17567,
1986.733,554.16009,
1983.822,567.29265,
1980.912,574.1386,
1978.001,533.85321,
1975.090,571.78226,
1972.180,576.5572,
1969.269,564.75719,
1966.359,568.21963,
1963.448,563.78088,
1960.538,579.47821,
1957.627,580.05843,
1954.716,571.85481,
1951.806,568.05923,
1948.895,611.69185,
1945.985,589.58252,
1943.074,577.69886,
1940.164,573.31744,
1937.253,583.19457,
1934.342,583.63356,
1931.432,605.98462,
1928.521,585.25885,
1925.611,595.17664,
1922.700,603.45925,
1919.790,581.09345,
1916.879,566.46199,
1913.968,593.59057,
1911.058,627.56794,
1908.147,612.3593,
1905.237,605.86026,
1902.326,583.72427,
1899.415,583.17013,
1896.505,591.18515,
1893.594,590.52748,
1890.684,606.72302,
1887.773,612.51286,
1884.863,624.1922,
1881.952,614.97765,
1879.041,601.0601,
1876.131,610.84068,
1873.220,589.21782,
1870.310,632.03747,
1867.399,612.00885,
1864.489,616.7293,
1861.578,598.36098,
1858.667,638.87946,
1855.757,660.23717,
1852.846,646.37372,
1849.936,638.36975,
1847.025,623.38899,
1844.114,634.26973,
1841.204,649.68444,
1838.293,650.63165,
1835.383,655.36899,
1832.472,665.59022,
1829.562,675.92943,
1826.651,675.15478,
1823.740,666.07326,
1820.830,681.37319,
1817.919,692.32564,
1815.009,690.20006,
1812.098,687.82973,
1809.188,666.05141,
1806.277,664.625,
1803.366,643.2239,
1800.456,679.17457,
1797.545,691.85179,
1794.635,720.39995,
1791.724,696.4794,
1788.813,684.2232,
1785.903,678.39051,
1782.992,671.18683,
1780.082,628.01769,
1777.171,566.62393,
1774.261,568.46512,
1771.350,615.03402,
1768.439,680.4136,
1765.529,707.71856,
1762.618,717.86124,
1759.708,720.84249,
1756.797,722.01894,
1753.887,735.49818,
1750.976,716.24543,
1748.065,703.29934,
1745.155,717.01205,
1742.244,745.78619,
1739.334,742.87677,
1736.423,746.22312,
1733.512,738.25505,
1730.602,767.28576,
1727.691,770.94839,
1724.781,770.19815,
1721.870,795.57276,
1718.960,787.64705,
1716.049,765.32858,
1713.138,805.22979,
1710.228,778.68342,
1707.317,778.93243,
1704.407,808.37371,
1701.496,797.95178,
1698.586,798.47297,
1695.675,843.53901,
1692.764,867.45288,
1689.854,857.14468,
1686.943,869.18657,
1684.033,894.97926,
1681.122,865.15177,
1678.211,860.66307,
1675.301,868.60033,
1672.390,937.51434,
1669.480,900.87368,
1666.569,931.89161,
1663.659,953.91526,
1660.748,1029.8511,
1657.837,941.39645,
1654.927,1020.3204,
1652.016,1008.4512,
1649.106,1041.8943,
1646.195,1052.4572,
1643.285,1046.6732,
1640.374,1090.5797,
1637.463,1042.9581,
1634.553,1115.2408,
1631.642,1090.4719,
1628.732,1167.1747,
1625.821,1091.7114,
1622.911,1222.8812,
1620.000,1243.373,
1617.089,1341.6349,
1614.179,1343.625,
1611.268,1446.647,
1608.358,1492.5648,
1605.447,1526.6824,
1602.536,1564.0367,
1599.626,1536.2672,
1596.715,1557.2226,
1593.805,1569.4627,
1590.894,1587.3577,
1587.984,1561.9101,
1585.073,1508.2776,
1582.162,1479.5877,
1579.252,1502.6289,
1576.341,1459.7601,
1573.431,1460.1558,
1570.520,1454.4525,
1567.610,1455.3505,
1564.699,1434.1491,
1561.788,1389.0056,
1558.878,1407.7632,
1555.967,1437.499,
1553.057,1421.6597,
1550.146,1359.4615,
1547.235,1342.2025,
1544.325,1329.5693,
1541.414,1326.1264,
1538.504,1318.6143,
1535.593,1303.5465,
1532.683,1323.1632,
1529.772,1315.4567,
1526.861,1273.9924,
1523.951,1246.989,
1521.040,1214.5973,
1518.130,1224.1537,
1515.219,1249.345,
1512.309,1244.9088,
1509.398,1238.566,
1506.487,1257.8926,
1503.577,1261.2737,
1500.666,1247.4012,
1497.756,1242.1161,
1494.845,1199.8651,
1491.934,1205.5463,
1489.024,1181.4839,
1486.113,1194.5332,
1483.203,1201.8422,
1480.292,1187.3518,
1477.382,1204.8312,
1474.471,1166.6518,
1471.560,1174.6693,
1468.650,1209.9559,
1465.739,1184.1956,
1462.829,1139.9459,
1459.918,1162.7469,
1457.008,1187.5326,
1454.097,1199.187,
1451.186,1204.2382,
1448.276,1192.9561,
1445.365,1216.4117,
1442.455,1230.8116,
1439.544,1227.6513,
1436.633,1198.8971,
1433.723,1212.2421,
1430.812,1230.0339,
1427.902,1222.6475,
1424.991,1223.5953,
1422.081,1177.7511,
1419.170,1217.6921,
1416.259,1215.7143,
1413.349,1223.4431,
1410.438,1225.2254,
1407.528,1204.0253,
1404.617,1220.8072,
1401.707,1249.104,
1398.796,1255.2089,
1395.885,1249.4911,
1392.975,1248.9377,
1390.064,1265.0998,
1387.154,1280.625,
1384.243,1284.7637,
1381.332,1301.637,
1378.422,1276.6589,
1375.511,1257.9233,
1372.601,1335.0369,
1369.690,1347.6256,
1366.780,1400.8993,
1363.869,1400.8219,
1360.958,1394.9648,
1358.048,1449.803,
1355.137,1477.637,
1352.227,1449.8667,
1349.316,1442.0117,
1346.406,1453.1298,
1343.495,1443.3237,
1340.584,1490.6605,
1337.674,1501.0874,
1334.763,1471.9073,
1331.853,1479.3251,
1328.942,1525.8771,
1326.032,1481.0565,
1323.121,1479.9985,
1320.210,1508.2641,
1317.300,1494.0646,
1314.389,1514.1674,
1311.479,1544.0717,
1308.568,1555.3805,
1305.657,1576.2962,
1302.747,1539.8272,
1299.836,1545.9076,
1296.926,1587.0006,
1294.015,1659.6272,
1291.105,1659.9834,
1288.194,1683.5873,
1285.283,1746.9052,
1282.373,1787.9765,
1279.462,1787.6448,
1276.552,1789.7747,
1273.641,1814.7724,
1270.731,1833.4489,
1267.820,1824.3928,
1264.909,1803.4055,
1261.999,1822.4932,
1259.088,1791.4811,
1256.178,1799.9025,
1253.267,1787.0483,
1250.356,1738.6035,
1247.446,1707.0639,
1244.535,1684.2634,
1241.625,1667.8176,
1238.714,1640.4706,
1235.804,1577.6008,
1232.893,1563.1196,
1229.982,1585.9078,
1227.072,1535.2103,
1224.161,1522.3795,
1221.251,1481.9105,
1218.340,1488.0594,
1215.430,1464.4918,
1212.519,1416.7036,
1209.608,1408.2175,
1206.698,1437.6463,
1203.787,1436.1074,
1200.877,1410.7335,
1197.966,1396.3469,
1195.055,1471.5641,
1192.145,1527.4516,
1189.234,1518.9173,
1186.324,1550.8111,
1183.413,1576.5844,
1180.503,1561.9505,
1177.592,1550.6349,
1174.681,1516.738,
1171.771,1510.8311,
1168.860,1519.7619,
1165.950,1469.0225,
1163.039,1470.5931,
1160.129,1480.1641,
1157.218,1472.5295,
1154.307,1472.0137,
1151.397,1478.6765,
1148.486,1448.674,
1145.576,1454.9719,
1142.665,1462.9631,
1139.754,1424.5708,
1136.844,1415.625,
1133.933,1429.7011,
1131.023,1431.1273,
1128.112,1404.1275,
1125.202,1374.7989,
1122.291,1386.7638,
1119.380,1422.6423,
1116.470,1424.4074,
1113.559,1406.067,
1110.649,1413.0671,
1107.738,1416.4101,
1104.828,1426.108,
1101.917,1445.6961,
1099.006,1450.8003,
1096.096,1448.7761,
1093.185,1402.2419,
1090.275,1403.4806,
1087.364,1411.4862,
1084.453,1389.8766,
1081.543,1383.3334,
1078.632,1395.2375,
1075.722,1392.2071,
1072.811,1419.8804,
1069.901,1409.4012,
1066.990,1435.2999,
1064.079,1441.625,
1061.169,1464.8217,
1058.258,1465.8386,
1055.348,1450.7377,
1052.437,1480.6604,
1049.527,1520.0474,
1046.616,1479.2124,
1043.705,1483.1034,
1040.795,1502.8646,
1037.884,1512.625,
1034.974,1499.5902,
1032.063,1482.6325,
1029.153,1496.9632,
1026.242,1483.1239,
1023.331,1538.4548,
1020.421,1537.7743,
1017.510,1535.4264,
1014.600,1541.8543,
1011.689,1545.3444,
1008.778,1536.1063,
1005.868,1515.7717,
1002.957,1532.1185,
1000.047,1578.305,
997.136,1645.135,
994.226,1699.8093,
991.315,1718.1448,
988.404,1701.7339,
985.494,1682.0278,
982.583,1700.0155,
979.673,1657.2629,
976.762,1634.754,
973.852,1634.1611,
970.941,1654.0368,
968.030,1687.018,
965.120,1666.6644,
962.209,1676.0423,
959.299,1658.5023,
956.388,1685.3428,
953.477,1709.3368,
950.567,1702.2722,
947.656,1695.1794,
944.746,1691.7811,
941.835,1741.0236,
938.925,1739.464,
936.014,1719.9793,
933.103,1711.1559,
930.193,1715.0282,
927.282,1702.9752,
924.372,1672.5333,
921.461,1650.215,
918.551,1632.5873,
915.640,1625.4749,
912.729,1626.625,
909.819,1627.737,
906.908,1636.1613,
903.998,1631.8528,
901.087,1634.444,
898.176,1640.9198,
895.266,1657.0514,
892.355,1686.0227,
889.445,1709.5222,
886.534,1734.6712,
883.624,1725.4955,
880.713,1729.8528,
877.802,1727.0767,
874.892,1685.998,
871.981,1613.9223,
869.071,1499.4707,
866.160,1498.2539,
863.250,1572.6746,
860.339,1643.0063,
857.428,1663.7294,
854.518,1672.2399,
851.607,1658.9267,
848.697,1629.1123,
845.786,1566.2853,
842.875,1554.5798,
839.965,1642.6159,
837.054,1747.4948,
834.144,1735.8922,
831.233,1730.9585,
828.323,1712.8096,
825.412,1687.254,
822.501,1668.1356,
819.591,1659.8716,
816.680,1680.4584,
813.770,1690.0105,
810.859,1675.9291,
807.949,1662.5153,
805.038,1678.9325,
802.127,1664.9394,
799.217,1644.9902,
796.306,1640.3277,
793.396,1650.5793,
790.485,1654.096,
787.574,1617.0849,
784.664,1681.8737,
781.753,1676.8504,
778.843,1673.0357,
775.932,1673.9214,
773.022,1668.9217,
770.111,1690.1788,
767.200,1694.6702,
764.290,1688.1126,
761.379,1681.8373,
758.469,1683.1362,
755.558,1691.9442,
752.648,1669.1353,
749.737,1696.6117,
746.826,1681.4557,
743.916,1658.0278,
741.005,1692.8084,
738.095,1694.4322,
735.184,1643.8558,
732.274,1594.7006,
729.363,1573.3322,
726.452,1587.595,
723.542,1615.1144,
720.631,1663.2619,
717.721,1686.2177,
714.810,1685.3921,
711.899,1673.0606,
708.989,1670.6399,
706.078,1657.8042,
703.168,1673.4488,
700.257,1702.1279,
697.347,1712.8003,
694.436,1667.1051,
691.525,1684.7888,
688.615,1676.0468,
685.704,1669.0567,
682.794,1667.9867,
679.883,1663.3459,
676.973,1679.3733,
674.062,1677.5203,
671.151,1692.5965,
668.241,1705.3803,
665.330,1673.1544,
662.420,1684.3367,
659.509,1701.8633,
656.598,1714.5197,
653.688,1715.7143,
650.777,1701.4369,
647.867,1666.3985,
644.956,1641.9079,
642.046,1631.2104,
639.135,1624.5463,
636.224,1601.7046,
633.314,1617.5833,
630.403,1665.3746,
627.493,1698.3135,
624.582,1712.513,
621.672,1756.8647,
618.761,1741.1464,
615.850,1725.7072,
612.940,1732.311,
610.029,1761.2826,
607.119,1765.2308,
604.208,1767.755,
601.297,1780.0909,
598.387,1794.778,
595.476,1802.6993,
592.566,1803.4863,
589.655,1801.0334,
586.745,1770.1151,
583.834,1743.263,
580.923,1784.317,
578.013,1733.3093,
575.102,1763.2177,
572.192,1773.1161,
569.281,1739.7956,
566.371,1779.7094,
563.460,1757.5227,
560.549,1762.2179,
557.639,1785.6076,
554.728,1803.2454,
551.818,1781.3966,
548.907,1786.985,
545.996,1797.9017,
543.086,1802.2763,
540.175,1791.3753,
537.265,1813.0777,
534.354,1816.6081,
531.444,1814.6902,
528.533,1822.6802,
525.622,1823.4561,
522.712,1835.1533,
519.801,1843.7706,
516.891,1845.7815,
513.980,1846.5558,
511.070,1862.825,
508.159,1904.0098,
505.248,1945.3804,
502.338,1958.2968,
499.427,2015.4124,
496.517,2022.7058,
493.606,2013.9331,
490.695,2007.7691,
487.785,2001.6108,
484.874,2024.5353,
481.964,2033.4722,
479.053,2016.7774,
476.143,1971.4676,
473.232,1950.6399,
470.321,1974.7659,
467.411,1990.9098,
464.500,1942.3813,
461.590,1972.2452,
458.679,1987.2285,
455.769,1994.5154,
452.858,1999.7385,
449.947,2010.4335,
447.037,2045.3901,
444.126,2062.928,
441.216,2056.0958,
438.305,2053.0481,
435.395,2053.9363,
432.484,2046.29,
429.573,2035.1575,
426.663,2037.4379,
423.752,1893.2593,
420.842,1734.2643,
417.931,1612.2991,
415.020,1586.5149,
412.110,1775.1128,
409.199,1934.6005,
406.289,2027.3951,
403.378,2023.4124,
400.468,1960.6649,
397.557,1948.8514,
394.646,1998.1042,
391.736,2111.0355,
388.825,2123.8574,
385.915,2099.4187,
383.004,2088.6166,
380.094,2123.4331,
377.183,2119.6707,
374.272,2126.2239,
371.362,2148.813,
368.451,2189.1295,
365.541,2213.8972,
362.630,2231.0036,
359.719,2235.4815,
356.809,2226.7124,
353.898,2244.6836,
350.988,2245.2851,
348.077,2238.7209,
345.167,2231.2466,
342.256,2223.7759,
339.345,2231.7222,
336.435,2237.8491,
333.524,2230.719,
330.614,2233.6996,
327.703,2269.0231,
324.793,2292.8601,
321.882,2267.5763,
318.971,2247.5034,
316.061,2245.9965,
313.150,2253.9345,
310.240,2261.3557,
307.329,2299.5008,
304.418,2322.8322,
301.508,2329.4742,
298.597,2317.6276,
295.687,2324.0746,
292.776,2326.7917,
289.866,2336.3676,
286.955,2387.3397,
284.044,2434.4725,
281.134,2449.849,
278.223,2448.8042,
275.313,2532.0689,
272.402,2555.434,
269.492,2538.7127,
266.581,2495.6745,
263.670,2524.3465,
260.760,2529.4907,
257.849,2564.8625,
254.939,2674.211,
252.028,2651.7381,
249.117,2650.3911,
246.207,2659.625,
243.296,2659.625,
240.386,2689.0096,
237.475,2741.1228,
234.565,2789.1569,
231.654,2722.692,
228.743,2699.9945,
225.833,2693.0152,
222.922,2690.8436,
220.012,2674.0868,
217.101,2677.9486,
214.191,2684.3466,
211.280,2673.4347,
208.369,2674.6434,
205.459,2715.55,
202.548,2769.2322,
199.638,2732.2241,
196.727,2737.878,
193.816,2747.023,
190.906,2745.4218,
187.995,2739.6296,
185.085,2756.0664,
182.174,2781.3262,
179.264,2798.6726,
176.353,2807.6736,
173.442,2791.6843,
170.532,2747.8883,
167.621,2672.9068,
164.711,2587.9802,
161.800,2483.1755,
158.890,2347.147,
155.979,2179.033,
153.068,1981.9285,
150.158,1756.7741,
147.247,1499.0292,
144.337,1241.4325,
141.426,985.87519,
138.516,733.52948,
135.605,500.54372,
132.694,333.57642,
129.784,220.71244,
126.873,144.19355,
123.963,101.8787,
121.052,73.409613,
118.141,52.706455,
115.231,39.834734,
112.320,29.541369,
109.410,21.943224,
106.499,18.382448,
103.589,18.185254,
100.678,19.983109,
97.767,23.537796,
94.857,19.467066,
91.946,14.400113,
89.036,9.1734084,
86.125,6.3365873,
83.215,4.5631593,
80.304,3.3855673,
77.393,2.6773974,
74.483,3.9352699,
71.572,5.7120563,
68.662,7.1401275,
65.751,2.19497,
62.840,4.9603179,
59.930,9.4377138,
57.019,8.7326318,
54.109,5.0420349,
51.198,2.9266093,
48.288,3.6589747,
45.377,7.8792431,
42.466,7.151684,
39.556,2.81917,
36.645,-2.0961616,
33.735,0.25973926,
30.824,3.404113,
27.914,2.7029378,
25.003,5.7381874,
22.092,8.9166182,
19.182,12.494549,
16.271,39.075174,
13.361,173.53365,
10.450,394.1047,
7.539,687.39715,
4.629,570.51946,
1.718,219.42662,
-1.192,-335.50043,
-4.103,-431.28945,
-7.013,-312.38907,
-9.924,-3.375,
