,PL9AB7~1,
Wavenumbers [1/cm],Intensity,
2178.831,1117.0021,
2175.920,1162.3233,
2173.010,1215.0034,
2170.099,1241.8988,
2167.189,1293.622,
2164.278,1320.4779,
2161.368,1399.6403,
2158.457,1467.3269,
2155.546,1519.4529,
2152.636,1571.6755,
2149.725,1641.755,
2146.815,1716.331,
2143.904,1766.013,
2140.993,1804.7168,
2138.083,1827.4058,
2135.172,1845.8279,
2132.262,1858.3636,
2129.351,1845.1931,
2126.441,1809.8106,
2123.530,1746.7929,
2120.619,1675.9682,
2117.709,1610.3704,
2114.798,1546.9766,
2111.888,1477.4385,
2108.977,1407.1821,
2106.067,1328.6887,
2103.156,1294.0235,
2100.245,1247.4906,
2097.335,1229.8508,
2094.424,1201.4047,
2091.514,1168.9247,
2088.603,1159.1774,
2085.692,1159.6375,
2082.782,1163.9136,
2079.871,1171.0718,
2076.961,1154.727,
2074.050,1139.3061,
2071.140,1134.6955,
2068.229,1133.4935,
2065.318,1146.093,
2062.408,1160.3941,
2059.497,1158.4821,
2056.587,1149.6628,
2053.676,1126.4513,
2050.766,1144.5755,
2047.855,1118.1013,
2044.944,1107.0272,
2042.034,1125.633,
2039.123,1139.3013,
2036.213,1139.6755,
2033.302,1134.9129,
2030.391,1141.9238,
2027.481,1147.939,
2024.570,1160.614,
2021.660,1148.3869,
2018.749,1141.2218,
2015.839,1158.4239,
2012.928,1147.3624,
2010.017,1135.1232,
2007.107,1152.3168,
2004.196,1183.2738,
2001.286,1173.9559,
1998.375,1145.8868,
1995.465,1156.0187,
1992.554,1136.8355,
1989.643,1133.5,
1986.733,1142.0184,
1983.822,1131.384,
1980.912,1114.1729,
1978.001,1105.1438,
1975.090,1129.8527,
1972.180,1148.5,
1969.269,1137.1781,
1966.359,1140.8245,
1963.448,1155.5357,
1960.538,1162.5575,
1957.627,1155.4752,
1954.716,1141.8734,
1951.806,1171.5994,
1948.895,1165.9758,
1945.985,1119.8105,
1943.074,1142.1826,
1940.164,1139.7402,
1937.253,1141.2736,
1934.342,1151.9358,
1931.432,1127.7587,
1928.521,1114.2012,
1925.611,1148.8178,
1922.700,1110.2652,
1919.790,1165.401,
1916.879,1178.3605,
1913.968,1107.5873,
1911.058,1112.2087,
1908.147,1147.046,
1905.237,1127.0809,
1902.326,1132.2259,
1899.415,1112.5793,
1896.505,1099.759,
1893.594,1101.8598,
1890.684,1119.3104,
1887.773,1141.7841,
1884.863,1137.4681,
1881.952,1121.8276,
1879.041,1169.9413,
1876.131,1143.3379,
1873.220,1164.8807,
1870.310,1147.222,
1867.399,1198.6363,
1864.489,1185.9548,
1861.578,1168.4838,
1858.667,1134.9281,
1855.757,1168.0943,
1852.846,1164.7,
1849.936,1154.2427,
1847.025,1210.2007,
1844.114,1213.7846,
1841.204,1193.0699,
1838.293,1210.9875,
1835.383,1211.942,
1832.472,1200.5696,
1829.562,1212.4701,
1826.651,1209.192,
1823.740,1253.002,
1820.830,1229.0587,
1817.919,1229.53,
