,PL6EEA~1,
Wavenumbers [1/cm],Intensity,
2370.929,345.09251,
2368.019,338.77587,
2365.108,340.63547,
2362.197,352.72226,
2359.287,362.70495,
2356.376,349.15318,
2353.466,365.20213,
2350.555,347.49509,
2347.645,361.18989,
2344.734,374.42916,
2341.823,352.523,
2338.913,359.41455,
2336.002,358.34986,
2333.092,368.32029,
2330.181,370.86158,
2327.270,377.68496,
2324.360,374.10851,
2321.449,362.09439,
2318.539,365.65711,
2315.628,367.82244,
2312.718,380.49065,
2309.807,374.37355,
2306.896,367.40043,
2303.986,377.99514,
2301.075,369.86971,
2298.165,371.30783,
2295.254,386.8234,
2292.344,394.22871,
2289.433,396.43,
2286.522,383.47772,
2283.612,395.3763,
2280.701,390.14296,
2277.791,386.7662,
2274.880,405.76293,
2271.969,420.67233,
2269.059,419.21491,
2266.148,419.77275,
2263.238,403.13274,
2260.327,411.26295,
2257.417,416.20889,
2254.506,424.50676,
2251.595,418.69957,
2248.685,422.75382,
2245.774,410.70767,
2242.864,419.69859,
2239.953,402.31115,
2237.043,418.57999,
2234.132,424.37177,
2231.221,427.09918,
2228.311,418.68687,
2225.400,410.77234,
2222.490,432.01097,
2219.579,428.15071,
2216.669,433.60831,
2213.758,431.90669,
2210.847,450.88819,
2207.937,462.83997,
2205.026,453.79176,
2202.116,450.60058,
2199.205,445.00029,
2196.294,452.05096,
2193.384,467.09851,
2190.473,488.00059,
2187.563,466.36668,
2184.652,512.3597,
2181.742,491.125,
2178.831,506.07448,
2175.920,530.3709,
2173.010,545.72591,
2170.099,547.5253,
2167.189,582.1824,
2164.278,593.35314,
2161.368,625.83763,
2158.457,655.04148,
2155.546,666.62407,
2152.636,719.44936,
2149.725,732.79614,
2146.815,762.09056,
2143.904,813.21795,
2140.993,799.61702,
2138.083,809.3013,
2135.172,820.00744,
2132.262,837.88028,
2129.351,832.57323,
2126.441,800.96957,
2123.530,766.8444,
2120.619,738.27195,
2117.709,713.59762,
2114.798,696.58636,
2111.888,648.03856,
2108.977,604.78062,
2106.067,587.05798,
2103.156,552.5711,
2100.245,558.13127,
2097.335,565.35537,
2094.424,536.26907,
2091.514,505.62229,
2088.603,503.49826,
2085.692,514.99112,
2082.782,506.98854,
2079.871,506.87529,
2076.961,513.73753,
2074.050,490.04621,
2071.140,510.69951,
2068.229,520.31511,
2065.318,507.44575,
2062.408,502.63256,
2059.497,513.54764,
2056.587,494.88124,
2053.676,506.17365,
2050.766,496.35669,
2047.855,479.35283,
2044.944,485.12981,
2042.034,476.62795,
2039.123,499.62668,
2036.213,499.32048,
2033.302,484.10317,
2030.391,505.87031,
2027.481,502.47878,
2024.570,514.13886,
2021.660,495.48497,
2018.749,506.42892,
2015.839,508.6099,
2012.928,473.35487,
2010.017,482.24118,
2007.107,492.84461,
2004.196,497.94648,
2001.286,503.26989,
1998.375,502.3002,
1995.465,483.67322,
1992.554,474.61915,
1989.643,493.43373,
1986.733,476.28553,
1983.822,480.11244,
1980.912,478.3818,
1978.001,456.82816,
1975.090,463.93721,
1972.180,468.77924,
1969.269,483.08766,
1966.359,473.15186,
1963.448,484.38789,
1960.538,452.17254,
1957.627,498.40678,
1954.716,508.03882,
1951.806,502.62822,
1948.895,488.91656,
1945.985,465.23121,
1943.074,477.27273,
1940.164,447.51902,
1937.253,446.05075,
1934.342,471.6635,
1931.432,453.03351,
1928.521,454.95747,
1925.611,465.84577,
1922.700,437.63329,
1919.790,467.15926,
1916.879,474.9855,
1913.968,458.1459,
1911.058,450.7196,
1908.147,454.47532,
1905.237,427.50002,
1902.326,445.34425,
1899.415,460.07744,
1896.505,452.02845,
1893.594,411.9542,
1890.684,426.78489,
1887.773,465.168,
1884.863,463.66031,
1881.952,466.00745,
1879.041,478.71586,
1876.131,468.28056,
1873.220,438.97445,
1870.310,462.97248,
1867.399,473.98106,
1864.489,469.16394,
1861.578,471.05899,
1858.667,481.00523,
1855.757,482.73717,
1852.846,467.86859,
1849.936,469.86874,
1847.025,499.35369,
1844.114,509.40964,
1841.204,483.73339,
1838.293,477.64246,
1835.383,464.939,
1832.472,488.03283,
1829.562,494.90416,
1826.651,493.22766,
1823.740,499.49282,
1820.830,505.75496,
1817.919,495.72373,
1815.009,537.64916,
1812.098,498.44786,
1809.188,542.83806,
1806.277,523.63403,
1803.366,523.24145,
1800.456,529.02586,
1797.545,512.42985,
1794.635,534.73799,
1791.724,526.84352,
1788.813,503.52937,
1785.903,512.9041,
1782.992,506.6362,
1780.082,527.72752,
1777.171,531.45958,
1774.261,517.87463,
1771.350,490.47825,
1768.439,494.99704,
