,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_0mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__3__13-00-32-739,
Raman shift [1/cm],Intensity,
3014.167,-0.5,
3011.256,2.1999356,
3008.346,330.05084,
3005.435,385.11838,
3002.525,407.42506,
2999.614,394.7286,
2996.704,420.35876,
2993.793,446.36694,
2990.882,452.5,
2987.972,438.73207,
2985.061,478.73645,
2982.151,484.7101,
2979.240,508.24809,
2976.329,513.24044,
2973.419,545.71515,
2970.508,555.5,
2967.598,569.21325,
2964.687,574.00679,
2961.777,599.99587,
2958.866,606.15528,
2955.955,623.77655,
2953.045,641.18683,
2950.134,682.2668,
2947.224,671.8665,
2944.313,721.64601,
2941.403,722.02372,
2938.492,759.03115,
2935.581,746.83864,
2932.671,744.06658,
2929.760,786.58848,
2926.850,769.85865,
2923.939,782.97661,
2921.028,808.37073,
2918.118,820.28212,
2915.207,835.73416,
2912.297,836.49154,
2909.386,844.28832,
2906.476,854.8174,
2903.565,846.42075,
2900.654,826.55864,
2897.744,828.33656,
2894.833,815.91236,
2891.923,820.5545,
2889.012,837.17052,
2886.102,825.10405,
2883.191,808.51605,
2880.280,807.33731,
2877.370,773.58726,
2874.459,736.13538,
2871.549,790.78982,
2868.638,831.59277,
2865.727,851.68843,
2862.817,866.22861,
2859.906,864.95584,
2856.996,885.92075,
2854.085,864.76884,
2851.175,889.5,
2848.264,874.08801,
2845.353,872.65889,
2842.443,832.90279,
2839.532,825.0672,
2836.622,811.89323,
2833.711,811.65542,
2830.801,810.90294,
2827.890,823.64157,
2824.979,810.20395,
2822.069,833.35216,
2819.158,818.97978,
2816.248,825.46526,
2813.337,810.49022,
2810.427,847.11019,
2807.516,811.67297,
2804.605,828.5745,
2801.695,810.59212,
2798.784,832.09546,
2795.874,814.5,
2792.963,823.50021,
2790.052,811.50365,
2787.142,804.27635,
2784.231,802.53261,
2781.321,808.37428,
2778.410,801.93529,
2775.500,809.28551,
2772.589,801.84785,
2769.678,833.99826,
2766.768,841.5,
2763.857,829.97592,
2760.947,840.44957,
2758.036,829.11144,
2755.126,863.78846,
2752.215,862.35007,
2749.304,869.2446,
2746.394,853.52213,
2743.483,876.19997,
2740.573,868.30525,
2737.662,857.20117,
2734.751,869.33512,
2731.841,858.71612,
2728.930,863.19485,
2726.020,871.38773,
2723.109,874.04633,
2720.199,878.6562,
2717.288,884.86861,
2714.377,898.30394,
2711.467,900.68022,
2708.556,912.27642,
2705.646,895.68304,
2702.735,901.68816,
2699.825,909.78359,
2696.914,902.97637,
2694.003,888.89511,
2691.093,925.5,
2688.182,915.57185,
2685.272,912.37624,
2682.361,922.1059,
2679.450,915.12965,
