,PLIQUI~4,
Wavenumbers [1/cm],Intensity,
2173.010,491.20068,
2170.099,502.29911,
2167.189,551.50718,
2164.278,559.10302,
2161.368,594.92888,
2158.457,601.20881,
2155.546,629.15098,
2152.636,675.12756,
2149.725,682.34565,
2146.815,699.83262,
2143.904,735.39963,
2140.993,741.25124,
2138.083,759.8526,
2135.172,747.55038,
2132.262,759.02465,
2129.351,764.21376,
2126.441,733.34457,
2123.530,736.99492,
2120.619,688.50934,
2117.709,658.48994,
2114.798,625.07671,
2111.888,591.93761,
2108.977,574.87747,
2106.067,531.61462,
2103.156,531.93786,
2100.245,525.48494,
2097.335,499.21205,
2094.424,483.21805,
2091.514,490.50542,
2088.603,489.5323,
2085.692,487.95719,
2082.782,484.60448,
2079.871,494.46499,
2076.961,485.33951,
2074.050,482.40303,
2071.140,483.87904,
2068.229,496.32944,
2065.318,491.30326,
2062.408,488.26477,
2059.497,480.11906,
2056.587,468.76773,
2053.676,469.66617,
2050.766,451.19357,
2047.855,468.90194,
2044.944,451.16025,
2042.034,467.55201,
2039.123,472.66162,
2036.213,482.30886,
2033.302,464.17407,
2030.391,475.46556,
2027.481,491.70727,
2024.570,490.12866,
2021.660,478.20955,
2018.749,482.68995,
2015.839,484.54068,
2012.928,464.58054,
2010.017,464.42183,
2007.107,470.91869,
2004.196,488.39292,
2001.286,493.62369,
1998.375,470.49507,
1995.465,485.525,
1992.554,455.56502,
1989.643,472.70503,
1986.733,462.62369,
1983.822,480.10192,
1980.912,463.22259,
1978.001,460.20316,
1975.090,470.5,
1972.180,474.3617,
1969.269,462.64937,
1966.359,463.47314,
1963.448,505.56474,
1960.538,482.79357,
1957.627,486.09134,
1954.716,482.64363,
1951.806,500.74839,
1948.895,501.80168,
1945.985,474.04902,
1943.074,468.70658,
1940.164,477.36534,
1937.253,467.47404,
1934.342,468.577,
1931.432,469.99527,
1928.521,488.52764,
1925.611,458.97447,
1922.700,453.58011,
1919.790,488.36669,
1916.879,489.779,
1913.968,477.51475,
1911.058,481.88739,
1908.147,497.24887,
1905.237,466.9191,
1902.326,458.08222,
1899.415,463.8122,
1896.505,457.49387,
1893.594,430.32617,
1890.684,453.22523,
1887.773,496.43086,
1884.863,481.72779,
1881.952,472.59248,
1879.041,495.43822,
1876.131,513.9013,
1873.220,441.53509,
1870.310,479.69722,
1867.399,518.92423,
1864.489,508.5,
1861.578,507.37921,
1858.667,496.35329,
1855.757,491.51432,
1852.846,482.28459,
1849.936,508.84834,
1847.025,525.96958,
1844.114,518.42937,
1841.204,509.97203,
1838.293,520.00249,
1835.383,511.94201,
1832.472,522.51217,
1829.562,485.58983,
1826.651,481.06465,
1823.740,524.98665,
1820.830,516.66517,
1817.919,524.3444,
1815.009,534.34987,
1812.098,504.98033,
1809.188,553.08903,
1806.277,536.94264,
1803.366,518.61645,
1800.456,526.76401,
1797.545,545.4576,
1794.635,514.46798,
1791.724,507.00486,
1788.813,518.11749,
1785.903,554.20943,
1782.992,507.10809,
1780.082,530.95581,
1777.171,496.49464,
