,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_0mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__2__12-58-50-746,
Raman shift [1/cm],Intensity,
2196.294,1325.5449,
2193.384,1374.2686,
2190.473,1388.733,
2187.563,1488.049,
2184.652,1525.3811,
2181.742,1549.536,
2178.831,1593.0307,
2175.920,1612.5326,
2173.010,1616.5247,
2170.099,1620.941,
2167.189,1659.1835,
2164.278,1706.4237,
2161.368,1734.5891,
2158.457,1757.5146,
2155.546,1801.9346,
2152.636,1817.5718,
2149.725,1876.9622,
2146.815,1933.34,
2143.904,1920.678,
2140.993,1940.6791,
2138.083,1976.6744,
2135.172,1942.0765,
2132.262,1937.9032,
2129.351,1930.2404,
2126.441,1849.6612,
2123.530,1771.9995,
2120.619,1690.1963,
2117.709,1639.5163,
2114.798,1539.4745,
2111.888,1457.4258,
2108.977,1397.9147,
2106.067,1313.2048,
2103.156,1280.6775,
2100.245,1259.8455,
2097.335,1213.4771,
2094.424,1207.8223,
2091.514,1176.9476,
2088.603,1161.3129,
2085.692,1145.4214,
2082.782,1136.5658,
2079.871,1146.6615,
2076.961,1143.327,
2074.050,1138.2811,
2071.140,1160.4042,
2068.229,1126.1602,
2065.318,1110.4922,
2062.408,1130.0648,
2059.497,1117.2083,
2056.587,1111.1887,
2053.676,1102.3593,
2050.766,1090.5678,
2047.855,1086.5902,
2044.944,1081.5304,
2042.034,1112.823,
2039.123,1108.3935,
2036.213,1112.0062,
2033.302,1112.5927,
2030.391,1113.1965,
2027.481,1132.0579,
2024.570,1125.6038,
2021.660,1128.5794,
2018.749,1110.2169,
2015.839,1119.5476,
2012.928,1132.38,
2010.017,1153.7328,
2007.107,1134.6881,
2004.196,1130.9226,
2001.286,1134.6877,
1998.375,1119.8701,
1995.465,1103.4357,
1992.554,1125.416,
1989.643,1108.6008,
1986.733,1103.3566,
1983.822,1110.3233,
1980.912,1102.0137,
1978.001,1105.2479,
1975.090,1098.6948,
1972.180,1105.3564,
1969.269,1100.4956,
1966.359,1110.8213,
1963.448,1101.4985,
1960.538,1098.5556,
1957.627,1090.9586,
1954.716,1096.6739,
1951.806,1127.5769,
1948.895,1116.7739,
1945.985,1085.143,
1943.074,1094.7902,
1940.164,1080.8268,
1937.253,1069.4446,
1934.342,1092.5761,
1931.432,1085.2788,
