,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_ctr_1E-2mgL_16h_785nm_133mW_3s_1acc_1_RamanShift__4__49,
Raman shift [1/cm],Intensity,
2213.758,1501.4155,
2210.847,1524.6168,
2207.937,1512.2301,
2205.026,1563.4861,
2202.116,1578.5342,
2199.205,1621.2623,
2196.294,1615.821,
2193.384,1626.848,
2190.473,1644.6708,
2187.563,1698.781,
2184.652,1786.2909,
2181.742,1827.2864,
2178.831,1925.1379,
2175.920,2048.3313,
2173.010,2156.5303,
2170.099,2291.5625,
2167.189,2449.8245,
2164.278,2656.978,
2161.368,2761.0813,
2158.457,2979.1756,
2155.546,3159.4454,
2152.636,3310.2684,
2149.725,3395.9656,
2146.815,3518.5376,
2143.904,3586.9028,
2140.993,3635.9837,
2138.083,3591.7883,
2135.172,3601.0387,
2132.262,3560.0951,
2129.351,3477.1435,
2126.441,3371.3262,
2123.530,3300.2537,
2120.619,3092.5961,
2117.709,2910.1649,
2114.798,2709.6013,
2111.888,2549.5782,
2108.977,2370.0239,
2106.067,2227.7453,
2103.156,2101.194,
2100.245,2066.3035,
2097.335,1944.1865,
2094.424,1886.5291,
2091.514,1868.3479,
2088.603,1811.9833,
2085.692,1784.5981,
2082.782,1760.9454,
2079.871,1766.0541,
2076.961,1727.2164,
2074.050,1743.6295,
2071.140,1707.1223,
2068.229,1692.6537,
2065.318,1687.2888,
2062.408,1690.375,
2059.497,1698.7917,
2056.587,1660.399,
2053.676,1663.607,
2050.766,1676.6822,
2047.855,1667.72,
2044.944,1642.9808,
2042.034,1622.6351,
2039.123,1628.1191,
2036.213,1664.395,
2033.302,1638.1797,
2030.391,1645.493,
2027.481,1643.7532,
2024.570,1674.6169,
2021.660,1641.8584,
2018.749,1678.1091,
2015.839,1672.9892,
2012.928,1686.3633,
2010.017,1677.8701,
2007.107,1647.3302,
2004.196,1675.2679,
2001.286,1659.9546,
1998.375,1631.7205,
1995.465,1654.333,
1992.554,1637.7105,
1989.643,1639.2022,
1986.733,1613.5022,
1983.822,1584.3248,
1980.912,1607.2363,
1978.001,1612.1542,
1975.090,1612.2483,
1972.180,1596.4082,
1969.269,1626.2256,
1966.359,1613.726,
1963.448,1623.7515,
1960.538,1631.5635,
1957.627,1639.3998,
1954.716,1604.4379,
1951.806,1591.9343,
1948.895,1568.966,
1945.985,1600.7835,
1943.074,1594.2423,
1940.164,1576.9328,
1937.253,1568.7405,
1934.342,1567.529,
1931.432,1566.9018,
1928.521,1556.622,
1925.611,1551.8881,
1922.700,1533.5463,
1919.790,1601.721,
1916.879,1590.1187,
1913.968,1558.4119,
1911.058,1620.6663,
1908.147,1578.3896,
1905.237,1558.728,
1902.326,1571.7172,
1899.415,1532.7665,
1896.505,1534.7727,
1893.594,1551.6463,
1890.684,1546.63,
1887.773,1536.4871,
1884.863,1539.4775,
1881.952,1540.98,
1879.041,1603.1637,
1876.131,1559.8535,
1873.220,1557.5786,
1870.310,1583.5095,
1867.399,1567.6629,
1864.489,1586.4404,
1861.578,1562.1608,
1858.667,1551.5486,
1855.757,1562.9585,
1852.846,1573.334,
1849.936,1571.7453,
1847.025,1612.4383,
1844.114,1612.0904,
1841.204,1617.9205,
1838.293,1599.3584,
1835.383,1626.863,
1832.472,1623.5837,
1829.562,1649.0643,
1826.651,1642.3401,
1823.740,1663.5896,
1820.830,1637.0203,
1817.919,1635.9619,
1815.009,1647.7936,
1812.098,1675.4065,
1809.188,1655.8634,
1806.277,1666.1094,
1803.366,1715.0423,
1800.456,1693.0668,
1797.545,1656.0486,
1794.635,1683.278,
1791.724,1700.5981,
1788.813,1754.7717,
1785.903,1743.906,
1782.992,1745.0576,
1780.082,1740.3245,
1777.171,1718.7117,
1774.261,1725.8999,
1771.350,1738.1413,
1768.439,1781.1636,
1765.529,1798.9213,
1762.618,1796.645,
1759.708,1802.1686,
1756.797,1801.928,
1753.887,1790.375,
1750.976,1803.3475,
1748.065,1841.2536,
1745.155,1844.0461,
1742.244,1824.1187,
1739.334,1823.1679,
1736.423,1841.6254,
1733.512,1851.2856,
1730.602,1875.5635,
1727.691,1868.7894,
1724.781,1896.6246,
1721.870,1898.1321,
1718.960,1930.9087,
1716.049,1925.7904,
1713.138,1951.5899,
1710.228,1951.1532,
1707.317,2019.3716,
1704.407,2023.883,
1701.496,2051.633,
1698.586,2095.0303,
1695.675,2075.918,
1692.764,2109.4037,
1689.854,2098.938,
1686.943,2174.7107,
1684.033,2106.188,
1681.122,2203.6588,
1678.211,2185.5653,
1675.301,2257.153,
1672.390,2250.5066,
1669.480,2294.4392,
1666.569,2303.8985,
1663.659,2422.179,
1660.748,2412.2839,
1657.837,2510.2717,
1654.927,2550.8202,
1652.016,2570.5171,
1649.106,2616.6688,
1646.195,2629.4539,
1643.285,2674.8789,
1640.374,2741.2565,
1637.463,2830.1316,
1634.553,2873.0301,
1631.642,2984.9385,
1628.732,3127.8431,
1625.821,3206.5,
1622.911,3396.2987,
1620.000,3567.208,
1617.089,3763.4347,
1614.179,3900.5115,
1611.268,4161.4485,
1608.358,4389.6525,
1605.447,4534.2618,
1602.536,4613.1984,
1599.626,4685.5301,
1596.715,4640.5493,
1593.805,4562.0398,
1590.894,4563.943,
1587.984,4600.0187,
1585.073,4570.4915,
1582.162,4556.861,
1579.252,4465.3619,
1576.341,4448.5793,
1573.431,4417.2649,
1570.520,4361.748,
