,PL3A84~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3.625,
3011.256,-0.074989263,
3008.346,74.893755,
3005.435,87.608219,
3002.525,95.412472,
2999.614,89.276309,
2996.704,96.056443,
2993.793,104.11809,
2990.882,119.54288,
2987.972,118.30942,
2985.061,108.9218,
2982.151,107.21029,
2979.240,102.87117,
2976.329,120.36954,
2973.419,105.22096,
2970.508,118.30831,
2967.598,115.61034,
2964.687,115.18003,
2961.777,134.09298,
2958.866,129.71378,
2955.955,145.89931,
2953.045,133.47568,
2950.134,145.04557,
2947.224,136.14725,
2944.313,140.50962,
2941.403,171.01825,
2938.492,144.52405,
2935.581,141.74066,
2932.671,151.25483,
2929.760,142.89037,
2926.850,158.17312,
2923.939,151.66008,
2921.028,142.85156,
2918.118,149.9153,
2915.207,151.19777,
2912.297,154.35807,
2909.386,154.17792,
2906.476,152.15029,
2903.565,146.95574,
2900.654,131.91698,
2897.744,148.22413,
2894.833,135.55027,
2891.923,136.8077,
2889.012,114.04552,
2886.102,100.16689,
2883.191,93.380664,
2880.280,-0.93603157,
2877.370,-203.96756,
2874.459,-298.1153,
2871.549,-138.76832,
2868.638,68.704797,
2865.727,112.18657,
2862.817,115.13301,
2859.906,122.33795,
2856.996,146.86821,
2854.085,137.81196,
2851.175,144.56773,
2848.264,162.1545,
2845.353,177.81426,
2842.443,154.37152,
2839.532,159.70334,
2836.622,152.65039,
2833.711,167.47861,
2830.801,177.46838,
2827.890,176.51657,
2824.979,176.56085,
2822.069,167.56833,
2819.158,178.67419,
2816.248,183.57,
2813.337,184.375,
2810.427,186.76481,
2807.516,183.48297,
2804.605,176.71874,
2801.695,170.90133,
2798.784,170.67069,
2795.874,181.21403,
2792.963,183.58893,
2790.052,172.37564,
2787.142,183.46704,
2784.231,173.53649,
2781.321,175.50072,
2778.410,174.05521,
2775.500,167.07741,
2772.589,178.64487,
2769.678,188.83916,
2766.768,186.12839,
2763.857,183.90101,
2760.947,181.87815,
2758.036,184.91642,
2755.126,199.18483,
2752.215,202.6296,
2749.304,194.16278,
2746.394,191.43346,
2743.483,192.62501,
2740.573,196.5852,
2737.662,191.95931,
2734.751,203.55958,
2731.841,192.91529,
2728.930,194.51899,
2726.020,206.48727,
2723.109,196.736,
2720.199,202.00318,
2717.288,191.74361,
2714.377,213.01632,
2711.467,197.99807,
2708.556,199.67268,
2705.646,202.99471,
2702.735,202.21263,
2699.825,213.2223,
2696.914,212.27953,
2694.003,218.375,
2691.093,206.76731,
2688.182,210.70389,
2685.272,198.45466,
2682.361,203.71015,
2679.450,217.45316,
2676.540,212.39532,
2673.629,213.70684,
2670.719,214.375,
2667.808,212.47227,
2664.898,197.82928,
2661.987,214.50836,
2659.076,212.75647,
2656.166,217.31009,
2653.255,212.85629,
2650.345,236.11184,
2647.434,226.20352,
2644.524,224.76109,
2641.613,230.17513,
2638.702,232.375,
2635.792,227.68806,
2632.881,233.19031,
2629.971,232.5226,
2627.060,237.375,
2624.149,240.13125,
2621.239,226.09091,
2618.328,237.375,
2615.418,232.39772,
2612.507,230.44216,
2609.597,251.72231,
2606.686,254.06374,
2603.775,237.49405,
2600.865,253.48769,
2597.954,249.23126,
2595.044,245.05348,
2592.133,249.71265,
2589.223,252.59184,
2586.312,250.52074,
2583.401,252.21079,
2580.491,254.29328,
2577.580,235.3849,
2574.670,249.12364,
2571.759,258.36473,
2568.848,266.66238,
2565.938,243.32731,
2563.027,256.76588,
2560.117,250.39366,
2557.206,275.82518,
2554.296,258.20338,
2551.385,267.4491,
2548.474,271.22667,
2545.564,261.56493,
2542.653,289.66024,
2539.743,269.35035,
2536.832,275.90584,
2533.922,273.65885,
2531.011,284.50058,
2528.100,275.43775,
2525.190,270.72582,
2522.279,270.4688,
2519.369,271.16753,
2516.458,280.04993,
2513.548,274.81157,
2510.637,270.48169,
2507.726,283.62778,
2504.816,275.93757,
2501.905,289.36037,
2498.995,296.79303,
2496.084,296.93594,
2493.173,278.50646,
2490.263,279.36371,
2487.352,284.66713,
2484.442,290.23582,
2481.531,288.42818,
2478.621,302.42718,
