,PL3AE0~1,
Wavenumbers [1/cm],Intensity,
2175.920,1155.1494,
2173.010,1189.1264,
2170.099,1229.7961,
2167.189,1265.9354,
2164.278,1274.0211,
2161.368,1379.285,
2158.457,1426.3484,
2155.546,1483.575,
2152.636,1537.5052,
2149.725,1605.9328,
2146.815,1668.1981,
2143.904,1680.7174,
2140.993,1729.5184,
2138.083,1756.8358,
2135.172,1761.5462,
2132.262,1766.0141,
2129.351,1762.9379,
2126.441,1725.5436,
2123.530,1669.2817,
2120.619,1603.1102,
2117.709,1578.6715,
2114.798,1527.2035,
2111.888,1433.5143,
2108.977,1377.1987,
2106.067,1309.3633,
2103.156,1296.279,
2100.245,1227.005,
2097.335,1230.0628,
2094.424,1192.0852,
2091.514,1173.4864,
2088.603,1150.0507,
2085.692,1161.4126,
2082.782,1174.2409,
2079.871,1167.7853,
2076.961,1181.9022,
2074.050,1156.2121,
2071.140,1178.0691,
2068.229,1170.1771,
2065.318,1182.5068,
2062.408,1164.4388,
2059.497,1162.0536,
2056.587,1170.7792,
2053.676,1144.1347,
2050.766,1171.3057,
2047.855,1119.5443,
2044.944,1106.6602,
2042.034,1126.844,
2039.123,1133.9596,
2036.213,1138.4023,
2033.302,1156.6086,
2030.391,1175.881,
2027.481,1168.1221,
2024.570,1174.7997,
2021.660,1162.8869,
2018.749,1196.114,
2015.839,1191.0636,
2012.928,1142.0688,
2010.017,1154.8437,
2007.107,1165.7439,
2004.196,1175.2619,
2001.286,1177.5407,
1998.375,1158.0827,
1995.465,1177.958,
1992.554,1136.7945,
1989.643,1155.1013,
1986.733,1154.6254,
1983.822,1149.4106,
1980.912,1150.94,
1978.001,1129.8219,
1975.090,1130.4214,
1972.180,1127.3098,
1969.269,1130.7356,
1966.359,1143.9191,
1963.448,1189.9868,
1960.538,1194.2619,
1957.627,1156.3343,
1954.716,1197.6498,
1951.806,1150.1858,
1948.895,1190.4697,
1945.985,1177.3448,
1943.074,1172.0479,
1940.164,1175.7498,
1937.253,1155.5566,
1934.342,1152.0086,
1931.432,1140.877,
1928.521,1137.1952,
1925.611,1116.9353,
1922.700,1119.0801,
1919.790,1139.2252,
1916.879,1169.9075,
1913.968,1171.0012,
1911.058,1154.5285,
1908.147,1160.9372,
1905.237,1151.8162,
1902.326,1139.3082,
1899.415,1135.889,
1896.505,1140.2107,
1893.594,1111.3719,
1890.684,1141.9866,
1887.773,1161.1644,
1884.863,1146.1891,
1881.952,1159.8574,
1879.041,1211.1459,
1876.131,1178.766,
1873.220,1121.8007,
1870.310,1228.2464,
1867.399,1209.4478,
1864.489,1162.4409,
1861.578,1195.2914,
1858.667,1173.4012,
1855.757,1186.2458,
1852.846,1144.8,
1849.936,1196.3703,
1847.025,1248.7056,
1844.114,1239.9411,
1841.204,1223.1958,
1838.293,1223.4958,
1835.383,1205.7795,
1832.472,1227.5478,
1829.562,1257.194,
1826.651,1267.2053,
1823.740,1260.0804,
1820.830,1247.5117,
1817.919,1261.2875,
1815.009,1274.4186,
1812.098,1263.4331,
1809.188,1316.403,
1806.277,1317.0664,
1803.366,1308.8336,
1800.456,1297.736,
1797.545,1277.5673,
1794.635,1297.2571,
1791.724,1319.7282,
1788.813,1299.2144,
1785.903,1331.5718,
1782.992,1284.8301,
1780.082,1257.4558,
1777.171,1219.6595,
1774.261,1186.0649,
1771.350,1230.988,
1768.439,1316.2976,
1765.529,1329.9121,
1762.618,1345.135,
1759.708,1370.1199,
1756.797,1375.947,
1753.887,1408.9009,
1750.976,1415.9791,
1748.065,1415.1198,
1745.155,1420.0581,
1742.244,1387.1903,
1739.334,1371.6306,
1736.423,1386.5439,
1733.512,1417.7399,
1730.602,1395.5833,
1727.691,1431.8273,
1724.781,1463.3047,
1721.870,1453.5142,
1718.960,1462.3335,
1716.049,1483.4574,
1713.138,1476.7401,
1710.228,1508.0713,
1707.317,1532.4606,
1704.407,1542.1872,
1701.496,1488.3071,
1698.586,1480.228,
1695.675,1523.9783,
1692.764,1567.709,
1689.854,1552.7795,
1686.943,1554.8988,
1684.033,1613.5098,
1681.122,1567.8156,
1678.211,1638.3147,
1675.301,1614.0771,
1672.390,1652.9492,
1669.480,1636.6658,
1666.569,1719.6729,
1663.659,1772.0327,
1660.748,1775.0991,
1657.837,1831.1968,
1654.927,1840.4686,
1652.016,1861.2636,
1649.106,1912.2693,
1646.195,1922.5444,
1643.285,1904.9798,
1640.374,1948.1498,
1637.463,2002.9368,
1634.553,2055.1675,
1631.642,2133.9446,
1628.732,2220.1955,
1625.821,2253.0765,
1622.911,2369.3407,
1620.000,2509.2236,
1617.089,2607.0497,
1614.179,2778.093,
1611.268,2981.3413,
1608.358,3084.3177,
1605.447,3202.1438,
1602.536,3280.7553,
1599.626,3316.3578,
1596.715,3299.0328,
1593.805,3212.0385,
1590.894,3173.8186,
1587.984,3150.0799,
1585.073,3124.0279,
1582.162,3076.5859,
1579.252,3081.0928,
1576.341,3060.7692,
1573.431,3013.4918,
1570.520,2986.7125,
1567.610,2977.5293,
1564.699,2982.5253,
1561.788,2890.6347,
1558.878,2885.1382,
1555.967,2879.1981,
1553.057,2822.0694,
1550.146,2776.3346,
1547.235,2745.1096,
1544.325,2675.4468,
1541.414,2661.7031,
1538.504,2642.2992,
1535.593,2583.4449,
1532.683,2566,
1529.772,2551.769,
1526.861,2486.7322,
1523.951,2419.8636,
1521.040,2420.2594,
1518.130,2406.8987,
1515.219,2391.2398,
1512.309,2390.5585,
1509.398,2364.7701,
1506.487,2340.7324,
1503.577,2330.5914,
1500.666,2301.3065,
1497.756,2272.0763,
1494.845,2275.5614,
1491.934,2336.8709,
1489.024,2297.4087,
1486.113,2235.731,
1483.203,2217.6775,
1480.292,2151.5131,
1477.382,2160.2062,
1474.471,2186.4866,
1471.560,2124.7874,
1468.650,2114.7153,
1465.739,2104.7068,
1462.829,2099.7745,
1459.918,2075.9279,
1457.008,2075.3233,
1454.097,2090.4541,
1451.186,2104.793,
1448.276,2127.3586,
1445.365,2121.7867,
1442.455,2137.8265,
1439.544,2132.296,
1436.633,2080.2721,
1433.723,2091,
1430.812,2086.4932,
1427.902,2031.5559,
1424.991,2096.9515,
1422.081,2043.0339,
1419.170,2061.3296,
1416.259,2009.1056,
1413.349,2001.2867,
1410.438,2002.3002,
1407.528,2025.8184,
1404.617,2026.0832,
1401.707,2024.4192,
1398.796,2057.4335,
1395.885,2037.3933,
1392.975,2015.877,
1390.064,2103.5285,
1387.154,2101.1683,
1384.243,2110.8632,
1381.332,2129.5934,
1378.422,2056.85,
1375.511,2112.1201,
1372.601,2223.5884,
1369.690,2293.0056,
1366.780,2329.1372,
1363.869,2331.6411,
1360.958,2364.9915,
1358.048,2443.5178,
1355.137,2513.3869,
1352.227,2553.6406,
1349.316,2613.7712,
1346.406,2676.2103,
1343.495,2675.2178,
1340.584,2715.4991,
1337.674,2773.7504,
1334.763,2782.1877,
1331.853,2839.676,
1328.942,2874.9102,
1326.032,2870.8438,
1323.121,2905.3073,
1320.210,2963.9485,
1317.300,2998.2144,
1314.389,3049.6814,
1311.479,3100.6116,
1308.568,3149.2783,
1305.657,3222.4287,
1302.747,3245.8197,
1299.836,3269.7078,
1296.926,3392.5465,
1294.015,3468.8504,
1291.105,3522.1909,
1288.194,3648.0127,
1285.283,3728.8362,
1282.373,3821.7732,
1279.462,3894.1955,
1276.552,3937.5828,
1273.641,3997.3402,
1270.731,4042.3582,
1267.820,3995.4297,
1264.909,3980.176,
1261.999,3995.767,
1259.088,3989.3821,
1256.178,3964.1628,
1253.267,3898.6244,
1250.356,3781.1209,
1247.446,3695.8627,
1244.535,3618.951,
1241.625,3533.6853,
1238.714,3454.6661,
1235.804,3364.6944,
1232.893,3265.1279,
1229.982,3249.8842,
1227.072,3187.4177,
1224.161,3147.6988,
1221.251,3127.5988,
1218.340,3073.1185,
1215.430,3050.9548,
1212.519,3040.0589,
1209.608,3012.0775,
1206.698,2998.5959,
1203.787,3010.598,
1200.877,3007.2348,
1197.966,3075.5709,
1195.055,3096.9182,
1192.145,3187.9072,
1189.234,3300.6942,
