,PL9FAA~1,
Wavenumbers [1/cm],Intensity,
2175.920,780.53393,
2173.010,783.99972,
2170.099,797.35665,
2167.189,849.58912,
2164.278,849.32048,
2161.368,886.33811,
2158.457,928.41734,
2155.546,960.47309,
2152.636,999.37491,
2149.725,1028.6049,
2146.815,1062.5572,
2143.904,1075.7365,
2140.993,1109.445,
2138.083,1137.7435,
2135.172,1162.0536,
2132.262,1158.7333,
2129.351,1147.8491,
2126.441,1153.693,
2123.530,1122.2097,
2120.619,1083.5609,
2117.709,1060.8686,
2114.798,1018.8633,
2111.888,978.71324,
2108.977,942.91638,
2106.067,902.80665,
2103.156,891.86533,
2100.245,862.61559,
2097.335,847.625,
2094.424,843.31671,
2091.514,830.34006,
2088.603,820.70799,
2085.692,804.48748,
2082.782,825.65698,
2079.871,782.22945,
2076.961,780.91464,
2074.050,808.20682,
2071.140,817.85503,
2068.229,814.0677,
2065.318,822.50099,
2062.408,800.80655,
2059.497,798.24406,
2056.587,786.18344,
2053.676,798.2238,
2050.766,799.85594,
2047.855,818.88454,
2044.944,794.6891,
2042.034,795.93706,
2039.123,793.60816,
2036.213,818.87609,
2033.302,830.10298,
2030.391,830.16779,
2027.481,839.47849,
2024.570,822.02562,
2021.660,822.32935,
2018.749,834.70098,
2015.839,837.29757,
2012.928,845.76259,
2010.017,857.02782,
2007.107,846.60069,
2004.196,840.64881,
2001.286,850.08435,
1998.375,838.22834,
1995.465,851.07678,
1992.554,868.89548,
1989.643,868.69413,
1986.733,840.2136,
1983.822,848.79117,
1980.912,834.20888,
1978.001,832.65841,
1975.090,854.22653,
1972.180,851.21144,
1969.269,869.00438,
1966.359,885.92231,
1963.448,890.27758,
1960.538,865.65669,
1957.627,870.3247,
1954.716,890.07919,
1951.806,873.41341,
1948.895,903.92668,
1945.985,871.4763,
1943.074,850.35552,
1940.164,880.43298,
1937.253,893.72521,
1934.342,884.15494,
1931.432,885.89314,
1928.521,863.19495,
1925.611,872.52738,
1922.700,867.96202,
1919.790,879.26645,
1916.879,896.50901,
1913.968,873.65451,
1911.058,912.24661,
1908.147,880.88341,
1905.237,892.24998,
1902.326,875.72427,
1899.415,858.43962,
1896.505,840.40814,
1893.594,860.70434,
1890.684,907.89281,
1887.773,918.496,
1884.863,933.8619,
1881.952,907.86789,
1879.041,878.52115,
1876.131,899.05636,
1873.220,900.26658,
1870.310,944.18097,
1867.399,920.07282,
1864.489,910.78077,
1861.578,916.95999,
1858.667,946.37346,
1855.757,979.24791,
1852.846,954.12756,
1849.936,950.48587,
1847.025,928.74667,
1844.114,929.1333,
1841.204,955.27185,
1838.293,960.61336,
1835.383,979.64799,
1832.472,982.50848,
1829.562,997.42787,
1826.651,994.26567,
1823.740,967.24182,
1820.830,975.82987,
1817.919,958.63683,
1815.009,987.01812,
1812.098,1009.6801,
1809.188,975.04369,
1806.277,1009.784,
1803.366,983.82463,
1800.456,995.67996,
1797.545,996.90158,
1794.635,997.81897,
1791.724,983.31435,
1788.813,979.23477,
1785.903,1001.4177,
1782.992,966.30903,
1780.082,910.48613,
1777.171,823.95315,
1774.261,821.78035,
1771.350,908.61302,
1768.439,989.66672,
1765.529,1013.4492,
1762.618,1056.9394,
1759.708,1050.8749,
1756.797,1067.0568,
1753.887,1099.0871,
1750.976,1084.9869,
1748.065,1076.155,
1745.155,1057.909,
1742.244,1075.4211,
1739.334,1091.9944,
1736.423,1097.5708,
1733.512,1130.9137,
1730.602,1141.129,
1727.691,1155.2106,
1724.781,1169.8505,
1721.870,1184.6965,
1718.960,1160.4913,
1716.049,1157.1419,
1713.138,1201.2298,
1710.228,1168.5913,
1707.317,1188.2776,
1704.407,1186.2346,
1701.496,1196.5636,
1698.586,1199.473,
1695.675,1273.546,
1692.764,1220.875,
1689.854,1281.7235,
1686.943,1253.7042,
1684.033,1259.4511,
1681.122,1298.9453,
1678.211,1267.9296,
1675.301,1309.4955,
1672.390,1332.5921,
1669.480,1321.8336,
1666.569,1348.0313,
1663.659,1381.4052,
1660.748,1488.0851,
1657.837,1461.5435,
1654.927,1502.461,
1652.016,1496.2811,
1649.106,1521.8661,
1646.195,1492.9917,
1643.285,1549.4225,
1640.374,1583.0814,
1637.463,1559.4265,
1634.553,1657.758,
1631.642,1666.7119,
1628.732,1675.0279,
1625.821,1742.6898,
1622.911,1841.0671,
1620.000,1882.1085,
1617.089,1989.4558,
1614.179,2064.5099,
1611.268,2191.7919,
1608.358,2311.9594,
1605.447,2418.5115,
1602.536,2446.0584,
1599.626,2460.5041,
1596.715,2428.9514,
1593.805,2405.9497,
1590.894,2400.1023,
1587.984,2311.2836,
1585.073,2331.6577,
1582.162,2299.2202,
1579.252,2256.4381,
1576.341,2287.076,
1573.431,2250.4177,
1570.520,2214.6937,
1567.610,2200.1739,
1564.699,2174.424,
1561.788,2195.2022,
1558.878,2117.5003,
1555.967,2095.4449,
1553.057,2112.6422,
1550.146,2059.4724,
1547.235,2002.9636,
1544.325,1991.4527,
1541.414,1992.5449,
1538.504,1979.8075,
1535.593,1957.9129,
1532.683,1952.5971,
1529.772,1928.5755,
1526.861,1885.211,
1523.951,1873.7979,
1521.040,1851.3756,
1518.130,1843.5958,
1515.219,1854.1459,
1512.309,1816.2015,
1509.398,1797.4994,
1506.487,1826.609,
1503.577,1842.8616,
1500.666,1829.3792,
1497.756,1799.3533,
1494.845,1750.7067,
1491.934,1824.3478,
1489.024,1739.6485,
1486.113,1733.8434,
1483.203,1737.1777,
1480.292,1722.3518,
1477.382,1760.0374,
1474.471,1725.8844,
1471.560,1719.156,
1468.650,1727.7745,
1465.739,1724.8606,
1462.829,1704.3173,
1459.918,1690.415,
1457.008,1692.6866,
1454.097,1694.3142,
1451.186,1692.8726,
1448.276,1715.2873,
1445.365,1742.9094,
1442.455,1734.8246,
1439.544,1753.0355,
1436.633,1746.7422,
1433.723,1771.1386,
1430.812,1738.0735,
1427.902,1717.3171,
1424.991,1662.3469,
1422.081,1715.6736,
1419.170,1715.4406,
1416.259,1675.742,
1413.349,1745.9253,
1410.438,1766.7265,
1407.528,1766.5562,
1404.617,1731.8102,
1401.707,1747.4304,
1398.796,1761.4397,
1395.885,1750.2668,
1392.975,1763.9581,
1390.064,1770.4006,
1387.154,1815.0646,
1384.243,1818.9334,
1381.332,1765.8544,
1378.422,1754.0403,
1375.511,1800.8793,
1372.601,1844.0172,
1369.690,1860.4833,
1366.780,1921.2356,
1363.869,1991.1108,
1360.958,2036.7132,
1358.048,2048.4384,
1355.137,2061.2928,
1352.227,2083.2329,
1349.316,2104.3457,
1346.406,2131.1202,
1343.495,2161.8532,
1340.584,2189.0173,
1337.674,2221.729,
1334.763,2173.8247,
1331.853,2205.3506,
1328.942,2224.4143,
1326.032,2210.3126,
1323.121,2251.0829,
1320.210,2271.2864,
1317.300,2232.3088,
1314.389,2261.1817,
1311.479,2330.9161,
1308.568,2338.7717,
1305.657,2313.6916,
1302.747,2317.3739,
1299.836,2382.3131,
1296.926,2458.7105,
1294.015,2460.5491,
1291.105,2496.7272,
1288.194,2539.1659,
1285.283,2616.6453,
1282.373,2657.5468,
1279.462,2692.5264,
1276.552,2714.1604,
1273.641,2737.1606,
1270.731,2763.5698,
1267.820,2722.1607,
1264.909,2684.7799,
1261.999,2758.2588,
1259.088,2748.2255,
1256.178,2745.9121,
1253.267,2703.4292,
1250.356,2644.5717,
1247.446,2616.7577,
1244.535,2570.009,
1241.625,2513.3028,
1238.714,2480.8592,
1235.804,2441.9212,
1232.893,2400.1304,
1229.982,2373.6625,
1227.072,2315.7225,
1224.161,2330.9566,
1221.251,2276.5533,
1218.340,2227.4735,
1215.430,2178.0423,
1212.519,2136.1367,
1209.608,2130.6738,
1206.698,2150.8377,
1203.787,2141.1074,
1200.877,2120.6369,
1197.966,2185.3764,
1195.055,2232.9939,
1192.145,2304.4892,
1189.234,2369.7429,
1186.324,2439.4476,
1183.413,2432.1376,
1180.503,2386.4289,
1177.592,2378.9577,
1174.681,2288.9024,
1171.771,2365.4093,
1168.860,2312.717,
1165.950,2281.8237,
1163.039,2265.8474,
1160.129,2248.0583,
1157.218,2235.2598,
1154.307,2224.2045,
1151.397,2211.3643,
1148.486,2204.331,
1145.576,2169.7043,
1142.665,2194.5659,
1139.754,2175.4707,
1136.844,2129.3071,
1133.933,2136.8448,
1131.023,2131.9644,
1128.112,2103.4112,
1125.202,2090.8617,
1122.291,2077.6466,
1119.380,2133.6943,
1116.470,2140.7545,
1113.559,2131.5728,
1110.649,2166.606,
1107.738,2167.8714,
1104.828,2166.1885,
1101.917,2175.086,
1099.006,2153.5836,
1096.096,2180.8187,
1093.185,2167.6487,
1090.275,2175.527,
1087.364,2162.5303,
1084.453,2141.0009,
1081.543,2145.8392,
1078.632,2169.4455,
1075.722,2177.6937,
1072.811,2187.804,
1069.901,2204.3959,
1066.990,2187.8417,
1064.079,2196.5548,
1061.169,2223.6124,
1058.258,2230.8848,
1055.348,2235.2625,
1052.437,2282.5447,
1049.527,2307.1215,
1046.616,2294.0891,
1043.705,2287.2296,
1040.795,2298.3951,
1037.884,2309.6709,
1034.974,2315.8595,
1032.063,2327.017,
1029.153,2347.9246,
1026.242,2325.4357,
1023.331,2344.6237,
1020.421,2335.3801,
1017.510,2350.3552,
1014.600,2371.2772,
1011.689,2361.0909,
1008.778,2322.7038,
1005.868,2341.1424,
1002.957,2398.7861,
1000.047,2465.137,
997.136,2589.407,
994.226,2677.6863,
991.315,2678.7488,
988.404,2632.7067,
985.494,2617.2414,
982.583,2600.1103,
979.673,2582.9921,
976.762,2578.2121,
973.852,2565.3647,
970.941,2562.5549,
968.030,2592.018,
965.120,2571.6572,
962.209,2579.3301,
959.299,2590.5405,
956.388,2599.1047,
953.477,2603.8581,
950.567,2600.9194,
947.656,2594.0868,
944.746,2643.3611,
941.835,2652.1035,
938.925,2658.8894,
936.014,2649.4852,
933.103,2619.6172,
930.193,2596.2133,
927.282,2632.8377,
924.372,2599.859,
921.461,2543.3406,
918.551,2518.2347,
915.640,2491.9529,
912.729,2466.6503,
909.819,2475.6233,
906.908,2460.4597,
903.998,2466.7833,
901.087,2477.5361,
898.176,2503.1444,
895.266,2531.3382,
892.355,2548.965,
889.445,2577.5001,
886.534,2585.9737,
883.624,2617.2296,
880.713,2614.7833,
877.802,2581.6028,
874.892,2528.2988,
871.981,2431.0209,
869.071,2320.7464,
866.160,2328.5334,
863.250,2447.5624,
860.339,2563.5976,
857.428,2595.9032,
854.518,2588.0232,
851.607,2567.2215,
848.697,2456.3255,
845.786,2370.2594,
842.875,2379.6681,
839.965,2488.9267,
837.054,2613.8948,
834.144,2637.9286,
831.233,2633.2923,
828.323,2613.7878,
825.412,2617.6208,
822.501,2651.3695,
819.591,2616.6608,
816.680,2577.1634,
813.770,2537.5529,
810.859,2488.0382,
807.949,2464.2324,
805.038,2499.1405,
802.127,2470.331,
799.217,2493.7137,
796.306,2481.6248,
793.396,2480.0297,
790.485,2500.7298,
787.574,2495.6801,
784.664,2549.8075,
781.753,2541.5084,
778.843,2518.4126,
775.932,2526.4641,
773.022,2573.0603,
770.111,2543.6275,
767.200,2535.5345,
764.290,2528.4241,
761.379,2533.2901,
758.469,2548.9269,
755.558,2556.2635,
752.648,2510.6457,
749.737,2487.9164,
746.826,2482.0237,
743.916,2489.4887,
741.005,2500.2232,
738.095,2461.2531,
735.184,2390.1244,
732.274,2339.4337,
729.363,2320.3148,
726.452,2356.907,
723.542,2530.1172,
720.631,2499.869,
717.721,2505.9561,
714.810,2523.0511,
711.899,2523.3577,
708.989,2500.7638,
706.078,2498.2211,
703.168,2510.3766,
700.257,2504.5976,
697.347,2484.4076,
694.436,2484.4324,
691.525,2514.1732,
688.615,2507.4179,
685.704,2508.2589,
682.794,2515.6463,
679.883,2503.7423,
676.973,2528.5848,
674.062,2537.4535,
671.151,2534.8034,
668.241,2518.6186,
665.330,2487.4948,
662.420,2505.8656,
659.509,2574.388,
656.598,2590.4203,
653.688,2560.0945,
650.777,2550.1669,
647.867,2507.1652,
644.956,2475.9547,
642.046,2434.4323,
639.135,2393.3673,
636.224,2389.0945,
633.314,2482.7792,
630.403,2530.2734,
627.493,2548.9294,
624.582,2561.1004,
621.672,2599.1161,
618.761,2651.5409,
615.850,2630.1578,
612.940,2617.3848,
610.029,2657.9381,
607.119,2695.8404,
604.208,2698.205,
601.297,2708.0939,
598.387,2723.4977,
595.476,2734.7337,
592.566,2725.2888,
589.655,2704.1883,
586.745,2684.5117,
583.834,2668.0137,
580.923,2651.3407,
578.013,2604.2566,
575.102,2636.3649,
572.192,2658.1919,
569.281,2639.734,
566.371,2651.4734,
563.460,2632.8719,
560.549,2643.1416,
557.639,2670.6819,
554.728,2692.2801,
551.818,2686.8179,
548.907,2706.345,
545.996,2707.1837,
543.086,2691.3158,
540.175,2708.446,
537.265,2700.2094,
534.354,2715.1876,
531.444,2726.6586,
528.533,2710.8875,
525.622,2742.7013,
522.712,2749.625,
519.801,2744.2787,
516.891,2748.3019,
513.980,2811.0199,
511.070,2828.5989,
508.159,2855.1155,
505.248,2885.1344,
502.338,2906.8164,
499.427,2981.6841,
496.517,2997.6654,
493.606,3001.0183,
490.695,3016.9415,
487.785,3040.805,
484.874,3056.257,
481.964,3044.3528,
479.053,3015.6833,
476.143,3003.3959,
473.232,2962.3384,
470.321,2953.9236,
467.411,2973.5282,
464.500,3008.1983,
461.590,2991.3521,
458.679,2986.0747,
455.769,2993.1865,
452.858,3013.8403,
449.947,3054.3287,
447.037,3066.2656,
444.126,3079.3462,
441.216,3091.1429,
438.305,3053.8082,
435.395,3088.6188,
432.484,3112.1255,
429.573,3105.6849,
426.663,3063.117,
423.752,2927.1154,
420.842,2717.5486,
417.931,2521.7577,
415.020,2469.4309,
412.110,2818.0677,
409.199,3068.8743,
406.289,3181.6203,
403.378,3135.438,
400.468,3080.2504,
397.557,3072.3938,
394.646,3110.445,
391.736,3190.8222,
388.825,3259.4572,
385.915,3263.6592,
383.004,3259.0479,
380.094,3284.1606,
377.183,3314.2596,
374.272,3335.6517,
371.362,3357.8094,
368.451,3384.625,
365.541,3384.625,
362.630,3432.6942,
359.719,3464.0419,
356.809,3444.7124,
353.898,3462.6836,
350.988,3448.638,
348.077,3444.2414,
345.167,3469.0679,
342.256,3398.8435,
339.345,3409.4481,
336.435,3433.8491,
333.524,3426.625,
330.614,3426.625,
327.703,3429.7054,
324.793,3432.625,
321.882,3432.6232,
318.971,3431.8798,
316.061,3444.3212,
313.150,3457.394,
310.240,3456.6519,
307.329,3502.3618,
304.418,3508.3143,
301.508,3502.4866,
298.597,3535.8053,
295.687,3534.5616,
292.776,3567.6252,
289.866,3639.0444,
286.955,3745.4209,
284.044,3751.77,
281.134,3768.1017,
278.223,3823.7022,
275.313,3954.1256,
272.402,4007.7656,
269.492,4015.852,
266.581,3989.0516,
263.670,3939.0593,
260.760,3963.2814,
257.849,4037.1191,
254.939,4147.2015,
252.028,4131.9766,
249.117,4153.9483,
246.207,4199.1791,
243.296,4243.8333,
240.386,4241.4421,
237.475,4258.7553,
234.565,4284.3425,
231.654,4231.7549,
228.743,4224.0772,
225.833,4223.8809,
222.922,4215.7225,
220.012,4174.9234,
217.101,4169.4765,
214.191,4190.7386,
211.280,4234.3864,
208.369,4212.0581,
205.459,4223.1808,
202.548,4256.9955,
199.638,4247.562,
196.727,4247.3536,
193.816,4270.2986,
190.906,4321.0313,
187.995,4332.6157,
185.085,4324.3308,
182.174,4326.6874,
179.264,4385.9543,
176.353,4409.926,
173.442,4415.6369,
170.532,4395.7719,
167.621,4285.4626,
164.711,4140.5257,
161.800,3973.2177,
158.890,3787.528,
155.979,3525.2816,
153.068,3212.8757,
150.158,2855.1003,
147.247,2452.3291,
144.337,2058.1539,
141.426,1643.19,
138.516,1190.8316,
135.605,835.19351,
132.694,555.85177,
129.784,349.48962,
126.873,230.77807,
123.963,166.22102,
121.052,120.32738,
118.141,81.776674,
115.231,54.623327,
112.320,44.895908,
109.410,46.352289,
106.499,44.927979,
103.589,36.781437,
100.678,30.896622,
97.767,31.607559,
94.857,30.239022,
91.946,21.159672,
89.036,10.318469,
86.125,20.956548,
83.215,19.377637,
80.304,14.188404,
77.393,9.9393843,
74.483,12.24554,
71.572,15.074408,
68.662,16.863058,
65.751,9.0920956,
62.840,12.405424,
59.930,15.628421,
57.019,4.3471091,
54.109,2.0278392,
51.198,3.7362649,
48.288,8.6702995,
45.377,14.297324,
42.466,15.388342,
39.556,11.783103,
36.645,0.54805931,
33.735,1.2597393,
30.824,3.9623391,
27.914,1.8588133,
25.003,4.7381874,
22.092,7.5937137,
19.182,10.014009,
16.271,21.905341,
13.361,84.786201,
10.450,177.84587,
7.539,254.66056,
4.629,25.240037,
1.718,-272.09248,
-1.192,-479.84156,
-4.103,-487.53725,
-7.013,-332.18046,
-9.924,-4.375,
