,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_1E-4mgL_16h_785nm_133mW_3s_1acc_2_RamanShift__3__03,
Raman shift [1/cm],Intensity,
3014.167,5.875,
3011.256,0.875,
3008.346,32.341148,
3005.435,47.79726,
3002.525,43.875,
2999.614,26.628272,
2996.704,41.193557,
2993.793,22.237328,
2990.882,40.348237,
2987.972,43.88509,
2985.061,39.668095,
2982.151,51.249806,
2979.240,42.623086,
2976.329,49.118175,
2973.419,47.53636,
2970.508,53.02501,
2967.598,50.209538,
2964.687,61.173233,
2961.777,60.439047,
2958.866,59.224171,
2955.955,66.711246,
2953.045,67.691554,
2950.134,62.630093,
2947.224,58.273563,
2944.313,61.088674,
2941.403,55.696623,
2938.492,62.045745,
2935.581,60.084846,
2932.671,68.153961,
2929.760,59.667303,
2926.850,64.456954,
2923.939,68.636695,
2921.028,81.369304,
2918.118,76.694899,
2915.207,75.875,
2912.297,56.955395,
2909.386,67.677919,
2906.476,70.487357,
2903.565,74.503888,
2900.654,75.651544,
2897.744,57.013294,
2894.833,70.349181,
2891.923,64.144196,
2889.012,67.794075,
2886.102,64.707427,
2883.191,59.882552,
2880.280,59.989828,
2877.370,68.927269,
2874.459,44.812162,
2871.549,56.138186,
2868.638,74.103852,
2865.727,67.063428,
2862.817,76.503346,
2859.906,62.040235,
2856.996,77.381793,
2854.085,87.318298,
2851.175,74.612954,
2848.264,73.875,
2845.353,62.176938,
2842.443,73.479178,
2839.532,83.06895,
2836.622,80.633463,
2833.711,86.978613,
2830.801,76.28529,
2827.890,68.249118,
2824.979,65.800987,
2822.069,87.727163,
2819.158,69.934294,
2816.248,71.587367,
2813.337,86.442071,
2810.427,88.485195,
2807.516,79.141251,
2804.605,82.69231,
2801.695,83.611837,
2798.784,68.909923,
2795.874,85.170528,
2792.963,78.44649,
2790.052,76.875643,
2787.142,84.545961,
2784.231,81.971264,
2781.321,74.063581,
2778.410,79.364843,
2775.500,82.875,
2772.589,82.413228,
2769.678,82.124131,
2766.768,85.875,
2763.857,91.612959,
2760.947,88.296197,
2758.036,90.276361,
2755.126,77.960477,
2752.215,92.174856,
2749.304,74.02429,
2746.394,91.086691,
2743.483,94.074991,
2740.573,101.19803,
2737.662,78.225586,
2734.751,90.433244,
2731.841,86.415291,
2728.930,78.79442,
2726.020,93.880208,
2723.109,89.009168,
2720.199,85.403011,
2717.288,103.50639,
2714.377,91.812698,
2711.467,94.842036,
2708.556,96.09858,
2705.646,89.875,
2702.735,95.377579,
2699.825,92.984071,
2696.914,94.351372,
2694.003,98.61809,
2691.093,93.303404,
2688.182,91.166111,
2685.272,107.55637,
2682.361,99.933951,
2679.450,98.829713,
2676.540,95.712407,
2673.629,85.88398,
2670.719,88.940624,
2667.808,101.43728,
2664.898,90.472274,
2661.987,100.70839,
2659.076,96.76509,
2656.166,106.10014,
2653.255,100.76276,
2650.345,105.44306,
2647.434,103.67466,
2644.524,93.57765,
2641.613,100.61793,
2638.702,93.01703,
2635.792,100.28078,
2632.881,102.72026,
2629.971,108.85491,
2627.060,109.37406,
2624.149,111.82188,
2621.239,116.39575,
2618.328,101.25648,
2615.418,109.21136,
2612.507,108.49555,
2609.597,110.69137,
2606.686,108.7184,
2603.775,123.75198,
2600.865,107.75894,
2597.954,114.59371,
2595.044,124.58005,
2592.133,107.92588,
2589.223,110.89922,
2586.312,128.16648,
2583.401,110.44796,
2580.491,109.76439,
2577.580,119.875,
2574.670,123.74932,
2571.759,124.51627,
2568.848,120.99104,
2565.938,119.49407,
2563.027,116.60681,
2560.117,120.41706,
2557.206,125.49124,
2554.296,121.8155,
2551.385,120.63509,
2548.474,136.09731,
2545.564,124.31818,
2542.653,119.88506,
2539.743,123.4551,
2536.832,128.95725,
2533.922,125.76462,
2531.011,117.50012,
2528.100,122.93775,
2525.190,130.08443,
2522.279,124.8281,
2519.369,125.38434,
2516.458,134.99044,
2513.548,127.73881,
2510.637,136.38314,
2507.726,126.37685,
2504.816,130.4387,
2501.905,127.32439,
2498.995,117.47219,
2496.084,122.88891,
2493.173,122.71739,
2490.263,131.47048,
2487.352,132.66633,
2484.442,130.43816,
2481.531,140.03454,
2478.621,132.89392,
2475.710,135.95168,
2472.799,144.14856,
2469.889,146.14648,
2466.978,150.98843,
2464.068,124.01777,
2461.157,158.37256,
2458.247,144.03672,
2455.336,160.63824,
2452.425,142.45516,
2449.515,142.73363,
2446.604,147.46487,
2443.694,137.31659,
2440.783,144.02027,
2437.872,139.76561,
2434.962,140.28974,
2432.051,152.80098,
2429.141,143.0634,
2426.230,148.1579,
2423.320,154.4183,
2420.409,140.03518,
2417.498,151.06321,
2414.588,150.60505,
2411.677,148.94672,
2408.767,151.38091,
2405.856,151.93691,
2402.946,161.1431,
2400.035,158.68251,
2397.124,145.55948,
2394.214,159.1994,
2391.303,161.48272,
2388.393,156.90289,
2385.482,152.96312,
2382.571,157.69766,
2379.661,162.61917,
2376.750,162.71737,
2373.840,151.67817,
2370.929,154.81002,
2368.019,163.64593,
2365.108,164.89856,
2362.197,163.06953,
2359.287,164.67333,
2356.376,151.89789,
2353.466,183.96756,
2350.555,166.19523,
2347.645,175.875,
2344.734,176.66302,
2341.823,166.05742,
2338.913,188.06003,
2336.002,155.5831,
2333.092,168.6335,
2330.181,192.73684,
2327.270,189.42505,
2324.360,159.69808,
2321.449,176.58248,
2318.539,173.3643,
2315.628,175.66477,
2312.718,169.80892,
2309.807,190.44042,
2306.896,175.41022,
2303.986,185.82952,
2301.075,186.19413,
2298.165,189.67309,
2295.254,185.96117,
2292.344,185.77549,
2289.433,170.25728,
2286.522,185.95533,
2283.612,193.70536,
2280.701,185.48937,
2277.791,199.7147,
2274.880,194.59102,
2271.969,190.26183,
2269.059,190.31642,
2266.148,204.46598,
2263.238,181.98699,
2260.327,187.08192,
2257.417,194.38222,
2254.506,212.51604,
2251.595,205.88598,
2248.685,193.92886,
2245.774,217.20425,
2242.864,188.48598,
2239.953,183.55775,
2237.043,191.71964,
