,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_0mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__4__13-04-14-722,
Raman shift [1/cm],Intensity,
3014.167,-2.375,
3011.256,0.074989263,
3008.346,168.74413,
3005.435,209.66387,
3002.525,220.34256,
2999.614,213.625,
2996.704,231.34252,
2993.793,232.35887,
2990.882,248.01429,
2987.972,234.68554,
2985.061,249.72845,
2982.151,258.90904,
2979.240,270.79039,
2976.329,285.89002,
2973.419,307.93309,
2970.508,307.04158,
2967.598,318.52942,
2964.687,311.84919,
2961.777,318.4029,
2958.866,329.61164,
2955.955,331.68918,
2953.045,341.29392,
2950.134,364.29557,
2947.224,373.50753,
2944.313,401.37785,
2941.403,391.67245,
2938.492,400.18868,
2935.581,398.73788,
2932.671,398.18725,
2929.760,418.71348,
2926.850,414.30432,
2923.939,412.66236,
2921.028,420.08381,
2918.118,441.38318,
2915.207,428.97946,
2912.297,445.56153,
2909.386,434.40603,
2906.476,441.13622,
2903.565,442.36722,
2900.654,443.74228,
2897.744,449.27298,
2894.833,424.51154,
2891.923,448.89751,
2889.012,435.20881,
2886.102,426.98041,
2883.191,425.62217,
2880.280,427.10824,
2877.370,400.70059,
2874.459,364.02764,
2871.549,410.65164,
2868.638,450.67241,
2865.727,456.73267,
2862.817,466.81083,
2859.906,434.58795,
2856.996,461.60689,
2854.085,457.70272,
2851.175,468.52863,
2848.264,467.76233,
2845.353,455.30149,
2842.443,442.62152,
2839.532,437.86385,
2836.622,430.68099,
2833.711,424.4021,
2830.801,435.02794,
2827.890,436.08304,
2824.979,433.983,
2822.069,452.36344,
2819.158,430.76516,
2816.248,440.09605,
2813.337,420.91401,
2810.427,446.14704,
2807.516,432.1575,
2804.605,448.74278,
2801.695,417.21707,
2798.784,427.77692,
2795.874,438.63028,
2792.963,431.69638,
2790.052,446.62157,
2787.142,443.49338,
2784.231,424.01322,
2781.321,425.50504,
2778.410,431.57044,
2775.500,429.28362,
2772.589,433.66399,
2769.678,443.94581,
2766.768,463.66968,
2763.857,439.46893,
2760.947,458.65022,
2758.036,462.625,
2755.126,444.67414,
2752.215,455.51609,
2749.304,459.90199,
2746.394,456.70559,
2743.483,465.17504,
2740.573,473.48127,
2737.662,473.40163,
2734.751,464.25134,
2731.841,476.35578,
2728.930,463.66727,
2726.020,477.625,
2723.109,456.347,
2720.199,473.34996,
2717.288,476.90602,
2714.377,503.36206,
2711.467,477.39533,
2708.556,497.65658,
2705.646,484.27282,
2702.735,495.60952,
2699.825,490.40686,
2696.914,494.95817,
2694.003,481.625,
2691.093,481.17855,
2688.182,476.04278,
2685.272,495.30637,
2682.361,495.96015,
2679.450,502.625,
2676.540,475.86889,
2673.629,493.26622,
2670.719,505.26733,
2667.808,488.50044,
2664.898,494.49464,
2661.987,520.92497,
2659.076,525.73491,
2656.166,507.22237,
2653.255,509.33078,
2650.345,519.30558,
2647.434,529.96796,
2644.524,527.06142,
2641.613,514.5678,
2638.702,547.08844,
2635.792,520.625,
2632.881,526.97608,
2629.971,522.02763,
2627.060,535.12282,
2624.149,541.60002,
2621.239,528.625,
2618.328,554.73487,
2615.418,539.60228,
2612.507,549.00445,
2609.597,554.0741,
2606.686,544.43022,
2603.775,552.26786,
2600.865,553.97992,
2597.954,538.77494,
2595.044,559.97309,
2592.133,560.29383,
2589.223,547.46814,
2586.312,557.91648,
2583.401,559.94985,
2580.491,565.3654,
2577.580,562.65141,
2574.670,581.66911,
2571.759,584.67038,
2568.848,574.03933,
2565.938,563.10116,
2563.027,566.16137,
2560.117,579.51288,
2557.206,587.72094,
2554.296,577.65475,
2551.385,594.88912,
2548.474,593.73578,
2545.564,595.3401,
2542.653,587.80284,
2539.743,609.15581,
2536.832,599.07359,
2533.922,603.78269,
2531.011,614.72491,
2528.100,625.62154,
2525.190,608.90779,
2522.279,614.43741,
2519.369,607.60631,
2516.458,603.96069,
2513.548,605.81592,
2510.637,627.74797,
2507.726,623.6919,
2504.816,617.37585,
2501.905,629.92927,
2498.995,629.72922,
2496.084,615.01176,
2493.173,626.33593,
2490.263,610.29953,
2487.352,645.08247,
2484.442,639.1753,
2481.531,655.09841,
2478.621,643.10837,
2475.710,691.31829,
2472.799,657.29758,
2469.889,674.14023,
2466.978,658.4705,
2464.068,652.625,
2461.157,662.77997,
2458.247,659.09549,
2455.336,658.83636,
2452.425,662.84198,
2449.515,666.23831,
2446.604,674.85538,
2443.694,675.64801,
2440.783,683.57996,
2437.872,688.625,
2434.962,683.37155,
2432.051,682.27957,
2429.141,689.50744,
2426.230,703.45156,
2423.320,688.23882,
2420.409,702.70843,
2417.498,690.43679,
2414.588,704.79223,
2411.677,701.66086,
2408.767,707.17815,
2405.856,714.05837,
2402.946,708.67862,
2400.035,713.22125,
2397.124,727.72661,
2394.214,724.1934,
2391.303,716.61958,
2388.393,712.58316,
2385.482,718.49281,
2382.571,719.95406,
2379.661,722.36917,
2376.750,743.8835,
2373.840,756.27189,
2370.929,749.68998,
2368.019,745.27587,
2365.108,739.22971,
2362.197,755.94562,
2359.287,758.04505,
2356.376,762.61267,
2353.466,760.2466,
2350.555,754.22999,
2347.645,764.87399,
2344.734,769.47292,
2341.823,767.64158,
2338.913,767.7101,
2336.002,791.81634,
2333.092,796.11933,
2330.181,788.85263,
2327.270,801.79992,
2324.360,796.68397,
2321.449,793.53317,
2318.539,796.05007,
2315.628,797.5071,
2312.718,796.09196,
2309.807,813.42006,
2306.896,809.86913,
2303.986,819.80693,
2301.075,822.05058,
2298.165,816.81737,
2295.254,818.60346,
2292.344,817.00272,
2289.433,797.07683,
2286.522,824.54467,
2283.612,838.18625,
2280.701,840.43219,
2277.791,857.18418,
2274.880,848.33697,
2271.969,865.06945,
2269.059,883.85934,
2266.148,881.97725,
2263.238,886.02268,
2260.327,892.2455,
2257.417,879.79277,
2254.506,894.36572,
2251.595,893.47587,
2248.685,913.35572,
2245.774,896.09792,
2242.864,920.49533,
2239.953,916.34918,
2237.043,916.0282,
2234.132,936.986,
2231.221,944.625,
2228.311,966.37111,
2225.400,971.59685,
2222.490,977.8662,
2219.579,1002.1031,
2216.669,1010.0177,
2213.758,1037.8433,
2210.847,1053.5217,
2207.937,1104.5891,
2205.026,1145.1807,
2202.116,1165.2237,
2199.205,1246.8864,
2196.294,1290.5429,
2193.384,1353.0971,
2190.473,1405.0863,
2187.563,1467.625,
2184.652,1475.6074,
2181.742,1535.9905,
2178.831,1568.2281,
2175.920,1581.86,
2173.010,1591.2747,
2170.099,1600.8904,
2167.189,1636.1919,
2164.278,1710.223,
2161.368,1694.3381,
2158.457,1734.2992,
2155.546,1758.9885,
2152.636,1803.4334,
2149.725,1819.1284,
2146.815,1818.625,
2143.904,1861.4391,
2140.993,1895.8578,
2138.083,1885.6828,
2135.172,1878.5242,
2132.262,1894.3803,
2129.351,1855.8454,
2126.441,1794.0326,
2123.530,1709.0077,
2120.619,1642.653,
2117.709,1549.1669,
2114.798,1471.5978,
2111.888,1395.2641,
2108.977,1317.1217,
2106.067,1252.1894,
2103.156,1213.2299,
2100.245,1181.5961,
2097.335,1140.4417,
2094.424,1155.5196,
2091.514,1089.1223,
2088.603,1082.7264,
2085.692,1075.8964,
2082.782,1066.2636,
2079.871,1063.625,
2076.961,1042.1103,
2074.050,1034.2735,
2071.140,1062.7632,
2068.229,1049.1562,
2065.318,1044.4255,
2062.408,1025.8602,
2059.497,1040.0179,
2056.587,1034.0785,
2053.676,1008.9431,
2050.766,1028.5465,
2047.855,1005.1376,
2044.944,1022.625,
2042.034,1022.151,
2039.123,1020.2849,
2036.213,1001.936,
2033.302,998.10298,
2030.391,1033.5906,
2027.481,1031.2349,
2024.570,1049.3815,
2021.660,1063.9746,
2018.749,1010.6005,
2015.839,1059.2799,
2012.928,1054.5327,
2010.017,1054.9638,
2007.107,1032.8119,
2004.196,1032.4821,
2001.286,1032.0632,
1998.375,1015.4449,
1995.465,1018.4241,
1992.554,1032.1426,
1989.643,982.45688,
1986.733,1017.7654,
1983.822,1052.8037,
1980.912,1032.2089,
1978.001,1024.074,
1975.090,1033.2189,
1972.180,1024.5226,
1969.269,1007.5302,
1966.359,1027.6253,
1963.448,1065.4625,
1960.538,1039.7301,
1957.627,1039.6498,
1954.716,1030.9123,
1951.806,1039.4392,
1948.895,1000.1756,
1945.985,1017.625,
1943.074,1014.2597,
1940.164,997.44212,
1937.253,993.38564,
1934.342,987.95816,
1931.432,968.04771,
1928.521,991.65264,
1925.611,998.13805,
1922.700,986.12776,
1919.790,988.79257,
1916.879,973.81074,
1913.968,1002.5881,
1911.058,1022.9553,
1908.147,1019.2556,
1905.237,975.54419,
1902.326,1009.3406,
1899.415,976.36036,
1896.505,967.625,
1893.594,981.2531,
1890.684,996.07599,
1887.773,990.582,
1884.863,976.78218,
1881.952,985.27235,
1879.041,987.84255,
