,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_0E-1mgL_16h_785nm_133mW_3s_1acc_1_RamanShift__2__88,
Raman shift [1/cm],Intensity,
3014.167,1.375,
3011.256,0.12505368,
3008.346,62.105361,
3005.435,66.68242,
3002.525,58.24245,
2999.614,77.800982,
2996.704,74.879126,
2993.793,88.127304,
2990.882,82.420823,
2987.972,80.36491,
2985.061,75.714898,
2982.151,86.465768,
2979.240,98.173469,
2976.329,94.353159,
2973.419,108.05228,
2970.508,99.541634,
2967.598,103.94488,
2964.687,98.240489,
2961.777,110.43492,
2958.866,112.04365,
2955.955,103.30421,
2953.045,116.09088,
2950.134,131.59954,
2947.224,122.20419,
2944.313,118.17272,
2941.403,125.58942,
2938.492,136.97122,
2935.581,133.58485,
2932.671,127.25916,
2929.760,133.94036,
2926.850,146.01635,
2923.939,144.61331,
2921.028,141.12785,
2918.118,143.81581,
2915.207,150.96361,
2912.297,159.34115,
2909.386,154.75457,
2906.476,143.95646,
2903.565,147.79426,
2900.654,153.04537,
2897.744,148.48815,
2894.833,152.01427,
2891.923,148.4295,
2889.012,148.62356,
2886.102,163.03985,
2883.191,151.39199,
2880.280,139.92045,
2877.370,144.85751,
2874.459,143.97236,
2871.549,153.36221,
2868.638,171.60181,
2865.727,155.71731,
2862.817,157.83222,
2859.906,147.97044,
2856.996,162.36594,
2854.085,157.33297,
2851.175,160.01659,
2848.264,155.94367,
2845.353,167.22403,
2842.443,154.78475,
2839.532,163.44952,
2836.622,152.16146,
2833.711,143.79729,
2830.801,154.96471,
2827.890,139.0848,
2824.979,153.43695,
2822.069,156.15893,
2819.158,138.89522,
2816.248,146.60474,
2813.337,164.33355,
2810.427,146.94112,
2807.516,149.58359,
2804.605,146.19231,
2801.695,149.375,
2798.784,158.63577,
2795.874,144.80508,
2792.963,146.58936,
2790.052,152.37414,
2787.142,139.17758,
2784.231,135.50388,
2781.321,139.30638,
2778.410,130.01458,
2775.500,136.31155,
2772.589,143.7588,
2769.678,141.12239,
2766.768,154.80995,
2763.857,148.05901,
2760.947,135.30565,
2758.036,134.54067,
2755.126,151.93911,
2752.215,160.73851,
2749.304,163.58722,
2746.394,152.89316,
2743.483,145.72501,
2740.573,142.60066,
2737.662,154.28919,
2734.751,164.11783,
2731.841,146.77976,
2728.930,157.51899,
2726.020,168.375,
2723.109,145.32384,
2720.199,158.59062,
2717.288,159.9188,
2714.377,155.15008,
2711.467,161.75193,
2708.556,164.76868,
2705.646,167.44544,
2702.735,164.38532,
2699.825,168.01679,
2696.914,156.51772,
2694.003,166.21891,
2691.093,157.4821,
2688.182,176.995,
2685.272,168.10046,
2682.361,159.28657,
2679.450,172.6219,
2676.540,163.41565,
2673.629,162.05663,
2670.719,163.72528,
2667.808,159.81272,
2664.898,155.53064,
2661.987,166.24164,
2659.076,168.86638,
2656.166,167.43991,
2653.255,171.41241,
2650.345,169.59097,
2647.434,183.8317,
2644.524,170.46374,
2641.613,172.63207,
2638.702,178.26453,
2635.792,166.71698,
2632.881,180.375,
2629.971,194.33482,
2627.060,175.54156,
2624.149,182.34687,
2621.239,181.1087,
2618.328,179.375,
2615.418,173.40227,
2612.507,176.88878,
2609.597,171.84406,
2606.686,174.59588,
2603.775,174.73611,
2600.865,184.49106,
2597.954,188.51255,
2595.044,173.68767,
2592.133,190.60442,
