,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_0mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__0__12-55-20-762,
Raman shift [1/cm],Intensity,
3014.167,-2.125,
3011.256,5.4250107,
3008.346,356.39682,
3005.435,431.48984,
3002.525,455.82019,
2999.614,458.19323,
2996.704,500.54819,
2993.793,502.71429,
2990.882,533.82918,
2987.972,517.04653,
2985.061,550.43165,
2982.151,572.7725,
2979.240,592.72385,
2976.329,622.91868,
2973.419,635.24419,
2970.508,654.14157,
2967.598,657.63604,
2964.687,651.91984,
2961.777,681.67873,
2958.866,709.19151,
2955.955,720.49227,
2953.045,751.27771,
2950.134,771.48142,
2947.224,777.35538,
2944.313,821.58298,
2941.403,855.59032,
2938.492,871.91838,
2935.581,864.40757,
2932.671,883.79777,
2929.760,904.82501,
2926.850,899.50207,
2923.939,922.79556,
2921.028,923.95738,
2918.118,953.47702,
2915.207,958.1027,
2912.297,962.81999,
2909.386,953.33484,
2906.476,973.84411,
2903.565,990.37649,
2900.654,971.38055,
2897.744,947.97558,
2894.833,947.62773,
2891.923,965.06741,
2889.012,956.21026,
2886.102,946.85473,
2883.191,947.87217,
2880.280,936.14293,
2877.370,905.45642,
2874.459,887.39711,
2871.549,929.33584,
2868.638,999.47083,
2865.727,991.06343,
2862.817,1015.0755,
2859.906,1005.2169,
2856.996,1016.3365,
2854.085,1028.396,
2851.175,991.20636,
2848.264,1005.2773,
2845.353,1006.875,
2842.443,995.6945,
2839.532,1002.9346,
2836.622,956.68946,
2833.711,954.1262,
2830.801,949.8897,
2827.890,941.83657,
2824.979,954.02303,
2822.069,958.96598,
2819.158,958.13375,
2816.248,944.62211,
2813.337,959.93718,
2810.427,974.79374,
2807.516,945.51547,
2804.605,982.35816,
2801.695,965.40133,
2798.784,964.24462,
2795.874,944.30508,
2792.963,950.58947,
2790.052,953.87521,
2787.142,944.09865,
2784.231,934.48836,
2781.321,941.2464,
2778.410,932.28997,
2775.500,949.72396,
2772.589,950.52867,
2769.678,966.44146,
2766.768,982.19344,
2763.857,949.56094,
2760.947,964.8813,
2758.036,974.34639,
2755.126,1004.4092,
2752.215,988.57514,
2749.304,1009.3426,
2746.394,1015.0867,
2743.483,1008.725,
2740.573,1000.2135,
2737.662,1014.301,
2734.751,1021.4135,
2731.841,1012.7926,
2728.930,1018.6504,
2726.020,1019.5434,
2723.109,1011.1226,
2720.199,1020.403,
2717.288,1033.0684,
2714.377,1045.5498,
2711.467,1054.6289,
2708.556,1066.9175,
2705.646,1061.9595,
2702.735,1084.3776,
2699.825,1078.0713,
2696.914,1081.0182,
2694.003,1049.0864,
2691.093,1074.893,
2688.182,1068.4194,
2685.272,1094.6005,
2682.361,1071.9929,
2679.450,1069.7844,
2676.540,1042.566,
2673.629,1077.2023,
2670.719,1072.167,
2667.808,1097.3673,
2664.898,1086.1736,
2661.987,1096.6751,
2659.076,1112.3491,
2656.166,1127.308,
2653.255,1114.6828,
2650.345,1135.4431,
2647.434,1142.6178,
2644.524,1147.2108,
2641.613,1161.6179,
2638.702,1172.7172,
2635.792,1153.875,
2632.881,1149.256,
2629.971,1142.385,
2627.060,1137.7084,
2624.149,1150.6562,
2621.239,1157.1057,
2618.328,1158.3836,
2615.418,1166.5568,
2612.507,1161.1161,
2609.597,1198.2023,
2606.686,1204.1481,
2603.775,1196.7163,
2600.865,1208.5201,
2597.954,1208.3603,
2595.044,1228.2939,
2592.133,1228.4421,
2589.223,1234.6339,
2586.312,1234.7293,
2583.401,1231.2436,
2580.491,1245.1057,
2577.580,1257.8255,
2574.670,1231.7493,
2571.759,1250.1327,
2568.848,1262.6375,
2565.938,1243.7319,
2563.027,1269.4114,
2560.117,1252.2581,
2557.206,1284.5577,
2554.296,1287.3533,
2551.385,1267.7011,
2548.474,1294.1345,
2545.564,1302.7484,
2542.653,1312.7173,
2539.743,1317.2703,
2536.832,1331.161,
2533.922,1330.3481,
2531.011,1354.1005,
2528.100,1347.4046,
2525.190,1329.5766,
2522.279,1319.8599,
2519.369,1345.9124,
2516.458,1348.2001,
2513.548,1345.3476,
2510.637,1351.3994,
2507.726,1334.8081,
2504.816,1337.7487,
2501.905,1348.5415,
2498.995,1344.5471,
2496.084,1370.2618,
2493.173,1373.8488,
2490.263,1364.3134,
2487.352,1380.7915,
2484.442,1398.2411,
2481.531,1410.5403,
2478.621,1421.6382,
2475.710,1428.944,
2472.799,1433.6822,
2469.889,1431.5398,
2466.978,1432.0504,
2464.068,1425.002,
2461.157,1432.645,
2458.247,1432.4632,
2455.336,1435.7889,
2452.425,1444.3326,
2449.515,1442.5361,
2446.604,1473.0547,
2443.694,1473.6892,
2440.783,1497.3074,
2437.872,1493.1457,
2434.962,1483.8566,
2432.051,1495.2944,
2429.141,1494.2454,
2426.230,1526.1148,
2423.320,1509.4462,
2420.409,1509.9328,
2417.498,1504.0548,
2414.588,1512.1449,
2411.677,1540.2296,
2408.767,1528.9459,
2405.856,1537.9631,
2402.946,1546.3576,
2400.035,1531.4994,
2397.124,1555.4365,
2394.214,1567.3362,
2391.303,1572.6928,
2388.393,1587.0169,
2385.482,1580.5359,
2382.571,1586.61,
2379.661,1568.8051,
2376.750,1603.5547,
2373.840,1639.053,
2370.929,1646.8533,
2368.019,1641.984,
2365.108,1637.7808,
2362.197,1656.4449,
2359.287,1672.0516,
2356.376,1692.8433,
2353.466,1694.512,
2350.555,1684.48,
2347.645,1671.4419,
2344.734,1699.1239,
2341.823,1701.0077,
2338.913,1720.2496,
2336.002,1737.7291,
2333.092,1739.1854,
2330.181,1737.875,
2327.270,1745.435,
2324.360,1753.6226,
2321.449,1761.3206,
2318.539,1754.8964,
2315.628,1755.1776,
2312.718,1799.038,
2309.807,1767.173,
2306.896,1784.623,
2303.986,1800.8427,
2301.075,1809.3006,
2298.165,1798.4807,
2295.254,1826.2503,
2292.344,1776.0866,
2289.433,1781.6164,
2286.522,1806.0089,
2283.612,1816.3954,
2280.701,1829.2606,
2277.791,1856.1574,
2274.880,1893.5089,
2271.969,1914.0067,
2269.059,1897.8205,
2266.148,1888.4159,
2263.238,1919.3615,
2260.327,1959.0817,
2257.417,1938.4333,
2254.506,1963.63,
2251.595,1966.1769,
2248.685,1972.0249,
2245.774,1998.6988,
2242.864,1983.5234,
2239.953,1991.9647,
2237.043,1991.6025,
2234.132,2010.7425,
2231.221,2032.8234,
2228.311,2051.6624,
2225.400,2094.1151,
2222.490,2080.872,
2219.579,2123.8569,
2216.669,2123.7462,
2213.758,2171.7482,
2210.847,2204.6382,
2207.937,2280.8619,
2205.026,2329.6534,
2202.116,2330.4917,
2199.205,2397.7239,
2196.294,2459.9009,
2193.384,2530.9526,
2190.473,2599.2119,
2187.563,2723.136,
2184.652,2791.7856,
2181.742,2901.2872,
2178.831,3004.0853,
2175.920,3168.039,
2173.010,3354.9084,
2170.099,3485.1315,
2167.189,3653.0231,
2164.278,3841.8087,
2161.368,4061.8694,
2158.457,4240.4191,
2155.546,4416.0069,
2152.636,4591.0928,
2149.725,4755.0494,
2146.815,4819.4735,
2143.904,4819.3806,
2140.993,4841.023,
2138.083,4866.0513,
2135.172,4832.1353,
2132.262,4776.4657,
2129.351,4636.5156,
2126.441,4518.1272,
2123.530,4331.3384,
2120.619,4083.9311,
2117.709,3888.5207,
2114.798,3651.9392,
2111.888,3405.0782,
2108.977,3224.2524,
2106.067,3035.7427,
2103.156,2899.0931,
2100.245,2768.8461,
2097.335,2715.2886,
2094.424,2640.727,
2091.514,2575.2271,
2088.603,2554.0594,
2085.692,2507.957,
2082.782,2451.2407,
2079.871,2459.0547,
2076.961,2397.46,
2074.050,2414.1356,
2071.140,2432.9214,
2068.229,2388.8125,
2065.318,2346.6027,
2062.408,2373.7774,
2059.497,2398.244,
2056.587,2371.5613,
2053.676,2364.875,
2050.766,2327.9542,
2047.855,2326.1883,
2044.944,2332.8846,
2042.034,2314.4589,
2039.123,2334.4541,
2036.213,2327.2017,
2033.302,2328.875,
2030.391,2355.9251,
2027.481,2359.7166,
2024.570,2392.1169,
2021.660,2367.8263,
2018.749,2312.7623,
2015.839,2380.4944,
2012.928,2360.3566,
2010.017,2394.5905,
2007.107,2370.7367,
2004.196,2389.625,
2001.286,2398.6665,
1998.375,2381.8701,
1995.465,2388.2473,
1992.554,2368.2105,
1989.643,2364.875,
1986.733,2355.3732,
1983.822,2380.1822,
1980.912,2362.5873,
1978.001,2341.0104,
1975.090,2353.8521,
1972.180,2391.8377,
1969.269,2402.4956,
1966.359,2392.7129,
1963.448,2403.9107,
1960.538,2379.2837,
1957.627,2380.0081,
1954.716,2394.4728,
1951.806,2411.6827,
1948.895,2385.3042,
1945.985,2365.777,
1943.074,2374.7792,
1940.164,2358.1252,
1937.253,2367.1273,
1934.342,2352.8408,
1931.432,2349.4523,
1928.521,2324.5486,
1925.611,2300.0634,
1922.700,2327.5325,
1919.790,2362.5741,
1916.879,2355.712,
1913.968,2353.8762,
1911.058,2378.9411,
1908.147,2380.0078,
1905.237,2378.6912,
1902.326,2363.0187,
1899.415,2351.7482,
1896.505,2356.5194,
1893.594,2364.7684,
1890.684,2389.679,
1887.773,2373.4787,
1884.863,2387.5606,
1881.952,2403.3625,
1879.041,2375.3719,
1876.131,2366.6894,
1873.220,2399.1273,
1870.310,2384.3818,
1867.399,2343.5147,
1864.489,2352.1991,
1861.578,2383.3806,
1858.667,2374.4498,
1855.757,2415.0456,
1852.846,2433.3007,
1849.936,2423.7328,
1847.025,2484.2351,
1844.114,2443.8279,
1841.204,2449.4659,
1838.293,2478.8617,
1835.383,2477.038,
1832.472,2478.9567,
1829.562,2468.6273,
