,PLBCD1~1,
Wavenumbers [1/cm],Intensity,
2225.400,757.2583,
2222.490,718.37568,
2219.579,767.93763,
2216.669,764.71184,
2213.758,776.01144,
2210.847,764.04725,
2207.937,763.62785,
2205.026,772.74971,
2202.116,776.03026,
2199.205,765.6373,
2196.294,773.68399,
2193.384,776.0395,
2190.473,803.2054,
2187.563,814.779,
2184.652,820.44878,
2181.742,816.09058,
2178.831,821.62165,
2175.920,867.05967,
2173.010,889.47506,
2170.099,901.88195,
2167.189,921.0442,
2164.278,967.61935,
2161.368,1012.0345,
2158.457,1045.3753,
2155.546,1069.2039,
2152.636,1118.7712,
2149.725,1138.2466,
2146.815,1183.215,
2143.904,1208.1626,
2140.993,1248.5277,
2138.083,1287.6801,
2135.172,1314.1282,
2132.262,1293.7007,
2129.351,1287.0984,
2126.441,1285.5655,
2123.530,1254.5816,
2120.619,1228.6037,
2117.709,1151.1031,
2114.798,1117.3191,
2111.888,1060.3391,
2108.977,1013.942,
2106.067,1030.5013,
2103.156,979.68088,
2100.245,967.70671,
2097.335,903.20549,
2094.424,925.45797,
2091.514,893.10753,
2088.603,890.42743,
2085.692,888.52322,
2082.782,877.73401,
2079.871,873.57147,
2076.961,876.55627,
2074.050,894.1197,
2071.140,879.01458,
2068.229,866.92708,
2065.318,870.83625,
2062.408,878.58358,
2059.497,887.34523,
2056.587,877.9478,
2053.676,868.21707,
2050.766,874.13415,
2047.855,872.52217,
2044.944,863.95193,
2042.034,863.01595,
2039.123,864.50758,
2036.213,847.38336,
2033.302,860.09776,
2030.391,870.83455,
2027.481,876.98169,
2024.570,869.32165,
2021.660,902.56222,
2018.749,869.00369,
2015.839,896.58005,
2012.928,875.03692,
2010.017,890.80212,
2007.107,880.05092,
2004.196,872.79763,
2001.286,879.58391,
1998.375,886.9252,
1995.465,885.60357,
1992.554,900.52633,
1989.643,853.51275,
1986.733,861.46228,
1983.822,888.22341,
1980.912,866.97774,
1978.001,859.9114,
1975.090,849.12558,
1972.180,886.26459,
1969.269,886.31312,
1966.359,881.26374,
1963.448,856.41577,
1960.538,894.87511,
1957.627,884.45896,
1954.716,856.4969,
1951.806,857.69388,
1948.895,875.36741,
1945.985,868.05229,
1943.074,862.9306,
1940.164,890.34601,
1937.253,863.6851,
1934.342,858.37406,
1931.432,845.04022,
1928.521,867.61011,
1925.611,859.75681,
1922.700,823.21547,
1919.790,831.39145,
1916.879,851.42476,
1913.968,857.74385,
1911.058,861.59986,
1908.147,884.16311,
1905.237,859.95588,
1902.326,850.15742,
1899.415,835.03049,
1896.505,834.70172,
1893.594,839.64945,
1890.684,859.26634,
1887.773,862.06029,
1884.863,877.14408,
1881.952,855.45529,
1879.041,860.14928,
1876.131,878.78006,
1873.220,858.21451,
1870.310,890.95173,
1867.399,852.42173,
1864.489,869.13944,
1861.578,882.48598,
1858.667,915.37577,
1855.757,883.39439,
1852.846,846.31406,
1849.936,892.21445,
1847.025,918.45315,
1844.114,921.0935,
1841.204,916.67308,
1838.293,921.26247,
1835.383,933.97048,
1832.472,918.72565,
1829.562,917.19167,
1826.651,945.16066,
1823.740,938.19059,
1820.830,935.83664,
1817.919,946.52252,
1815.009,943.6126,
1812.098,935.5689,
1809.188,920.68027,
1806.277,929.52868,
1803.366,970.05128,
1800.456,931.0582,
1797.545,971.30316,
1794.635,976.23399,
1791.724,969.28403,
1788.813,959.15951,
1785.903,973.74235,
1782.992,923.67697,
1780.082,907.79571,
1777.171,879.08405,
1774.261,867.87972,
1771.350,899.55077,
1768.439,986.45237,
1765.529,996.0241,
1762.618,1012.48,
1759.708,1008.489,
1756.797,1010.197,
1753.887,1033.0328,
1750.976,1033.4948,
1748.065,1041.8821,
1745.155,1031.5888,
1742.244,1046.5733,
1739.334,1043.3171,
1736.423,1060.4789,
1733.512,1081.6647,
1730.602,1108.1905,
1727.691,1082.7406,
1724.781,1051.5124,
1721.870,1071.5025,
1718.960,1093.3724,
1716.049,1071.5808,
1713.138,1089.8349,
1710.228,1075.4738,
1707.317,1074.5191,
1704.407,1115.1779,
1701.496,1128.8655,
1698.586,1122.3581,
1695.675,1115.2,
1692.764,1146.9385,
1689.854,1135.3563,
1686.943,1168.5696,
1684.033,1144.3957,
1681.122,1214.5265,
1678.211,1216.7405,
1675.301,1165.9073,
1672.390,1244.8068,
1669.480,1263.9826,
1666.569,1293.6641,
1663.659,1363.9334,
1660.748,1315.4249,
1657.837,1350.9966,
1654.927,1405.766,
1652.016,1366.1107,
1649.106,1421.5089,
1646.195,1452.0617,
1643.285,1464.1575,
1640.374,1439.8371,
1637.463,1492.1191,
1634.553,1567.3263,
1631.642,1606.0214,
1628.732,1631.0759,
1625.821,1685.7997,
1622.911,1761.3217,
1620.000,1841.7295,
1617.089,1929.9789,
1614.179,2087.2378,
1611.268,2231.3592,
1608.358,2368.2884,
1605.447,2458.665,
1602.536,2534.5734,
1599.626,2533.3105,
1596.715,2454.6963,
1593.805,2480.7346,
1590.894,2470.6593,
1587.984,2426.3115,
1585.073,2356.7896,
1582.162,2391.6687,
1579.252,2345.1055,
1576.341,2300.7075,
1573.431,2258.2903,
1570.520,2196.7724,
1567.610,2195.6522,
1564.699,2227.5761,
1561.788,2181.4125,
1558.878,2132.4878,
1555.967,2110.1794,
1553.057,2068.3883,
1550.146,2056.9682,
1547.235,2023.7885,
1544.325,1985.4394,
1541.414,1963.7886,
1538.504,1953.2638,
1535.593,1919.1791,
1532.683,1896.5318,
1529.772,1884.7192,
1526.861,1825.6219,
1523.951,1786.041,
1521.040,1768.2412,
1518.130,1761.9817,
1515.219,1782.7495,
1512.309,1790.5923,
1509.398,1762.9724,
1506.487,1770.9471,
1503.577,1743.9041,
1500.666,1690.2197,
1497.756,1718.9705,
1494.845,1730.4682,
1491.934,1651.7217,
1489.024,1643.0592,
1486.113,1655.731,
1483.203,1621.2233,
1480.292,1604.0223,
1477.382,1607.4077,
1474.471,1603.3783,
1471.560,1602.4757,
1468.650,1591.1343,
1465.739,1535.1513,
1462.829,1504.3627,
1459.918,1507.7224,
1457.008,1544.2427,
1454.097,1549.407,
1451.186,1498.7887,
1448.276,1488.0916,
1445.365,1490.7453,
1442.455,1471.4681,
1439.544,1562.3276,
1436.633,1522.4094,
1433.723,1492.8595,
1430.812,1529.6366,
1427.902,1539.4196,
1424.991,1483.5016,
1422.081,1458.8131,
1419.170,1428.236,
1416.259,1452.9123,
1413.349,1427.2746,
1410.438,1444.7412,
1407.528,1469.6248,
1404.617,1480.8599,
1401.707,1477.9207,
1398.796,1498.2394,
1395.885,1516.8287,
1392.975,1501.6875,
1390.064,1511.5224,
1387.154,1531.3382,
1384.243,1513.7519,
1381.332,1567.0619,
1378.422,1609.2186,
1375.511,1598.9141,
1372.601,1622.7108,
1369.690,1671.04,
1366.780,1681.9181,
1363.869,1698.7325,
1360.958,1740.4017,
1358.048,1808.5882,
1355.137,1883.2277,
1352.227,1914.7173,
1349.316,1932.0797,
1346.406,1985.3542,
1343.495,2034.203,
1340.584,2072.2502,
1337.674,2064.1804,
1334.763,2095.7845,
1331.853,2175.5264,
1328.942,2147.6188,
1326.032,2201.6591,
1323.121,2208.0813,
1320.210,2227.0595,
1317.300,2263.13,
1314.389,2276.6388,
1311.479,2291.9732,
1308.568,2316.3908,
1305.657,2351.7126,
1302.747,2466.1931,
1299.836,2554.2586,
1296.926,2553.0574,
1294.015,2602.7008,
1291.105,2634.6884,
1288.194,2740.9891,
1285.283,2788.2301,
1282.373,2831.5546,
1279.462,2890.1806,
1276.552,2949.1596,
1273.641,3009.2205,
1270.731,3061.0425,
1267.820,3082.475,
1264.909,3103.54,
1261.999,3016.7806,
1259.088,3072.4199,
1256.178,3008.9464,
1253.267,2960.1574,
1250.356,2914.8873,
1247.446,2859.4393,
1244.535,2808.4599,
1241.625,2730.2502,
1238.714,2641.3432,
1235.804,2616.6335,
1232.893,2597.4958,
1229.982,2613.8369,
1227.072,2527.8323,
1224.161,2480.5653,
1221.251,2441.4806,
1218.340,2413.9069,
1215.430,2397.593,
1212.519,2381.7893,
1209.608,2356.6381,
1206.698,2335.8139,
1203.787,2348.6445,
1200.877,2370.8087,
1197.966,2387.8927,
1195.055,2485.1671,
1192.145,2556.5981,
1189.234,2643.522,
1186.324,2658.3842,
1183.413,2660.0647,
1180.503,2669.5617,
1177.592,2633.1034,
1174.681,2605.2055,
1171.771,2518.0082,
1168.860,2485.857,
1165.950,2518.2267,
1163.039,2478.5602,
1160.129,2480.1645,
1157.218,2481.8087,
1154.307,2459.7005,
1151.397,2454.5277,
1148.486,2469.2543,
1145.576,2441.5528,
1142.665,2390.9418,
1139.754,2425.8042,
1136.844,2406.0376,
1133.933,2348.0025,
1131.023,2325.1919,
1128.112,2325.3944,
1125.202,2315.4456,
1122.291,2346.1341,
1119.380,2369.4815,
1116.470,2342.1231,
1113.559,2395.1972,
1110.649,2429.4308,
1107.738,2429.6411,
1104.828,2433.8169,
1101.917,2450.4541,
1099.006,2449.5747,
1096.096,2448.8038,
1093.185,2449.6818,
1090.275,2440.848,
1087.364,2438.75,
1084.453,2423.001,
1081.543,2422.582,
1078.632,2439.6304,
1075.722,2450.8963,
1072.811,2477.034,
1069.901,2410.6662,
1066.990,2484.1581,
1064.079,2506.1526,
1061.169,2524.8713,
1058.258,2551.4546,
1055.348,2575.511,
1052.437,2594.3738,
1049.527,2608.5892,
1046.616,2630.3099,
1043.705,2670.5175,
1040.795,2645.3552,
1037.884,2631.8303,
1034.974,2652.1572,
1032.063,2671.6501,
1029.153,2663.2041,
1026.242,2675.3135,
1023.331,2686.5826,
1020.421,2712.4514,
1017.510,2728.3528,
1014.600,2734.0188,
1011.689,2739.741,
1008.778,2752.389,
1005.868,2768.3369,
1002.957,2833.7238,
1000.047,2968.2381,
997.136,3069.3713,
994.226,3122.919,
991.315,3123.7871,
988.404,3072.6979,
985.494,3020.1362,
982.583,2992.7264,
979.673,2977.7753,
976.762,2967.879,
973.852,2969.0541,
970.941,2982.5668,
968.030,2994.3916,
965.120,2969.7214,
962.209,2962.901,
959.299,2990.7882,
956.388,3019.5489,
953.477,3006.0332,
950.567,2985.004,
947.656,3029.962,
944.746,3001.0771,
941.835,3028.0935,
938.925,3075.5491,
936.014,3058.3072,
933.103,3015.1005,
930.193,3001.9534,
927.282,2989.5126,
924.372,2966.6812,
921.461,2919.566,
918.551,2877.0271,
915.640,2840.7523,
912.729,2825.5323,
909.819,2844.6371,
906.908,2828.631,
903.998,2834.9083,
901.087,2839.296,
898.176,2884.6519,
895.266,2935.6066,
892.355,2946.6189,
889.445,2972.6361,
886.534,2987.7777,
883.624,2999.4968,
880.713,3039.9853,
877.802,3003.1873,
874.892,2848.8946,
871.981,2759.1323,
869.071,2690.6284,
866.160,2753.9556,
863.250,2871.0982,
860.339,2955.3414,
857.428,2964.8194,
854.518,2938.065,
851.607,2879.8201,
848.697,2816.7881,
