,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_0E-1mgL_16h_785nm_133mW_3s_1acc_3_RamanShift__3__100,
Raman shift [1/cm],Intensity,
3014.167,0.125,
3011.256,0.024978527,
3008.346,15.509525,
3005.435,15.354681,
3002.525,2.9924496,
2999.614,20.362664,
2996.704,18.399228,
2993.793,12.36348,
2990.882,22.819647,
2987.972,18.099775,
2985.061,15.341752,
2982.151,14.602308,
2979.240,22.60693,
2976.329,24.865444,
2973.419,26.46364,
2970.508,32.074931,
2967.598,35.551506,
2964.687,31.288722,
2961.777,31.877063,
2958.866,25.457838,
2955.955,23.848454,
2953.045,26.657431,
2950.134,36.498213,
2947.224,33.039594,
2944.313,25.630698,
2941.403,23.601277,
2938.492,36.2849,
2935.581,29.334846,
2932.671,31.725866,
2929.760,31.313454,
2926.850,38.497931,
2923.939,30.321233,
2921.028,38.501424,
2918.118,40.025505,
2915.207,45.30223,
2912.297,48.116537,
2909.386,51.694353,
2906.476,36.706464,
2903.565,33.802034,
2900.654,52.971289,
2897.744,43.162717,
2894.833,44.063183,
2891.923,29.772395,
2889.012,34.29263,
2886.102,34.145267,
2883.191,35.125944,
2880.280,13.125,
2877.370,17.049406,
2874.459,-7.7617326,
2871.549,16.269912,
2868.638,40.489937,
2865.727,42.782694,
2862.817,45.039436,
2859.906,38.01104,
2856.996,35.631793,
2854.085,33.244746,
2851.175,49.028633,
2848.264,40.556334,
2845.353,46.362237,
2842.443,47.941015,
2839.532,41.110032,
2836.622,40.063152,
2833.711,43.065357,
2830.801,46.628675,
2827.890,38.292842,
2824.979,48.618969,
2822.069,53.920302,
2819.158,35.744946,
2816.248,33.63079,
2813.337,53.76403,
2810.427,37.389468,
2807.516,34.491875,
2804.605,51.855761,
2801.695,43.651325,
2798.784,54.533615,
2795.874,45.409959,
2792.963,49.339362,
2790.052,37.128003,
2787.142,42.440692,
2784.231,27.157615,
2781.321,57.987751,
2778.410,35.254425,
2775.500,42.763968,
2772.589,42.393355,
2769.678,32.374131,
2766.768,35.313348,
2763.857,44.125,
2760.947,35.068262,
2758.036,40.526361,
2755.126,43.167738,
2752.215,51.338577,
2749.304,48.869602,
2746.394,44.818529,
2743.483,50.575002,
2740.573,39.478936,
2737.662,44.582097,
2734.751,48.100803,
2731.841,33.421699,
2728.930,43.349571,
2726.020,46.905671,
2723.109,42.918917,
2720.199,48.028228,
2717.288,30.40602,
2714.377,39.445662,
2711.467,37.092036,
2708.556,49.816368,
2705.646,46.519346,
2702.735,43.302843,
2699.825,49.723164,
2696.914,37.029535,
2694.003,54.684356,
2691.093,42.143045,
2688.182,55.525742,
2685.272,34.443634,
2682.361,43.248363,
2679.450,54.664081,
2676.540,52.820139,
2673.629,42.770714,
2670.719,50.840341,
2667.808,39.659991,
2664.898,46.384727,
2661.987,47.691678,
2659.076,41.142246,
2656.166,32.834943,
2653.255,40.937927,
2650.345,51.613204,
2647.434,54.096134,
2644.524,49.302486,
2641.613,44.724621,
2638.702,55.840941,
2635.792,43.843843,
2632.881,45.434485,
2629.971,48.869977,
2627.060,52.290315,
2624.149,58.531256,
2621.239,53.125,
2618.328,49.082613,
2615.418,48.456819,
2612.507,46.022245,
2609.597,41.400449,
2606.686,48.761541,
2603.775,47.92659,
2600.865,46.244432,
2597.954,52.268742,
2595.044,54.133857,
2592.133,46.010289,
2589.223,74.221871,
2586.312,49.637557,
2583.401,54.81844,
2580.491,53.769243,
2577.580,62.113447,
2574.670,49.590255,
2571.759,42.281674,
2568.848,43.185748,
2565.938,49.315463,
2563.027,52.22272,
2560.117,56.667062,
2557.206,68.069648,
2554.296,59.438501,
2551.385,56.563004,
2548.474,54.31013,
2545.564,45.378244,
2542.653,44.051173,
2539.743,53.544903,
2536.832,51.818454,
2533.922,44.377308,
2531.011,59.025093,
2528.100,51.860179,
2525.190,50.496721,
2522.279,57.65602,
2519.369,51.747422,
2516.458,52.897664,
2513.548,64.115671,
2510.637,58.80131,
2507.726,58.507872,
2504.816,43.00099,
2501.905,56.429269,
2498.995,61.229216,
2496.084,50.804464,
2493.173,50.282615,
2490.263,69.450466,
2487.352,67.291933,
2484.442,65.998678,
2481.531,57.864314,
2478.621,55.982797,
2475.710,62.101997,
2472.799,61.344706,
2469.889,61.338283,
2466.978,54.846643,
2464.068,57.998026,
2461.157,52.744886,
2458.247,65.727867,
2455.336,59.103476,
2452.425,60.125,
2449.515,56.59694,
2446.604,63.247147,
2443.694,60.194912,
2440.783,57.457207,
2437.872,58.796816,
2434.962,54.853104,
2432.051,67.149673,
2429.141,59.719199,
2426.230,64.603471,
2423.320,64.025141,
2420.409,58.503198,
2417.498,54.338477,
2414.588,75.649608,
2411.677,72.698733,
2408.767,83.065947,
2405.856,65.310729,
2402.946,55.964143,
2400.035,67.509988,
2397.124,67.012701,
2394.214,67.098199,
2391.303,70.196816,
2388.393,65.899406,
2385.482,63.169062,
2382.571,64.795936,
2379.661,73.17133,
2376.750,78.548717,
2373.840,63.065657,
2370.929,62.11417,
2368.019,68.161335,
2365.108,66.496728,
2362.197,70.722263,
2359.287,71.923329,
2356.376,74.121478,
2353.466,70.943511,
2350.555,73.235256,
2347.645,78.204478,
2344.734,71.760939,
2341.823,79.975751,
2338.913,64.190678,
2336.002,70.23743,
2333.092,69.308958,
2330.181,75.42421,
2327.270,63.005085,
2324.360,49.157971,
2321.449,73.186219,
2318.539,73.72134,
2315.628,78.822442,
2312.718,79.125,
2309.807,85.305239,
2306.896,74.628913,
2303.986,72.20938,
2301.075,65.273943,
2298.165,68.115459,
2295.254,87.715682,
2292.344,72.755694,
2289.433,74.109544,
2286.522,73.718721,
2283.612,77.125,
2280.701,83.183284,
2277.791,69.645973,
2274.880,82.552992,
2271.969,85.285494,
2269.059,84.890665,
2266.148,78.018156,
2263.238,69.827707,
2260.327,87.056025,
2257.417,88.022777,
2254.506,93.31588,
2251.595,87.557755,
2248.685,71.603891,
2245.774,60.817417,
2242.864,92.125,
2239.953,88.938852,
2237.043,78.125,
2234.132,80.327587,
2231.221,81.414402,
2228.311,81.994844,
2225.400,90.787256,
2222.490,79.125,
2219.579,83.227848,
2216.669,94.608307,
2213.758,81.817791,
2210.847,92.470062,
2207.937,100.00285,
2205.026,104.34716,
2202.116,109.5337,
2199.205,110.46311,
2196.294,110.48896,
2193.384,100.94147,
2190.473,109.42665,
2187.563,116.12983,
2184.652,119.38418,
2181.742,129.17009,
2178.831,126.08222,
2175.920,121.79895,
2173.010,130.35119,
2170.099,143.05754,
2167.189,135.16805,
2164.278,136.42952,
2161.368,120.26651,
2158.457,144.31236,
2155.546,137.44327,
2152.636,141.69945,
2149.725,148.28607,
2146.815,153.95816,
2143.904,173.82018,
2140.993,165.61702,
2138.083,170.55968,
2135.172,173.50325,
2132.262,171.22623,
2129.351,155.08358,
2126.441,165.49397,
2123.530,149.99031,
2120.619,139.50109,
2117.709,140.74175,
2114.798,124.39812,
2111.888,123.43784,
2108.977,119.30381,
2106.067,105.19907,
2103.156,113.32253,
2100.245,91.135665,
2097.335,104.63286,
2094.424,79.603699,
2091.514,80.05241,
2088.603,78.125,
2085.692,101.76798,
2082.782,100.45443,
2079.871,77.517071,
2076.961,82.543799,
2074.050,85.688636,
2071.140,78.251347,
2068.229,81.403652,
2065.318,80.631758,
2062.408,81.276295,
2059.497,75.934531,
2056.587,87.63649,
2053.676,79.692365,
2050.766,73.432923,
2047.855,75.181958,
2044.944,77.258012,
2042.034,81.442964,
2039.123,90.084596,
2036.213,69.762708,
2033.302,56.190109,
2030.391,57.616648,
2027.481,63.307851,
2024.570,77.081855,
2021.660,77.243259,
2018.749,82.238971,
2015.839,83.914369,
2012.928,76.584732,
2010.017,74.229231,
2007.107,65.287615,
2004.196,55.422589,
2001.286,65.252175,
1998.375,70.862202,
1995.465,70.484821,
1992.554,52.719277,
1989.643,73.295471,
1986.733,65.803947,
1983.822,57.585857,
1980.912,40.986294,
1978.001,38.065632,
1975.090,46.500579,
1972.180,42.609063,
1969.269,52.467035,
1966.359,69.179029,
1963.448,49.131598,
1960.538,49.428587,
1957.627,32.400527,
1954.716,45.665371,
1951.806,33.96309,
1948.895,67.339602,
1945.985,48.997547,
1943.074,26.80763,
1940.164,28.278782,
1937.253,37.759472,
1934.342,45.526609,
1931.432,32.970426,
1928.521,47.061099,
1925.611,25.573358,
1922.700,25.205108,
1919.790,42.766453,
1916.879,22.798987,
1913.968,41.100408,
1911.058,-3.3644778,
1908.147,31.062217,
1905.237,22.735285,
1902.326,28.464235,
1899.415,47.331078,
1896.505,20.733429,
1893.594,24.6677,
1890.684,19.281935,
1887.773,29.340008,
1884.863,44.762813,
1881.952,17.92277,
1879.041,22.767787,
1876.131,32.196894,
1873.220,25.279835,
1870.310,12.057757,
1867.399,37.693173,
1864.489,31.268243,
1861.578,10.031601,
1858.667,13.526168,
1855.757,38.12858,
1852.846,34.878844,
1849.936,35.61349,
1847.025,32.125,
1844.114,23.273205,
1841.204,19.145977,
1838.293,15.649114,
1835.383,15.333986,
1832.472,19.415435,
1829.562,35.205474,
1826.651,6.0983557,
1823.740,14.059916,
1820.830,31.069943,
1817.919,9.5080817,
1815.009,27.243316,
1812.098,32.920274,
1809.188,10.613425,
1806.277,46.283989,
1803.366,57.426278,
1800.456,15.300642,
1797.545,5.7346947,
1794.635,42.739868,
1791.724,-2.1567129,
1788.813,52.519086,
1785.903,37.876912,
1782.992,39.126456,
1780.082,14.246462,
1777.171,13.785056,
1774.261,0.075220876,
1771.350,16.750499,
1768.439,12.699409,
1765.529,19.853727,
1762.618,28.158748,
1759.708,16.396632,
1756.797,-7.8598491,
1753.887,17.922373,
1750.976,17.052366,
1748.065,8.4137839,
1745.155,19.957231,
1742.244,11.530814,
1739.334,36.25205,
1736.423,33.168014,
1733.512,14.482691,
1730.602,23.589305,
1727.691,18.913074,
1724.781,17.698153,
1721.870,1.2249013,
1718.960,24.258661,
1716.049,6.6337081,
1713.138,13.239946,
1710.228,24.698267,
1707.317,31.432428,
1704.407,50.991341,
1701.496,4.8129671,
1698.586,21.376642,
1695.675,6.2822449,
1692.764,10.805331,
1689.854,62.786447,
1686.943,54.495982,
1684.033,81.429585,
1681.122,45.75372,
1678.211,65.925135,
1675.301,82.075665,
1672.390,-10.698546,
1669.480,48.20522,
1666.569,58.112304,
1663.659,57.761962,
1660.748,94.890967,
1657.837,32.474916,
1654.927,48.289004,
1652.016,55.610981,
1649.106,76.32457,
1646.195,124.46067,
1643.285,137.85156,
1640.374,124.51525,
1637.463,49.593378,
1634.553,75.597892,
1631.642,107.3313,
1628.732,126.33239,
1625.821,161.12042,
1622.911,154.16445,
1620.000,163.99901,
1617.089,198.42848,
1614.179,249.65855,
1611.268,226.09163,
1608.358,239.42265,
1605.447,252.38224,
1602.536,225.16839,
1599.626,238.76386,
1596.715,287.32026,
1593.805,240.25375,
1590.894,247.33505,
1587.984,249.125,
1585.073,226.15295,
1582.162,241.32738,
1579.252,223.84917,
1576.341,202.30267,
1573.431,217.70435,
1570.520,223.125,
1567.610,211.20325,
1564.699,204.22488,
1561.788,219.32203,
1558.878,195.40066,
1555.967,167.91171,
1553.057,149.64236,
1550.146,134.52138,
1547.235,122.63141,
1544.325,127.73904,
1541.414,141.06563,
1538.504,134.30754,
1535.593,117.28203,
1532.683,115.25955,
1529.772,126.16241,
1526.861,126.88309,
1523.951,120.97037,
1521.040,126.727,
1518.130,113.40057,
1515.219,103.36431,
1512.309,120.68354,
1509.398,96.613668,
1506.487,86.463245,
1503.577,119.23969,
1500.666,137.86453,
1497.756,96.048719,
1494.845,96.805919,
1491.934,136.95492,
1489.024,84.980304,
1486.113,105.37817,
1483.203,56.499443,
1480.292,73.883322,
1477.382,96.714708,
1474.471,25.154482,
1471.560,35.505641,
1468.650,25.576968,
1465.739,38.182645,
1462.829,28.445939,
1459.918,29.147237,
1457.008,49.232783,
1454.097,36.714361,
1451.186,32.422871,
1448.276,42.997259,
1445.365,10.6953,
1442.455,13.524177,
1439.544,51.51644,
1436.633,31.950224,
1433.723,26.264713,
1430.812,-4.771931,
1427.902,33.471058,
1424.991,5.985947,
1422.081,-26.069221,
1419.170,-7.2734914,
1416.259,9.0860088,
1413.349,-17.329401,
1410.438,-42.969932,
1407.528,-39.575133,
1404.617,-25.655205,
1401.707,-15.635476,
1398.796,-27.923909,
1395.885,-33.059932,
1392.975,-23.021173,
1390.064,-46.115658,
1387.154,-69.613572,
1384.243,-95.843109,
1381.332,-164.64565,
1378.422,-176.12161,
1375.511,-122.7251,
1372.601,-73.031772,
1369.690,-62.874443,
1366.780,19.704622,
1363.869,19.330689,
1360.958,2.5421883,
1358.048,-1.2816882,
1355.137,36.974251,
1352.227,50.53664,
1349.316,54.898343,
1346.406,88.310456,
1343.495,71.346279,
1340.584,100.76753,
1337.674,121.589,
1334.763,118.21884,
1331.853,146.96301,
1328.942,133.00411,
1326.032,134.38748,
1323.121,158.83586,
1320.210,162.46355,
1317.300,148.91059,
1314.389,149.34738,
1311.479,136.59117,
1308.568,113.35772,
1305.657,123.62032,
1302.747,138.56223,
1299.836,157.03905,
1296.926,193.62052,
1294.015,225.79684,
1291.105,191.02279,
1288.194,241.23827,
1285.283,259.42102,
1282.373,268.08591,
1279.462,267.73293,
1276.552,290.14086,
1273.641,312.91248,
1270.731,292.89216,
1267.820,276.03335,
1264.909,284.94896,
1261.999,271.52172,
1259.088,337.19444,
1256.178,313.71839,
1253.267,300.68585,
1250.356,291.35246,
1247.446,245.88065,
1244.535,248.83027,
1241.625,259.92136,
1238.714,225.87955,
1235.804,224.87256,
1232.893,231.87384,
1229.982,235.25451,
1227.072,180.03047,
1224.161,235.80077,
1221.251,189.79779,
1218.340,146.80377,
1215.430,139.63035,
1212.519,144.57776,
1209.608,149.73188,
1206.698,167.82737,
1203.787,194.72299,
1200.877,188.1837,
1197.966,205.26772,
1195.055,215.51073,
1192.145,241.16799,
1189.234,245.23225,
1186.324,249.12558,
1183.413,267.37375,
1180.503,279.40342,
1177.592,266.17542,
1174.681,254.1387,
1171.771,260.54805,
1168.860,235.54154,
1165.950,229.09355,
