,PL560F~1,
Wavenumbers [1/cm],Intensity,
2173.010,703.42687,
2170.099,715.0997,
2167.189,780.48565,
2164.278,783.34221,
2161.368,826.06967,
2158.457,865.88902,
2155.546,888.99907,
2152.636,923.01058,
2149.725,980.60063,
2146.815,994.36652,
2143.904,1032.6041,
2140.993,1052.2777,
2138.083,1069.5457,
2135.172,1064.3237,
2132.262,1079.2412,
2129.351,1065.6827,
2126.441,1067.801,
2123.530,1018.1745,
2120.619,983.99565,
2117.709,940.79831,
2114.798,899.4075,
2111.888,845.33869,
2108.977,804.87747,
2106.067,776.78218,
2103.156,742.34528,
2100.245,720.49498,
2097.335,711.41623,
2094.424,702.30325,
2091.514,697.42741,
2088.603,678.41251,
2085.692,677.82331,
2082.782,671.41578,
2079.871,672.53617,
2076.961,678.24169,
2074.050,661.4697,
2071.140,676.47733,
2068.229,657.13281,
2065.318,669.53776,
2062.408,670.68155,
2059.497,676.53574,
2056.587,677.15135,
2053.676,645.55165,
2050.766,655.19133,
2047.855,648.67087,
2044.944,652.77084,
2042.034,644.58097,
2039.123,657.56061,
2036.213,661.28888,
2033.302,656.32612,
2030.391,658.3643,
2027.481,641.15872,
2024.570,639.55701,
2021.660,641.44087,
2018.749,660.9179,
2015.839,671.63451,
2012.928,661.23657,
2010.017,632.91477,
2007.107,647.057,
2004.196,651.27385,
2001.286,657.06185,
1998.375,647.93307,
1995.465,665.16518,
1992.554,621.41807,
1989.643,640.56678,
1986.733,628.69737,
1983.822,616.33383,
1980.912,623.85614,
1978.001,614.3219,
1975.090,622.09389,
1972.180,616.77661,
1969.269,619.82188,
1966.359,629.79731,
1963.448,634.15258,
1960.538,639.55755,
1957.627,634.25851,
1954.716,639.32764,
1951.806,649.25805,
1948.895,621.54662,
1945.985,601.44445,
1943.074,619.80641,
1940.164,604.61554,
1937.253,607.16978,
1934.342,596.52567,
1931.432,581.6041,
1928.521,595.12522,
1925.611,594.36379,
1922.700,595.62293,
1919.790,608.69641,
1916.879,602.12775,
1913.968,561.54918,
1911.058,584.19972,
1908.147,632.11602,
1905.237,596.35289,
1902.326,557.47928,
1899.415,546.23051,
1896.505,560.52988,
1893.594,528.13719,
1890.684,564.7089,
1887.773,595.30186,
1884.863,585.75968,
1881.952,570.64262,
1879.041,612.4024,
1876.131,627.5,
1873.220,556.02183,
1870.310,582.62998,
1867.399,608.13215,
1864.489,617.90332,
1861.578,583.16997,
1858.667,622.77848,
1855.757,591.29356,
1852.846,596.48975,
1849.936,606.8243,
1847.025,642.03042,
1844.114,623.4176,
1841.204,616.48251,
1838.293,632.00249,
1835.383,617.38401,
1832.472,627.84957,
1829.562,631.64036,
1826.651,656.26998,
1823.740,658.1245,
1820.830,641.92509,
1817.919,627.09873,
1815.009,663.88676,
1812.098,666.90945,
1809.188,658.99614,
1806.277,668.27868,
1803.366,647.45009,
1800.456,645.81897,
1797.545,667.85464,
1794.635,666.53108,
1791.724,690.76227,
1788.813,645.7054,
1785.903,662.5,
1782.992,663.03651,
1780.082,650.34066,
1777.171,623.1697,
1774.261,619.5347,
1771.350,612.10026,
1768.439,654.54452,
1765.529,686.6843,
1762.618,710.23002,
1759.708,717.98913,
1756.797,704.59091,
1753.887,731.86151,
1750.976,719.63418,
1748.065,713.23425,
1745.155,713.44849,
1742.244,708.81068,
1739.334,696.12118,
1736.423,698.68503,
1733.512,690.13005,
1730.602,695.22422,
1727.691,724.60046,
1724.781,748.23153,
1721.870,750.89047,
1718.960,752.9667,
1716.049,745.11025,
1713.138,773.42485,
1710.228,741.07723,
1707.317,779.72857,
1704.407,771.12564,
1701.496,750.3575,
1698.586,781.76344,
1695.675,793.85709,
1692.764,808.70083,
1689.854,789.40944,
1686.943,796.23019,
1684.033,825.75491,
1681.122,828.46602,
1678.211,868.11931,
1675.301,860.52467,
1672.390,863.44018,
1669.480,843.85297,
1666.569,887.46191,
1663.659,885.28395,
1660.748,932.88564,
1657.837,952.67496,
1654.927,960.336,
1652.016,954.39907,
1649.106,990.86722,
1646.195,1005.1643,
1643.285,991.59115,
1640.374,997.06794,
1637.463,1070.518,
1634.553,1073.1847,
1631.642,1185.8149,
1628.732,1214.4881,
1625.821,1212.5589,
1622.911,1301.9928,
1620.000,1370.6307,
1617.089,1468.5298,
1614.179,1597.8057,
1611.268,1685.2655,
1608.358,1732.3461,
1605.447,1776.9289,
1602.536,1844.7321,
1599.626,1886.2973,
1596.715,1881.3316,
1593.805,1817.8968,
1590.894,1828.9941,
1587.984,1802.919,
1585.073,1761.9149,
1582.162,1763.8489,
1579.252,1744.2242,
1576.341,1717.8713,
1573.431,1703.8851,
