,PLDA7E~1,
Wavenumbers [1/cm],Intensity,
1978.001,363.42302,
1975.090,395.39847,
1972.180,386.82847,
1969.269,384.92531,
1966.359,383.21612,
1963.448,375.34742,
1960.538,388.60717,
1957.627,374.16717,
1954.716,389.48292,
1951.806,399.19227,
1948.895,418.81179,
1945.985,392.50653,
1943.074,380.32833,
1940.164,395.06733,
1937.253,395.70872,
1934.342,386.43583,
1931.432,386.50473,
1928.521,407.58549,
1925.611,410.23383,
1922.700,405.62569,
1919.790,413.61262,
1916.879,394.53449,
1913.968,419.9668,
1911.058,415.66967,
1908.147,414.71974,
1905.237,432.64702,
1902.326,397.24298,
1899.415,373.60854,
1896.505,379.04215,
1893.594,385.0854,
1890.684,417.16979,
1887.773,433.53457,
1884.863,440.5672,
1881.952,431.35265,
1879.041,416.67861,
1876.131,415.62876,
1873.220,411.64158,
1870.310,444.41698,
1867.399,393.86365,
1864.489,437.87064,
1861.578,412.14819,
1858.667,437.10776,
1855.757,452.03222,
1852.846,424.79485,
1849.936,445.86087,
1847.025,436.46958,
1844.114,434.96469,
1841.204,430.51049,
1838.293,442.98836,
1835.383,445.0815,
1832.472,453.45391,
1829.562,471.58203,
1826.651,453.75157,
1823.740,436.44826,
1820.830,454.83483,
1817.919,468.32939,
1815.009,433.18194,
1812.098,471.88186,
1809.188,450.7365,
1806.277,467.57949,
1803.366,456.28282,
1800.456,473.71444,
1797.545,484.4327,
1794.635,464.61393,
1791.724,436.15532,
1788.813,442.20026,
1785.903,443.93798,
1782.992,440.83008,
1780.082,415.26339,
1777.171,376.32333,
1774.261,367.47057,
1771.350,417.7915,
1768.439,419.85118,
1765.529,443.73155,
1762.618,491.29129,
1759.708,518.61962,
1756.797,498.7197,
1753.887,499.00146,
1750.976,494.77226,
1748.065,491.67434,
1745.155,474.0905,
1742.244,499.06606,
1739.334,503.93648,
1736.423,506.89158,
1733.512,515.36587,
1730.602,514.00793,
1727.691,518.37362,
1724.781,549.10333,
1721.870,522.39504,
1718.960,508.24438,
1716.049,553.98258,
1713.138,542.4801,
1710.228,502.44753,
1707.317,550.95886,
1704.407,541.82885,
1701.496,543.64619,
1698.586,559.70774,
1695.675,575.97134,
1692.764,608.24182,
1689.854,610.95669,
1686.943,597.47216,
1684.033,602.85098,
1681.122,577.4418,
1678.211,604.73351,
1675.301,610.9815,
1672.390,622.01196,
1669.480,625.93582,
1666.569,618.68558,
1663.659,672.70229,
1660.748,713.63099,
1657.837,645.13723,
1654.927,696.39829,
1652.016,713,
1649.106,713.12241,
1646.195,717.4965,
1643.285,697.91146,
1640.374,736.85366,
1637.463,731.13492,
1634.553,792.80789,
1631.642,780.11944,
1628.732,791.02963,
1625.821,796.04711,
1622.911,867.59427,
1620.000,859.11339,
1617.089,904.08457,
1614.179,907.9154,
1611.268,998.50528,
1608.358,1028.689,
1605.447,1046.0287,
1602.536,1069.3653,
1599.626,1072.8399,
1596.715,1048.4948,
1593.805,1051.366,
1590.894,1060.8067,
1587.984,1048.1425,
1585.073,1027.282,
1582.162,1013.1465,
1579.252,1004.4536,
1576.341,1043.0532,
1573.431,1020.1067,
1570.520,1031.6382,
1567.610,1048.4315,
1564.699,1015.7485,
1561.788,967.49329,
1558.878,961.19316,
1555.967,972.26731,
1553.057,982.37925,
1550.146,948.51281,
1547.235,907.88053,
1544.325,895.43447,
1541.414,905.80114,
1538.504,901.64113,
1535.593,894.35606,
1532.683,894.02787,
1529.772,883.55005,
1526.861,889.05821,
1523.951,880.14588,
1521.040,841.71285,
1518.130,849.6738,
1515.219,856.92023,
1512.309,852.96398,
1509.398,860.48867,
1506.487,848.34623,
1503.577,859.03586,
1500.666,807.33577,
1497.756,810.76281,
1494.845,822.24122,
1491.934,875.86457,
1489.024,834.47737,
1486.113,825.58228,
1483.203,825.88817,
1480.292,812.42382,
1477.382,792.21854,
1474.471,797.97593,
1471.560,809.70799,
1468.650,817.09964,
1465.739,824.76441,
1462.829,770.70553,
1459.918,770.12187,
1457.008,786.27674,
1454.097,791.41064,
1451.186,809.42553,
1448.276,807.7966,
1445.365,825.32306,
1442.455,857.02606,
1439.544,869.48221,
1436.633,808.46673,
1433.723,844.23416,
1430.812,876.86257,
1427.902,824.39116,
1424.991,798.80157,
1422.081,834.69908,
1419.170,793.93292,
1416.259,830.7434,
1413.349,844.77621,
1410.438,839.0022,
1407.528,846.94361,
1404.617,859.45841,
1401.707,865.58982,
1398.796,889.18526,
1395.885,894.5707,
1392.975,867,
1390.064,870.53171,
1387.154,875.02777,
1384.243,861.31022,
1381.332,858.44266,
1378.422,862.53136,
1375.511,872.83595,
1372.601,930.13736,
1369.690,910.99777,
1366.780,954.52211,
1363.869,942.29978,
1360.958,929.69892,
1358.048,969.53183,
