,PLA502~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.125,
3011.256,-2.4749678,
3008.346,101.06184,
3005.435,133.64532,
3002.525,119.85487,
2999.614,141.91528,
2996.704,143.29047,
2993.793,155.39804,
2990.882,157.64589,
2987.972,142.88004,
2985.061,152.74201,
2982.151,162.11365,
2979.240,169.82462,
2976.329,180.89138,
2973.419,183.24419,
2970.508,183.64167,
2967.598,176.59187,
2964.687,189.91984,
2961.777,184.34504,
2958.866,194.19596,
2955.955,213.91039,
2953.045,215.05845,
2950.134,215.26858,
2947.224,223.73266,
2944.313,228.76247,
2941.403,242.61314,
2938.492,251.05659,
2935.581,251.26767,
2932.671,256.11102,
2929.760,247.10194,
2926.850,262.56147,
2923.939,261.11331,
2921.028,266.875,
2918.118,250.7755,
2915.207,261.34976,
2912.297,271.84961,
2909.386,260.0356,
2906.476,277.73451,
2903.565,263.76166,
2900.654,281.27438,
2897.744,268.86243,
2894.833,260.45246,
2891.923,259.6058,
2889.012,246.62067,
2886.102,250.00204,
2883.191,223.89294,
2880.280,217.119,
2877.370,148.12511,
2874.459,123.76794,
2871.549,155.88885,
2868.638,258.06258,
2865.727,261.1711,
2862.817,266.11699,
2859.906,280.64708,
2856.996,272.40444,
2854.085,281.71957,
2851.175,271.23341,
2848.264,288.14966,
2845.353,277.28477,
2842.443,291.48266,
2839.532,280.21831,
2836.622,268.96484,
2833.711,271.76355,
2830.801,287.86765,
2827.890,287.06206,
2824.979,294.50493,
2822.069,305.92049,
2819.158,303.41408,
2816.248,290.63368,
2813.337,308.40062,
2810.427,304.52238,
2807.516,299.4075,
2804.605,288.875,
2801.695,293.40133,
2798.784,308.914,
2795.874,297.59004,
2792.963,303.30372,
2790.052,316.87286,
2787.142,298.03285,
2784.231,298.55201,
2781.321,284.44074,
2778.410,295.36484,
2775.500,306.53362,
2772.589,291.60513,
2769.678,296.26401,
2766.768,294.20701,
2763.857,306.50699,
2760.947,307.86239,
2758.036,314.34639,
2755.126,299.05877,
2752.215,311.55675,
2749.304,312.10881,
2746.394,309.81654,
2743.483,317.42495,
2740.573,315.34176,
2737.662,321.76849,
2734.751,330.45744,
2731.841,327.73947,
2728.930,316.70987,
2726.020,311.66609,
2723.109,313.00917,
2720.199,323.59996,
2717.288,329.3312,
2714.377,309.71696,
2711.467,324.08819,
2708.556,330.779,
2705.646,336.49471,
2702.735,334.39821,
2699.825,351.98407,
2696.914,343.63681,
2694.003,341.81972,
2691.093,327.42855,
2688.182,336.03945,
2685.272,328.875,
2682.361,331.63373,
2679.450,330.21247,
2676.540,317.44407,
2673.629,337.57459,
2670.719,340.21789,
2667.808,325.13953,
2664.898,351.13473,
2661.987,345.64154,
2659.076,366.18748,
2656.166,335.18231,
2653.255,344.43112,
2650.345,360.12364,
2647.434,360.18909,
2644.524,349.01407,
2641.613,357.27538,
2638.702,373.71719,
2635.792,364.9069,
2632.881,365.07134,
2629.971,375.85491,
2627.060,356.70594,
2624.149,375.41563,
2621.239,380.88686,
2618.328,382.74784,
2615.418,376.55681,
2612.507,368.01335,
2609.597,386.85504,
2606.686,383.31676,
2603.775,378.79564,
2600.865,359.46879,
2597.954,386.63543,
2595.044,387.82186,
2592.133,393.76029,
2589.223,406.81502,
2586.312,396.84989,
2583.401,396.81297,
2580.491,403.60096,
2577.580,394.8783,
2574.670,401.57953,
2571.759,412.22346,
2568.848,411.69821,
2565.938,409.06532,
2563.027,421.45914,
2560.117,401.15536,
2557.206,396.97094,
2554.296,412.47912,
2551.385,428.12298,
2548.474,418.83782,
2545.564,412.00162,
2542.653,412.65352,
2539.743,421.38116,
2536.832,426.91612,
2533.922,397.42692,
2531.011,428.02533,
2528.100,417.3419,
2525.190,431.10533,
2522.279,429.06259,
2519.369,434.98808,
2516.458,428.20007,
2513.548,426.15672,
2510.637,426.56759,
2507.726,425.30995,
2504.816,424.99901,
2501.905,417.25183,
2498.995,420.41247,
2496.084,434.3942,
2493.173,444.11175,
2490.263,441.875,
2487.352,459.249,
2484.442,442.59663,
2481.531,442.6675,
2478.621,448.64278,
2475.710,453.898,
2472.799,456.38173,
2469.889,445.17969,
2466.978,452.91607,
2464.068,470.40943,
2461.157,463.79995,
2458.247,465.90434,
2455.336,465.12941,
2452.425,476.00708,
2449.515,488.91241,
2446.604,475.58006,
2443.694,492.57323,
2440.783,494.15878,
2437.872,491.47389,
2434.962,482.71371,
2432.051,483.48603,
2429.141,500.22767,
2426.230,509.80981,
2423.320,498.88967,
2420.409,485.14419,
2417.498,502.63625,
2414.588,502.06516,
2411.677,492.09015,
2408.767,501.41634,
2405.856,516.09641,
2402.946,511.29144,
2400.035,505.97594,
2397.124,514.77339,
2394.214,515.38701,
2391.303,508.30589,
2388.393,502.6773,
2385.482,505.56657,
2382.571,504.01391,
2379.661,519.34004,
2376.750,518.19279,
2373.840,528.3468,
2370.929,531.88583,
2368.019,522.6096,
2365.108,535.40903,
2362.197,549.25037,
2359.287,561.65662,
2356.376,554.89085,
2353.466,547.83234,
2350.555,515.1703,
2347.645,552.74119,
2344.734,574.60312,
2341.823,562.10717,
2338.913,553.84817,
2336.002,575.02095,
2333.092,573.56463,
2330.181,577.89289,
2327.270,581.70998,
2324.360,587.26181,
2321.449,575.58248,
2318.539,575.42852,
2315.628,573.69035,
2312.718,583.35738,
2309.807,602.80669,
2306.896,602.12696,
2303.986,598.52431,
2301.075,576.8325,
2298.165,576.4521,
2295.254,589.63803,
2292.344,604.61361,
2289.433,597.875,
2286.522,597.36161,
2283.612,582.38391,
2280.701,595.78079,
2277.791,608.75478,
2274.880,608.87094,
2271.969,622.58282,
2269.059,627.99217,
2266.148,632.52275,
2263.238,632.97539,
2260.327,634.4268,
2257.417,638.55389,
2254.506,638.39356,
2251.595,652.16228,
2248.685,639.09043,
2245.774,651.99558,
2242.864,651.96728,
2239.953,641.60598,
2237.043,650.48536,
2234.132,655.38147,
2231.221,666.98098,
2228.311,662.0464,
2225.400,670.93129,
2222.490,668.41888,
2219.579,662.20926,
2216.669,680.90839,
2213.758,684.31161,
2210.847,697.93544,
2207.937,708.50854,
2205.026,692.98608,
2202.116,698.59474,
2199.205,718.47453,
2196.294,723.37901,
2193.384,731.95352,
2190.473,734.30106,
2187.563,731.95717,
2184.652,753.39336,
2181.742,776.21558,
2178.831,775.15129,
2175.920,800.5271,
2173.010,805.17432,
2170.099,850.4028,
2167.189,928.76019,
2164.278,919.91822,
2161.368,972.58787,
2158.457,1024.7509,
2155.546,1070.45,
2152.636,1109.7473,
2149.725,1162.6535,
2146.815,1171.8416,
2143.904,1249.2728,
2140.993,1251.5574,
2138.083,1284.8993,
2135.172,1291.9338,
2132.262,1296.7667,
2129.351,1271.4024,
2126.441,1254.6905,
2123.530,1239.0556,
2120.619,1161.233,
2117.709,1118.7554,
2114.798,1075.567,
2111.888,1011.2012,
2108.977,961.98757,
2106.067,942.0496,
2103.156,892.3639,
2100.245,848.87688,
2097.335,849.10537,
2094.424,824.08801,
2091.514,807.08735,
2088.603,792.95799,
2085.692,792.10542,
2082.782,787.85901,
2079.871,783.69647,
2076.961,776.39162,
2074.050,749.54167,
2071.140,796.40417,
2068.229,769.23567,
2065.318,762.54074,
2062.408,743.41282,
2059.497,762.51789,
2056.587,778.29358,
2053.676,741.31063,
2050.766,745.79727,
2047.855,754.24846,
2044.944,733.00801,
2042.034,736.24497,
2039.123,756.11742,
2036.213,772.79941,
2033.302,758.4403,
2030.391,740.99399,
2027.481,748.00901,
2024.570,762.14618,
2021.660,777.98806,
2018.749,779.53309,
2015.839,765.76345,
2012.928,734.94379,
2010.017,744.79683,
2007.107,758.41146,
2004.196,782.69648,
2001.286,749.34858,
1998.375,741.14273,
1995.465,768.18036,
1992.554,729.05185,
1989.643,725.77131,
1986.733,741.59079,
1983.822,716.61798,
1980.912,703.78596,
1978.001,713.45942,
1975.090,727.07805,
1972.180,751.45874,
1969.269,746.04156,
1966.359,720.875,
1963.448,748.63459,
1960.538,745.07934,
1957.627,730.28366,
1954.716,744.41537,
1951.806,736.62661,
1948.895,729.57949,
1945.985,721.63644,
1943.074,747.66842,
1940.164,725.13435,
1937.253,700.86202,
1934.342,702.92633,
1931.432,705.41128,
1928.521,715.21352,
1925.611,710.34265,
1922.700,698.75207,
1919.790,743.38314,
1916.879,722.03723,
1913.968,686.91558,
1911.058,731.52666,
1908.147,749.16254,
1905.237,712.07353,
1902.326,702.59058,
1899.415,680.43599,
1896.505,673.51331,
1893.594,645.96343,
1890.684,671.01212,
1887.773,700.84886,
1884.863,710.78844,
1881.952,706.29506,
1879.041,725.81322,
1876.131,714.95867,
1873.220,679.49434,
1870.310,726.85697,
1867.399,724.97096,
1864.489,754.92782,
1861.578,702.95222,
1858.667,669.71629,
1855.757,701.6614,
1852.846,713.10578,
1849.936,718.80391,
1847.025,755.75821,
1844.114,748.65617,
1841.204,740.71766,
1838.293,748.35588,
1835.383,735.28252,
1832.472,733.25935,
1829.562,750.34662,
1826.651,767.23433,
1823.740,785.52253,
1820.830,739.71708,
