,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_ctr_1E-2mgL_16h_785nm_133mW_3s_1acc_2_RamanShift__0__40,
Raman shift [1/cm],Intensity,
3014.167,0.25,
3011.256,-0.19998926,
3008.346,73.869722,
3005.435,104.02032,
3002.525,101.32494,
2999.614,118.6357,
2996.704,115.70154,
2993.793,108.74539,
2990.882,115.07441,
2987.972,111.32567,
2985.061,120.48645,
2982.151,126.4601,
2979.240,131.63116,
2976.329,151.51502,
2973.419,152.77324,
2970.508,153.64996,
2967.598,151.96687,
2964.687,156.69837,
2961.777,168.8998,
2958.866,155.58432,
2955.955,170.18582,
2953.045,167.45135,
2950.134,186.95264,
2947.224,176.19306,
2944.313,178.7443,
2941.403,205.97673,
2938.492,196.05756,
2935.581,187.33586,
2932.671,187.77364,
2929.760,205.71538,
2926.850,209.98872,
2923.939,205.17056,
2921.028,210.18536,
2918.118,220.18828,
2915.207,209.78169,
2912.297,216.23307,
2909.386,216.07481,
2906.476,239.14886,
2903.565,222.29815,
2900.654,225.02654,
2897.744,209.16199,
2894.833,208.84782,
2891.923,210.9519,
2889.012,197.96098,
2886.102,195.89459,
2883.191,207.24339,
2880.280,177.11124,
2877.370,127.51177,
2874.459,106.94201,
2871.549,164.27664,
2868.638,207.16132,
2865.727,222.82694,
2862.817,213.33556,
2859.906,233.76852,
2856.996,216.77491,
2854.085,232.37609,
2851.175,237.20182,
2848.264,236.1765,
2845.353,209.61664,
2842.443,230.24304,
2839.532,231.59331,
2836.622,221.3457,
2833.711,228.9988,
2830.801,221.54485,
2827.890,228.87588,
2824.979,234.53399,
2822.069,235.26137,
2819.158,235.10984,
2816.248,228.76737,
2813.337,223.95121,
2810.427,241.07369,
2807.516,234.30766,
2804.605,230.70193,
2801.695,239.11842,
2798.784,238.25,
2795.874,237.94919,
2792.963,249.03564,
2790.052,236.25236,
2787.142,237.44742,
2784.231,229.05747,
2781.321,221.06718,
2778.410,244.03932,
2775.500,249.2938,
2772.589,234.0581,
2769.678,241.64248,
2766.768,246.49661,
2763.857,237.46002,
2760.947,247.33826,
2758.036,259.55572,
2755.126,254.53205,
2752.215,259.9954,
2749.304,261.48381,
2746.394,255.61493,
2743.483,251.05001,
2740.573,246.58848,
2737.662,263.69674,
2734.751,251.2939,
2731.841,276.81961,
2728.930,261.69914,
2726.020,254.90799,
2723.109,245.59025,
2720.199,265.81876,
2717.288,270.23176,
2714.377,270.02508,
2711.467,265.00385,
2708.556,276.25,
2705.646,255.96826,
2702.735,272.23968,
2699.825,263.22819,
2696.914,273.96456,
2694.003,270.99309,
2691.093,271.48225,
2688.182,271.95889,
2685.272,300.9399,
2682.361,275.43231,
2679.450,280.78908,
2676.540,265.57519,
2673.629,275.60878,
2670.719,262.32301,
2667.808,299.30458,
