,PLE832~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.875,
3011.256,-1.4250107,
3008.346,107.90797,
3005.435,129.82112,
3002.525,140.99245,
2999.614,132.46135,
2996.704,139.39098,
2993.793,143.61118,
2990.882,158.07918,
2987.972,165.19058,
2985.061,173.6915,
2982.151,154.03423,
2979.240,165.92347,
2976.329,176.3791,
2973.419,169.3707,
2970.508,184.42502,
2967.598,171.60291,
2964.687,188.7663,
2961.777,179.91115,
2958.866,178.46081,
2955.955,199.40815,
2953.045,204.42703,
2950.134,211.84802,
2947.224,208.125,
2944.313,213.06873,
2941.403,231.29197,
2938.492,205.29575,
2935.581,215.30783,
2932.671,219.00483,
2929.760,224.54039,
2926.850,217.80432,
2923.939,227.28387,
2921.028,228.04262,
2918.118,223.82651,
2915.207,226.70716,
2912.297,216.14193,
2909.386,228.52646,
2906.476,227.51264,
2903.565,227.80203,
2900.654,215.77316,
2897.744,222.88613,
2894.833,216.08354,
2891.923,215.28519,
2889.012,192.88222,
2886.102,171.54121,
2883.191,153.14388,
2880.280,30.613004,
2877.370,-189.78732,
2874.459,-272.89982,
2871.549,-92.399777,
2868.638,137.72901,
2865.727,171.17884,
2862.817,185.32553,
2859.906,197.31587,
2856.996,223.12047,
2854.085,222.36449,
2851.175,220.93819,
2848.264,231.77684,
2845.353,245.9956,
2842.443,240.92361,
2839.532,240.57277,
2836.622,228.67578,
2833.711,253.5991,
2830.801,254.02426,
2827.890,257.31206,
2824.979,260.26096,
2822.069,249.125,
2819.158,252.92554,
2816.248,271.07868,
2813.337,264.14573,
2810.427,271.16908,
2807.516,263.39125,
2804.605,273.44711,
2801.695,272.70398,
2798.784,268.30777,
2795.874,267.84532,
2792.963,269.1966,
2790.052,287.122,
2787.142,265.09877,
2784.231,273.41537,
2781.321,274.86779,
2778.410,260.27474,
2775.500,259.99811,
2772.589,267.58677,
2769.678,274.37413,
2766.768,272.44344,
2763.857,277.70496,
2760.947,282.09978,
2758.036,288.29067,
2755.126,287.27243,
2752.215,279.91142,
2749.304,297.20952,
2746.394,282.97176,
2743.483,286.675,
2740.573,298.65824,
2737.662,271.17676,
2734.751,294.40187,
2731.841,294.04442,
2728.930,298.14614,
2726.020,298.45139,
2723.109,291.35183,
2720.199,315.41872,
2717.288,308.70528,
2714.377,311.31648,
2711.467,314.73159,
2708.556,318.85889,
2705.646,324.125,
2702.735,313.11468,
2699.825,312.90686,
2696.914,311.79135,
2694.003,318.84045,
2691.093,301.64246,
2688.182,308.69019,
2685.272,313.20466,
2682.361,321.61299,
2679.450,317.55304,
2676.540,307.69407,
2673.629,329.48378,
2670.719,332.89858,
2667.808,323.04908,
2664.898,317.02091,
2661.987,326.99164,
2659.076,325.25216,
2656.166,336.8826,
2653.255,328.23724,
2650.345,337.66947,
2647.434,352.72517,
2644.524,349.85877,
2641.613,352.26831,
2638.702,342.40906,
2635.792,334.93657,
2632.881,337.50603,
2629.971,336.74247,
2627.060,350.29032,
2624.149,358.36875,
2621.239,349.86462,
2618.328,341.33694,
2615.418,343.80227,
2612.507,355.25933,
2609.597,367.84955,
2606.686,348.0467,
2603.775,360.60516,
2600.865,366.47655,
2597.954,363.84371,
2595.044,374.49081,
2592.133,387.91502,
2589.223,395.77552,
2586.312,370.15011,
2583.401,377.81844,
2580.491,378.22116,
2577.580,372.13655,
2574.670,379.40174,
2571.759,378.47346,
2568.848,391.94276,
2565.938,359.88671,
2563.027,387.58863,
2560.117,390.125,
2557.206,400.97371,
2554.296,378.13187,
2551.385,406.24899,
2548.474,405.82872,
2545.564,406.125,
2542.653,397.20889,
2539.743,409.06339,
2536.832,408.08388,
2533.922,410.26692,
2531.011,415.82528,
2528.100,411.38982,
2525.190,410.38156,
2522.279,424.14014,
2519.369,408.04929,
2516.458,412.12146,
2513.548,407.31592,
2510.637,418.73983,
2507.726,426.56366,
2504.816,418.06186,
2501.905,420.61768,
2498.995,439.8709,
2496.084,428.71042,
2493.173,434.30877,
2490.263,433.49564,
2487.352,440.41713,
2484.442,449.11857,
2481.531,453.59841,
2478.621,447.75057,
2475.710,459.00998,
2472.799,444.125,
2469.889,443.64023,
2466.978,453.228,
2464.068,437.97149,
2461.157,445.39742,
2458.247,462.5368,
2455.336,453.93516,
2452.425,472.9788,
2449.515,468.68219,
2446.604,489.54208,
2443.694,497.40465,
2440.783,467.02139,
2437.872,492.95812,
2434.962,466.8531,
2432.051,476.71136,
2429.141,481.66607,
2426.230,526.25659,
2423.320,482.0824,
2420.409,477.93256,
2417.498,488.52668,
2414.588,493.02992,
2411.677,491.62702,
2408.767,507.90748,
2405.856,508.15123,
2402.946,511.44671,
2400.035,516.22594,
2397.124,511.77741,
2394.214,498.8542,
2391.303,512.34586,
2388.393,510.95519,
2385.482,507.99281,
2382.571,448.71908,
2379.661,487.9155,
2376.750,518.85891,
2373.840,535.96871,
2370.929,546.03836,
2368.019,562.60841,
2365.108,540.21662,
2362.197,556.51405,
2359.287,546.9484,
2356.376,538.13557,
2353.466,553.125,
2350.555,559.44523,
2347.645,563.79653,
2344.734,550.66876,
2341.823,579.59434,
2338.913,579.28319,
2336.002,570.57472,
2333.092,581.50425,
2330.181,568.28105,
2327.270,579.18991,
2324.360,573.93159,
2321.449,586.55699,
2318.539,611.31768,
2315.628,604.78127,
2312.718,600.77478,
2309.807,608.89536,
2306.896,595.65239,
2303.986,611.34583,
2301.075,619.35904,
2298.165,621.72118,
2295.254,604.51277,
2292.344,599.01708,
2289.433,610.13273,
2286.522,616.23211,
2283.612,623.57526,
2280.701,629.45235,
2277.791,615.08493,
2274.880,620.33088,
2271.969,646.60648,
2269.059,639.27757,
2266.148,640.79779,
2263.238,646.92423,
2260.327,662.29757,
2257.417,671.72,
2254.506,650.72044,
2251.595,648.98319,
2248.685,669.48454,
2245.774,660.9055,
2242.864,677.21728,
2239.953,665.26291,
2237.043,673.41107,
2234.132,687.28341,
2231.221,669.67527,
2228.311,665.34407,
2225.400,687.35016,
2222.490,693.45395,
2219.579,691.93737,
2216.669,712.08207,
2213.758,711.34067,
2210.847,714.99149,
2207.937,713.28787,
2205.026,746.34774,
2202.116,732.64942,
2199.205,729.58782,
2196.294,725.93499,
2193.384,745.17703,
2190.473,746.11913,
2187.563,763.0235,
2184.652,744.83602,
2181.742,768.69424,
2178.831,789.125,
2175.920,803.11408,
2173.010,815.30017,
2170.099,845.5883,
2167.189,877.13935,
2164.278,884.70088,
2161.368,929.12355,
2158.457,974.7992,
2155.546,1011.8212,
2152.636,1028.3058,
2149.725,1075.8968,
2146.815,1094.7913,
2143.904,1138.0395,
2140.993,1174.5218,
2138.083,1185.3256,
2135.172,1193.646,
2132.262,1191.7509,
2129.351,1175.5111,
2126.441,1171.892,
2123.530,1162.5077,
2120.619,1103.9967,
2117.709,1072.5876,
2114.798,1041.9748,
2111.888,1012.4877,
2108.977,958.80709,
2106.067,938.70878,
2103.156,909.45094,
2100.245,908.11183,
2097.335,886.16165,
2094.424,875.29541,
2091.514,857.76205,
2088.603,849.0743,
2085.692,841.25888,
2082.782,857.03651,
2079.871,842.30237,
2076.961,867.99393,
2074.050,851.10682,
2071.140,833.86042,
2068.229,854.92837,
2065.318,871.21125,
2062.408,861.23091,
2059.497,850.51785,
2056.587,841.74138,
2053.676,845.65793,
2050.766,836.04877,
2047.855,840.40979,
2044.944,848.92789,
2042.034,840.41401,
2039.123,844.92635,
2036.213,851.49164,
2033.302,840.95112,
2030.391,865.53106,
2027.481,895.74681,
2024.570,860.66892,
2021.660,861.59284,
2018.749,896.40318,
2015.839,878.66306,
2012.928,880.7458,
2010.017,888.13695,
2007.107,903.49507,
2004.196,885.51784,
2001.286,881.72924,
1998.375,889.77953,
1995.465,906.49732,
1992.554,894.34867,
1989.643,878.60889,
1986.733,865.80044,
1983.822,910.16267,
1980.912,889.61985,
1978.001,886.45525,
1975.090,903.30516,
1972.180,893.26465,
1969.269,886.57906,
1966.359,898.07097,
1963.448,895.47242,
1960.538,877.0833,
1957.627,931.97334,
1954.716,932.32609,
1951.806,957.54174,
1948.895,907.2323,
1945.985,903.37173,
1943.074,907.07711,
1940.164,906.5772,
1937.253,918.79478,
1934.342,917.22767,
1931.432,919.88841,
1928.521,931.30808,
1925.611,933.19651,
1922.700,917.46202,
1919.790,921.87636,
1916.879,931.49725,
1913.968,922.1373,
1911.058,939.04993,
1908.147,956.90752,
1905.237,977.40434,
1902.326,925.9502,
1899.415,896.89206,
1896.505,875.11887,
1893.594,877.02445,
1890.684,921.94182,
1887.773,943.81471,
1884.863,972.10222,
1881.952,968.20021,
1879.041,963.66394,
1876.131,957.79559,
1873.220,967.4569,
1870.310,994.18774,
1867.399,980.3809,
1864.489,967.11247,
1861.578,944.83358,
1858.667,976.4064,
1855.757,1000.7479,
1852.846,982.66344,
1849.936,998.47436,
1847.025,979.59702,
1844.114,987.60976,
1841.204,1017.2439,
1838.293,1016.6425,
1835.383,993.55551,
1832.472,1013.9633,
1829.562,1035.125,
1826.651,1016.663,
1823.740,1031.4201,
1820.830,1041.6683,
1817.919,1049.4544,
1815.009,1010.0258,
1812.098,1039.9281,
1809.188,1027.2413,
1806.277,1026.125,
1803.366,1046.3413,
1800.456,1060.6088,
1797.545,1083.3592,
1794.635,1054.706,
1791.724,1047.1056,
1788.813,1060.7296,
1785.903,1061.5243,
1782.992,1000.2248,
1780.082,928.51769,
1777.171,851.78238,
1774.261,829.90026,
1771.350,915.44503,
1768.439,1035.5325,
1765.529,1072.5806,
1762.618,1096.5175,
1759.708,1119.212,
1756.797,1116.6705,
1753.887,1143.8451,
1750.976,1134.3351,
1748.065,1118.1127,
1745.155,1114.8218,
1742.244,1147.2046,
1739.334,1157.2238,
1736.423,1152.4185,
1733.512,1154.3079,
1730.602,1149.1409,
1727.691,1176.2961,
1724.781,1176.4727,
1721.870,1204.7061,
1718.960,1196.5026,
1716.049,1216.6163,
1713.138,1253.6148,
1710.228,1208.6478,
1707.317,1220.5856,
1704.407,1241.9913,
1701.496,1275.1176,
1698.586,1251.3295,
1695.675,1258.4821,
1692.764,1331.0759,
1689.854,1311.2077,
1686.943,1285.9681,
1684.033,1320.2309,
1681.122,1317.193,
1678.211,1321.0869,
1675.301,1361.9986,
1672.390,1368.3104,
1669.480,1430.125,
1666.569,1430.3027,
1663.659,1444.517,
1660.748,1467.9707,
1657.837,1462.3557,
1654.927,1560.8833,
1652.016,1510.0241,
1649.106,1546.5412,
1646.195,1562.4297,
1643.285,1536.0846,
1640.374,1618.6825,
1637.463,1553.9353,
1634.553,1706.7999,
1631.642,1685.5702,
1628.732,1726.1606,
1625.821,1732.1996,
1622.911,1845.4826,
1620.000,1915.2431,
1617.089,2007.2742,
1614.179,2087.8407,
1611.268,2150.7828,
1608.358,2294.1952,
1605.447,2310.5536,
1602.536,2364.2426,
1599.626,2397.5629,
1596.715,2396.4946,
1593.805,2365.7177,
1590.894,2354.199,
1587.984,2343.598,
1585.073,2297.8825,
1582.162,2295.1343,
1579.252,2270.7577,
1576.341,2246.7005,
1573.431,2235.0764,
1570.520,2235.4181,
1567.610,2233.8897,
1564.699,2212.8242,
1561.788,2189.6322,
1558.878,2166.7387,
1555.967,2132.6984,
1553.057,2121.0388,
1550.146,2072.3469,
1547.235,2049.3896,
1544.325,2026.8484,
1541.414,2029.9676,
1538.504,2000.2586,
1535.593,1951.1512,
1532.683,1962.988,
1529.772,1965.6189,
1526.861,1924.9853,
1523.951,1881.2979,
1521.040,1878.7447,
1518.130,1911.5885,
1515.219,1928.7658,
1512.309,1891.9673,
1509.398,1854.8951,
1506.487,1839.912,
1503.577,1866.8956,
1500.666,1818.9012,
1497.756,1820.4814,
1494.845,1859.284,
1491.934,1815.1565,
1489.024,1824.7814,
1486.113,1772.2737,
1483.203,1796.5464,
1480.292,1789.0944,
1477.382,1783.892,
1474.471,1785.4271,
1471.560,1761.4524,
1468.650,1745.9755,
1465.739,1730.3152,
1462.829,1709.3982,
1459.918,1708.4124,
1457.008,1738.9868,
1454.097,1746.8738,
1451.186,1730.7884,
1448.276,1756.0011,
1445.365,1790.9457,
1442.455,1787.8647,
1439.544,1780.6908,
1436.633,1722.3504,
1433.723,1814.7451,
1430.812,1823.613,
1427.902,1791.2456,
1424.991,1754.2828,
1422.081,1767.8046,
1419.170,1735.4266,
1416.259,1763.3376,
1413.349,1764.3278,
1410.438,1753.7276,
1407.528,1760.4249,
1404.617,1798.4171,
1401.707,1814.7657,
1398.796,1816.2054,
1395.885,1825.7786,
1392.975,1816.0828,
1390.064,1796.4795,
1387.154,1794.8815,
1384.243,1780.6095,
1381.332,1823.137,
1378.422,1801.8301,
1375.511,1854.2898,
1372.601,1909.4977,
1369.690,1889.2655,
1366.780,1969.0807,
1363.869,1972.2366,
1360.958,2035.1079,
1358.048,2103.7571,
1355.137,2152.9349,
1352.227,2160.6543,
1349.316,2144.2356,
1346.406,2158.0657,
1343.495,2188.8341,
1340.584,2226.6248,
1337.674,2240.1618,
1334.763,2255.4666,
1331.853,2211.8867,
1328.942,2295.5136,
1326.032,2288.1813,
1323.121,2315.9865,
1320.210,2359.7551,
1317.300,2340.1208,
1314.389,2351.0979,
1311.479,2399.1055,
1308.568,2421.0761,
1305.657,2437.1156,
1302.747,2463.7644,
1299.836,2485.9875,
1296.926,2544.3469,
1294.015,2592.1517,
1291.105,2614.3775,
1288.194,2645.8797,
1285.283,2717.5653,
1282.373,2779.1952,
1279.462,2801.223,
1276.552,2844.4008,
1273.641,2876.0427,
1270.731,2844.0086,
1267.820,2828.3083,
1264.909,2802.74,
1261.999,2779.9225,
1259.088,2829.1771,
1256.178,2869.8091,
1253.267,2806.3102,
1250.356,2765.4846,
1247.446,2715.6408,
1244.535,2677.7098,
1241.625,2639.0584,
1238.714,2590.8318,
1235.804,2562.7416,
1232.893,2500.6304,
1229.982,2474.8065,
1227.072,2435.878,
1224.161,2478.5122,
1221.251,2411.9296,
1218.340,2349.8475,
1215.430,2305.3509,
1212.519,2291.9164,
1209.608,2296.5812,
1206.698,2289.1037,
1203.787,2280.2054,
1200.877,2251.1897,
1197.966,2300.6434,
1195.055,2363.7057,
1192.145,2446.254,
1189.234,2494.1303,
1186.324,2521.3082,
1183.413,2539.3077,
1180.503,2540.3799,
1177.592,2513.4176,
1174.681,2465.9709,
1171.771,2451.7432,
1168.860,2478.5358,
1165.950,2414.203,
1163.039,2403.0138,
1160.129,2386.8395,
1157.218,2379.8938,
1154.307,2390.2063,
1151.397,2380.9629,
1148.486,2338.1221,
1145.576,2353.6987,
1142.665,2320.846,
1139.754,2309.1751,
1136.844,2307.8253,
1133.933,2298.1544,
1131.023,2274.1295,
1128.112,2257.2675,
1125.202,2257.9849,
1122.291,2252.6371,
1119.380,2284.4541,
1116.470,2317.9902,
1113.559,2333.7237,
1110.649,2340.3992,
1107.738,2347.4832,
1104.828,2347.5479,
1101.917,2334.9117,
1099.006,2323.4548,
1096.096,2339.3938,
1093.185,2343.7838,
1090.275,2311.7542,
1087.364,2341.8618,
1084.453,2307.3783,
1081.543,2305.6884,
1078.632,2336.3213,
1075.722,2299.8265,
1072.811,2322.3589,
1069.901,2353.7963,
1066.990,2377.9499,
1064.079,2374.9588,
1061.169,2378.8572,
1058.258,2398.2531,
1055.348,2430.8229,
1052.437,2463.5012,
1049.527,2451.0649,
1046.616,2475.3921,
1043.705,2467.3343,
1040.795,2487.1112,
1037.884,2491.5275,
1034.974,2476.049,
1032.063,2477.9553,
1029.153,2522.7482,
1026.242,2527.9379,
1023.331,2523.1253,
1020.421,2523.5192,
1017.510,2545.4155,
1014.600,2565.0855,
1011.689,2567.6996,
1008.778,2558.5538,
1005.868,2526.5652,
1002.957,2575.6054,
1000.047,2647.189,
997.136,2761.5732,
994.226,2853.2323,
991.315,2876.5557,
988.404,2844.6126,
985.494,2815.1276,
982.583,2770.5867,
979.673,2748.0288,
976.762,2759.7381,
973.852,2757.9807,
970.941,2758.797,
968.030,2800.4198,
965.120,2785.0534,
962.209,2768.0026,
959.299,2790.622,
956.388,2820.7237,
953.477,2828.7265,
950.567,2816.8179,
947.656,2813.6821,
944.746,2817.9298,
941.835,2859.4255,
938.925,2830.9581,
936.014,2822.2532,
933.103,2815.4703,
930.193,2783.125,
927.282,2785.3706,
924.372,2826.8053,
921.461,2786.4682,
918.551,2735.8499,
915.640,2710.7001,
912.729,2696.9755,
909.819,2665.3508,
906.908,2697.3629,
903.998,2695.1482,
901.087,2716.4027,
898.176,2746.304,
895.266,2776.8688,
892.355,2797.8844,
889.445,2775.2242,
886.534,2846.0891,
883.624,2864.8348,
880.713,2868.6561,
877.802,2832.2593,
874.892,2729.1357,
871.981,2583.4753,
869.071,2428.9239,
866.160,2474.5708,
863.250,2644.4661,
860.339,2777.3584,
857.428,2801.8818,
854.518,2840.3567,
851.607,2744.6688,
848.697,2620.8255,
845.786,2567.4543,
842.875,2600.8762,
839.965,2695.9121,
837.054,2809.4041,
834.144,2834.2667,
831.233,2826.4592,
828.323,2838.4242,
825.412,2849.3979,
822.501,2832.3803,
819.591,2828.2483,
816.680,2792.8685,
813.770,2759.6914,
810.859,2749.1862,
807.949,2745.5811,
805.038,2725.0166,
802.127,2740.656,
799.217,2724.2356,
796.306,2729.4764,
793.396,2740.0716,
790.485,2746.2837,
787.574,2758.1561,
784.664,2758.9762,
781.753,2764.4929,
778.843,2769.0853,
775.932,2771.125,
773.022,2771.759,
770.111,2775.8469,
767.200,2791.3512,
764.290,2785.1453,
761.379,2786.184,
758.469,2799.9157,
755.558,2798.5658,
752.648,2779.8299,
749.737,2776.125,
746.826,2766.8006,
743.916,2763.6641,
741.005,2775.2384,
738.095,2705.417,
735.184,2630.6244,
732.274,2578.8819,
729.363,2603.5335,
726.452,2705.4571,
723.542,2751.5925,
720.631,2780.8839,
717.721,2784.5422,
714.810,2781.5057,
711.899,2794.729,
708.989,2848.793,
706.078,2837.9068,
703.168,2815.0867,
700.257,2801.7124,
697.347,2804.1682,
694.436,2814.754,
691.525,2801.0893,
688.615,2766.0505,
685.704,2760.0758,
682.794,2776.891,
679.883,2777.0261,
676.973,2797.0604,
674.062,2803.0392,
671.151,2805.44,
668.241,2803.313,
665.330,2791.2006,
662.420,2792.7981,
659.509,2807.7284,
656.598,2831.2712,
653.688,2851.125,
650.777,2850.3959,
647.867,2828.8951,
644.956,2749.827,
642.046,2687.1265,
639.135,2667.946,
636.224,2686.4831,
633.314,2757.9376,
630.403,2810.4152,
627.493,2848.7198,
624.582,2872.3016,
621.672,2873.0936,
618.761,2895.1632,
615.850,2943.4491,
612.940,2969.9528,
610.029,2964.5424,
607.119,3015.0788,
604.208,2982.4943,
601.297,2966.128,
598.387,2975.4438,
595.476,2998.8966,
592.566,2975.2846,
589.655,2984.0828,
586.745,2976.804,
583.834,2953.9529,
580.923,2939.125,
578.013,2939.125,
575.102,2929.9476,
572.192,2900.9734,
569.281,2873.9196,
566.371,2945.1384,
563.460,2957.0633,
560.549,2971.7942,
557.639,2987.2735,
554.728,2991.8439,
551.818,2971.5557,
548.907,2983.5792,
545.996,2984.4053,
543.086,2970.2993,
540.175,2975.7499,
537.265,2997.8534,
534.354,3011.1419,
531.444,3012.2238,
528.533,3004.9945,
525.622,3045.3437,
522.712,3029.8549,
519.801,3026.3452,
516.891,3055.0458,
513.980,3099.1807,
511.070,3151.725,
508.159,3194.0931,
505.248,3222.6315,
502.338,3236.8931,
499.427,3263.1354,
496.517,3321.034,
493.606,3344.3099,
490.695,3310.3434,
487.785,3290.3288,
484.874,3335.5918,
481.964,3328.0722,
479.053,3274.977,
476.143,3253.474,
473.232,3275.1459,
470.321,3273.9069,
467.411,3267.4304,
464.500,3280.9201,
461.590,3312.3155,
458.679,3329.9297,
455.769,3331.7689,
452.858,3320.2045,
449.947,3320.9685,
447.037,3358.1374,
444.126,3392.8462,
441.216,3408.8761,
438.305,3395.9233,
435.395,3369.2108,
432.484,3382.7971,
429.573,3419.5925,
426.663,3417.3121,
423.752,3163.9619,
420.842,2843.1361,
417.931,2591.0477,
415.020,2587.2559,
412.110,2943.4206,
409.199,3213.4891,
406.289,3346.3341,
403.378,3307.0558,
400.468,3286.644,
397.557,3275.4977,
394.646,3320.1459,
391.736,3453.5596,
388.825,3467.1358,
385.915,3475.3825,
383.004,3474.5563,
380.094,3466.0042,
377.183,3522.4399,
374.272,3544.0956,
371.362,3564.7244,
368.451,3603.9486,
365.541,3633.9701,
362.630,3658.5122,
359.719,3664.4298,
356.809,3648.6623,
353.898,3690.595,
350.988,3686.9354,
348.077,3684.2893,
345.167,3706.7031,
342.256,3658.8908,
339.345,3662.6623,
336.435,3668.6869,
333.524,3645.6282,
330.614,3693.3182,
327.703,3707.0982,
324.793,3700.1958,
321.882,3683.1268,
318.971,3683.8702,
316.061,3719.2836,
313.150,3750.3512,
310.240,3731.7983,
307.329,3767.5715,
304.418,3762.519,
301.508,3735.3835,
298.597,3721.3155,
295.687,3770.2408,
292.776,3809.9584,
289.866,3841.6221,
286.955,3886.6844,
284.044,3972.8199,
281.134,4039.8611,
278.223,4081.5919,
275.313,4125.8032,
272.402,4163.5893,
269.492,4142.9341,
266.581,4055.1235,
263.670,4069.0919,
260.760,4130.5872,
257.849,4199.0359,
254.939,4244.5366,
252.028,4293.6226,
249.117,4278.7766,
246.207,4265.8319,
243.296,4369.0491,
240.386,4382.084,
237.475,4391.1929,
234.565,4400.904,
231.654,4380.4533,
228.743,4336.4246,
225.833,4298.5879,
222.922,4278.8192,
220.012,4272.2622,
217.101,4256.8757,
214.191,4256.2386,
211.280,4299.8864,
208.369,4297.0697,
205.459,4342.035,
202.548,4406.228,
199.638,4360.5121,
196.727,4373.5974,
193.816,4397.0485,
190.906,4415.0042,
187.995,4468.582,
185.085,4446.4594,
182.174,4403.8674,
179.264,4413.9861,
176.353,4445.8824,
173.442,4441.3715,
170.532,4397.7485,
167.621,4351.6061,
164.711,4195.1194,
161.800,3989.921,
158.890,3769.6844,
155.979,3503.7275,
153.068,3189.9721,
150.158,2837.9519,
147.247,2472.5143,
144.337,2045.9463,
141.426,1612.7077,
138.516,1196.9108,
135.605,836.73791,
132.694,565.94715,
129.784,370.92349,
