,PL6C8D~1,
Wavenumbers [1/cm],Intensity,
2175.920,609.54349,
2173.010,650.65334,
2170.099,641.74453,
2167.189,686.94676,
2164.278,700.98354,
2161.368,743.1585,
2158.457,796.50029,
2155.546,809.67789,
2152.636,849.50256,
2149.725,890.00921,
2146.815,909.37447,
2143.904,942.17611,
2140.993,951.39344,
2138.083,977.25188,
2135.172,981.40439,
2132.262,983.50792,
2129.351,977.81288,
2126.441,934.2341,
2123.530,923.97708,
2120.619,847.21435,
2117.709,853.17331,
2114.798,802.45932,
2111.888,750.62545,
2108.977,716.08028,
2106.067,677.60691,
2103.156,662.83632,
2100.245,660.85681,
2097.335,632.11584,
2094.424,627.65191,
2091.514,597.86416,
2088.603,589.8427,
2085.692,610.33219,
2082.782,595.67031,
2079.871,609.05469,
2076.961,606.39162,
2074.050,587.74773,
2071.140,601.33505,
2068.229,579.06511,
2065.318,576.53001,
2062.408,577.54899,
2059.497,593.5298,
2056.587,587.75911,
2053.676,582.7747,
2050.766,567.26065,
2047.855,562.27694,
2044.944,542.27404,
2042.034,543.45302,
2039.123,556.5585,
2036.213,578.49272,
2033.302,566.13582,
2030.391,571.4512,
2027.481,567.66773,
2024.570,568.4035,
2021.660,579.22458,
2018.749,580.36888,
2015.839,586.68733,
2012.928,547.79446,
2010.017,560.93907,
2007.107,573.50115,
2004.196,568.01788,
2001.286,578.70891,
1998.375,567.2618,
1995.465,564.02143,
1992.554,550.85159,
1989.643,540.18607,
1986.733,538.51711,
1983.822,550.29819,
1980.912,543.76535,
1978.001,522.59486,
1975.090,541.88263,
1972.180,540.32314,
1969.269,552.06469,
1966.359,551.44246,
1963.448,568.79046,
1960.538,545.22612,
1957.627,550.35798,
1954.716,539.24845,
1951.806,587.08659,
1948.895,549.94185,
1945.985,534.36847,
1943.074,540.09659,
1940.164,508.09611,
1937.253,519.9399,
1934.342,541.89211,
1931.432,528.86553,
1928.521,512.67984,
1925.611,497.62188,
1922.700,512.66091,
1919.790,518.73626,
1916.879,532.82876,
1913.968,512.90082,
1911.058,528.94107,
1908.147,527.74943,
1905.237,511.69116,
1902.326,496.80983,
1899.415,479.54695,
1896.505,463.9953,
1893.594,447.68905,
1890.684,476.01212,
1887.773,520.28815,
1884.863,524.84311,
1881.952,507.1101,
1879.041,523.30024,
1876.131,505.44364,
1873.220,469.36603,
1870.310,529.85246,
1867.399,560.45917,
1864.489,548.39515,
1861.578,512.0618,
1858.667,512.99477,
1855.757,512.05996,
1852.846,523.59809,
1849.936,514.22334,
1847.025,541.57571,
1844.114,548.37847,
1841.204,534.24912,
1838.293,556.85837,
1835.383,560.86351,
1832.472,560.61935,
1829.562,558.76458,
1826.651,542.88323,
1823.740,563.80992,
1820.830,552.26851,
1817.919,559.7194,
1815.009,550.88772,
1812.098,547.07973,
1809.188,593.77412,
1806.277,550.9152,
1803.366,558.19109,
1800.456,576.21551,
1797.545,563.95306,
1794.635,555.77801,
1791.724,558.40903,
1788.813,555.09326,
1785.903,603.4332,
1782.992,566.75426,
1780.082,508.1336,
1777.171,436.87875,
1774.261,441.74982,
1771.350,483.25877,
1768.439,569.59823,
1765.529,566.96574,
1762.618,582.30128,
1759.708,617.75561,
1756.797,609.05682,
1753.887,622.97995,
1750.976,629.0576,
1748.065,640.91032,
1745.155,617.63657,
1742.244,603.48278,
1739.334,606.50559,
1736.423,610.82079,
1733.512,625.9726,
1730.602,605.44242,
1727.691,606.08693,
1724.781,658.42932,
1721.870,627.61284,
1718.960,647.29759,
1716.049,644.64628,
1713.138,659.97492,
1710.228,668.09678,
1707.317,684.79729,
1704.407,639.25995,
1701.496,661.22143,
1698.586,670.34289,
1695.675,687.71776,
1692.764,727.69059,
1689.854,716.48129,
1686.943,684.95422,
1684.033,717.03057,
1681.122,717.875,
1678.211,702.02728,
1675.301,685.92433,
1672.390,758.85706,
1669.480,752.91511,
1666.569,758.09083,
1663.659,775.85494,
1660.748,834.81715,
1657.837,832.11557,
1654.927,843.90588,
1652.016,886.12173,
1649.106,855.60571,
1646.195,844.3715,
1643.285,825.17383,
1640.374,882.3175,
1637.463,950.32536,
1634.553,975.02278,
1631.642,985.6242,
1628.732,1054.0172,
1625.821,1077.9182,
1622.911,1143.5031,
1620.000,1216.9427,
1617.089,1308.0441,
1614.179,1380.8163,
1611.268,1516.7073,
1608.358,1597.176,
1605.447,1624.4466,
1602.536,1631.4663,
1599.626,1656.7132,
1596.715,1704.2551,
1593.805,1642.6944,
1590.894,1589.9608,
1587.984,1577.8124,
1585.073,1629.6256,
1582.162,1536.184,
1579.252,1515.0567,
1576.341,1510.8697,
1573.431,1502.8264,
1570.520,1532.9788,
1567.610,1486.2467,
1564.699,1474.1253,
1561.788,1421.9459,
1558.878,1417.3096,
1555.967,1380.9498,
1553.057,1375.099,
1550.146,1354.7623,
1547.235,1328.2008,
1544.325,1314.392,
1541.414,1291.1332,
1538.504,1279.9578,
1535.593,1262.4246,
1532.683,1244.0908,
1529.772,1235.8002,
1526.861,1183.6654,
1523.951,1148.1383,
1521.040,1152.1545,
1518.130,1098.6939,
1515.219,1095.8349,
1512.309,1113.7579,
1509.398,1148.7933,
1506.487,1130.4342,
1503.577,1109.2908,
1500.666,1074.8604,
1497.756,1059.7904,
1494.845,1071.0351,
1491.934,1074.7868,
1489.024,1047.837,
1486.113,1007.9319,
1483.203,984.44714,
1480.292,974.2384,
1477.382,965.60077,
1474.471,989.19851,
1471.560,960.59169,
1468.650,918.86078,
1465.739,914.20137,
1462.829,902.16411,
1459.918,908.55471,
1457.008,906.62864,
1454.097,897.80737,
1451.186,912.94463,
1448.276,925.82675,
1445.365,917.05115,
1442.455,905.36746,
1439.544,926.74865,
1436.633,837.60291,
1433.723,831.85991,
1430.812,862.36816,
1427.902,807.36328,
1424.991,869.9156,
1422.081,824.16619,
1419.170,785.31259,
1416.259,813.08759,
1413.349,844.28747,
1410.438,787.49527,
1407.528,836.48026,
1404.617,839.53741,
1401.707,803.39595,
1398.796,802.48337,
1395.885,790.85909,
1392.975,784.06334,
1390.064,809.69125,
1387.154,796.19366,
1384.243,833.8394,
1381.332,806.42432,
1378.422,819.21314,
1375.511,825.7706,
1372.601,890.38492,
1369.690,882.15944,
1366.780,925.021,
1363.869,931.06318,
