,PL3EDD~1,
Wavenumbers [1/cm],Intensity,
2175.920,614.02574,
2173.010,624.99972,
2170.099,640.08979,
2167.189,676.81874,
2164.278,707.58681,
2161.368,739.19539,
2158.457,765.2849,
2155.546,796.85101,
2152.636,840.31642,
2149.725,880.58471,
2146.815,896.29131,
2143.904,921.73651,
2140.993,947.52979,
2138.083,944.63714,
2135.172,959.06202,
2132.262,957.86268,
2129.351,938.27664,
2126.441,932.7415,
2123.530,903.82809,
2120.619,837.20283,
2117.709,851.187,
2114.798,798.49006,
2111.888,743.91288,
2108.977,721.63824,
2106.067,694.66556,
2103.156,660.47028,
2100.245,649.61998,
2097.335,639.21663,
2094.424,612.29037,
2091.514,593.3509,
2088.603,590.31634,
2085.692,583.35724,
2082.782,597.03865,
2079.871,593.51765,
2076.961,590.75416,
2074.050,571.54621,
2071.140,590.42953,
2068.229,591.90365,
2065.318,582.71125,
2062.408,570.76117,
2059.497,585.07146,
2056.587,609.13649,
2053.676,578.3271,
2050.766,577.08614,
2047.855,575.05542,
2044.944,554.69391,
2042.034,549.57299,
2039.123,567.92803,
2036.213,601.60502,
2033.302,592.49478,
2030.391,583.84525,
2027.481,590.83227,
2024.570,602.73902,
2021.660,603.68413,
2018.749,597.28309,
2015.839,588.22146,
2012.928,584.2458,
2010.017,585.14401,
2007.107,599.97454,
2004.196,600.01784,
2001.286,598.6462,
1998.375,586.70767,
1995.465,601.86339,
1992.554,546.27259,
1989.643,584.93138,
1986.733,570.30395,
1983.822,567.16414,
1980.912,575.33728,
1978.001,560.34486,
1975.090,583.21889,
1972.180,605.41619,
1969.269,609.07609,
1966.359,591.0844,
1963.448,628.07284,
1960.538,616.65669,
1957.627,621.3247,
1954.716,606.11336,
1951.806,615.22758,
1948.895,605.58455,
1945.985,595.09722,
1943.074,610.86851,
1940.164,601.32658,
1937.253,584.38564,
1934.342,605.68489,
1931.432,590.68809,
1928.521,583.06714,
1925.611,566.72262,
1922.700,589.49102,
1919.790,601.07005,
1916.879,610.92751,
1913.968,612.62377,
1911.058,615.09647,
1908.147,601.64685,
1905.237,565.60296,
1902.326,576.83389,
1899.415,576.26525,
1896.505,566.70316,
