,PLA9BE~1,
Wavenumbers [1/cm],Intensity,
2694.003,107.77073,
2691.093,105.85681,
2688.182,105.40074,
2685.272,116.88478,
2682.361,107.54694,
2679.450,118.66253,
2676.540,87.243889,
2673.629,100.65918,
2670.719,111.06562,
2667.808,113.09727,
2664.898,120.40273,
2661.987,110.73329,
2659.076,126.45688,
2656.166,113.83977,
2653.255,119.78061,
2650.345,123.76044,
2647.434,132.62818,
2644.524,112.98079,
2641.613,107.0572,
2638.702,115.87375,
2635.792,123.59422,
2632.881,125.19634,
2629.971,135.10742,
2627.060,129.3325,
2624.149,126.81251,
2621.239,132.53261,
2618.328,133.87284,
2615.418,126.35454,
2612.507,135.61653,
2609.597,129.74451,
2606.686,133.38956,
2603.775,133.55952,
2600.865,124.35492,
2597.954,138.42503,
2595.044,131.29495,
2592.133,142.44588,
2589.223,137.75894,
2586.312,121.39193,
2583.401,134.34672,
2580.491,135.27404,
2577.580,138.9967,
2574.670,136.16979,
2571.759,143.35873,
2568.848,129.59657,
2565.938,135.76185,
2563.027,133.12052,
2560.117,125.53273,
2557.206,140.04059,
2554.296,137.71625,
2551.385,142.05796,
2548.474,148.9632,
2545.564,131.72808,
2542.653,151.98994,
2539.743,137.55545,
2536.832,144.32711,
2533.922,133.26808,
2531.011,151.92484,
2528.100,150.60277,
2525.190,134.72254,
2522.279,130.98486,
2519.369,146.47197,
2516.458,143.78328,
2513.548,146.76368,
2510.637,131.84448,
2507.726,158.43866,
2504.816,159.50057,
2501.905,142.71036,
2498.995,146.94028,
2496.084,147.53311,
2493.173,151.55265,
2490.263,149.60678,
2487.352,165.08187,
2484.442,145.70877,
2481.531,153.68613,
2478.621,158.53555,
2475.710,158.96933,
2472.799,157.46634,
2469.889,165,
2466.978,149.12386,
2464.068,151.61908,
2461.157,162.92495,
2458.247,163.74992,
2455.336,155.31898,
2452.425,164.02359,
2449.515,161.1705,
2446.604,182.53923,
2443.694,171.06991,
2440.783,182.90653,
2437.872,162.92707,
2434.962,161,
2432.051,167.33962,
2429.141,166.88244,
2426.230,171.47847,
2423.320,178.74302,
2420.409,165.94883,
2417.498,155.40168,
2414.588,161.5399,
2411.677,175.64142,
2408.767,169.03543,
2405.856,182.22141,
2402.946,189.05362,
2400.035,170.22064,
2397.124,175.90908,
2394.214,185.80961,
2391.303,170.17683,
2388.393,165.25349,
2385.482,147.79311,
2382.571,156.17734,
2379.661,160.1859,
2376.750,165.31779,
2373.840,174.68743,
2370.929,181.96751,
2368.019,190.2654,
2365.108,190.51047,
2362.197,194.83285,
2359.287,200.37828,
2356.376,196.01233,
2353.466,196.53266,
2350.555,178.5906,
2347.645,193.34306,
2344.734,201.76041,
2341.823,189.28191,
2338.913,192.17761,
2336.002,195.22486,
2333.092,203.50567,
2330.181,213.79026,
2327.270,195.21012,
2324.360,202.88205,
2321.449,210.47618,
2318.539,205.59634,
2315.628,208.60512,
2312.718,210.64978,
2309.807,220.59012,
2306.896,216.51174,
2303.986,214.90904,
2301.075,197.74471,
2298.165,183.22099,
2295.254,218.18136,
2292.344,231.16188,
2289.433,207.93818,
2286.522,196.6205,
2283.612,214.11099,
2280.701,215.67265,
2277.791,211.92172,
2274.880,235.71197,
2271.969,233.10288,
2269.059,230.73026,
2266.148,228.32721,
2263.238,232.99613,
2260.327,225.13795,
2257.417,231.03278,
2254.506,238.74072,
2251.595,224.14913,
2248.685,235.94032,
2245.774,249.20867,
2242.864,238.57359,
2239.953,219.59307,
2237.043,228.89642,
2234.132,230.04418,
2231.221,233.81658,
2228.311,243.08891,
2225.400,236.08444,
2222.490,238.81433,
2219.579,242.10285,
2216.669,253.98092,
2213.758,265.17517,
2210.847,239.17636,
2207.937,256.94134,
2205.026,248.55539,
2202.116,254.31104,
2199.205,256.35012,
2196.294,274.23194,
2193.384,276.50048,
2190.473,241.82863,
2187.563,280.029,
2184.652,285.09633,
2181.742,281.18196,
2178.831,293.67319,
2175.920,301.91985,
2173.010,306.97562,
2170.099,313.46627,
2167.189,332.9426,
2164.278,327.78794,
2161.368,355.99855,
2158.457,377.95109,
2155.546,375.40867,
2152.636,400.81378,
2149.725,416.48993,
2146.815,437.33262,
2143.904,460.88849,
2140.993,435.56081,
2138.083,448.37688,
2135.172,457.4874,
2132.262,459.62588,
2129.351,461.51035,
2126.441,439.02906,
2123.530,446.59594,
2120.619,410.31196,
2117.709,399.6715,
2114.798,374.23068,
2111.888,348.16311,
2108.977,345.17219,
2106.067,328.24867,
2103.156,306.92264,
2100.245,326.98432,
2097.335,299.71205,
2094.424,284.67545,
2091.514,295.00542,
2088.603,291.65904,
2085.692,282.7286,
2082.782,300.84328,
2079.871,299.60677,
2076.961,273.67903,
2074.050,262.50303,
2071.140,293.93088,
2068.229,296.10809,
2065.318,279.97576,
2062.408,276.67399,
2059.497,281.83336,
2056.587,295.83716,
2053.676,279.85105,
2050.766,274.15396,
2047.855,289.4589,
2044.944,270.46795,
2042.034,271.50295,
2039.123,292.46128,
2036.213,298.36664,
2033.302,280.21754,
2030.391,280.37265,
2027.481,290.95116,
2024.570,298.89984,
2021.660,266.12865,
2018.749,283.02574,
2015.839,302.5433,
2012.928,262.3792,
2010.017,268.94788,
2007.107,272.58131,
2004.196,275.07144,
2001.286,301.56533,
1998.375,284.29428,
1995.465,284.15893,
1992.554,276.60598,
1989.643,288.51611,
1986.733,270.39474,
1983.822,243.12851,
1980.912,252.96064,
1978.001,266.44898,
1975.090,276.78932,
1972.180,282.93085,
1969.269,275.3764,
1966.359,279.02717,
1963.448,320.06474,
1960.538,298.10508,
1957.627,294.45821,
1954.716,275.57454,
1951.806,320.80773,
1948.895,296.85224,
1945.985,287.97876,
1943.074,285.96307,
1940.164,285.30756,
1937.253,279.30426,
1934.342,276.93155,
1931.432,257.45426,
1928.521,259.39033,
1925.611,278.69466,
1922.700,272.12846,
1919.790,308.61805,
1916.879,283.37148,
1913.968,270.01353,
1911.058,298.06607,
1908.147,292.889,
1905.237,255.38237,
1902.326,260.78075,
1899.415,242.76706,
1896.505,228.82529,
1893.594,235.63113,
1890.684,277.49652,
1887.773,301.22428,
1884.863,288.07062,
1881.952,292.06741,
1879.041,315.66875,
1876.131,295.93988,
1873.220,246.41575,
1870.310,300.33621,
1867.399,304.01599,
1864.489,307.53268,
1861.578,295.533,
1858.667,289.97306,
1855.757,288.9821,
1852.846,304.22566,
1849.936,297.25525,
1847.025,311.53042,
1844.114,299.75762,
1841.204,311.10139,
1838.293,332.50915,
1835.383,309.51202,
1832.472,323.46609,
1829.562,310.42109,
1826.651,293.36755,
1823.740,298.36782,
1820.830,319.29151,
1817.919,309.52685,
1815.009,335.11195,
1812.098,292.42523,
1809.188,316.07745,
1806.277,316.04426,
1803.366,290.93163,
1800.456,344.51616,
1797.545,320.5673,
1794.635,333.16196,
1791.724,312.34954,
1788.813,302.99871,
1785.903,300.17247,
1782.992,291.66017,
1780.082,220.04093,
1777.171,141.33834,
1774.261,161.46003,
