,PL9F9F~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.75,
3011.256,-1.6499785,
3008.346,124.01362,
3005.435,149.13693,
3002.525,163.42002,
2999.614,153.20065,
2996.704,170.5603,
2993.793,162.98387,
2990.882,178.07441,
2987.972,196.24496,
2985.061,192.14655,
2982.151,181.20462,
2979.240,189.73193,
2976.329,200.25546,
2973.419,196.83434,
2970.508,207.63334,
2967.598,211.20221,
2964.687,215.02581,
2961.777,222.96798,
2958.866,214.91122,
2955.955,238.18582,
2953.045,239.81825,
2950.134,245.79226,
2947.224,254.10766,
2944.313,252.84544,
2941.403,265.94069,
2938.492,243.28254,
2935.581,259.65859,
2932.671,263.16844,
2929.760,251.50769,
2926.850,268.15263,
2923.939,257.20793,
2921.028,271.18536,
2918.118,278.46788,
2915.207,255.36385,
2912.297,265.19076,
2909.386,283.43249,
2906.476,269.80057,
2903.565,271.94408,
2900.654,257.13272,
2897.744,263.7974,
2894.833,238.14672,
2891.923,246.5737,
2889.012,216.91474,
2886.102,203.31624,
2883.191,176.26322,
2880.280,64.77628,
2877.370,-191.62733,
2874.459,-327.0828,
2871.549,-78.498007,
2868.638,156.94269,
2865.727,197.69998,
2862.817,220.09357,
2859.906,258.70584,
2856.996,266.72962,
2854.085,272.13025,
2851.175,278.98795,
2848.264,283.38733,
2845.353,297.07746,
2842.443,285.25696,
2839.532,293.22006,
2836.622,284.3737,
2833.711,297.30181,
2830.801,291.95515,
2827.890,294.41784,
2824.979,297.04002,
2822.069,308.19314,
2819.158,300.20957,
2816.248,309.445,
2813.337,316.68293,
2810.427,322.28718,
2807.516,324.83281,
2804.605,313.88462,
2801.695,319.11842,
2798.784,303.43277,
2795.874,319.10488,
2792.963,324.46436,
2790.052,320.25129,
2787.142,317.94719,
2784.231,302.08851,
2781.321,314.5643,
2778.410,313.44037,
2775.500,309.07931,
2772.589,322.25,
2769.678,325.03497,
2766.768,325.81505,
2763.857,313.61801,
2760.947,330.37608,
2758.036,339.23719,
2755.126,338.9188,
2752.215,344.41832,
2749.304,336.80398,
2746.394,341.97985,
2743.483,336.15,
2740.573,345.89606,
2737.662,319.16419,
2734.751,347.41488,
2731.841,347.33058,
2728.930,328.25,
2726.020,344.37789,
2723.109,358.13658,
2720.199,353.72199,
2717.288,334.53102,
2714.377,361.85789,
2711.467,366.0533,
2708.556,365.77126,
2705.646,385.68667,
2702.735,363.74742,
2699.825,369.07549,
2696.914,367.53544,
2694.003,365.91991,
2691.093,363.41007,
2688.182,369.16111,
2685.272,363.09068,
2682.361,365.58515,
2679.450,370.83437,
2676.540,369.92481,
2673.629,364.53694,
2670.719,383.96534,
2667.808,373.73636,
2664.898,363.62646,
2661.987,378.3501,
2659.076,385.74138,
2656.166,394.23274,
2653.255,390.83844,
2650.345,403.81806,
2647.434,395.16426,
2644.524,396.95265,
2641.613,398.50707,
2638.702,412.9975,
2635.792,399.43843,
2632.881,394.55948,
2629.971,404.1024,
2627.060,416.08344,
2624.149,412.95313,
2621.239,408.74704,
2618.328,407.44464,
2615.418,396.21819,
2612.507,407.14724,
2609.597,428.86278,
2606.686,427.34038,
2603.775,435.12698,
2600.865,424.48549,
2597.954,448.95632,
2595.044,428.5361,
2592.133,440.47294,
2589.223,436.7921,
2586.312,441.76256,
2583.401,439.76093,
2580.491,432.79808,
2577.580,418.26485,
2574.670,430.29411,
2571.759,433.29538,
2568.848,452.29984,
2565.938,426.67833,
2563.027,449.73642,
2560.117,442.14722,
2557.206,449.96218,
2554.296,448.54062,
2551.385,463.55594,
2548.474,466.80576,
2545.564,463.50324,
2542.653,472.48154,
2539.743,475.71919,
2536.832,478.25,
2533.922,478.56538,
2531.011,491.65056,
2528.100,482.24654,
2525.190,482.92541,
2522.279,476.1562,
2519.369,468.81637,
2516.458,464.58923,
2513.548,471.25,
2510.637,477.00407,
2507.726,474.18681,
2504.816,476.25,
2501.905,483.55427,
2498.995,501.2945,
2496.084,498.8215,
2493.173,516.74967,
2490.263,517.8229,
2487.352,493.95947,
2484.442,513.95234,
2481.531,511.13842,
2478.621,504.85665,
2475.710,515.227,
2472.799,513.97644,
2469.889,524.58242,
2466.978,515.81715,
2464.068,512.16535,
2461.157,513.01998,
2458.247,527.33836,
2455.336,533.6766,
2452.425,511.41979,
2449.515,524.17517,
2446.604,549.78228,
2443.694,548.15708,
2440.783,535.67567,
2437.872,545.81242,
2434.962,545.54491,
2432.051,569.44739,
2429.141,565.52053,
2426.230,570.05443,
2423.320,557.97835,
2420.409,567.25,
2417.498,565.45505,
2414.588,565.06749,
2411.677,584.46112,
2408.767,560.72047,
2405.856,559.34759,
2402.946,574.46448,
2400.035,571.95657,
2397.124,581.38368,
2394.214,588.84241,
2391.303,589.61449,
2388.393,581.86854,
2385.482,576.11781,
2382.571,513.55345,
2379.661,542.36597,
2376.750,586.87798,
2373.840,596.68126,
2370.929,623.94677,
2368.019,617.47907,
2365.108,614.25,
2362.197,624.40347,
2359.287,637.63663,
2356.376,628.26937,
2353.466,630.28085,
2350.555,637.26054,
2347.645,651.96127,
2344.734,658.0703,
2341.823,648.46558,
2338.913,657.38136,
2336.002,667.25,
2333.092,664.99717,
2330.181,654.95079,
2327.270,659.80996,
2324.360,670.71227,
2321.449,672.74321,
2318.539,681.69648,
2315.628,665.9986,
2312.718,680.56499,
2309.807,691.93313,
2306.896,706.28913,
2303.986,706.02259,
2301.075,691.80317,
2298.165,702.43283,
2295.254,722.84068,
2292.344,702.45743,
2289.433,709.21136,
2286.522,702.33033,
2283.612,705.25,
2280.701,710.44281,
2277.791,696.13165,
2274.880,723.02789,
2271.969,742.70267,
2269.059,745.83584,
2266.148,739.30676,
2263.238,763.13801,
2260.327,755.83642,
2257.417,773.21722,
2254.506,745.68583,
2251.595,753.36619,
2248.685,761.25582,
2245.774,764.35975,
2242.864,760.54674,
2239.953,776.51902,
2237.043,762.57429,
2234.132,754.14871,
2231.221,767.46196,
2228.311,767.16109,
2225.400,784.27815,
2222.490,788.22075,
2219.579,799.54048,
2216.669,798.24046,
2213.758,817.2095,
2210.847,833.5044,
2207.937,791.12302,
2205.026,837.69519,
2202.116,823.54298,
2199.205,843.31235,
2196.294,840.63002,
2193.384,859.69654,
2190.473,840.93661,
2187.563,871.10016,
2184.652,847.32876,
2181.742,889.90942,
2178.831,906.36288,
2175.920,907.00956,
2173.010,920.0017,
2170.099,929.11657,
2167.189,991.55855,
2164.278,1036.1575,
2161.368,1057.5345,
2158.457,1107.3967,
2155.546,1144.7346,
2152.636,1170.5478,
2149.725,1209.3775,
2146.815,1248.1155,
2143.904,1265.0715,
2140.993,1319.1124,
2138.083,1336.5569,
2135.172,1358.729,
2132.262,1371.2641,
2129.351,1350.8188,
2126.441,1348.4345,
2123.530,1335.8572,
2120.619,1292.7182,
2117.709,1224.7472,
2114.798,1171.4306,
2111.888,1143.0504,
2108.977,1107.9122,
2106.067,1078.5992,
2103.156,1036.4171,
2100.245,1010.2525,
2097.335,1010.7579,
2094.424,985.25,
2091.514,980.60211,
2088.603,965.60487,
2085.692,957.06785,
2082.782,976.74787,
2079.871,983.60706,
2076.961,961.73529,
2074.050,987.81364,
2071.140,978.44547,
2068.229,968.8073,
2065.318,961.90501,
2062.408,966.86347,
2059.497,968.26787,
2056.587,957.93631,
2053.676,965.13248,
2050.766,941.48244,
2047.855,932.3924,
2044.944,940.97435,
2042.034,964.06501,
2039.123,966.37121,
2036.213,984.88336,
2033.302,987.27183,
2030.391,1000.9275,
2027.481,1000.8355,
2024.570,972.80779,
2021.660,1000.2396,
2018.749,1011.4522,
2015.839,991.11549,
2012.928,991.6292,
2010.017,992.02958,
2007.107,995.81077,
2004.196,1004.5476,
2001.286,987.79065,
1998.375,994.07973,
1995.465,1003.183,
1992.554,1021.7793,
1989.643,1003.9758,
1986.733,1011.1263,
1983.822,997.0336,
1980.912,1018.3578,
1978.001,989.43555,
1975.090,1019.6866,
1972.180,1009.5944,
1969.269,1020.477,
1966.359,1034.9799,
1963.448,1020.5261,
1960.538,1035.9723,
1957.627,1063.541,
1954.716,1051.6809,
1951.806,1057.1442,
1948.895,1069.2764,
1945.985,1031.982,
1943.074,1030.1871,
1940.164,1055.4038,
1937.253,1043.3632,
1934.342,1033.7457,
1931.432,1051.1459,
1928.521,1040.8718,
1925.611,1054.1978,
1922.700,1061.8757,
1919.790,1075.0302,
1916.879,1093.9945,
1913.968,1079.2697,
1911.058,1069.0518,
1908.147,1066.7814,
1905.237,1073.4265,
1902.326,1073.3285,
1899.415,1041.5146,
1896.505,1037.3282,
1893.594,1041.3263,
1890.684,1092.9688,
1887.773,1113.6724,
1884.863,1102.4072,
1881.952,1090.6701,
1879.041,1102.6233,
1876.131,1094.2199,
1873.220,1115.6572,
1870.310,1139.6715,
1867.399,1084.1776,
1864.489,1111.147,
1861.578,1065.5078,
1858.667,1128.5973,
1855.757,1138.6629,
1852.846,1129.0243,
1849.936,1137.8086,
1847.025,1122.0748,
1844.114,1141.196,
1841.204,1159.3059,
1838.293,1142.24,
1835.383,1146.064,
1832.472,1148.4013,
1829.562,1179.3573,
1826.651,1184.9933,
1823.740,1196.2654,
1820.830,1176.0135,
1817.919,1198.3819,
1815.009,1170.1444,
1812.098,1167.8405,
1809.188,1218.901,
1806.277,1203.6705,
1803.366,1167.1317,
1800.456,1217.8761,
1797.545,1196.0017,
1794.635,1211.702,
1791.724,1204.716,
1788.813,1219.0459,
1785.903,1191.2424,
1782.992,1139.2992,
1780.082,1088.1695,
1777.171,980.24571,
1774.261,983.23038,
1771.350,1077.1955,
1768.439,1195.7855,
1765.529,1238.888,
1762.618,1269.5413,
1759.708,1285.1195,
1756.797,1271.1818,
1753.887,1293.5853,
1750.976,1273.2049,
1748.065,1259.8399,
1745.155,1285.5789,
1742.244,1310.8034,
1739.334,1331.5747,
1736.423,1318.8799,
1733.512,1301.7906,
1730.602,1303.4861,
1727.691,1352.845,
1724.781,1379.8352,
1721.870,1372.788,
1718.960,1363.6721,
1716.049,1383.2244,
1713.138,1419.7398,
1710.228,1389.5678,
1707.317,1393.0957,
1704.407,1455.341,
1701.496,1400.2648,
1698.586,1427.5134,
1695.675,1466.7426,
1692.764,1466.4098,
1689.854,1480.6004,
1686.943,1484.1488,
1684.033,1474.4984,
1681.122,1548.9586,
1678.211,1533.4118,
1675.301,1532.2531,
1672.390,1594.256,
1669.480,1596.3142,
1666.569,1605.4815,
1663.659,1700.9723,
1660.748,1684.1922,
1657.837,1682.6059,
1654.927,1744.07,
1652.016,1778.5902,
1649.106,1792.5438,
1646.195,1804.4898,
1643.285,1815.1842,
1640.374,1854.142,
1637.463,1803.8353,
1634.553,1890.5456,
1631.642,1911.6615,
1628.732,2040.2856,
1625.821,2046.3311,
1622.911,2169.5512,
1620.000,2200.8594,
1617.089,2276.7177,
1614.179,2358.9093,
1611.268,2503.7477,
1608.358,2585.5042,
1605.447,2700.508,
1602.536,2757.5719,
1599.626,2783.3284,
1596.715,2778.8968,
1593.805,2795.2423,
1590.894,2740.0064,
1587.984,2675.0879,
1585.073,2632.2173,
1582.162,2638.7733,
1579.252,2624.0657,
1576.341,2568.9819,
1573.431,2575.8294,
1570.520,2547.6174,
1567.610,2585.6821,
1564.699,2553.673,
1561.788,2528.2078,
1558.878,2507.4982,
1555.967,2474.8054,
1553.057,2441.8364,
1550.146,2398.9083,
1547.235,2364.4918,
1544.325,2337.284,
1541.414,2304.8079,
1538.504,2286.1948,
1535.593,2272.0771,
1532.683,2275.7882,
1529.772,2274.5503,
1526.861,2238.3988,
1523.951,2207.3594,
1521.040,2182.046,
1518.130,2185.3298,
1515.219,2170.0102,
1512.309,2169.7005,
1509.398,2172.5012,
1506.487,2129.6748,
1503.577,2154.5798,
1500.666,2103.5785,
1497.756,2098.5551,
1494.845,2101.8498,
1491.934,2092.3508,
1489.024,2123.1506,
1486.113,2010.2025,
1483.203,2065.1981,
1480.292,2049.4917,
1477.382,2062.2232,
1474.471,2049.3677,
1471.560,2036.2677,
1468.650,2035.2998,
1465.739,2024.0807,
1462.829,2008.8946,
1459.918,2016.5098,
1457.008,2008.4651,
1454.097,1994.8716,
1451.186,2002.7452,
1448.276,2011.0466,
1445.365,2023.7508,
1442.455,2046.6427,
1439.544,2062.9566,
1436.633,2002.542,
1433.723,2035.4902,
1430.812,2057.8806,
1427.902,2051.446,
1424.991,1975.625,
1422.081,2025.5462,
1419.170,2055.3078,
1416.259,2047.9091,
1413.349,2031.6557,
1410.438,2054.5414,
1407.528,2019.2569,
1404.617,2012.6252,
1401.707,2065.9955,
1398.796,2107.8584,
1395.885,2114.8366,
1392.975,2111.4165,
1390.064,2120.9655,
1387.154,2146.4362,
1384.243,2110.2837,
1381.332,2089.1474,
1378.422,2075.2449,
1375.511,2133.3253,
1372.601,2251.2894,
1369.690,2259.5356,
1366.780,2300.4358,
1363.869,2344.6679,
1360.958,2342.7252,
1358.048,2397.5477,
1355.137,2455.4948,
1352.227,2469.25,
1349.316,2489.0803,
1346.406,2506.5196,
1343.495,2493.6926,
1340.584,2557.5347,
1337.674,2619.0692,
1334.763,2584.25,
1331.853,2584.25,
1328.942,2643.8441,
1326.032,2619.4408,
1323.121,2626.3283,
1320.210,2653.8913,
1317.300,2646.9528,
1314.389,2647.6114,
1311.479,2690.3954,
1308.568,2725.2989,
1305.657,2725.2739,
1302.747,2747.0916,
1299.836,2767.1641,
1296.926,2805.9247,
1294.015,2884.9865,
1291.105,2971.9015,
1288.194,2997.6274,
1285.283,3087.1704,
1282.373,3140.2343,
1279.462,3196.2687,
1276.552,3226.2815,
1273.641,3214.4539,
1270.731,3190.3142,
1267.820,3149.7429,
1264.909,3162.9976,
1261.999,3191.6481,
1259.088,3229.9572,
1256.178,3178.2932,
1253.267,3131.6574,
1250.356,3079.6148,
1247.446,3018.0056,
1244.535,2966.942,
1241.625,2918.2019,
1238.714,2880.4295,
1235.804,2862.7502,
1232.893,2781.3763,
1229.982,2772.8889,
1227.072,2703.1799,
1224.161,2699.0905,
1221.251,2656.813,
1218.340,2616.9853,
1215.430,2594.4414,
1212.519,2540.163,
1209.608,2502.7407,
1206.698,2546.4204,
1203.787,2559.5012,
1200.877,2505.1505,
1197.966,2568.0916,
1195.055,2636.9501,
1192.145,2721.8817,
1189.234,2766.3626,
1186.324,2798.5248,
1183.413,2809.184,
1180.503,2785.0735,
1177.592,2764.3108,
1174.681,2777.6507,
1171.771,2663.827,
1168.860,2688.8335,
1165.950,2663.0299,
1163.039,2635.2979,
1160.129,2603.8355,
1157.218,2579.5968,
1154.307,2593.2536,
1151.397,2613.7418,
1148.486,2562.1491,
1145.576,2566.3249,
1142.665,2545.0149,
1139.754,2526.9774,
1136.844,2536.5558,
1133.933,2502.9541,
1131.023,2489.885,
1128.112,2493.7518,
1125.202,2472.2162,
1122.291,2478.7594,
1119.380,2503.4146,
1116.470,2520.1826,
1113.559,2529.2092,
1110.649,2532.5597,
1107.738,2524.1411,
1104.828,2521.6593,
1101.917,2550.2568,
1099.006,2595.8687,
1096.096,2572.7773,
1093.185,2532.3892,
1090.275,2529.25,
1087.364,2518.272,
1084.453,2526.1867,
1081.543,2551.1495,
1078.632,2550.5062,
1075.722,2520.0381,
1072.811,2571.5269,
