,PLCDF0~1,
Wavenumbers [1/cm],Intensity,
2175.920,390.53939,
2173.010,407.12613,
2170.099,408.29216,
2167.189,440.6537,
2164.278,447.26621,
2161.368,470.33835,
2158.457,483.69422,
2155.546,500.85101,
2152.636,538.74197,
2149.725,554.94714,
2146.815,570.15784,
2143.904,570.3276,
2140.993,585.47145,
2138.083,605.50651,
2135.172,604.49905,
2132.262,614.61796,
2129.351,605.58358,
2126.441,597.44052,
2123.530,588.09747,
2120.619,543.68913,
2117.709,545.02275,
2114.798,502.13642,
2111.888,475.88793,
2108.977,465.98924,
2106.067,448.94069,
2103.156,428.6678,
2100.245,399.63253,
2097.335,408.01244,
2094.424,381.1463,
2091.514,383.91536,
2088.603,379.28404,
2085.692,360.8964,
2082.782,376.70922,
2079.871,369.01707,
2076.961,378.72091,
2074.050,353.78864,
2071.140,376.78591,
2068.229,380.89062,
2065.318,393.4525,
2062.408,382.8822,
2059.497,381.85717,
2056.587,377.72989,
2053.676,351.20958,
2050.766,366.93143,
2047.855,369.19781,
2044.944,354.22596,
2042.034,360.39391,
2039.123,388.28493,
2036.213,379.22274,
2033.302,377.32052,
2030.391,373.67615,
2027.481,366.8811,
2024.570,380.11036,
2021.660,374.15716,
2018.749,379.34682,
2015.839,394.26214,
2012.928,368.94715,
2010.017,368.63695,
2007.107,381.06423,
2004.196,374.88694,
2001.286,375.35293,
1998.375,372.8002,
1995.465,374.625,
1992.554,369.36622,
1989.643,379.2448,
1986.733,375.12675,
1983.822,354.4086,
1980.912,380.51535,
1978.001,360.91258,
1975.090,380.44484,
1972.180,368.7633,
1969.269,377.07906,
1966.359,385.97634,
1963.448,381.97242,
1960.538,390.36312,
1957.627,372.11724,
1954.716,377.39519,
1951.806,396.87339,
1948.895,395.50364,
1945.985,359.5482,
1943.074,380.66193,
1940.164,365.66324,
1937.253,343.75117,
1934.342,346.18917,
1931.432,345.54298,
1928.521,359.10687,
1925.611,370.34577,
1922.700,359.54489,
1919.790,354.90248,
1916.879,372.29976,
1913.968,358.64344,
1911.058,365.80519,
1908.147,388.91982,
1905.237,338.22794,
1902.326,339.52573,
1899.415,342.04816,
1896.505,315.7453,
1893.594,304.89029,
1890.684,343.37648,
1887.773,382.95215,
1884.863,381.59311,
1881.952,384.0874,
1879.041,409.05024,
1876.131,376.53482,
1873.220,364.13826,
1870.310,371.97925,
1867.399,406.08122,
1864.489,408.23556,
1861.578,396.00982,
1858.667,377.08005,
1855.757,409.44362,
1852.846,386.61475,
1849.936,391.20557,
1847.025,418.80018,
1844.114,414.9685,
1841.204,410.09703,
1838.293,415.63498,
1835.383,402.52051,
1832.472,402.55543,
1829.562,400.87578,
1826.651,392.83856,
1823.740,419.74383,
1820.830,430.625,
1817.919,372.80427,
1815.009,422.98631,
1812.098,388.74314,
1809.188,435.21403,
1806.277,416.13403,
1803.366,395.60836,
1800.456,395.55927,
1797.545,411.25622,
1794.635,410.33404,
1791.724,425.15903,
1788.813,407.625,
1785.903,406.92152,
1782.992,400.8694,
1780.082,361.7038,
1777.171,275.2813,
1774.261,241.3701,
1771.350,304.23852,
1768.439,394.00887,
1765.529,424.90192,
1762.618,440.5131,
1759.708,451.10349,
1756.797,450.03409,
1753.887,459.39613,
1750.976,463.93522,
1748.065,449.78168,
1745.155,461.3991,
1742.244,474.58423,
1739.334,443.38972,
1736.423,447.40815,
1733.512,440.34447,
1730.602,413.68053,
1727.691,441.93738,
1724.781,472.28941,
1721.870,461.52967,
1718.960,478.1808,
1716.049,465.00653,
1713.138,442.81509,
1710.228,484.01015,
1707.317,492.39414,
1704.407,515.98333,
1701.496,478.5169,
1698.586,467.23312,
1695.675,507.79618,
1692.764,514.41189,
1689.854,508.88484,
1686.943,488.33324,
1684.033,540.28384,
1681.122,543.59102,
1678.211,531.73921,
1675.301,520.65892,
1672.390,525.62799,
1669.480,526.75335,
1666.569,542.65039,
1663.659,545.1313,
1660.748,575.85638,
1657.837,588.10613,
1654.927,609.53128,
1652.016,605.7465,
1649.106,610.94325,
1646.195,623.84079,
1643.285,632.60221,
1640.374,632.04312,
1637.463,651.78713,
1634.553,661.60034,
1631.642,726.73358,
1628.732,736.70796,
1625.821,750.67603,
1622.911,828.18546,
1620.000,819.73839,
1617.089,927.43594,
1614.179,950.03278,
1611.268,991.06353,
1608.358,1048.8624,
1605.447,1086.511,
1602.536,1116.5816,
1599.626,1108.5057,
1596.715,1107.625,
1593.805,1100.4703,
1590.894,1074.9662,
1587.984,1014.4629,
1585.073,1027.7462,
1582.162,1050.8274,
1579.252,1019.4381,
1576.341,1003.6144,
1573.431,1022.7707,
1570.520,1041.6194,
1567.610,1013.5853,
1564.699,984.49926,
1561.788,939.59719,
1558.878,961.85974,
1555.967,932.71781,
1553.057,936.05576,
1550.146,930.11596,
1547.235,908.36043,
1544.325,897.53521,
1541.414,873.64288,
1538.504,863.81824,
1535.593,872.08574,
1532.683,859.84317,
1529.772,844.91873,
1526.861,823.69227,
1523.951,791.4886,
1521.040,793.59729,
1518.130,789.75548,
1515.219,792.06452,
1512.309,804.66102,
1509.398,793.69913,
1506.487,795.63298,
1503.577,787.21281,
1500.666,781.33524,
1497.756,712.20184,
1494.845,766.3443,
1491.934,735.72579,
1489.024,766.52556,
1486.113,727.75473,
1483.203,737.05935,
1480.292,704.68454,
1477.382,675.99405,
1474.471,702.08754,
1471.560,682.59836,
1468.650,698.27267,
1465.739,702.93912,
1462.829,689.67274,
1459.918,679.75756,
1457.008,690.33287,
1454.097,694.38184,
1451.186,692.77394,
1448.276,700.09046,
1445.365,707.34222,
1442.455,728.95902,
1439.544,695.99014,
1436.633,703.77992,
1433.723,688.11746,
1430.812,702.89134,
1427.902,669.50444,
1424.991,706.46717,
1422.081,655.32881,
1419.170,665.31403,
1416.259,644.94323,
1413.349,638.86976,
1410.438,667.31597,
1407.528,672.54384,
1404.617,636.92007,
1401.707,649.07113,
1398.796,698.03404,
1395.885,690.51453,
1392.975,671.87589,
1390.064,702.38434,
1387.154,683.7933,
1384.243,689.00457,
1381.332,689.64907,
1378.422,644.33008,
1375.511,696.78982,
1372.601,716.97798,
1369.690,674.90665,
1366.780,769.0055,
1363.869,759.30115,
1360.958,766.75192,
1358.048,833.39631,
1355.137,853.22606,
1352.227,850.35057,
1349.316,890.34357,
1346.406,908.14697,
1343.495,871.35846,
1340.584,890.08897,
1337.674,912.66182,
1334.763,930.01314,
1331.853,940.21268,
1328.942,952.18803,
1326.032,941.39069,
1323.121,976.41419,
1320.210,1012.9322,
1317.300,1012.8204,
1314.389,1009.764,
1311.479,1024.2366,
1308.568,1052.4294,
1305.657,1081.7488,
1302.747,1074.7177,
1299.836,1047.2959,
1296.926,1132.6333,
1294.015,1175.8415,
1291.105,1190.8331,
1288.194,1222.1785,
1285.283,1270.4372,
1282.373,1282.1953,
1279.462,1302.6834,
1276.552,1345.318,
1273.641,1363.1348,
1270.731,1353.2116,
1267.820,1363.3012,
1264.909,1343.2506,
1261.999,1290.9232,
1259.088,1326.4959,
1256.178,1329.4815,
1253.267,1333.461,
1250.356,1254.709,
1247.446,1235.987,
1244.535,1235.2545,
1241.625,1187.5214,
1238.714,1138.625,
1235.804,1143.2123,
1232.893,1146.3954,
1229.982,1054.5449,
1227.072,1081.7043,
1224.161,1069.3364,
1221.251,1041.3117,
1218.340,1030.6816,
1215.430,1004.8509,
1212.519,984.17224,
1209.608,992.83877,
1206.698,1006.8164,
1203.787,993.95162,
1200.877,969.12649,
1197.966,977.21892,
1195.055,1022.8472,
1192.145,1033.6304,
1189.234,1077.4453,
1186.324,1118.6267,
1183.413,1116.4016,
1180.503,1109.127,
1177.592,1139.9483,
1174.681,1142.3031,
1171.771,1104.6359,
1168.860,1061.7676,
1165.950,1041.4992,
1163.039,1062.7675,
1160.129,1073.0351,
1157.218,1075.0287,
1154.307,1063.155,
1151.397,1034.1935,
1148.486,1017.5789,
1145.576,996.01271,
1142.665,1027.9776,
1139.754,1034.6931,
1136.844,1015.3162,
1133.933,992.54885,
1131.023,998.67626,
1128.112,1001.6272,
1125.202,976.79891,
1122.291,983.37433,
1119.380,981.83287,
1116.470,1003.0136,
1113.559,1006.3982,
1110.649,994.83778,
1107.738,996.66227,
1104.828,1015.2758,
1101.917,1023.9324,
1099.006,1011.7589,
1096.096,1038.6899,
1093.185,1007.0818,
1090.275,1030.5216,
1087.364,1018.7858,
1084.453,1027.4989,
1081.543,1037.1192,
1078.632,1025.7303,
1075.722,1006.6757,
1072.811,990.43168,
1069.901,1001.7841,
1066.990,1047.0832,
1064.079,1052.1809,
1061.169,1041.8928,
1058.258,1050.8705,
1055.348,1066.3337,
1052.437,1051.9851,
1049.527,1045.7397,
1046.616,1100.4759,
1043.705,1086.5851,
1040.795,1106.1652,
1037.884,1107.4758,
1034.974,1092.7629,
1032.063,1091.2942,
1029.153,1097.0404,
