,PL3E71~1,
Wavenumbers [1/cm],Intensity,
2173.010,1057.4765,
2170.099,1077.6235,
2167.189,1111.8618,
2164.278,1147.9999,
2161.368,1183.0517,
2158.457,1234.3338,
2155.546,1275.1693,
2152.636,1321.4973,
2149.725,1358.5914,
2146.815,1421.6229,
2143.904,1448.8443,
2140.993,1491.9002,
2138.083,1494.5793,
2135.172,1518.6418,
2132.262,1522.8838,
2129.351,1525.1146,
2126.441,1487.5181,
2123.530,1460.2097,
2120.619,1421.2856,
2117.709,1398.187,
2114.798,1349.7632,
2111.888,1292.6883,
2108.977,1240.6581,
2106.067,1178.1558,
2103.156,1156.7065,
2100.245,1124.6325,
2097.335,1133.0124,
2094.424,1100.6413,
2091.514,1080.9099,
2088.603,1079.1503,
2085.692,1069.7589,
2082.782,1084.1229,
2079.871,1085.2318,
2076.961,1083.625,
2074.050,1063.7402,
2071.140,1083.6941,
2068.229,1073.8971,
2065.318,1075.7733,
2062.408,1073.1931,
2059.497,1074.0357,
2056.587,1062.7299,
2053.676,1087.6564,
2050.766,1069.7035,
2047.855,1083.0237,
2044.944,1093.5657,
2042.034,1073.151,
2039.123,1077.0661,
2036.213,1086.7406,
2033.302,1094.3205,
2030.391,1102.9131,
2027.481,1111.064,
2024.570,1094.2398,
2021.660,1146.1364,
2018.749,1114.701,
2015.839,1117.4321,
2012.928,1125.6133,
2010.017,1126.8595,
2007.107,1134.5839,
2004.196,1134.2796,
2001.286,1131.0454,
1998.375,1139.7953,
1995.465,1145.6375,
1992.554,1158.2661,
1989.643,1145.1435,
1986.733,1156.3039,
1983.822,1155.5622,
1980.912,1179.476,
1978.001,1157.9979,
1975.090,1159.8128,
1972.180,1162.2114,
1969.269,1163.0216,
1966.359,1145.5166,
1963.448,1151.4269,
1960.538,1172.2322,
1957.627,1205.0492,
1954.716,1229.0217,
1951.806,1196.4134,
1948.895,1225.9064,
1945.985,1190.357,
1943.074,1181.8316,
1940.164,1202.9425,
1937.253,1210.4339,
1934.342,1198.1464,
1931.432,1226.0256,
1928.521,1233.5853,
1925.611,1228.3458,
1922.700,1217.5449,
1919.790,1193.0935,
1916.879,1227.7653,
1913.968,1228.6275,
1911.058,1230.4178,
1908.147,1242.9535,
1905.237,1243.2867,
1902.326,1206.7243,
1899.415,1208.1384,
1896.505,1219.0104,
1893.594,1221.5244,
1890.684,1233.3963,
1887.773,1247.4176,
1884.863,1267.7275,
1881.952,1243.4228,
1879.041,1245.9983,
1876.131,1265.2838,
1873.220,1245.9612,
1870.310,1292.7505,
1867.399,1241.5206,
1864.489,1244.4428,
1861.578,1265.092,
1858.667,1274.7597,
1855.757,1297.2515,
1852.846,1267.8763,
1849.936,1267.7181,
1847.025,1277.6201,
1844.114,1314.1098,
1841.204,1315.3278,
1838.293,1286.6317,
1835.383,1305.578,
1832.472,1328.1833,
1829.562,1347.8727,
1826.651,1340.5306,
1823.740,1353.7362,
1820.830,1356.995,
1817.919,1383.3138,
1815.009,1371.6441,
1812.098,1348.877,
1809.188,1375.7025,
1806.277,1371.7578,
1803.366,1302.6398,
1800.456,1364.3287,
1797.545,1391.5045,
1794.635,1367.529,
1791.724,1348.2755,
1788.813,1357.0255,
1785.903,1372.6947,
1782.992,1397.7009,
1780.082,1330.0808,
1777.171,1280.6116,
1774.261,1230.26,
1771.350,1282.6555,
1768.439,1386.6069,
1765.529,1430.8093,
1762.618,1451.4563,
1759.708,1446.4075,
1756.797,1474.2765,
1753.887,1485.1877,
1750.976,1469.8043,
1748.065,1468.7817,
1745.155,1482.3152,
1742.244,1494.5978,
1739.334,1513.7426,
1736.423,1504.668,
1733.512,1516.5438,
1730.602,1526.6171,
1727.691,1542.9782,
1724.781,1547.625,
1721.870,1575.7918,
1718.960,1557.958,
1716.049,1574.4383,
