,PL6A3E~1,
Wavenumbers [1/cm],Intensity,
2175.920,352.12227,
2173.010,363.32568,
2170.099,370.09127,
2167.189,380.78286,
2164.278,405.11947,
2161.368,425.05292,
2158.457,444.97941,
2155.546,457.54905,
2152.636,476.65155,
2149.725,481.12836,
2146.815,527.98992,
2143.904,514.82203,
2140.993,516.00585,
2138.083,538.51864,
2135.172,538.05363,
2132.262,544.74736,
2129.351,536.82841,
2126.441,538.15899,
2123.530,517.0189,
2120.619,465.55152,
2117.709,476.04287,
2114.798,458.02869,
2111.888,420.7382,
2108.977,404.98924,
2106.067,394.76609,
2103.156,381.06698,
2100.245,381.62939,
2097.335,383.80825,
2094.424,349.34305,
2091.514,352.34006,
2088.603,344.6066,
2085.692,347.03757,
2082.782,349.26359,
2079.871,353.19676,
2076.961,349.94789,
2074.050,324.69167,
2071.140,344.17684,
2068.229,340.70702,
2065.318,356.60076,
2062.408,350.83681,
2059.497,345.64287,
2056.587,346.65996,
2053.676,343.80838,
2050.766,333.47179,
2047.855,338.42565,
2044.944,328.56571,
2042.034,320.71187,
2039.123,353.50379,
2036.213,354.00728,
2033.302,359.29907,
2030.391,346.11665,
2027.481,348.08837,
2024.570,347.93933,
2021.660,363.6198,
2018.749,352.43505,
2015.839,349.77723,
2012.928,356.49916,
2010.017,338.46865,
2007.107,353.55585,
2004.196,365.8155,
2001.286,368.18685,
1998.375,353.49114,
1995.465,331.31964,
1992.554,342.40133,
1989.643,356.21024,
1986.733,336.67851,
1983.822,341.99797,
1980.912,362.93147,
1978.001,345.50626,
1975.090,350.82042,
1972.180,355.03856,
1969.269,356.49281,
1966.359,337.4626,
1963.448,361.95923,
1960.538,354.33726,
1957.627,366.56619,
1954.716,362.79736,
1951.806,351.41985,
1948.895,367.77276,
1945.985,374.80801,
1943.074,364.3336,
1940.164,349.53855,
1937.253,355.76415,
1934.342,357.65067,
1931.432,355.42942,
1928.521,343.18286,
1925.611,341.50809,
1922.700,362.41091,
1919.790,371.93131,
1916.879,371.69475,
1913.968,359.63975,
1911.058,374.16254,
1908.147,362.17824,
1905.237,328.41178,
1902.326,333.77908,
1899.415,329.2811,
1896.505,329.05872,
1893.594,317.99387,
1890.684,332.92549,
1887.773,356.04743,
1884.863,363.91657,
1881.952,369.32249,
1879.041,396.85865,
1876.131,395.85245,
1873.220,337.83716,
1870.310,375.10922,
1867.399,407.16119,
1864.489,386.58606,
1861.578,382.91642,
1858.667,359.2657,
1855.757,373.03073,
1852.846,366.37372,
1849.936,381.9493,
1847.025,422.09458,
1844.114,395.24136,
1841.204,382.90471,
