,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_1E-4mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__3__46,
Raman shift [1/cm],Intensity,
2190.473,409.33568,
2187.563,396.837,
2184.652,417.15979,
2181.742,426.61312,
2178.831,429.94072,
2175.920,436.25819,
2173.010,439.62585,
2170.099,466.28076,
2167.189,493.90069,
2164.278,514.01633,
2161.368,521.46287,
2158.457,558.37529,
2155.546,561.46249,
2152.636,574.56378,
2149.725,612.70971,
2146.815,602.31727,
2143.904,646.35223,
2140.993,649.88759,
2138.083,655.42167,
2135.172,666.82557,
2132.262,662.75704,
2129.351,658.95341,
2126.441,641.73054,
2123.530,638.36838,
2120.619,600.62173,
2117.709,571.05837,
2114.798,553.75761,
2111.888,541.21257,
2108.977,514.95528,
2106.067,487.0992,
2103.156,485.38951,
2100.245,473.73369,
2097.335,447.75,
2094.424,447.03195,
2091.514,450.11295,
2088.603,458.32604,
2085.692,443.15528,
2082.782,451.42057,
2079.871,431.64149,
2076.961,438.84591,
2074.050,431.1197,
2071.140,419.55453,
2068.229,425.65494,
2065.318,439.93601,
2062.408,453.76513,
2059.497,443.73213,
2056.587,449.09865,
2053.676,450.48353,
2050.766,453.44208,
2047.855,405.23414,
2044.944,425.87339,
2042.034,447.77305,
2039.123,423.92845,
2036.213,416.26781,
2033.302,431.1847,
2030.391,431.8857,
2027.481,440.90843,
2024.570,430.42181,
2021.660,444.68567,
2018.749,433.24388,
2015.839,447.76772,
2012.928,453.16442,
2010.017,435.54154,
2007.107,445.05092,
2004.196,447.52385,
2001.286,454.52033,
1998.375,437.1368,
1995.465,445.69553,
1992.554,445.36768,
1989.643,429.30302,
1986.733,438.87369,
1983.822,461.71233,
1980.912,465.63004,
1978.001,432.80011,
1975.090,464.55458,
1972.180,449.71678,
1969.269,447.07188,
1966.359,439.53357,
1963.448,435.13309,
1960.538,427.82339,
1957.627,441.79955,
1954.716,434.03727,
1951.806,471.36545,
1948.895,426.26011,
1945.985,434.85621,
1943.074,454.75,
1940.164,446.9229,
1937.253,436.62383,
1934.342,460.91256,
1931.432,449.73107,
1928.521,449.18005,
1925.611,454.98383,
1922.700,450.37569,
1919.790,455.77883,
1916.879,441.86599,
1913.968,437.75369,
1911.058,446.88213,
1908.147,446.35874,
1905.237,437.50004,
1902.326,476.35294,
1899.415,491.69144,
1896.505,454.79215,
1893.594,439.93898,
1890.684,443.30544,
1887.773,454.55186,
1884.863,452.66344,
1881.952,465.60738,
1879.041,467.72404,
1876.131,470.00752,
1873.220,446.34282,
1870.310,439.037,
1867.399,449.57407,
1864.489,465.24373,
1861.578,455.08499,
1858.667,477.45659,
1855.757,470.17005,
1852.846,450.01153,
1849.936,460.07532,
1847.025,466.33881,
1844.114,462.54294,
1841.204,454.43532,
1838.293,464.72007,
1835.383,495.31949,
1832.472,510.49435,
1829.562,492.03072,
1826.651,519.40909,
1823.740,508.63117,
1820.830,493.12004,
1817.919,459.17494,
1815.009,476.58078,
1812.098,491.52165,
1809.188,462.73457,
1806.277,522.35569,
1803.366,508.98291,
1800.456,523.18966,
1797.545,529.2749,
1794.635,519.39407,
1791.724,542.16759,
1788.813,502.75514,
1785.903,519.68798,
1782.992,522.75,
1780.082,515.21844,
1777.171,507.42185,
1774.261,532.22511,
1771.350,533.43925,
1768.439,522.02677,
1765.529,515.11201,
1762.618,511.03064,
1759.708,534.60886,
1756.797,537.30303,
1753.887,520.67274,
1750.976,526.77421,
1748.065,537.43664,
1745.155,541.02741,
1742.244,551.68205,
1739.334,542.37118,
1736.423,547.05466,
1733.512,544.47356,
1730.602,556.71034,
1727.691,591.68876,
1724.781,577.1527,
1721.870,601.33113,
1718.960,597.23875,
1716.049,571.25871,
1713.138,588.1249,
1710.228,540.40248,
1707.317,553.09514,
1704.407,602.46665,
1701.496,574.93428,
1698.586,638.27688,
1695.675,587.60748,
1692.764,641.50003,
1689.854,625.61613,
1686.943,603.49196,
1684.033,622.25328,
1681.122,590.31075,
1678.211,623.42641,
1675.301,631.72533,
1672.390,659.92645,
1669.480,718.23659,
1666.569,655.09279,
1663.659,682.17464,
1660.748,708.00066,
1657.837,720.79374,
1654.927,722.79686,
1652.016,724.75,
1649.106,724.40727,
1646.195,711.42134,
1643.285,739.06901,
1640.374,754.04616,
1637.463,815.02022,
1634.553,828.81899,
1631.642,767.99866,
1628.732,882.01072,
1625.821,925.7428,
1622.911,914.81199,
1620.000,993.7421,
1617.089,1008.4714,
1614.179,1072.8887,
1611.268,1122.8911,
1608.358,1203.8637,
1605.447,1264.3219,
1602.536,1227.6789,
1599.626,1291.9051,
1596.715,1258.7231,
1593.805,1241.335,
1590.894,1223.8979,
1587.984,1264.1885,
1585.073,1191.624,
1582.162,1184.4291,
1579.252,1189.0232,
1576.341,1164.116,
1573.431,1171.8471,
