,PLFBF1~1,
Wavenumbers [1/cm],Intensity,
2175.920,377.6291,
2173.010,386.92602,
2170.099,405.74008,
2167.189,420.92523,
2164.278,435.50515,
2161.368,469.59053,
2158.457,452.34754,
2155.546,476.76829,
2152.636,494.53987,
2149.725,514.51928,
2146.815,543.00741,
2143.904,536.08688,
2140.993,559.52057,
2138.083,550.62875,
2135.172,566.8666,
2132.262,572.25616,
2129.351,560.52664,
2126.441,550.57401,
2123.530,565.47094,
2120.619,527.26043,
2117.709,506.91969,
2114.798,485.77489,
2111.888,478.58712,
2108.977,460.80876,
2106.067,442.08311,
2103.156,439.11533,
2100.245,432.87625,
2097.335,433.06872,
2094.424,423.22589,
2091.514,427.79699,
2088.603,414.97639,
2085.692,410.5107,
2082.782,412.40911,
2079.871,413.05353,
2076.961,410.06873,
2074.050,430.61439,
2071.140,409.09314,
2068.229,426.14713,
2065.318,426.49225,
2062.408,409.62464,
2059.497,407.30359,
2056.587,409.78209,
2053.676,431.3735,
2050.766,407.33838,
2047.855,414.59021,
2044.944,405.27404,
2042.034,411.90396,
2039.123,425.21507,
2036.213,428.08612,
2033.302,425.98377,
2030.391,450.21321,
2027.481,459.17994,
2024.570,421.47593,
2021.660,440.27851,
2018.749,442.60907,
2015.839,438.02723,
2012.928,452.79446,
2010.017,457.82288,
2007.107,456.01331,
2004.196,447.875,
2001.286,457.54283,
1998.375,468.74607,
1995.465,473.23482,
1992.554,486.14548,
1989.643,478.22064,
1986.733,471.17939,
1983.822,459.43925,
1980.912,461.28081,
1978.001,464.65423,
1975.090,477.49942,
1972.180,482.35636,
1969.269,495.04453,
1966.359,482.49649,
1963.448,481.25809,
1960.538,485.30953,
1957.627,489.44157,
1954.716,519.01319,
1951.806,512.12339,
1948.895,517.38511,
1945.985,518.42402,
1943.074,506.63149,
1940.164,510.48098,
1937.253,524.86202,
1934.342,527.93489,
1931.432,524.48383,
1928.521,514.92681,
1925.611,518.9204,
1922.700,520.875,
1919.790,532.93267,
1916.879,544.17751,
1913.968,517.9082,
1911.058,529.61073,
1908.147,531.45461,
1905.237,561.91908,
1902.326,531.80983,
1899.415,527.99697,
1896.505,531.38074,
1893.594,503.50613,
1890.684,541.75717,
1887.773,563.832,
1884.863,557.04812,
1881.952,547.90007,
1879.041,551.68341,
1876.131,555.50376,
1873.220,578.53881,
1870.310,603.22474,
1867.399,587.16288,
1864.489,581.92782,
1861.578,537.61098,
1858.667,577.98276,
1855.757,602.87142,
1852.846,602.60322,
1849.936,583.82896,
1847.025,573.75577,
1844.114,581.27735,
1841.204,579.16871,
1838.293,581.36585,
1835.383,580.31701,
1832.472,600.37587,
1829.562,617.2362,
1826.651,603.19945,
1823.740,610.70644,
1820.830,615.875,
1817.919,616.68938,
1815.009,605.74396,
1812.098,602.07973,
1809.188,621.57263,
1806.277,606.25124,
1803.366,617.89164,
1800.456,618.21551,
1797.545,606.96719,
1794.635,607.35899,
1791.724,602.22454,
1788.813,590.07011,
1785.903,587.06871,
1782.992,601.65883,
1780.082,513.89546,
1777.171,454.86696,
1774.261,446.04543,
1771.350,522.45002,
1768.439,596.91952,
1765.529,630.42319,
1762.618,655.12189,
1759.708,651.63576,
1756.797,641.95076,
1753.887,652.46538,
1750.976,651.03011,
1748.065,633.81509,
1745.155,628.79112,
1742.244,658.34687,
1739.334,652.33383,
1736.423,652.06003,
1733.512,682.0702,
1730.602,685.14285,
1727.691,679.80436,
1724.781,695.39311,
1721.870,719.99417,
1718.960,720.76384,
1716.049,706.4514,
1713.138,716.69994,
1710.228,710.17203,
1707.317,711.52871,
1704.407,710.07821,
1701.496,730.8406,
1698.586,764.29047,
1695.675,746.28941,
1692.764,761.91599,
1689.854,790.61911,
1686.943,763.85304,
1684.033,819.4345,
1681.122,804.16387,
1678.211,799.91307,
1675.301,834.76708,
1672.390,794.01557,
1669.480,840.58621,
1666.569,805.56058,
1663.659,859.25064,
1660.748,881.56649,
1657.837,866.50922,
1654.927,894.99215,
1652.016,900.36098,
1649.106,920.48703,
1646.195,945.18669,
1643.285,957.32812,
1640.374,933.83319,
1637.463,933.26212,
1634.553,1008.8307,
1631.642,1006.0922,
1628.732,1025.9165,
1625.821,1032.9129,
1622.911,1090.5482,
1620.000,1128.3962,
1617.089,1118.0939,
1614.179,1175.2111,
1611.268,1238.4956,
1608.358,1316.176,
1605.447,1304.7892,
1602.536,1344.878,
1599.626,1378.2328,
1596.715,1335.4949,
1593.805,1323.7203,
1590.894,1336.0851,
1587.984,1301.4991,
1585.073,1292.4717,
1582.162,1285.1959,
1579.252,1276.5103,
1576.341,1272.4718,
1573.431,1278.1404,
1570.520,1290.5763,
1567.610,1280.463,
1564.699,1260.6494,
1561.788,1242.9033,
1558.878,1265.8683,
1555.967,1249.8058,
1553.057,1261.6678,
1550.146,1232.6278,
1547.235,1196.6104,
1544.325,1182.392,
1541.414,1187.7563,
1538.504,1186.0575,
1535.593,1170.0059,
1532.683,1173.1441,
1529.772,1175.5439,
1526.861,1151.3912,
1523.951,1118.6934,
1521.040,1114.9481,
1518.130,1136.7085,
1515.219,1126.7546,
1512.309,1141.875,
1509.398,1138.8674,
1506.487,1129.867,
1503.577,1133.2908,
1500.666,1104.5685,
1497.756,1133.9513,
1494.845,1135.2752,
1491.934,1144.8498,
1489.024,1137.1499,
1486.113,1074.7516,
1483.203,1136.4876,
1480.292,1090.5703,
1477.382,1118.0544,
1474.471,1093.8777,
1471.560,1089.6803,
1468.650,1123.3056,
1465.739,1145.5609,
1462.829,1092.5805,
1459.918,1063.2673,
1457.008,1087.1214,
1454.097,1106.1101,
1451.186,1106.1323,
1448.276,1121.1683,
1445.365,1157.4824,
1442.455,1161.1483,
1439.544,1157.1638,
1436.633,1143.3219,
1433.723,1159.7353,
1430.812,1194.0228,
1427.902,1194.1387,
1424.991,1121.161,
1422.081,1183.0984,
1419.170,1173.3219,
1416.259,1168.4448,
1413.349,1159.5673,
1410.438,1207.9589,
1407.528,1199.6191,
1404.617,1205.773,
1401.707,1224.5247,
1398.796,1240.5638,
1395.885,1255.0482,
1392.975,1253.1666,
1390.064,1251.5807,
1387.154,1243.3979,
1384.243,1223.8759,
1381.332,1240.3498,
1378.422,1182.7733,
1375.511,1238.9802,
1372.601,1289.6398,
1369.690,1269.0155,
1366.780,1311.6051,
1363.869,1323.1485,
1360.958,1326.1761,
1358.048,1349.8275,
1355.137,1375.3887,
1352.227,1393.1103,
1349.316,1375.2681,
1346.406,1332.1943,
1343.495,1340.598,
1340.584,1363.875,
1337.674,1369.4494,
1334.763,1413.405,
1331.853,1348.4989,
1328.942,1434.8214,
1326.032,1353.7099,
1323.121,1328.4292,
1320.210,1359.5051,
1317.300,1312.7202,
1314.389,1309.473,
1311.479,1343.5061,
1308.568,1342.1853,
1305.657,1346.2226,
1302.747,1335.0553,
1299.836,1330.5777,
1296.926,1350.1314,
1294.015,1355.6473,
1291.105,1392.8578,
1288.194,1393.0825,
1285.283,1416.9351,
1282.373,1437.6328,
1279.462,1457.6002,
1276.552,1474.9144,
1273.641,1478.0789,
1270.731,1461.5839,
1267.820,1437.9137,
1264.909,1445.1391,
1261.999,1468.2758,
1259.088,1451.8576,
1256.178,1469.717,
1253.267,1459.8327,
1250.356,1422.6896,
1247.446,1396.3139,
1244.535,1374.009,
1241.625,1360.0861,
1238.714,1346.3069,
1235.804,1301.3896,
1232.893,1262.5021,
1229.982,1252.967,
1227.072,1255.6829,
1224.161,1250.832,
1221.251,1206.6935,
1218.340,1200.2966,
1215.430,1180.6514,
1212.519,1152.7253,
1209.608,1146.0644,
1206.698,1150.8537,
1203.787,1139.9303,
1200.877,1100.2183,
1197.966,1154.1678,
1195.055,1166.2607,
1192.145,1209.1989,
1189.234,1227.4165,
1186.324,1248.4222,
1183.413,1232.5196,
1180.503,1211.0868,
1177.592,1245.2487,
1174.681,1237.5942,
1171.771,1221.4011,
1168.860,1200.86,
1165.950,1162.592,
1163.039,1153.1766,
1160.129,1134.5895,
1157.218,1114.664,
1154.307,1130.2496,
1151.397,1155.5377,
1148.486,1113.9759,
1145.576,1109.299,
1142.665,1119.0661,
1139.754,1099.5343,
1136.844,1108.8811,
1133.933,1094.9338,
1131.023,1092.6774,
1128.112,1096.9477,
1125.202,1075.8026,
1122.291,1065.6405,
1119.380,1105.6585,
1116.470,1083.5953,
1113.559,1086.2877,
1110.649,1099.0074,
1107.738,1095.2303,
1104.828,1091.8682,
1101.917,1103.3131,
1099.006,1114.9265,
1096.096,1116.7035,
1093.185,1064.9014,
1090.275,1059.2565,
1087.364,1085.6338,
1084.453,1080.4386,
1081.543,1071.2572,
1078.632,1069.3535,
1075.722,1060.9616,
1072.811,1096.4955,
1069.901,1105.2281,
1066.990,1094.5584,
1064.079,1102.7632,
1061.169,1095.7244,
1058.258,1087.5689,
1055.348,1109.8642,
1052.437,1150.4955,
1049.527,1113.9491,
1046.616,1141.7517,
1043.705,1133.3135,
1040.795,1126.6825,
1037.884,1128.9209,
1034.974,1138.8338,
1032.063,1152.6903,
1029.153,1163.0055,
1026.242,1147.4363,
1023.331,1156.0411,
1020.421,1169.0286,
1017.510,1180.5983,
1014.600,1190.1043,
1011.689,1181.9066,
1008.778,1135.5859,
1005.868,1070.3538,
1002.957,1123.6957,
1000.047,1179.195,
997.136,1239.7498,
994.226,1293.5208,
991.315,1312.828,
988.404,1291.172,
985.494,1297.0886,
982.583,1261.9698,
979.673,1253.2168,
976.762,1246.004,
973.852,1239.6649,
970.941,1248.4338,
968.030,1274.0715,
965.120,1263.8571,
962.209,1259.5944,
959.299,1285.0802,
956.388,1282.4359,
953.477,1279.6845,
950.567,1290.875,
947.656,1291.3206,
944.746,1294.7189,
941.835,1301.3535,
938.925,1325.2487,
936.014,1327.7701,
933.103,1317.8157,
930.193,1311.6801,
927.282,1293.271,
924.372,1263.6748,
921.461,1261.3478,
918.551,1243.8661,
915.640,1220.2514,
912.729,1213.1206,
909.819,1230.8733,
906.908,1215.7097,
903.998,1234.7591,
901.087,1241.148,
898.176,1244.261,
895.266,1251.3186,
892.355,1264.3303,
889.445,1282.7942,
886.534,1291.2237,
883.624,1294.8935,
880.713,1286.6886,
877.802,1259.4632,
874.892,1207.5934,
871.981,1128.5865,
869.071,1031.6787,
866.160,1052.1328,
863.250,1154.8443,
860.339,1236.8127,
857.428,1252.8665,
854.518,1289.7196,
851.607,1249.7802,
848.697,1172.0298,
845.786,1128.4577,
842.875,1129.4101,
839.965,1173.3271,
837.054,1275.9308,
834.144,1280.9033,
831.233,1295.874,
828.323,1287.5433,
825.412,1277.6703,
822.501,1283.4706,
819.591,1247.9354,
816.680,1243.6699,
813.770,1243.5015,
810.859,1230.789,
807.949,1218.1823,
805.038,1228.5675,
802.127,1242.5606,
799.217,1228.2218,
796.306,1233.6589,
793.396,1251.2186,
790.485,1260.3999,
787.574,1240.4355,
784.664,1255.1975,
781.753,1251.8361,
778.843,1254.756,
775.932,1260.2577,
773.022,1258.6214,
770.111,1256.9862,
767.200,1285.8049,
764.290,1294.2971,
761.379,1282.8467,
758.469,1259.8063,
755.558,1236.9479,
752.648,1239.3917,
749.737,1235.3055,
746.826,1234.2737,
743.916,1237.8296,
741.005,1240.9492,
738.095,1223.8998,
735.184,1166.8154,
732.274,1084.9227,
729.363,1052.73,
726.452,1118.5325,
723.542,1243.9885,
720.631,1255.4622,
717.721,1248.2823,
714.810,1255.9601,
711.899,1275.8651,
708.989,1262.9543,
706.078,1265.2789,
703.168,1263.4461,
700.257,1260.6373,
697.347,1258.2229,
694.436,1256.5078,
691.525,1279.8182,
688.615,1242.7379,
685.704,1237.7329,
682.794,1256.6198,
679.883,1233.6319,
676.973,1250.4607,
674.062,1273.6555,
671.151,1280.93,
668.241,1274.4455,
665.330,1270.1775,
662.420,1276.5674,
659.509,1279.1449,
656.598,1270.3545,
653.688,1259.0252,
650.777,1262.47,
647.867,1250.525,
644.956,1227.443,
642.046,1208.656,
639.135,1190.0234,
636.224,1153.1456,
633.314,1207.1334,
630.403,1252.2092,
627.493,1270.4183,
624.582,1272.4676,
621.672,1306.5233,
618.761,1297.9958,
615.850,1309.2007,
612.940,1320.5335,
610.029,1325.0044,
607.119,1355.8,
604.208,1353.1949,
601.297,1356.3587,
598.387,1364.4547,
595.476,1369.538,
592.566,1355.3707,
589.655,1358.0581,
586.745,1348.7239,
583.834,1329.1421,
580.923,1315.8703,
578.013,1315.0855,
575.102,1332.0826,
572.192,1342.7313,
569.281,1341.5464,
566.371,1356.4162,
563.460,1349.4094,
560.549,1336.1294,
557.639,1341.1831,
554.728,1379.968,
551.818,1333.9293,
548.907,1358.0021,
545.996,1363.9346,
543.086,1339.5461,
540.175,1342.6606,
537.265,1337.0808,
534.354,1359.9595,
531.444,1376.5153,
528.533,1354.9854,
525.622,1356.5373,
522.712,1361.1223,
519.801,1376.0952,
516.891,1400.4136,
513.980,1422.8682,
511.070,1438.9619,
508.159,1459.202,
505.248,1477.629,
502.338,1486.2139,
499.427,1497.7914,
496.517,1511.6225,
493.606,1520.548,
490.695,1519.0934,
487.785,1499.0788,
484.874,1521.0777,
481.964,1534.875,
479.053,1529.5431,
476.143,1507.2722,
473.232,1502.278,
470.321,1500.3884,
467.411,1506.4598,
464.500,1526.8835,
461.590,1566.7019,
458.679,1572.3721,
455.769,1552.7519,
452.858,1522.4201,
449.947,1546.8659,
447.037,1554.9088,
444.126,1571.6629,
441.216,1588.6731,
438.305,1541.4334,
435.395,1530.2855,
432.484,1544.5451,
429.573,1563.4374,
426.663,1544.4339,
423.752,1390.1402,
420.842,1206.05,
417.931,1040.2342,
415.020,949.9896,
412.110,1197.0867,
409.199,1382.7624,
406.289,1478.1692,
403.378,1469.7316,
400.468,1427.3959,
397.557,1465.29,
394.646,1516.5685,
391.736,1524.5269,
388.825,1544.8912,
385.915,1544.4887,
383.004,1558.5775,
380.094,1608.3357,
377.183,1617.3654,
374.272,1629.645,
371.362,1658.1836,
368.451,1705.3705,
365.541,1680.6028,
362.630,1690.8085,
359.719,1700.4355,
356.809,1689.7844,
353.898,1688.2868,
350.988,1680.2802,
348.077,1677.0695,
345.167,1685.1399,
342.256,1690.3694,
339.345,1678.0578,
336.435,1675.5907,
333.524,1701.1099,
330.614,1708.5614,
327.703,1716.0091,
324.793,1716.4925,
321.882,1703.8389,
318.971,1688.9701,
316.061,1693.153,
313.150,1697.7941,
310.240,1681.4675,
307.329,1750.9094,
304.418,1746.0464,
301.508,1713.3735,
298.597,1737.8072,
295.687,1720.9123,
292.776,1730.6251,
289.866,1766.2164,
286.955,1810.54,
284.044,1828.26,
281.134,1847.4648,
278.223,1875.6652,
275.313,1922.0871,
272.402,1977.1854,
269.492,1972.1695,
266.581,1890.2969,
263.670,1882.21,
260.760,1885.6212,
257.849,1927.0594,
254.939,2030.5369,
252.028,2007.9881,
249.117,1983.3429,
246.207,1994.8019,
243.296,2110.4637,
240.386,2079.1246,
237.475,2082.3839,
234.565,2117.0527,
231.654,2067.3866,
228.743,2077.0129,
225.833,2089.4358,
222.922,2083.841,
220.012,2083.1125,
217.101,2055.3949,
214.191,2031.6833,
211.280,2047.6875,
208.369,2063.0041,
205.459,2087.8413,
202.548,2114.7497,
199.638,2114.024,
196.727,2117.9085,
193.816,2125.3903,
190.906,2136.4591,
187.995,2153.1116,
185.085,2149.4179,
182.174,2142.205,
179.264,2154.492,
176.353,2163.5643,
173.442,2159.5362,
170.532,2133.45,
167.621,2035.3974,
164.711,1994.1591,
161.800,1937.8662,
158.890,1811.9139,
155.979,1684.681,
153.068,1538.8707,
150.158,1373.8724,
147.247,1185.7689,
144.337,992.75475,
141.426,799.76293,
