,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_ctr_1E-2mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__4__44,
Raman shift [1/cm],Intensity,
3014.167,-0.375,
3011.256,2.7749248,
3008.346,236.7774,
3005.435,274.28225,
3002.525,304.0976,
2999.614,293.0107,
2996.704,305.74973,
2993.793,314.74885,
2990.882,326.92265,
2987.972,337.75617,
2985.061,345.89099,
2982.151,368.53932,
2979.240,383.80463,
2976.329,389.34906,
2973.419,391.94772,
2970.508,408.47499,
2967.598,419.05512,
2964.687,433.35598,
2961.777,443.24897,
2958.866,450.95041,
2955.955,473.00773,
2953.045,463.0098,
2950.134,473.01858,
2947.224,495.19438,
2944.313,513.72614,
2941.403,527.39918,
2938.492,531.48679,
2935.581,537.85076,
2932.671,549.94691,
2929.760,564.43655,
2926.850,567.67726,
2923.939,564.02218,
2921.028,565.91904,
2918.118,602.12248,
2915.207,594.57453,
2912.297,583.70963,
2909.386,591.87316,
2906.476,589.052,
2903.565,590.46352,
2900.654,587.50772,
2897.744,595.3987,
2894.833,575.56318,
2891.923,594.51931,
2889.012,584.7117,
2886.102,581.47769,
2883.191,584.62689,
2880.280,568.91686,
2877.370,557.70059,
2874.459,538.43028,
2871.549,584.71717,
2868.638,596.26211,
2865.727,607.28269,
2862.817,612.45387,
2859.906,622.82728,
2856.996,613.14085,
2854.085,617.54728,
2851.175,630.3359,
2848.264,597.85517,
2845.353,595.3662,
2842.443,590.81247,
2839.532,596.1922,
2836.622,600.74284,
2833.711,593.03945,
2830.801,574.54632,
2827.890,607.51481,
2824.979,581.47697,
2822.069,602.60226,
2819.158,605.94576,
2816.248,605.65974,
2813.337,607.17134,
2810.427,602.66908,
2807.516,597.41641,
2804.605,606.21635,
2801.695,606.32237,
2798.784,623.36831,
2795.874,621.625,
2792.963,613.91053,
2790.052,606.62564,
2787.142,610.75662,
2784.231,601.1421,
2781.321,624.05926,
2778.410,610.64531,
2775.500,602.09328,
2772.589,626.62348,
2769.678,611.51575,
2766.768,636.04638,
2763.857,636.36103,
2760.947,629.625,
2758.036,647.41492,
2755.126,645.625,
2752.215,644.56135,
2749.304,667.17713,
2746.394,649.22375,
2743.483,654.92503,
2740.573,636.20459,
2737.662,639.50814,
2734.751,631.15905,
2731.841,645.46383,
2728.930,668.053,
2726.020,659.28819,
2723.109,656.625,
2720.199,671.91872,
2717.288,673.90602,
2714.377,655.07942,
2711.467,687.87115,
2708.556,680.7951,
2705.646,682.93485,
2702.735,690.93426,
2699.825,684.74325,
2696.914,719.62548,
2694.003,699.08354,
2691.093,682.82116,
2688.182,693.95389,
2685.272,698.5809,
2682.361,698.98417,
2679.450,687.57971,
2676.540,716.29981,
2673.629,703.27969,
2670.719,704.12869,
2667.808,690.20863,
2664.898,698.53355,
2661.987,721.12483,
2659.076,716.37069,
2656.166,718.91506,
2653.255,730.06378,
2650.345,748.76112,
2647.434,764.05369,
2644.524,763.2197,
2641.613,739.53889,
2638.702,755.26204,
2635.792,756.12351,
2632.881,773.97608,
2629.971,757.68528,
2627.060,750.29375,
2624.149,743.73124,
2621.239,754.12204,
2618.328,753.34558,
2615.418,765.975,
2612.507,765.45106,
2609.597,762.35953,
2606.686,795.7555,
2603.775,777.54564,
2600.865,779.625,
2597.954,782.43954,
2595.044,804.57186,
2592.133,805.00705,
2589.223,798.51658,
2586.312,780.99677,
2583.401,813.54468,
2580.491,817.41823,
2577.580,807.6085,
2574.670,804.82017,
2571.759,820.87243,
2568.848,830.97313,
2565.938,800.91055,
2563.027,824.08863,
2560.117,824.71845,
2557.206,831.76153,
2554.296,853.90189,
2551.385,830.64114,
2548.474,842.99526,
2545.564,848.37176,
2542.653,859.48741,
2539.743,866.7359,
2536.832,878.76893,
2533.922,848.75115,
2531.011,859.92472,
2528.100,865.42638,
2525.190,844.44181,
2522.279,873.7188,
2519.369,874.41753,
2516.458,867.17741,
2513.548,867.6704,
2510.637,888.65755,
2507.726,865.49491,
2504.816,889.62613,
2501.905,880.39329,
2498.995,878.34163,
2496.084,886.25216,
2493.173,895.20447,
2490.263,899.0521,
2487.352,897.251,
2484.442,911.3402,
2481.531,910.09841,
2478.621,906.5539,
2475.710,916.65567,
2472.799,920.13173,
2469.889,923.95742,
2466.978,927.46007,
2464.068,909.38684,
2461.157,942.7751,
2458.247,933.87508,
2455.336,935.0516,
2452.425,944.88917,
2449.515,957.01169,
2446.604,956.15032,
2443.694,960.88075,
2440.783,976.62838,
2437.872,969.58854,
2434.962,974.66647,
2432.051,989.18668,
2429.141,988.76027,
2426.230,984.01615,
2423.320,996.79679,
2420.409,994.48373,
2417.498,1010.2402,
2414.588,968.20311,
2411.677,1004.4457,
2408.767,1001.9016,
2405.856,1010.0321,
2402.946,1028.054,
2400.035,1012.2494,
2397.124,1031.9298,
2394.214,1020.357,
2391.303,1036.3377,
2388.393,1041.5832,
2385.482,1025.5062,
2382.571,1037.093,
2379.661,1061.5318,
2376.750,1083.9403,
2373.840,1075.4282,
2370.929,1060.755,
2368.019,1062.4797,
2365.108,1090.8789,
2362.197,1088.1235,
2359.287,1074.4233,
2356.376,1061.6479,
2353.466,1081.0651,
2350.555,1075.3652,
2347.645,1104.5309,
2344.734,1127.5052,
2341.823,1115.8572,
2338.913,1113.3623,
2336.002,1093.9958,
2333.092,1104.7628,
2330.181,1130.7324,
2327.270,1111.1101,
2324.360,1139.7594,
2321.449,1135.778,
2318.539,1131.7535,
2315.628,1127.1634,
2312.718,1132.3409,
2309.807,1148.5378,
2306.896,1169.082,
2303.986,1160.8913,
2301.075,1142.6251,
2298.165,1146.9716,
2295.254,1153.6035,
2292.344,1154.7245,
2289.433,1169.5709,
2286.522,1171.0267,
2283.612,1193.9056,
2280.701,1191.5667,
2277.791,1192.0658,
2274.880,1199.4151,
2271.969,1195.7485,
2269.059,1219.2381,
2266.148,1248.0524,
2263.238,1238.5323,
2260.327,1261.0386,
2257.417,1249.1139,
2254.506,1260.6107,
2251.595,1253.7485,
2248.685,1260.7866,
2245.774,1250.4163,
2242.864,1254.9217,
2239.953,1276.356,
