,PLA7BD~1,
Wavenumbers [1/cm],Intensity,
2173.010,884.10119,
2170.099,922.80458,
2167.189,939.96111,
2164.278,960.82576,
2161.368,1018.8743,
2158.457,1047.8547,
2155.546,1087.6164,
2152.636,1127.5664,
2149.725,1171.9958,
2146.815,1197.241,
2143.904,1232.585,
2140.993,1261.7638,
2138.083,1282.6166,
2135.172,1291.3708,
2132.262,1305.6444,
2129.351,1307.0784,
2126.441,1272.1856,
2123.530,1222.7291,
2120.619,1204.9211,
2117.709,1162.5364,
2114.798,1121.9403,
2111.888,1082.2511,
2108.977,1035.6233,
2106.067,983.43936,
2103.156,981.43302,
2100.245,968.83611,
2097.335,906.51374,
2094.424,904.59305,
2091.514,900.08193,
2088.603,892.14687,
2085.692,898.64822,
2082.782,883.61807,
2079.871,869.48177,
2076.961,861.32705,
2074.050,892.09924,
2071.140,875.42684,
2068.229,862.97657,
2065.318,848.72675,
2062.408,849.33718,
2059.497,857.28572,
2056.587,867.25862,
2053.676,869.05838,
2050.766,877.18217,
2047.855,862.81804,
2044.944,861.9391,
2042.034,868.638,
2039.123,856.65278,
2036.213,838.85502,
2033.302,854.20093,
2030.391,865.4512,
2027.481,881.75291,
2024.570,875.07531,
2021.660,854.99846,
2018.749,866.52084,
2015.839,880.9918,
2012.928,871.40353,
2010.017,890.91301,
2007.107,893.77776,
2004.196,883.79173,
2001.286,890.60293,
1998.375,891.52953,
1995.465,866.55715,
1992.554,885.16889,
1989.643,859.91191,
1986.733,867.51711,
1983.822,874.07884,
1980.912,851.25175,
1978.001,871.93437,
1975.090,871.86737,
1972.180,893.21806,
1969.269,882.30593,
1966.359,870.55083,
1963.448,854.22902,
1960.538,858.85915,
1957.627,854.74187,
1954.716,846.10481,
1951.806,899.88144,
1948.895,878.70702,
1945.985,862.44526,
1943.074,868.09253,
1940.164,881.93236,
1937.253,863.48351,
1934.342,871.34506,
1931.432,866.72043,
1928.521,879.51231,
1925.611,867.41416,
1922.700,823.46893,
1919.790,849.18674,
1916.879,861.38675,
1913.968,863.87254,
1911.058,844.97112,
1908.147,896.36545,
1905.237,849.30879,
1902.326,838.52239,
1899.415,824.77373,
1896.505,786.5501,
1893.594,852.95737,
1890.684,853.35223,
1887.773,870.79658,
1884.863,879.56748,
1881.952,888.31233,
1879.041,864.10241,
1876.131,878.30636,
1873.220,889.10511,
1870.310,885.23375,
1867.399,841.57872,
1864.489,852.34232,
1861.578,870.78656,
1858.667,929.21937,
1855.757,873.49433,
1852.846,861.42369,
1849.936,901.06017,
1847.025,928.99179,
1844.114,936.09383,
1841.204,934.56032,
1838.293,937.35754,
1835.383,934.75901,
1832.472,939.29413,
1829.562,926.87812,
1826.651,933.02077,
1823.740,936.05123,
1820.830,926.93006,
1817.919,962.33632,
1815.009,931.48824,
1812.098,948.21357,
1809.188,914.29369,
1806.277,989.12658,
1803.366,973.22619,
1800.456,934.875,
1797.545,938.47056,
1794.635,972.19797,
1791.724,965.66134,
1788.813,987.0714,
1785.903,965.55724,
1782.992,925.43683,
1780.082,883.17148,
1777.171,812.20101,
1774.261,797.28525,
1771.350,888.13128,
1768.439,998.13091,
1765.529,998.87406,
1762.618,999.63876,
1759.708,1002.2771,
1756.797,1008.0947,
1753.887,1019.1316,
1750.976,1009.0818,
1748.065,1034.6692,
1745.155,1062.2621,
1742.244,1038.0653,
1739.334,1024.5597,
1736.423,1037.5927,
1733.512,1058.1555,
1730.602,1054.8988,
1727.691,1081.8138,
1724.781,1091.6616,
1721.870,1078.194,
1718.960,1072.4083,
1716.049,1036.6381,
1713.138,1074.3348,
1710.228,1089.7077,
1707.317,1103.259,
1704.407,1100.383,
1701.496,1120.8406,
1698.586,1115.4831,
1695.675,1148.5605,
1692.764,1156.5553,
1689.854,1140.6112,
1686.943,1184.3236,
1684.033,1193.6763,
1681.122,1206.6541,
1678.211,1238.5704,
1675.301,1186.0384,
1672.390,1250.9378,
1669.480,1272.0515,
1666.569,1294.6368,
1663.659,1353.3687,
1660.748,1323.6848,
1657.837,1365.378,
1654.927,1387.7579,
1652.016,1382.6806,
1649.106,1376.0011,
1646.195,1421.858,
1643.285,1460.0749,
1640.374,1384.4847,
1637.463,1461.2621,
1634.553,1537.5252,
1631.642,1581.8956,
1628.732,1674.8928,
1625.821,1677.9502,
1622.911,1792.227,
1620.000,1825.4592,
1617.089,1957.2083,
1614.179,2084.2653,
1611.268,2203.4137,
1608.358,2289.8482,
1605.447,2374.0185,
1602.536,2456.2216,
1599.626,2481.1936,
1596.715,2438.4025,
1593.805,2424.9317,
1590.894,2386.8869,
1587.984,2362.821,
1585.073,2353.0685,
1582.162,2355.2145,
1579.252,2287.1377,
1576.341,2291.1005,
1573.431,2266.8976,
1570.520,2249.7025,
1567.610,2219.3059,
1564.699,2205.5248,
1561.788,2185.5653,
1558.878,2095.2607,
1555.967,2094.5329,
1553.057,2069.8582,
1550.146,2041.1877,
1547.235,1989.2876,
1544.325,1979.1929,
1541.414,1954.6704,
1538.504,1923.5268,
1535.593,1890.8957,
1532.683,1889.4641,
1529.772,1903.3942,
1526.861,1850.6098,
1523.951,1809.2754,
1521.040,1773.0136,
1518.130,1769.1652,
1515.219,1753.9939,
1512.309,1791.6363,
1509.398,1782.934,
1506.487,1757.9935,
1503.577,1728.6384,
1500.666,1734.8457,
1497.756,1707.0704,
1494.845,1754.0329,
1491.934,1661.9852,
1489.024,1695.6725,
1486.113,1620.8433,
1483.203,1606.8815,
1480.292,1610.9661,
1477.382,1581.9698,
1474.471,1591.7573,
1471.560,1603.406,
1468.650,1564.8786,
1465.739,1540.7511,
1462.829,1531.9068,
1459.918,1521.7976,
1457.008,1555.4601,
1454.097,1567.9185,
1451.186,1525.1516,
1448.276,1515.0992,
1445.365,1545.3418,
1442.455,1575.875,
1439.544,1576.0993,
1436.633,1574.7777,
1433.723,1561.7594,
1430.812,1539.2101,
1427.902,1530.7397,
1424.991,1525.0531,
1422.081,1494.5983,
1419.170,1503.9718,
1416.259,1488.8637,
1413.349,1497.7141,
1410.438,1474.5836,
1407.528,1491.1996,
1404.617,1494.5453,
1401.707,1494.354,
1398.796,1511.7876,
1395.885,1546.0248,
1392.975,1572.1456,
1390.064,1543.688,
1387.154,1511.6512,
1384.243,1554.0512,
1381.332,1653.863,
1378.422,1675.2182,
1375.511,1623.6953,
1372.601,1653.2868,
1369.690,1667.8761,
1366.780,1709.4768,
1363.869,1713.3367,
1360.958,1743.8858,
1358.048,1798.2536,
1355.137,1862.2499,
1352.227,1915.6333,
1349.316,1936.3197,
1346.406,1969.3186,
1343.495,2042.1346,
1340.584,2040.4817,
1337.674,2077.4143,
1334.763,2131.6633,
1331.853,2126.0999,
1328.942,2095.6332,
1326.032,2184.8558,
1323.121,2187.3509,
1320.210,2212.1733,
1317.300,2220.7922,
1314.389,2227.6947,
1311.479,2251.9817,
1308.568,2306.2309,
1305.657,2388.8896,
1302.747,2448.4765,
1299.836,2518.6809,
1296.926,2499.6352,
1294.015,2580.5356,
1291.105,2630.5437,
1288.194,2691.9883,
1285.283,2718.0471,
1282.373,2761.4764,
1279.462,2844.266,
1276.552,2903.1664,
1273.641,2908.1809,
1270.731,2925.9258,
1267.820,2996.0685,
1264.909,3008.7424,
1261.999,2957.1413,
1259.088,2964.4383,
1256.178,2900.6408,
1253.267,2856.1184,
1250.356,2833.6844,
1247.446,2742.7996,
1244.535,2669.4956,
1241.625,2634.0751,
1238.714,2605.6113,
1235.804,2589.1907,
1232.893,2501.3742,
1229.982,2502.6365,
1227.072,2436.5488,
1224.161,2441.1205,
1221.251,2393.7374,
1218.340,2343.8366,
1215.430,2301.1009,
1212.519,2291.7412,
1209.608,2297.4331,
1206.698,2283.109,
1203.787,2279.7845,
1200.877,2279.2242,
1197.966,2365.5435,
1195.055,2407.4179,
1192.145,2430.4046,
1189.234,2540.3306,
1186.324,2612.1492,
1183.413,2589.1034,
1180.503,2537.4671,
1177.592,2517.9052,
1174.681,2486.2586,
1171.771,2426.8132,
1168.860,2424.1339,
1165.950,2411.7807,
1163.039,2397.0022,
1160.129,2380.6678,
1157.218,2362.7795,
1154.307,2368.2001,
1151.397,2383.6231,
1148.486,2347.6761,
1145.576,2340.6052,
1142.665,2334.3898,
1139.754,2329.8069,
1136.844,2308.5662,
1133.933,2244.7434,
1131.023,2224.7588,
1128.112,2241.947,
1125.202,2233.4257,
1122.291,2228.875,
1119.380,2229.1868,
1116.470,2260.9578,
1113.559,2283.433,
1110.649,2290.8395,
1107.738,2283.3019,
1104.828,2294.5995,
1101.917,2323.5378,
1099.006,2326.5452,
1096.096,2312.8101,
1093.185,2344.4182,
1090.275,2319.3598,
1087.364,2314.9334,
1084.453,2305.1882,
1081.543,2315.2803,
1078.632,2349.8438,
1075.722,2367.669,
1072.811,2340.6268,
1069.901,2337.1337,
1066.990,2342.5333,
1064.079,2379.9422,
1061.169,2393.5612,
1058.258,2403.5796,
1055.348,2427.636,
1052.437,2443.0551,
1049.527,2438.4051,
1046.616,2426.2415,
1043.705,2476.5163,
1040.795,2472.0814,
1037.884,2481.1045,
1034.974,2504.5992,
1032.063,2514.2133,
1029.153,2524.5634,
1026.242,2521.9685,
1023.331,2565.2056,
1020.421,2561.3272,
1017.510,2569.8819,
1014.600,2595.2546,
1011.689,2599.1961,
1008.778,2563.8335,
1005.868,2587.6318,
1002.957,2671.9465,
1000.047,2799.171,
997.136,2908.8301,
994.226,2939.3676,
991.315,2916.7438,
988.404,2909.6052,
985.494,2897.2804,
982.583,2870.7272,
979.673,2817.123,
976.762,2809.4428,
973.852,2797.8686,
970.941,2786.0266,
968.030,2824.0428,
965.120,2875.5671,
962.209,2802.2485,
959.299,2863.5329,
956.388,2877.0761,
953.477,2877.0279,
950.567,2899.5349,
947.656,2905.3072,
944.746,2870.4754,
941.835,2925.5619,
938.925,2917.8174,
936.014,2910.9216,
933.103,2903.9291,
930.193,2867.6947,
927.282,2804.479,
924.372,2834.0752,
921.461,2795.1638,
918.551,2740.3715,
915.640,2728.0229,
912.729,2728.9432,
909.819,2676.3232,
906.908,2710.0202,
903.998,2697.5584,
901.087,2695.148,
898.176,2718.7804,
895.266,2751.1752,
892.355,2775.0421,
889.445,2818.684,
886.534,2794.6637,
883.624,2849.7571,
880.713,2890.1028,
877.802,2843.9028,
874.892,2695.1418,
871.981,2507.626,
869.071,2412.3889,
866.160,2538.0067,
863.250,2716.1512,
860.339,2823.4547,
857.428,2828.9185,
854.518,2822.9493,
