,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_ctr_0E-1mgL_16h_785nm_133mW_3s_1acc_2_RamanShift__3__52,
Raman shift [1/cm],Intensity,
3014.167,-2.875,
3011.256,0.52487116,
3008.346,88.936984,
3005.435,90.51016,
3002.525,104.22008,
2999.614,103.88734,
2996.704,99.717785,
2993.793,107.75346,
2990.882,107.94941,
2987.972,109.2259,
2985.061,121.14469,
2982.151,143.7099,
2979.240,137.27615,
2976.329,135.63319,
2973.419,137.52474,
2970.508,165.39157,
2967.598,149.98163,
2964.687,150.94565,
2961.777,141.53512,
2958.866,172.45784,
2955.955,157.18918,
2953.045,164.06014,
2950.134,182.58274,
2947.224,180.125,
2944.313,185.06873,
2941.403,199.81569,
2938.492,191.81605,
2935.581,196.61945,
2932.671,208.92327,
2929.760,202.79808,
2926.850,202.28177,
2923.939,213.92406,
2921.028,203.25427,
2918.118,209.62752,
2915.207,220.70716,
2912.297,224.08269,
2909.386,222.11041,
2906.476,212.90029,
2903.565,216.89833,
2900.654,231.125,
2897.744,207.33873,
2894.833,225.36209,
2891.923,223.0705,
2889.012,201.28685,
2886.102,213.50068,
2883.191,208.12783,
2880.280,181.16328,
2877.370,138.09606,
2874.459,130.41437,
2871.549,165.45425,
2868.638,197.48994,
2865.727,222.35963,
2862.817,207.83891,
2859.906,224.01104,
2856.996,220.13859,
2854.085,240.0116,
2851.175,230.43523,
2848.264,230.91417,
2845.353,210.40537,
2842.443,215.53823,
2839.532,210.33392,
2836.622,212.42839,
2833.711,217.28042,
2830.801,226.41985,
2827.890,219.04108,
2824.979,205.21107,
2822.069,214.18186,
2819.158,222.54549,
2816.248,227.37789,
2813.337,238.7433,
2810.427,214.86743,
2807.516,224.27594,
2804.605,233.53365,
2801.695,223.2434,
2798.784,233.57262,
2795.874,224.00101,
2792.963,215.76809,
2790.052,232.12264,
2787.142,234.5065,
2784.231,232.51164,
2781.321,223.99928,
2778.410,218.80521,
2775.500,217.18845,
2772.589,221.77867,
2769.678,226.55159,
2766.768,233.5017,
2763.857,241.38897,
2760.947,240.57772,
2758.036,222.11219,
2755.126,248.03312,
2752.215,234.33858,
2749.304,226.6358,
2746.394,224.20559,
2743.483,246.42499,
2740.573,223.39701,
2737.662,228.81582,
2734.751,249.59095,
2731.841,241.52976,
2728.930,246.43015,
2726.020,248.24769,
2723.109,244.71283,
2720.199,231.71244,
2717.288,248.19435,
2714.377,243.67516,
2711.467,247.50193,
2708.556,257.81637,
2705.646,246.06862,
2702.735,254.81574,
2699.825,268.83224,
2696.914,266.41092,
2694.003,245.97865,
2691.093,263.19601,
2688.182,259.76204,
2685.272,260.48773,
2682.361,254.30731,
2679.450,258.95626,
2676.540,272.59657,
2673.629,252.10255,
2670.719,260.19801,
2667.808,255.31954,
2664.898,261.46255,
2661.987,272.09174,
2659.076,271.63362,
2656.166,281.41506,
2653.255,276.19983,
2650.345,267.85277,
2647.434,268.95352,
2644.524,267.51109,
2641.613,268.125,
2638.702,282.88828,
2635.792,279.09608,
2632.881,259.97026,
2629.971,266.9774,
2627.060,279.95719,
2624.149,286.82813,
2621.239,283.37352,
2618.328,287.36203,
2615.418,276.42955,
2612.507,288.50445,
2609.597,281.76771,
2606.686,285.42418,
2603.775,280.6885,
2600.865,303.59261,
2597.954,292.125,
2595.044,293.11614,
2592.133,292.67912,
2589.223,307.17344,
2586.312,303.34608,
2583.401,298.41327,
2580.491,292.19227,
2577.580,305.1052,
2574.670,295.89237,
2571.759,292.66525,
2568.848,293.1803,
2565.938,315.88699,
2563.027,308.51588,
2560.117,298.96608,
2557.206,306.30212,
2554.296,308.21425,
2551.385,312.17489,
2548.474,303.05102,
2545.564,327.39692,
2542.653,313.19883,
2539.743,303.7051,
2536.832,329.59604,
2533.922,328.03038,
2531.011,328.72444,
2528.100,335.99605,
2525.190,321.59098,
2522.279,319.87537,
2519.369,330.2951,
2516.458,306.89412,
2513.548,314.11567,
2510.637,331.38721,
2507.726,321.99861,
2504.816,319.93672,
2501.905,328.92195,
2498.995,322.46809,
2496.084,319.17731,
2493.173,334.0197,
2490.263,334.72048,
2487.352,348.20847,
2484.442,346.42266,
2481.531,339.75795,
2478.621,344.42833,
2475.710,353.04832,
2472.799,341.89183,
2469.889,336.6707,
2466.978,335.84664,
2464.068,330.37895,
2461.157,343.55239,
2458.247,364.68385,
2455.336,354.93516,
2452.425,359.71464,
2449.515,363.42644,
2446.604,345.53513,
2443.694,358.59049,
2440.783,356.40878,
2437.872,372.16146,
2434.962,373.38767,
2432.051,374.125,
2429.141,365.58393,
2426.230,364.92943,
2423.320,368.33939,
2420.409,375.09274,
2417.498,369.19239,
2414.588,373.56217,
2411.677,360.05732,
2408.767,383.86024,
2405.856,381.06309,
2402.946,375.96414,
2400.035,381.21656,
2397.124,374.69718,
2394.214,390.369,
2391.303,394.44546,
2388.393,390.63197,
2385.482,386.30125,
2382.571,394.32796,
2379.661,383.10169,
2376.750,386.38856,
2373.840,389.83123,
2370.929,422.77845,
2368.019,399.7032,
2365.108,408.44961,
2362.197,404.98522,
2359.287,426.4615,
2356.376,418.15318,
2353.466,410.60776,
2350.555,426.11446,
2347.645,408.45347,
2344.734,408.97292,
2341.823,395.34058,
2338.913,415.43397,
2336.002,427.23743,
2333.092,430.81463,
2330.181,422.31684,
2327.270,417.23501,
2324.360,438.37738,
2321.449,433.26447,
2318.539,440.50725,
2315.628,442.09942,
2312.718,431.87609,
2309.807,450.94476,
