,PLE573~1,
Wavenumbers [1/cm],Intensity,
2175.920,619.79212,
2173.010,624.4504,
2170.099,633.30754,
2167.189,677.28172,
2164.278,671.56495,
2161.368,720.80267,
2158.457,746.15303,
2155.546,774.99523,
2152.636,810.58239,
2149.725,830.19378,
2146.815,829.47511,
2143.904,866.10358,
2140.993,928.15816,
2138.083,915.68193,
2135.172,944.79523,
2132.262,933.09507,
2129.351,926.41642,
2126.441,917.77303,
2123.530,896.20664,
2120.619,878.3476,
2117.709,849.88225,
2114.798,812.49795,
2111.888,788.20032,
2108.977,741.32199,
2106.067,719.13338,
2103.156,696.49929,
2100.245,689.37437,
2097.335,687.17081,
2094.424,678.61435,
2091.514,672.2244,
2088.603,652.25521,
2085.692,642.60178,
2082.782,655.51146,
2079.871,646.58854,
2076.961,665.82513,
2074.050,652.56894,
2071.140,657.50135,
2068.229,660.65365,
2065.318,649.93025,
2062.408,639.45065,
2059.497,645.79764,
2056.587,637.06131,
2053.676,654.05689,
2050.766,646.45273,
2047.855,662.00477,
2044.944,650.04006,
2042.034,652.71602,
2039.123,641.59386,
2036.213,647.62174,
2033.302,674.26623,
2030.391,684.8155,
2027.481,673.49709,
2024.570,670.06067,
2021.660,675.07935,
2018.749,680.14706,
2015.839,674.375,
2012.928,684.02937,
2010.017,704.36305,
2007.107,683.14323,
2004.196,676.60115,
2001.286,687.73185,
1998.375,684.97834,
1995.465,663.21607,
1992.554,725.10973,
1989.643,693.82668,
1986.733,674.51535,
1983.822,713.22138,
1980.912,713.36469,
1978.001,700.76462,
1975.090,717.14905,
1972.180,731.2367,
1969.269,722.35484,
1966.359,704.59112,
1963.448,702.56655,
1960.538,718.79368,
1957.627,732.18306,
1954.716,751.82919,
1951.806,765.82854,
1948.895,754.99241,
1945.985,748.90278,
1943.074,735.93588,
1940.164,743.42321,
1937.253,744.04478,
1934.342,739.95628,
1931.432,760.92074,
1928.521,755.0883,
1925.611,741.60883,
1922.700,739.375,
1919.790,728.17859,
1916.879,755.21277,
1913.968,734.40328,
1911.058,751.51614,
1908.147,743.22759,
1905.237,765.19851,
1902.326,743.14539,
1899.415,720.65549,
1896.505,706.23017,
1893.594,706.99098,
1890.684,769.06113,
1887.773,782.44414,
1884.863,770.35905,
1881.952,776.8374,
1879.041,786.67043,
