,PLB772~1,
Wavenumbers [1/cm],Intensity,
2173.010,554.5513,
2170.099,572.14038,
2167.189,603.82477,
2164.278,603.91822,
2161.368,648.30316,
2158.457,673.39645,
2155.546,702.60193,
2152.636,729.476,
2149.725,752.19043,
2146.815,768.40784,
2143.904,790.87129,
2140.993,785.59982,
2138.083,804.44032,
2135.172,823.80783,
2132.262,841.88908,
2129.351,833.52664,
2126.441,811.20504,
2123.530,757.81888,
2120.619,750.67326,
2117.709,731.86494,
2114.798,705.05563,
2111.888,667.45077,
2108.977,630.53062,
2106.067,613.56636,
2103.156,599.55731,
2100.245,565.86873,
2097.335,553.34621,
2094.424,535.3537,
2091.514,543.31054,
2088.603,536.36356,
2085.692,533.60724,
2082.782,533.85901,
2079.871,541.19705,
2076.961,544.81042,
2074.050,513.475,
2071.140,541.33505,
2068.229,520.15365,
2065.318,527.80227,
2062.408,529.71541,
2059.497,533.92861,
2056.587,536.2706,
2053.676,517.62575,
2050.766,527.79727,
2047.855,531.16302,
2044.944,506.875,
2042.034,515.40691,
2039.123,542.53493,
2036.213,529.93495,
2033.302,532.26604,
2030.391,546.875,
2027.481,530.5093,
2024.570,542.57453,
2021.660,539.2889,
2018.749,529.33089,
2015.839,535.09087,
2012.928,504.31125,
2010.017,532.0433,
2007.107,541.94415,
2004.196,538.38691,
2001.286,537.66652,
1998.375,522.2618,
1995.465,532.39375,
1992.554,512.33404,
1989.643,504.04782,
1986.733,516.03553,
1983.822,520.14457,
1980.912,528.78596,
1978.001,530.93437,
1975.090,529.27347,
1972.180,526.49602,
1969.269,530.23422,
1966.359,528.09112,
1963.448,545.79046,
1960.538,529.52971,
1957.627,539.03291,
1954.716,530.191,
1951.806,517.26599,
1948.895,537.37105,
1945.985,502.47468,
1943.074,532.30316,
1940.164,509.31723,
1937.253,507.60968,
1934.342,519.42206,
1931.432,505.24724,
1928.521,505.1617,
1925.611,526.56966,
1922.700,509.71478,
1919.790,536.60295,
1916.879,518.61874,
1913.968,533.8541,
1911.058,541.13927,
1908.147,540.35817,
1905.237,510.47794,
1902.326,505.97427,
1899.415,505.09208,
1896.505,511.26044,
1893.594,491.51522,
1890.684,521.05122,
1887.773,540.85814,
1884.863,534.33969,
1881.952,527.80759,
1879.041,538.24832,
1876.131,541.24624,
1873.220,494.6757,
1870.310,543.56997,
1867.399,567.55513,
1864.489,548.34232,
1861.578,558.19381,
1858.667,537.62054,
1855.757,516.86068,
1852.846,537.39806,
1849.936,558.43255,
1847.025,575.5222,
1844.114,562.80437,
1841.204,561.11276,
1838.293,578.37916,
1835.383,561.66601,
1832.472,554.0263,
1829.562,563.26302,
1826.651,570.29389,
1823.740,591.53021,
1820.830,588.84342,
1817.919,560.62933,
1815.009,539.46279,
1812.098,563.80412,
1809.188,590.32456,
1806.277,581.11845,
1803.366,577.90827,
1800.456,580.86423,
1797.545,593.17311,
1794.635,552.68009,
1791.724,590.55463,
1788.813,587.88014,
1785.903,605.04747,
1782.992,612.36234,
1780.082,598.67779,
1777.171,547.20958,
1774.261,531.43459,
1771.350,529.11801,
1768.439,577.32145,
1765.529,603.42602,
1762.618,630.66186,
1759.708,620.85325,
1756.797,596.74621,
1753.887,629.34001,
1750.976,645.69896,
1748.065,628.26056,
1745.155,616.37831,
1742.244,618.48278,
1739.334,634.515,
1736.423,637.04884,
1733.512,640.24087,
1730.602,620.18251,
1727.691,624.38991,
1724.781,679.00248,
1721.870,679.99873,
1718.960,672.76384,
1716.049,678.5868,
1713.138,689.27995,
1710.228,671.72847,
1707.317,677.72071,
1704.407,677.9766,
1701.496,694.28286,
1698.586,698.64695,
1695.675,725.07484,
1692.764,721.19467,
1689.854,734.26871,
1686.943,735.84127,
1684.033,761.22926,
1681.122,730.41876,
1678.211,758.599,
1675.301,719.99525,
1672.390,752.90192,
1669.480,761.81082,
1666.569,754.64945,
1663.659,815.26698,
1660.748,839.0871,
1657.837,850.53109,
1654.927,879.99215,
1652.016,883.90304,
1649.106,845.82976,
1646.195,883.65921,
1643.285,875.78646,
1640.374,914.81228,
1637.463,912.23529,
1634.553,932.76167,
1631.642,992.53733,
1628.732,1053.0172,
1625.821,1076.9057,
1622.911,1123.6101,
1620.000,1163.3711,
1617.089,1270.7058,
1614.179,1366.1677,
1611.268,1464.1944,
1608.358,1461.2028,
1605.447,1521.2183,
1602.536,1546.3084,
1599.626,1562.5939,
1596.715,1563.875,
1593.805,1546.8827,
1590.894,1505.2448,
1587.984,1490.348,
1585.073,1504.1897,
1582.162,1474.3144,
1579.252,1452.3273,
1576.341,1425.6442,
1573.431,1451.9851,
1570.520,1437.1793,
1567.610,1418.6984,
1564.699,1406.1746,
1561.788,1333.1574,
1558.878,1340.0614,
1555.967,1357.5357,
1553.057,1360.4267,
1550.146,1325.6169,
1547.235,1284.5749,
1544.325,1252.0814,
1541.414,1241.7355,
1538.504,1212.9916,
1535.593,1195.9955,
1532.683,1216.8471,
1529.772,1203.1753,
1526.861,1163.4028,
1523.951,1133.6934,
1521.040,1110.4216,
1518.130,1111.8458,
1515.219,1125.1956,
1512.309,1110.5552,
1509.398,1131.9416,
1506.487,1115.8204,
1503.577,1077.6671,
1500.666,1088.6145,
1497.756,1050.1551,
1494.845,1088.3942,
1491.934,1052.9884,
