,PL9DE3~1,
Wavenumbers [1/cm],Intensity,
2173.010,618.87642,
2170.099,617.95089,
2167.189,672.85046,
2164.278,690.56508,
2161.368,728.46239,
2158.457,770.29176,
2155.546,777.67405,
2152.636,815.59033,
2149.725,851.55535,
2146.815,902.14829,
2143.904,925.14406,
2140.993,924.48528,
2138.083,974.12688,
2135.172,969.85076,
2132.262,949.61356,
2129.351,932.66717,
2126.441,923.44901,
2123.530,886.32349,
2120.619,847.64913,
2117.709,827.03825,
2114.798,776.31909,
2111.888,736.76338,
2108.977,686.59766,
2106.067,652.06569,
2103.156,642.35082,
2100.245,613.74122,
2097.335,596.37828,
2094.424,573.1861,
2091.514,579.89518,
2088.603,572.83299,
2085.692,564.88752,
2082.782,546.54531,
2079.871,570.6088,
2076.961,552.4936,
2074.050,526.42879,
2071.140,539.26728,
2068.229,540.83202,
2065.318,557.87401,
2062.408,544.11311,
2059.497,541.39289,
2056.587,560.00575,
2053.676,533.98503,
2050.766,533.28812,
2047.855,526.43673,
2044.944,517.74519,
2042.034,529.56501,
2039.123,528.13047,
2036.213,533.63445,
2033.302,534.75,
2030.391,550.20721,
2027.481,546.84767,
2024.570,546.12134,
2021.660,526.05084,
2018.749,518.47182,
2015.839,532.71456,
2012.928,509.73826,
2010.017,521.37324,
2007.107,522.23785,
2004.196,530.01194,
2001.286,522.01859,
1998.375,525.75493,
1995.465,528.81696,
1992.554,505.83842,
1989.643,517.23154,
1986.733,506.73333,
1983.822,493.4051,
1980.912,514.0068,
1978.001,494.96151,
1975.090,504.77289,
1972.180,500.57712,
1969.269,492.16375,
1966.359,488.23657,
1963.448,515.85701,
1960.538,510.14283,
1957.627,488.02553,
1954.716,504.20419,
1951.806,520.60097,
1948.895,513.15898,
1945.985,485.63072,
1943.074,489.25203,
1940.164,456.54801,
1937.253,460.21936,
1934.342,479.80989,
1931.432,466.54495,
1928.521,456.94516,
1925.611,469.8408,
1922.700,455.54697,
1919.790,489.50679,
1916.879,509.70376,
1913.968,454.81886,
1911.058,472.68393,
1908.147,467.23317,
1905.237,442.11768,
1902.326,460.27741,
1899.415,467.32684,
1896.505,465.82816,
1893.594,438.93595,
1890.684,452.95247,
1887.773,470.28457,
1884.863,463.92312,
1881.952,447.10265,
1879.041,482.35697,
1876.131,449.33041,
1873.220,457.05538,
1870.310,520.08621,
1867.399,509.9899,
1864.489,482.94472,
1861.578,484.76122,
1858.667,452.37577,
1855.757,443.71062,
1852.846,482.22181,
1849.936,474.21445,
1847.025,495.51399,
1844.114,479.83935,
1841.204,469.79195,
1838.293,498.23919,
1835.383,496.55251,
1832.472,508.13435,
1829.562,515.63958,
1826.651,520.95533,
1823.740,521.11015,
1820.830,512.0334,
1817.919,512.19313,
1815.009,517.8874,
1812.098,495.41143,
1809.188,516.19956,
1806.277,509.92705,
1803.366,517.58364,
1800.456,507.47521,
1797.545,504.87046,
1794.635,527.04002,
1791.724,529.31319,
1788.813,504.15951,
1785.903,531.63955,
1782.992,536.0168,
1780.082,553.49445,
1777.171,513.74518,
1774.261,497.57504,
1771.350,515.78851,
1768.439,525.98226,
1765.529,527.38987,
1762.618,559.41252,
1759.708,568.21738,
1756.797,547.38636,
1753.887,581.52259,
1750.976,574.1669,
1748.065,557.72542,
1745.155,541.56309,
1742.244,537.34419,
1739.334,546.85823,
1736.423,546.63038,
1733.512,551.57115,
1730.602,576.93853,
1727.691,570.93211,
1724.781,568.32315,
1721.870,600.1359,
1718.960,626.66134,
1716.049,600.54691,
1713.138,598.16998,
1710.228,583.95495,
1707.317,606.518,
1704.407,616.03878,
1701.496,612.19226,
1698.586,617.29391,
1695.675,638.33559,
1692.764,665.31149,
1689.854,653.35629,
1686.943,638.25588,
1684.033,681.63237,
1681.122,655.22579,
1678.211,661.68338,
1675.301,659.75617,
1672.390,671.82776,
1669.480,697.70187,
1666.569,692.01661,
1663.659,713.19097,
1660.748,740.44414,
1657.837,776.01244,
1654.927,787.70314,
1652.016,786.33318,
1649.106,810.6558,
1646.195,846.07866,
1643.285,819.0918,
1640.374,833.89634,
1637.463,841.81286,
1634.553,900.29678,
1631.642,937.21689,
1628.732,980.16478,
1625.821,1049.7454,
