,PL635A~1,
Wavenumbers [1/cm],Intensity,
2173.010,795.45125,
2170.099,810.16568,
2167.189,844.63633,
2164.278,871.71709,
2161.368,916.35752,
2158.457,920.36156,
2155.546,949.95387,
2152.636,1005.7924,
2149.725,1037.9832,
2146.815,1068.5323,
2143.904,1110.1952,
2140.993,1104.7856,
2138.083,1132.4301,
2135.172,1140.5336,
2132.262,1154.0246,
2129.351,1159.9689,
2126.441,1135.5291,
2123.530,1141.6694,
2120.619,1066.7111,
2117.709,1049.4352,
2114.798,1012.6882,
2111.888,978.93761,
2108.977,942.80461,
2106.067,910.60758,
2103.156,887.14363,
2100.245,880.48306,
2097.335,850.12828,
2094.424,827.4148,
2091.514,827.06446,
2088.603,821.19583,
2085.692,814.49636,
2082.782,825.99787,
2079.871,812.32031,
2076.961,816.85422,
2074.050,804.59697,
2071.140,805.05184,
2068.229,813.28382,
2065.318,840.95548,
2062.408,803.71181,
2059.497,808.13693,
2056.587,809.15135,
2053.676,826.54865,
2050.766,792.73319,
2047.855,826.78802,
2044.944,803.16506,
2042.034,807.737,
2039.123,808.84007,
2036.213,823.65117,
2033.302,848.56511,
2030.391,853.85595,
2027.481,852.7561,
2024.570,817.94377,
2021.660,832.19916,
2018.749,867.9044,
2015.839,831.53544,
2012.928,860.71812,
2010.017,863.70846,
2007.107,853.78039,
2004.196,845.09518,
2001.286,832.72967,
1998.375,855.68013,
1995.465,858.20714,
1992.554,878.41158,
1989.643,876.67282,
1986.733,860.59035,
1983.822,850.00148,
1980.912,870.51875,
1978.001,832.77088,
1975.090,864.82979,
1972.180,891.53458,
1969.269,902.38797,
1966.359,901.12149,
1963.448,856.78268,
1960.538,863.59925,
1957.627,889.00776,
1954.716,904.12655,
1951.806,913.83487,
1948.895,952.76122,
1945.985,910.43627,
1943.074,901.58482,
1940.164,921.9522,
1937.253,930.29595,
1934.342,903.43155,
1931.432,904.73659,
1928.521,894.61571,
1925.611,897.75312,
1922.700,896.16851,
1919.790,904.83514,
1916.879,915.80251,
1913.968,925.48893,
1911.058,899.07659,
1908.147,935.36715,
1905.237,930.33085,
1902.326,909.01705,
1899.415,886.98657,
1896.505,854.57816,
1893.594,869.47879,
1890.684,928.02277,
1887.773,949.27572,
1884.863,975.82346,
1881.952,948.74289,
1879.041,931.5,
1876.131,942.08692,
1873.220,942.75663,
1870.310,961.99324,
1867.399,931.02779,
1864.489,949.96732,
1861.578,958.51122,
1858.667,940.64963,
1855.757,996.73151,
1852.846,963.25897,
1849.936,973.63913,
1847.025,981.61923,
1844.114,977.31648,
1841.204,983.3042,
1838.293,996.98088,
1835.383,1006.314,
1832.472,1024.0704,
1829.562,1013.2255,
1826.651,1001.5513,
1823.740,1013.4196,
1820.830,1024.4449,
1817.919,1034.6438,
1815.009,1003.1069,
1812.098,1027.122,
1809.188,1078.3371,
1806.277,1015.005,
1803.366,989.21536,
1800.456,1032.3244,
1797.545,1043.5498,
1794.635,1015.661,
1791.724,1029.6067,
1788.813,1055.8941,
1785.903,1025.0718,
1782.992,982.89046,
1780.082,942.95103,
1777.171,841.48982,
1774.261,823.2104,
1771.350,911.71777,
1768.439,1010.6725,
1765.529,1041.5926,
1762.618,1079.5551,
1759.708,1114.6305,
1756.797,1099.5227,
1753.887,1098.9883,
1750.976,1121.3449,
1748.065,1099.2358,
1745.155,1100.6612,
1742.244,1139.3097,
1739.334,1141.1753,
1736.423,1125.6084,
1733.512,1165.8863,
1730.602,1172.7758,
1727.691,1174.106,
1724.781,1178.6463,
1721.870,1177.0857,
1718.960,1191.3002,
1716.049,1197.8559,
1713.138,1209.6149,
1710.228,1181.9099,
1707.317,1211.1137,
1704.407,1239.7567,
1701.496,1237.9423,
1698.586,1243.9679,
1695.675,1259.4713,
1692.764,1311.623,
1689.854,1316.4134,
1686.943,1310.7024,
1684.033,1298.798,
1681.122,1316.1941,
1678.211,1361.0717,
1675.301,1339.5678,
1672.390,1395.5389,
1669.480,1408.3396,
1666.569,1389.4141,
1663.659,1460.8756,
1660.748,1483.8471,
1657.837,1501.9593,
1654.927,1523.812,
1652.016,1577.9897,
1649.106,1556.8635,
1646.195,1531.6918,
1643.285,1540.1608,
1640.374,1569.1899,
1637.463,1602.797,
1634.553,1673.5739,
1631.642,1679.0429,
1628.732,1728.8437,
1625.821,1786.5229,
1622.911,1821.3028,
1620.000,1949.8622,
1617.089,2048.5298,
1614.179,2102.9771,
1611.268,2189.2283,
1608.358,2372.6504,
1605.447,2446.5577,
1602.536,2464.4783,
1599.626,2449.8611,
1596.715,2488.4345,
1593.805,2444.2061,
1590.894,2421.7673,
1587.984,2355.4092,
1585.073,2343.7984,
1582.162,2305.0952,
1579.252,2297.5,
1576.341,2292.6936,
1573.431,2268.0048,
1570.520,2250.7987,
1567.610,2260.912,
1564.699,2230.6986,
1561.788,2206.9367,
1558.878,2181.3343,
1555.967,2159.608,
1553.057,2148.3966,
1550.146,2104.3256,
1547.235,2071.4161,
1544.325,2044.4443,
1541.414,2035.0608,
1538.504,2028.6549,
1535.593,2004.8141,
1532.683,1996.1752,
1529.772,1978.9378,
1526.861,1929.1766,
1523.951,1883.7093,
1521.040,1869.0643,
1518.130,1887.3695,
1515.219,1897.0996,
1512.309,1911.2523,
1509.398,1904.2701,
1506.487,1883.492,
1503.577,1889.8548,
1500.666,1875.3954,
1497.756,1881.3558,
1494.845,1866.1393,
1491.934,1833.3866,
1489.024,1798.7369,
1486.113,1809.5538,
1483.203,1806.0592,
1480.292,1786.8327,
1477.382,1804.5145,
1474.471,1789.5481,
1471.560,1768.261,
1468.650,1770.6993,
1465.739,1793.7147,
1462.829,1748.996,
1459.918,1742.992,
1457.008,1762.9153,
1454.097,1751.9541,
1451.186,1750.9062,
1448.276,1776.2105,
1445.365,1805.2141,
1442.455,1814.5261,
1439.544,1829.2256,
1436.633,1778.064,
1433.723,1820.3693,
1430.812,1833.1306,
1427.902,1827.2147,
1424.991,1773.1922,
1422.081,1809.1166,
1419.170,1796.0829,
1416.259,1795.9302,
1413.349,1797.2552,
1410.438,1819.1932,
1407.528,1802.7503,
1404.617,1829.599,
1401.707,1844.7215,
1398.796,1844.7727,
1395.885,1857.6732,
1392.975,1862.1669,
1390.064,1879.8577,
1387.154,1905.2108,
1384.243,1930.6724,
1381.332,1926.8521,
1378.422,1892.0119,
1375.511,1940.7245,
1372.601,1929.5196,
1369.690,1973.0756,
1366.780,2021.6858,
1363.869,2057.9267,
1360.958,2080.7043,
1358.048,2133.185,
1355.137,2152.935,
1352.227,2176.8139,
1349.316,2227.9984,
1346.406,2230.7696,
1343.495,2212.4617,
1340.584,2251.7496,
1337.674,2287.7897,
1334.763,2345.8183,
1331.853,2275.3488,
1328.942,2284.063,
1326.032,2309.153,
1323.121,2281.1566,
1320.210,2350.0764,
1317.300,2332.6573,
1314.389,2323.3339,
1311.479,2383.5192,
1308.568,2406.9772,
1305.657,2377.5,
1302.747,2373.6584,
1299.836,2372.8736,
1296.926,2476.2264,
1294.015,2491.8549,
1291.105,2570.8682,
1288.194,2607.0598,
1285.283,2682.2363,
1282.373,2717.0937,
1279.462,2764.3227,
1276.552,2801.3583,
1273.641,2803.1204,
1270.731,2801.9119,
1267.820,2788.0357,
1264.909,2746.5446,
1261.999,2791.2989,
1259.088,2813.1898,
1256.178,2791.3757,
1253.267,2748.373,
1250.356,2730.4047,
1247.446,2668.8273,
1244.535,2618.0848,
1241.625,2579.8371,
1238.714,2534.6977,
1235.804,2511.8982,
1232.893,2441.8914,
1229.982,2367.6227,
1227.072,2371.2439,
1224.161,2399.2366,
1221.251,2318.8814,
1218.340,2274.6003,
1215.430,2231.8163,
1212.519,2185.8424,
1209.608,2182.5732,
1206.698,2223.4151,
1203.787,2239.4899,
1200.877,2204.0632,
1197.966,2245.4245,
1195.055,2323.4391,
1192.145,2345.5161,
1189.234,2389.3739,
1186.324,2442.0484,
1183.413,2458.6675,
1180.503,2451.5471,
1177.592,2446.4896,
1174.681,2404.8938,
1171.771,2413.7582,
1168.860,2381.607,
1165.950,2313.9968,
1163.039,2285.2303,
1160.129,2308.9928,
1157.218,2298.7329,
1154.307,2264.7579,
1151.397,2270.017,
1148.486,2286.402,
1145.576,2272.3799,
1142.665,2223.5447,
1139.754,2212.1773,
1136.844,2216.1024,
1133.933,2197.3858,
1131.023,2165.5045,
1128.112,2135.0731,
1125.202,2111.3599,
1122.291,2112.655,
1119.380,2190.6386,
1116.470,2204.759,
1113.559,2201.8605,
1110.649,2200.5,
1107.738,2209.0731,
1104.828,2220.661,
1101.917,2218.8074,
1099.006,2206.4586,
1096.096,2233.1024,
1093.185,2210.2743,
1090.275,2211.7371,
1087.364,2212.5,
1084.453,2204.6255,
1081.543,2223.0404,
1078.632,2238.2035,
1075.722,2207.2015,
1072.811,2228.4308,
1069.901,2241.5297,
1066.990,2261.0916,
1064.079,2272.3051,
1061.169,2283.7845,
1058.258,2300.2402,
1055.348,2328.7858,
1052.437,2356.4806,
1049.527,2312.7154,
1046.616,2370.0581,
1043.705,2336.4202,
1040.795,2375.5804,
1037.884,2392.3623,
1034.974,2403.5902,
1032.063,2431.5312,
1029.153,2395.1498,
1026.242,2383.9054,
1023.331,2392.6661,
1020.421,2402.1681,
1017.510,2443.5988,
1014.600,2464.6185,
1011.689,2446.5135,
1008.778,2429.4474,
1005.868,2418.2336,
1002.957,2499.9673,
1000.047,2588.94,
997.136,2699.1383,
994.226,2773.4536,
991.315,2778.0594,
988.404,2733.042,
985.494,2693.5026,
982.583,2648.9617,
979.673,2645.4266,
976.762,2631.2353,
973.852,2614.3119,
970.941,2619.5408,
968.030,2648.5462,
965.120,2637.5036,
962.209,2638.3561,
959.299,2649.832,
956.388,2674.6587,
953.477,2675.292,
950.567,2666.0483,
947.656,2699.4946,
944.746,2684.2026,
941.835,2692.4079,
938.925,2720.822,
936.014,2715.2786,
933.103,2695.7938,
930.193,2693.5012,
927.282,2687.4835,
924.372,2650.2768,
921.461,2591.0064,
918.551,2576.7284,
915.640,2562.6524,
912.729,2529.1075,
909.819,2508.6154,
906.908,2547.367,
903.998,2536.7742,
901.087,2548.7761,
898.176,2563.2263,
895.266,2590.7657,
892.355,2639.013,
889.445,2652.4412,
886.534,2668.3626,
883.624,2681.5925,
880.713,2698.7485,
877.802,2674.7187,
874.892,2582.6807,
871.981,2469.6394,
869.071,2348.5046,
866.160,2368.8976,
863.250,2496.01,
860.339,2617.4104,
857.428,2662.5175,
854.518,2677.4058,
851.607,2605.0157,
848.697,2524.4061,
845.786,2430.7051,
842.875,2423.5341,
839.965,2552.4476,
837.054,2707.2953,
834.144,2689.0628,
831.233,2679.5004,
828.323,2675.5109,
825.412,2670.6364,
822.501,2661.1595,
819.591,2653.7219,
816.680,2627.0576,
813.770,2599.8254,
810.859,2577.5727,
807.949,2550.3414,
805.038,2514.8805,
802.127,2551.0982,
799.217,2611.1497,
796.306,2589.0673,
793.396,2548.935,
790.485,2543.2915,
787.574,2572.5311,
784.664,2573.3512,
781.753,2556.7254,
778.843,2579.8653,
775.932,2620.2159,
773.022,2633.0621,
770.111,2604.4468,
767.200,2614.681,
764.290,2615.6106,
761.379,2616.6509,
758.469,2617.5239,
755.558,2602.2812,
752.648,2594.9498,
749.737,2568.694,
746.826,2576.48,
743.916,2612.5067,
741.005,2640.382,
738.095,2612.7782,
735.184,2542.9994,
732.274,2465.488,
729.363,2437.9927,
726.452,2484.4401,
723.542,2539.4788,
720.631,2584.5496,
717.721,2603.2285,
714.810,2597.2217,
711.899,2588.2129,
708.989,2621.2968,
706.078,2613.487,
703.168,2632.7527,
700.257,2623.8085,
697.347,2588.2395,
694.436,2576.4564,
691.525,2574.8487,
688.615,2571.9844,
685.704,2573.5219,
682.794,2574.6915,
679.883,2566.2569,
676.973,2583.0857,
674.062,2602.4521,
671.151,2584.3235,
668.241,2567.3686,
665.330,2623.6302,
662.420,2605.2594,
659.509,2620.5479,
656.598,2629.3363,
653.688,2631.791,
650.777,2647.6908,
647.867,2594.3369,
644.956,2573.8319,
642.046,2539.4781,
639.135,2490.1156,
636.224,2459.0133,
633.314,2561.4313,
630.403,2629.476,
627.493,2655.4274,
624.582,2666.0383,
621.672,2735.7338,
618.761,2711.9021,
615.850,2731.6004,
612.940,2752.1093,
610.029,2759.2055,
607.119,2829.4826,
604.208,2783.249,
601.297,2791.4111,
598.387,2820.3535,
595.476,2815.4945,
592.566,2794.2436,
589.655,2796.331,
586.745,2767.8203,
583.834,2732.4288,
580.923,2753.4621,
578.013,2747.1842,
575.102,2734.6018,
572.192,2727.2146,
569.281,2732.1556,
566.371,2752.5038,
563.460,2750.2672,
560.549,2755.8092,
557.639,2768.3341,
554.728,2780.6131,
551.818,2766.5674,
548.907,2768.3753,
545.996,2769.1673,
543.086,2769.023,
540.175,2785.3746,
537.265,2775.6358,
534.354,2801.0997,
531.444,2836.3518,
528.533,2850.286,
525.622,2833.2152,
522.712,2850.7364,
519.801,2853.4255,
516.891,2848.8029,
513.980,2914.6181,
511.070,2935.2913,
508.159,2956.3046,
505.248,2979.2598,
502.338,3000.8103,
499.427,3045.5766,
496.517,3077.8636,
493.606,3109.6516,
490.695,3142.8908,
487.785,3152.8981,
484.874,3137.6982,
481.964,3140.9583,
479.053,3144.5268,
476.143,3086.1616,
473.232,3075.306,
470.321,3090.5033,
467.411,3102.4087,
464.500,3082.043,
461.590,3103.4837,
458.679,3115.0029,
455.769,3107.5276,
452.858,3085.7153,
449.947,3126.2037,
447.037,3141.7811,
444.126,3179.7727,
441.216,3233.3251,
438.305,3215.0387,
435.395,3221.6789,
432.484,3218.165,
429.573,3204.37,
426.663,3195.2483,
423.752,3042.4627,
420.842,2762.771,
417.931,2491.2625,
415.020,2430.5938,
412.110,2784.7956,
409.199,3045.5732,
406.289,3177.8103,
403.378,3166.272,
400.468,3098.9885,
397.557,3106.8065,
394.646,3171.6697,
391.736,3273.8763,
388.825,3316.8674,
385.915,3344.4014,
383.004,3359.2133,
380.094,3364.5365,
377.183,3384.8534,
374.272,3405.6979,
371.362,3430.2731,
368.451,3458.1809,
365.541,3452.9271,
362.630,3493.0143,
359.719,3513.5895,
356.809,3482.5389,
353.898,3516.2348,
350.988,3528.2124,
348.077,3524.4014,
345.167,3508.3648,
342.256,3485.9527,
339.345,3481.0943,
336.435,3492.4933,
333.524,3517.9363,
330.614,3500.0526,
327.703,3512.9826,
324.793,3527.1487,
321.882,3517.3504,
318.971,3455.6446,
316.061,3495.0509,
313.150,3561.5024,
310.240,3571.1499,
307.329,3604.3733,
304.418,3599.2619,
301.508,3595.4201,
298.597,3662.798,
295.687,3656.9869,
292.776,3669.0001,
289.866,3708.602,
286.955,3780.2584,
284.044,3846.1599,
281.134,3889.2383,
278.223,3919.6792,
275.313,4002.9439,
272.402,4048.3834,
269.492,4041.8844,
266.581,3982.0827,
263.670,3948.2644,
260.760,3961.4849,
257.849,4034.3387,
254.939,4182.583,
252.028,4109.2201,
249.117,4122.0713,
246.207,4183.8117,
243.296,4231.3941,
240.386,4277.6385,
237.475,4292.2004,
234.565,4279.2346,
231.654,4271.2004,
228.743,4226.9228,
225.833,4204.0371,
222.922,4221.0539,
220.012,4168.5979,
217.101,4166.7122,
214.191,4184.467,
211.280,4191.0142,
208.369,4174.0069,
205.459,4199.8355,
202.548,4252.1267,
199.638,4255.755,
196.727,4264.567,
193.816,4279.5307,
190.906,4302.1253,
187.995,4348.4628,
185.085,4351.26,
182.174,4343.9436,
179.264,4371.4087,
176.353,4384.7525,
173.442,4358.2324,
170.532,4296.2076,
167.621,4250.7861,
164.711,4157.037,
161.800,3999.94,
158.890,3755.2327,
155.979,3418.9466,
153.068,3137.117,
150.158,2876.7619,
147.247,2496.2472,
144.337,2052.3803,
141.426,1607.8078,
138.516,1191.294,
135.605,835.36056,
132.694,570.13648,
129.784,378.90479,
126.873,237.30908,
123.963,164.6816,
121.052,118.4687,
118.141,85.629204,
115.231,73.420304,
112.320,64.687277,
109.410,56.363829,
106.499,39.984259,
103.589,30.897455,
100.678,27.858109,
97.767,31.412796,
94.857,33.578967,
91.946,28.856448,
89.036,20.838694,
86.125,22.96631,
83.215,22.96908,
80.304,20.584539,
77.393,14.919179,
74.483,15.81027,
71.572,14.688239,
68.662,11.153663,
65.751,7.6214071,
62.840,10.835318,
59.930,14.563569,
57.019,11.038159,
54.109,9.9028392,
51.198,9.8016093,
48.288,10.511325,
45.377,11.918081,
42.466,12.912219,
39.556,12.233696,
36.645,4.5096033,
33.735,4.0577454,
30.824,5.0582261,
27.914,3.6558756,
25.003,5.9905499,
22.092,9.4374273,
19.182,13.82036,
16.271,23.613222,
13.361,110.52722,
10.450,238.32182,
7.539,318.62809,
4.629,21.96014,
1.718,-426.45485,
-1.192,-918.63889,
-4.103,-791.29945,
-7.013,-466.32512,
-9.924,-3.5,
