,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_ctr_0E-1mgL_16h_785nm_133mW_3s_1acc_3_RamanShift__3__82,
Raman shift [1/cm],Intensity,
3014.167,2.875,
3011.256,1.0750429,
3008.346,51.018902,
3005.435,56.14355,
3002.525,58.422539,
2999.614,63.924346,
2996.704,60.875,
2993.793,57.865784,
2990.882,64.310118,
2987.972,85.799326,
2985.061,77.968605,
2982.151,71.903559,
2979.240,78.191539,
2976.329,90.896841,
2973.419,72.905551,
2970.508,79.408347,
2967.598,80.021988,
2964.687,98.099185,
2961.777,102.84091,
2958.866,92.200415,
2955.955,98.321908,
2953.045,93.626691,
2950.134,102.84292,
2947.224,94.245095,
2944.313,101.03241,
2941.403,107.78011,
2938.492,120.25709,
2935.581,108.03081,
2932.671,112.31708,
2929.760,117.52884,
2926.850,118.56147,
2923.939,127.23481,
2921.028,133.26917,
2918.118,129.6949,
2915.207,124.7547,
2912.297,128.84538,
2909.386,128.88959,
2906.476,134.875,
2903.565,145.68241,
2900.654,127.42809,
2897.744,144.77442,
2894.833,130.68955,
2891.923,125.1186,
2889.012,154.37789,
2886.102,156.35202,
2883.191,172.8665,
2880.280,209.94679,
2877.370,286.40978,
2874.459,321.71751,
2871.549,244.36142,
2868.638,182.55338,
2865.727,166.19039,
2862.817,161.96056,
2859.906,148.50748,
2856.996,142.35462,
2854.085,153.03678,
2851.175,139.94431,
2848.264,140.434,
2845.353,143.83187,
2842.443,143.47221,
2839.532,145.09889,
2836.622,141.23438,
2833.711,123.50452,
2830.801,142.06177,
2827.890,133.56559,
2824.979,137.31908,
2822.069,126.01147,
2819.158,133.6944,
2816.248,138.08158,
2813.337,130.89573,
2810.427,139.35296,
2807.516,133.98297,
2804.605,140.69231,
2801.695,129.16444,
2798.784,140.10085,
2795.874,139.16524,
2792.963,133.58926,
2790.052,123.87693,
2787.142,147.76961,
2784.231,125.64986,
2781.321,138.00072,
2778.410,137.80013,
2775.500,138.70431,
2772.589,147.64411,
2769.678,150.05245,
2766.768,146.75848,
2763.857,148.875,
2760.947,144.84978,
2758.036,138.33358,
2755.126,161.69123,
2752.215,136.42945,
2749.304,150.81023,
2746.394,157.45162,
2743.483,153.12501,
2740.573,153.53652,
2737.662,154.08802,
2734.751,146.20027,
2731.841,153.79442,
2728.930,159.22242,
2726.020,157.75752,
2723.109,151.10183,
2720.199,159.65938,
2717.288,152.89324,
2714.377,149.61664,
2711.467,151.82555,
2708.556,168.0451,
2705.646,161.73413,
2702.735,157.39821,
2699.825,183.29865,
2696.914,176.3509,
2694.003,145.52702,
2691.093,181.1963,
2688.182,171.00167,
2685.272,174.15807,
2682.361,167.84552,
2679.450,169.45937,
2676.540,163.30181,
2673.629,175.91092,
2670.719,169.50994,
2667.808,146.33407,
2664.898,169.32928,
2661.987,178.64154,
2659.076,170.38362,
2656.166,180.69751,
2653.255,171.69302,
2650.345,170.71529,
2647.434,178.70352,
2644.524,178.03328,
2641.613,183.30366,
2638.702,193.73297,
2635.792,183.50112,
2632.881,182.38083,
2629.971,187.00251,
2627.060,180.04156,
2624.149,184.09062,
2621.239,190.88093,
2618.328,183.5532,
2615.418,197.21591,
2612.507,190.77224,
2609.597,185.24227,
2606.686,178.7967,
2603.775,198.07739,
2600.865,189.82034,
2597.954,189.06666,
2595.044,192.21424,
2592.133,198.21265,
2589.223,197.52552,
2586.312,210.875,
2583.401,209.97719,
2580.491,211.77884,
2577.580,212.85189,
2574.670,196.10763,
2571.759,197.68321,
2568.848,206.52142,
2565.938,196.35116,
2563.027,201.97272,
2560.117,198.79088,
2557.206,201.29935,
2554.296,201.5615,
2551.385,208.81704,
2548.474,208.24526,
2545.564,209.74838,
2542.653,205.18037,
2539.743,207.31955,
2536.832,221.69183,
2533.922,216.04846,
2531.011,223.57528,
2528.100,220.20603,
2525.190,215.38812,
2522.279,223.35912,
2519.369,214.68621,
2516.458,218.31905,
2513.548,230.82027,
2510.637,228.84607,
2507.726,204.74491,
2504.816,223.25042,
2501.905,226.68659,
2498.995,213.1291,
2496.084,229.50216,
2493.173,219.6644,
2490.263,221.86371,
2487.352,231.04193,
2484.442,235.44459,
2481.531,236.34841,
2478.621,229.7328,
2475.710,227.98235,
2472.799,238.42212,
2469.889,226.90547,
2466.978,225.875,
2464.068,245.98618,
2461.157,226.25999,
2458.247,238.96336,
2455.336,242.00414,
2452.425,238.54953,
2449.515,247.66709,
2446.604,235.04779,
2443.694,248.43341,
2440.783,248.20721,
2437.872,236.72914,
2434.962,237.07776,
2432.051,245.46136,
2429.141,251.83958,
2426.230,257.74462,
2423.320,260.8324,
2420.409,254.41337,
2417.498,266.06321,
2414.588,254.97772,
2411.677,254.83914,
2408.767,251.59843,
2405.856,256.13208,
2402.946,269.55954,
2400.035,266.27875,
2397.124,273.3242,
2394.214,268.44061,
2391.303,264.8086,
2388.393,281.35408,
2385.482,277.13937,
2382.571,305.90062,
2379.661,290.66579,
2376.750,281.29619,
2373.840,291.07183,
2370.929,298.82085,
2368.019,297.97295,
2365.108,277.52422,
2362.197,287.31879,
2359.287,274.48837,
2356.376,271.87676,
2353.466,276.45032,
2350.555,287.61517,
2347.645,281.2578,
2344.734,280.54322,
2341.823,276.9745,
2338.913,279.02578,
2336.002,292.49232,
2333.092,290.08163,
2330.181,298.85711,
2327.270,293.15003,
2324.360,300.66511,
2321.449,296.75256,
2318.539,306.91782,
2315.628,311.66477,
2312.718,309.34196,
2309.807,298.83139,
