,PL680D~1,
Wavenumbers [1/cm],Intensity,
2175.920,462.78939,
2173.010,470.67545,
2170.099,473.74157,
2167.189,517.80324,
2164.278,509.92927,
2161.368,537.58739,
2158.457,582.38215,
2155.546,590.99616,
2152.636,616.96004,
2149.725,660.33135,
2146.815,682.3411,
2143.904,694.26906,
2140.993,689.41985,
2138.083,718.68656,
2135.172,709.91698,
2132.262,708.63028,
2129.351,729.75442,
2126.441,689.04961,
2123.530,673.49338,
2120.619,636.15956,
2117.709,613.40238,
2114.798,596.22864,
2111.888,548.93829,
2108.977,514.07366,
2106.067,516.00904,
2103.156,489.96061,
2100.245,491.86935,
2097.335,477.81742,
2094.424,444.70459,
2091.514,450.43946,
2088.603,434.60313,
2085.692,439.33219,
2082.782,450.11594,
2079.871,438.73148,
2076.961,446.16464,
2074.050,419.60227,
2071.140,431.30049,
2068.229,418.96354,
2065.318,432.59201,
2062.408,442.48847,
2059.497,436.67857,
2056.587,440.00287,
2053.676,437.60853,
2050.766,431.33688,
2047.855,404.0174,
2044.944,410.07211,
2042.034,420.00798,
2039.123,434.35648,
2036.213,444.01053,
2033.302,440.04888,
2030.391,435.4345,
2027.481,436.33837,
2024.570,447.14618,
2021.660,447.93413,
2018.749,437.22916,
2015.839,418.45374,
2012.928,403.5646,
2010.017,419.83484,
2007.107,439.66377,
2004.196,438.13694,
2001.286,428.93511,
1998.375,421.44193,
1995.465,423.08839,
1992.554,390.44587,
1989.643,424.49245,
1986.733,414.80482,
1983.822,397.28563,
1980.912,404.05307,
1978.001,404.14588,
1975.090,417.875,
1972.180,417.39229,
1969.269,416.875,
1966.359,410.38843,
1963.448,417.83273,
1960.538,421.875,
1957.627,411.1753,
1954.716,411.81755,
1951.806,415.0176,
1948.895,435.9823,
1945.985,425.99428,
1943.074,413.95982,
1940.164,407.64391,
1937.253,384.45755,
1934.342,400.98622,
1931.432,400.5974,
1928.521,408.40868,
1925.611,397.69339,
1922.700,371.67197,
1919.790,388.40655,
