,PLC2CC~1,
Wavenumbers [1/cm],Intensity,
1020.421,1356.3268,
1017.510,1377.7994,
1014.600,1387.2519,
1011.689,1385.4514,
1008.778,1395.9381,
1005.868,1374.3678,
1002.957,1443.1961,
1000.047,1517.086,
997.136,1585.9741,
994.226,1615.0731,
991.315,1610.2277,
988.404,1601.724,
985.494,1575.8459,
982.583,1580.1287,
979.673,1561.7272,
976.762,1578.8212,
973.852,1590.0039,
970.941,1582.4536,
968.030,1582.802,
965.120,1588.6856,
962.209,1573.3398,
959.299,1577.1242,
956.388,1579.19,
953.477,1598.4793,
950.567,1617.0773,
947.656,1593.2037,
944.746,1619.54,
941.835,1598.0752,
938.925,1603.9369,
936.014,1614.8083,
933.103,1606.6855,
930.193,1571.9631,
927.282,1528.0167,
924.372,1514.487,
921.461,1514.2228,
918.551,1504.2932,
915.640,1497.5999,
912.729,1486.674,
909.819,1454.0836,
906.908,1456.6109,
903.998,1456.75,
901.087,1494.9404,
898.176,1491.9359,
895.266,1487.6027,
892.355,1532.6664,
889.445,1510.8455,
886.534,1527.4474,
883.624,1563.0459,
880.713,1578.75,
877.802,1552.6956,
874.892,1501.5438,
871.981,1488.416,
869.071,1347.2312,
866.160,1335.8592,
863.250,1423.0014,
860.339,1521.0923,
857.428,1556.5237,
854.518,1521.8944,
851.607,1526.8868,
848.697,1443.8363,
845.786,1425.9897,
842.875,1418.5339,
839.965,1397.5906,
837.054,1524.8244,
834.144,1531.4544,
831.233,1524.084,
828.323,1502.44,
825.412,1484.428,
822.501,1482.7074,
819.591,1476.9226,
816.680,1443.0961,
813.770,1405.9309,
810.859,1391.4574,
807.949,1389.5134,
805.038,1383.2168,
802.127,1444.9514,
799.217,1399.318,
796.306,1400.4799,
793.396,1408.1316,
790.485,1400.0664,
787.574,1407.4734,
784.664,1373.8488,
781.753,1382.5116,
778.843,1398.0814,
775.932,1402.4291,
773.022,1393.384,
770.111,1397.4719,
767.200,1422.8733,
764.290,1413.4137,
761.379,1401.1439,
758.469,1395.2627,
755.558,1371.5037,
752.648,1396.7564,
749.737,1394.5693,
746.826,1370.2363,
743.916,1344.7954,
741.005,1332.0468,
738.095,1263.8491,
735.184,1199.9753,
732.274,1151.4551,
729.363,1174.8223,
726.452,1275.0589,
723.542,1315.5285,
720.631,1349.0961,
717.721,1375.9354,
714.810,1384.5625,
711.899,1378.3144,
708.989,1380.7351,
706.078,1388.763,
703.168,1396.215,
700.257,1372.9328,
697.347,1341.7058,
694.436,1366.75,
691.525,1366.75,
688.615,1351.6561,
685.704,1336.7063,
682.794,1339.2818,
679.883,1373.6058,
676.973,1370.4003,
674.062,1369.75,
671.151,1359.6684,
668.241,1357.2329,
665.330,1390.1828,
662.420,1378.2018,
659.509,1366.226,
656.598,1353.3933,
653.688,1356.4023,
650.777,1397.2649,
647.867,1353.4668,
644.956,1341.8925,
642.046,1306.753,
639.135,1270.2785,
636.224,1313.9012,
633.314,1344.0709,
630.403,1365.3478,
627.493,1382.8156,
624.582,1396.4563,
621.672,1399.6243,
618.761,1406.5895,
615.850,1455.584,
612.940,1469.501,
610.029,1424.0652,
607.119,1431.9615,
604.208,1440.5601,
601.297,1433.7796,
598.387,1428.0495,
595.476,1440.3099,
592.566,1456.8383,
589.655,1435.7781,
586.745,1404.0894,
583.834,1379.3108,
580.923,1377.66,
578.013,1362.75,
575.102,1362.7651,
572.192,1376.8258,
569.281,1390.8448,
566.371,1357.9746,
563.460,1393.5508,
560.549,1400.0044,
557.639,1405.3267,
554.728,1446.4197,
551.818,1425.3511,
548.907,1435.3759,
545.996,1436.5854,
543.086,1432.4737,
540.175,1472.9632,
537.265,1452.5731,
534.354,1458.8007,
531.444,1477.3726,
528.533,1486.75,
525.622,1486.75,
522.712,1516.4809,
519.801,1535.3681,
516.891,1541.7927,
513.980,1576.636,
511.070,1579.0457,
508.159,1607.8816,
505.248,1633.7413,
502.338,1616.857,
499.427,1654.6768,
496.517,1693.5985,
493.606,1720.1244,
490.695,1733.9922,
487.785,1771.712,
484.874,1753.8397,
481.964,1748.225,
479.053,1754.7051,
476.143,1737.8099,
473.232,1684.9529,
470.321,1685.6728,
467.411,1692.5544,
464.500,1648.4288,
461.590,1675.2297,
458.679,1682.1997,
455.769,1700.9689,
452.858,1745.4542,
449.947,1771.4279,
447.037,1786.4582,
444.126,1792.75,
441.216,1791.0303,
438.305,1781.1251,
435.395,1786.3064,
432.484,1792.6673,
429.573,1793.7325,
426.663,1780.8101,
423.752,1744.879,
420.842,1557.5794,
417.931,1352.3191,
415.020,1350.8023,
412.110,1508.0468,
409.199,1657.1924,
406.289,1760.1294,
403.378,1782.6552,
400.468,1754.6834,
397.557,1774.5424,
394.646,1817.1027,
391.736,1858.3395,
388.825,1845.5176,
385.915,1867.2953,
383.004,1876.615,
380.094,1846.0917,
377.183,1891.9928,
374.272,1950.3436,
371.362,2000.2288,
368.451,2023.9659,
365.541,1961.6714,
362.630,1979.7094,
359.719,1998.9831,
356.809,1980.5528,
353.898,2059.9254,
350.988,2041.0635,
348.077,2010.8157,
345.167,2021.0149,
342.256,2026.2444,
339.345,2004.8984,
336.435,2000.5728,
333.524,2040.7165,
330.614,2007.9297,
327.703,2001.8572,
324.793,2019.9285,
321.882,2060.6815,
318.971,2032.4307,
316.061,2047.1657,
313.150,2080.8333,
310.240,2106.8074,
307.329,2112.0378,
304.418,2125.6048,
301.508,2117.1038,
298.597,2031.9558,
295.687,2072.8341,
292.776,2117.4168,
289.866,2154.289,
286.955,2185.3155,
284.044,2219.4775,
281.134,2281.1845,
278.223,2362.3546,
275.313,2400.6711,
272.402,2430.2434,
269.492,2425.7883,
266.581,2380.0174,
263.670,2341.788,
260.760,2418.5104,
257.849,2497.2102,
254.939,2492.8069,
252.028,2494.1977,
249.117,2520.7892,
246.207,2565.9558,
243.296,2620.8586,
240.386,2578.4286,
237.475,2542.377,
234.565,2528.6259,
231.654,2546.8854,
228.743,2515.0772,
225.833,2484.1766,
222.922,2472.0513,
220.012,2435.6236,
217.101,2431.1107,
214.191,2435.9087,
211.280,2426.4517,
208.369,2436.515,
205.459,2443.7463,
202.548,2454.647,
199.638,2500.3629,
196.727,2466.5338,
193.816,2461.541,
190.906,2521.9978,
187.995,2472.0401,
