,PLA0A2~1,
Wavenumbers [1/cm],Intensity,
1037.884,1666.6984,
1034.974,1664.4845,
1032.063,1667.2962,
1029.153,1668.3006,
1026.242,1702.0339,
1023.331,1701.5834,
1020.421,1692.8848,
1017.510,1718.3843,
1014.600,1737.4436,
1011.689,1733.6754,
1008.778,1723.3219,
1005.868,1642.5357,
1002.957,1674.3688,
1000.047,1751.322,
997.136,1855.1897,
994.226,1919.0652,
991.315,1922.1163,
988.404,1899.953,
985.494,1892.9623,
982.583,1880.114,
979.673,1846.0575,
976.762,1827.7919,
973.852,1830.7642,
970.941,1849.4378,
968.030,1870.6488,
965.120,1867.2715,
962.209,1872.3867,
959.299,1856.9603,
956.388,1872.0886,
953.477,1892.9492,
950.567,1895.8972,
947.656,1893.7064,
944.746,1927.6887,
941.835,1930.0598,
938.925,1917.089,
936.014,1905.1917,
933.103,1900.25,
930.193,1891.6605,
927.282,1858.1207,
924.372,1874.1873,
921.461,1846.794,
918.551,1848.4496,
915.640,1831.3284,
912.729,1797.0551,
909.819,1801.3629,
906.908,1817.369,
903.998,1820.6361,
901.087,1809.1564,
898.176,1818.9518,
895.266,1847.4068,
892.355,1869.25,
889.445,1869.25,
886.534,1900.1403,
883.624,1898.8488,
880.713,1908.5193,
877.802,1903.8804,
874.892,1855.0715,
871.981,1779.8173,
869.071,1634.4555,
866.160,1637.5383,
863.250,1740.9371,
860.339,1848.6662,
857.428,1897.5023,
854.518,1910.2149,
851.607,1874.4359,
848.697,1758.8871,
845.786,1678.112,
842.875,1692.9436,
839.965,1795.804,
837.054,1894.464,
834.144,1913.5253,
831.233,1915.9168,
828.323,1927.6143,
825.412,1921.2542,
822.501,1883.633,
819.591,1896.8554,
816.680,1886.032,
813.770,1866.9609,
810.859,1841.9078,
807.949,1830.4159,
805.038,1846.8606,
802.127,1827.1056,
799.217,1854.3203,
796.306,1845.5201,
793.396,1837.8684,
790.485,1848.4606,
787.574,1849.5614,
784.664,1857.7625,
781.753,1865.9598,
778.843,1864.8393,
775.932,1865.4968,
773.022,1876.7428,
770.111,1873.4725,
767.200,1902.1799,
764.290,1908.3606,
761.379,1907.4316,
758.469,1907.5759,
755.558,1899.7912,
752.648,1850.915,
749.737,1839.2916,
746.826,1871.8179,
743.916,1911.9253,
741.005,1914.691,
738.095,1900.8891,
735.184,1818.4483,
732.274,1754.6962,
729.363,1726.25,
726.452,1751.6849,
723.542,1892.5193,
720.631,1889.5465,
717.721,1894.8427,
714.810,1893.2557,
711.899,1880.6262,
708.989,1882.2401,
706.078,1883.0513,
703.168,1891.7511,
700.257,1892.2991,
697.347,1884.3805,
694.436,1881.1845,
691.525,1878.7731,
688.615,1894.6017,
685.704,1899.9331,
682.794,1897.7606,
679.883,1908.9256,
676.973,1901.7133,
674.062,1888.7645,
671.151,1873.9217,
668.241,1866.3472,
665.330,1877.082,
662.420,1894.6541,
659.509,1903.9644,
656.598,1917.2032,
653.688,1934.3908,
650.777,1947.5479,
647.867,1926.8434,
644.956,1882.0052,
642.046,1844.3975,
639.135,1819.9617,
636.224,1796.5603,
633.314,1858.4875,
630.403,1897.3072,
627.493,1910.5615,
624.582,1922.8477,
621.672,1997.2952,
618.761,1963.7729,
615.850,1958.3109,
612.940,1964.2746,
610.029,1975.3251,
607.119,2029.8096,
604.208,2026.7298,
601.297,2013.2796,
598.387,2017.5816,
595.476,2049.9074,
592.566,2014.4894,
589.655,2044.5318,
586.745,2038.6459,
583.834,2007.6654,
580.923,2016.1742,
578.013,2003.6184,
575.102,1981.3216,
572.192,1960.4616,
569.281,1952.1868,
566.371,1974.1003,
563.460,1979.7773,
560.549,1993.432,
557.639,2021.021,
554.728,2059.3284,
551.818,2028.8961,
548.907,2033.2194,
545.996,2036.7509,
543.086,2029.4046,
540.175,2020.8395,
537.265,2052.8426,
534.354,2059.7314,
531.444,2052.0207,
528.533,2048.3469,
525.622,2077.8329,
522.712,2092.1378,
519.801,2083.5023,
516.891,2070.9533,
513.980,2118.9597,
511.070,2128.8848,
508.159,2152.7405,
505.248,2168.7391,
502.338,2148.6673,
499.427,2231.2534,
496.517,2271.9166,
493.606,2282.2121,
490.695,2267.7239,
487.785,2220.7667,
484.874,2275.9337,
481.964,2287.825,
479.053,2257.1693,
476.143,2261.0091,
473.232,2216.647,
470.321,2209.4681,
467.411,2217.2109,
464.500,2209.1033,
461.590,2242.7959,
458.679,2248.3979,
455.769,2249.976,
452.858,2261.8407,
449.947,2277.1193,
447.037,2274.1824,
444.126,2288.3651,
441.216,2320.3083,
438.305,2326.4038,
435.395,2314.7929,
432.484,2317.4185,
429.573,2318.3574,
426.663,2267.4279,
423.752,2135.6223,
420.842,1966.9919,
417.931,1807.0402,
415.020,1718.3123,
412.110,1954.4875,
409.199,2182.1031,
406.289,2310.5395,
403.378,2256.0758,
400.468,2204.6682,
397.557,2216.0141,
394.646,2272.4167,
391.736,2354.3707,
388.825,2358.1419,
385.915,2369.3617,
383.004,2381.9621,
380.094,2391.3268,
377.183,2392.8317,
374.272,2415.504,
371.362,2443.6685,
368.451,2468.2104,
365.541,2500.4835,
362.630,2503.2414,
359.719,2494.4024,
356.809,2486.9717,
353.898,2515.4261,
350.988,2498.8381,
348.077,2496.2553,
345.167,2537.2605,
342.256,2478.2421,
339.345,2485.1645,
336.435,2503.1965,
333.524,2495.5319,
330.614,2504.4737,
327.703,2515.4645,
324.793,2513.1961,
321.882,2484.3167,
318.971,2511.8241,
316.061,2510.5071,
313.150,2511.2595,
310.240,2549.8495,
307.329,2574.833,
304.418,2572.3952,
301.508,2559.0377,
298.597,2561.9994,
295.687,2582.5672,
292.776,2631.8335,
289.866,2684.2919,
286.955,2670.2561,
284.044,2686.5925,
281.134,2746.128,
278.223,2828.1722,
275.313,2820.8036,
272.402,2861.075,
269.492,2857.9805,
266.581,2787.4061,
263.670,2803.5801,
260.760,2822.3543,
257.849,2855.2669,
254.939,2912.5098,
252.028,2939.3084,
249.117,2958.3865,
246.207,2986.8652,
243.296,3054.9446,
240.386,3002.8278,
237.475,2999.2956,
234.565,3035.9675,
231.654,2983.3799,
228.743,3010.7997,
225.833,3019.7366,
222.922,2975.5218,
220.012,2981.3502,
217.101,2973.4357,
214.191,2981.8276,
211.280,3043.662,
208.369,3038.1578,
205.459,3038.041,
202.548,3044.1219,
199.638,3037.591,
196.727,3059.8749,
193.816,3092.0001,
190.906,3126.0214,
187.995,3119.5052,
185.085,3123.3971,
182.174,3125.7447,
179.264,3109.1211,
176.353,3134.1627,
173.442,3126.7714,
170.532,3079.3533,
167.621,3011.5816,
164.711,2924.9262,
161.800,2808.936,
158.890,2649.8762,
155.979,2438.8906,
153.068,2215.2886,
150.158,1974.6353,
147.247,1688.8903,
144.337,1402.1943,
141.426,1113.6579,
138.516,822.60005,
135.605,582.08929,
132.694,392.2821,
129.784,250.80437,
126.873,166.41905,
123.963,119.65835,
121.052,87.901456,
118.141,64.34269,
115.231,40.090608,
112.320,27.708184,
109.410,24.25,
106.499,24.25,
103.589,18.647455,
100.678,16.151352,
97.767,21.127915,
94.857,23.328967,
91.946,19.81578,
89.036,13.362898,
86.125,14.072103,
83.215,11.064478,
80.304,8.0105673,
77.393,7.3023974,
74.483,10.525675,
71.572,11.887648,
68.662,11.319267,
65.751,12.025719,
62.840,12.731702,
59.930,10.815279,
57.019,1.6492136,
54.109,1.4443217,
51.198,4.9644835,
48.288,11.238675,
45.377,9.831919,
42.466,10.074439,
39.556,9.7534585,
36.645,0.62498569,
33.735,1.8847393,
30.824,3.4829042,
27.914,-2.1264977,
25.003,3.4763748,
22.092,10.156141,
19.182,16.593243,
16.271,27.085595,
13.361,135.35012,
10.450,333.65748,
7.539,655.58086,
4.629,661.28493,
1.718,437.50897,
-1.192,-53.977928,
-4.103,-255.29864,
-7.013,-240.47033,
-9.924,-1.75,
