,PL63B6~1,
Wavenumbers [1/cm],Intensity,
2173.010,812.17574,
2170.099,841.74703,
2167.189,901.8074,
2164.278,915.47262,
2161.368,963.60535,
2158.457,998.63186,
2155.546,1029.3847,
2152.636,1106.6169,
2149.725,1144.5621,
2146.815,1189.3151,
2143.904,1264.8429,
2140.993,1251.242,
2138.083,1270.4095,
2135.172,1280.7752,
2132.262,1274.6206,
2129.351,1273.5052,
2126.441,1249.0121,
2123.530,1210.0653,
2120.619,1143.42,
2117.709,1099.7947,
2114.798,1063.4997,
2111.888,986.85162,
2108.977,921.86919,
2106.067,881.99867,
2103.156,867.71132,
2100.245,835.73934,
2097.335,815.61912,
2094.424,789.15976,
2091.514,781.3253,
2088.603,768.28925,
2085.692,757.98042,
2082.782,742.42484,
2079.871,773.8235,
2076.961,752.81649,
2074.050,727.52576,
2071.140,742.58909,
2068.229,746.10416,
2065.318,747.03299,
2062.408,722.85591,
2059.497,728.97621,
2056.587,737.04071,
2053.676,732.66692,
2050.766,729.90396,
2047.855,730.46521,
2044.944,719.02084,
2042.034,708.93499,
2039.123,720.91162,
2036.213,738.5189,
2033.302,731.51101,
2030.391,740.49531,
2027.481,766.8596,
2024.570,749.99346,
2021.660,741.98652,
2018.749,741.04168,
2015.839,771.46325,
2012.928,747.55536,
2010.017,724.86618,
2007.107,753.47339,
2004.196,754.3928,
2001.286,748.81359,
1998.375,741.52854,
1995.465,737.32321,
1992.554,721.0972,
1989.643,719.71544,
1986.733,717.67982,
1983.822,701.28914,
1980.912,716.97774,
1978.001,722.7667,
1975.090,736.14084,
1972.180,734.92288,
1969.269,726.35344,
1966.359,721.15537,
1963.448,752.6232,
1960.538,733.10112,
1957.627,743.58283,
1954.716,760.3191,
1951.806,763.70032,
1948.895,761.09213,
1945.985,745.05229,
1943.074,727.31088,
1940.164,729.46155,
1937.253,737.63681,
1934.342,743.22006,
1931.432,708.5765,
1928.521,698.08852,
1925.611,702.58768,
1922.700,708.87293,
1919.790,740.03291,
1916.879,710.33073,
1913.968,701.75738,
1911.058,734.60886,
1908.147,741.56893,
1905.237,706.55882,
1902.326,691.99298,
1899.415,671.31099,
1896.505,668.69559,
1893.594,651.01832,
1890.684,694.86088,
1887.773,739.30143,
1884.863,730.52904,
1881.952,740.9773,
1879.041,755.80192,
1876.131,746.3487,
1873.220,725.44462,
1870.310,748.74098,
1867.399,738.94192,
1864.489,734.24373,
1861.578,719.88201,
1858.667,706.29787,
1855.757,730.15931,
1852.846,725.78075,
1849.936,755.84208,
1847.025,784.1028,
1844.114,771.06995,
1841.204,764.73251,
1838.293,777.25748,
1835.383,751.98302,
1832.472,756.69261,
1829.562,781.33203,
1826.651,787.43378,
1823.740,787.02203,
1820.830,782.12004,
1817.919,754.68995,
1815.009,804.40521,
1812.098,772.45869,
1809.188,789.32359,
1806.277,817.15244,
1803.366,806.18437,
1800.456,774.17889,
1797.545,797.36709,
1794.635,786.71705,
1791.724,798.00255,
1788.813,768.16851,
1785.903,818.48067,
1782.992,789.1166,
1780.082,736.09219,
1777.171,628.07226,
1774.261,609.38046,
1771.350,694.65702,
1768.439,771.98505,
1765.529,811.75565,
1762.618,839.53686,
1759.708,852.20674,
1756.797,834.5606,
1753.887,848.00947,
1750.976,874.31545,
1748.065,878.80991,
1745.155,848.7051,
1742.244,852.24905,
1739.334,862.69588,
1736.423,846.2061,
1733.512,847.02644,
1730.602,864.71034,
1727.691,865.9117,
1724.781,931.60901,
1721.870,930.4356,
1718.960,920.81661,
1716.049,919.75,
1713.138,892.39013,
1710.228,906.02624,
1707.317,968.01628,
1704.407,933.52533,
1701.496,937.86548,
1698.586,961.84961,
1695.675,968.42854,
1692.764,988.63116,
1689.854,969.65944,
1686.943,967.78373,
1684.033,999.9304,
1681.122,1040.0703,
1678.211,1026.8832,
1675.301,1009.8024,
1672.390,1075.8128,
1669.480,1096.7179,
1666.569,1092.8516,
1663.659,1101.9259,
1660.748,1173.2899,
1657.837,1200.4001,
1654.927,1185.2654,
1652.016,1207.1145,
1649.106,1222.1417,
1646.195,1237.0307,
1643.285,1209.0488,
1640.374,1265.8998,
1637.463,1320.6868,
1634.553,1372.9322,
1631.642,1451.8151,
1628.732,1457.9455,
1625.821,1490.8481,
1622.911,1639.9047,
1620.000,1664.4476,
1617.089,1810.7848,
1614.179,1968.266,
1611.268,2042.0732,
1608.358,2132.4423,
1605.447,2174.4646,
1602.536,2184.2051,
1599.626,2238.1061,
1596.715,2231.8588,
1593.805,2196.7654,
1590.894,2145.1938,
1587.984,2158.6701,
1585.073,2111.5518,
1582.162,2125.2919,
1579.252,2052.8297,
1576.341,2065.3893,
1573.431,2069.6173,
1570.520,2071.8075,
1567.610,2045.9261,
1564.699,2056.3258,
1561.788,2029.2433,
1558.878,1992.2188,
1555.967,1952.0201,
1553.057,1931.6466,
1550.146,1898.0228,
1547.235,1842.7401,
1544.325,1794.5632,
1541.414,1760.0082,
1538.504,1765.7883,
1535.593,1768.1949,
1532.683,1716.2954,
1529.772,1668.8501,
1526.861,1636.8173,
1523.951,1608.3408,
1521.040,1609.8709,
1518.130,1592.8805,
1515.219,1580.0706,
1512.309,1564.1915,
1509.398,1574.7273,
1506.487,1539.3958,
1503.577,1533.3055,
1500.666,1550.6841,
1497.756,1481.2673,
1494.845,1510.7094,
1491.934,1485.8287,
1489.024,1509.8911,
1486.113,1447.6993,
1483.203,1405.447,
1480.292,1397.356,
1477.382,1353.1046,
1474.471,1383.4211,
1471.560,1363.095,
1468.650,1312.4867,
1465.739,1327.415,
1462.829,1340.3786,
1459.918,1351.1148,
1457.008,1360.7192,
1454.097,1326.8611,
1451.186,1348.8022,
1448.276,1415.8843,
1445.365,1367.532,
1442.455,1326.0298,
1439.544,1332.2822,
1436.633,1319.9049,
1433.723,1303.6193,
1430.812,1316.0851,
1427.902,1309.0804,
1424.991,1364.9984,
1422.081,1286.012,
1419.170,1301.2156,
1416.259,1307.1802,
1413.349,1285.0928,
1410.438,1271.452,
1407.528,1295.7872,
1404.617,1280.8065,
1401.707,1248.6212,
1398.796,1277.4562,
1395.885,1308.7617,
1392.975,1306.9798,
1390.064,1331.5126,
1387.154,1307.1601,
1384.243,1267.2354,
1381.332,1337.9673,
1378.422,1346.8322,
1375.511,1329.0334,
1372.601,1423.6717,
1369.690,1400.89,
1366.780,1487.6261,
1363.869,1471.7938,
1360.958,1462.6919,
