,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_0mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__1__12-55-44-761,
Raman shift [1/cm],Intensity,
3014.167,0.375,
3011.256,1.7249678,
3008.346,67.206328,
3005.435,81.33613,
3002.525,96.810123,
2999.614,66.702291,
2996.704,88.278089,
2993.793,89.737328,
2990.882,104.45894,
2987.972,86.496079,
2985.061,105.0548,
2982.151,107.18173,
2979.240,117.20961,
2976.329,120.14275,
2973.419,133.46794,
2970.508,122.17492,
2967.598,123.13604,
2964.687,130.79212,
2961.777,136.22107,
2958.866,130.71378,
2955.955,124.13385,
2953.045,127.74189,
2950.134,140.89689,
2947.224,161.48888,
2944.313,155.93696,
2941.403,153.06569,
2938.492,158.38585,
2935.581,154.92348,
2932.671,150.77413,
2929.760,157.60194,
2926.850,156.00207,
2923.939,166.17406,
2921.028,167.06321,
2918.118,172.2755,
2915.207,174.02054,
2912.297,184.32422,
2909.386,172.99543,
2906.476,173.31321,
2903.565,182.27871,
2900.654,178.6571,
2897.744,167.1487,
2894.833,158.447,
2891.923,185.16031,
2889.012,176.71026,
2886.102,158.29393,
2883.191,162.36367,
2880.280,149.50417,
2877.370,125.72964,
2874.459,97.129852,
2871.549,135.2173,
2868.638,171.24096,
2865.727,159.11345,
2862.817,178.94718,
2859.906,163.19836,
2856.996,182.35236,
2854.085,180.33297,
2851.175,175.89909,
2848.264,170.31117,
2845.353,186.81426,
2842.443,170.95829,
2839.532,173.73328,
2836.622,172.403,
2833.711,180.83342,
2830.801,168.69926,
2827.890,169.45892,
2824.979,174.30099,
2822.069,179.23853,
2819.158,167.75505,
2816.248,180.32868,
2813.337,166.77742,
2810.427,187.63947,
2807.516,182.21672,
2804.605,189.69711,
2801.695,174.80921,
2798.784,172.52285,
2795.874,177.375,
2792.963,174.80351,
2790.052,174.37479,
2787.142,190.17758,
2784.231,170.18247,
2781.321,160.63221,
2778.410,178.54505,
2775.500,175.07741,
2772.589,180.25956,
2769.678,180.76748,
2766.768,180.7517,
2763.857,178.533,
2760.947,182.39391,
2758.036,190.45783,
2755.126,180.00106,
2752.215,177.32974,
2749.304,191.375,
2746.394,188.22176,
2743.483,186.42502,
2740.573,180.60066,
2737.662,184.93861,
2734.751,190.375,
2731.841,188.59112,
2728.930,180.41727,
2726.020,189.36979,
2723.109,190.6945,
2720.199,186.80624,
2717.288,187.8312,
2714.377,192.59992,
2711.467,181.30907,
2708.556,192.68363,
2705.646,189.22007,
2702.735,199.69458,
2699.825,188.33137,
2696.914,210.61366,
2694.003,193.27418,
2691.093,201.1608,
2688.182,198.02907,
2685.272,205.93261,
2682.361,208.03985,
2679.450,208.45316,
2676.540,192.4563,
2673.629,198.03418,
2670.719,208.44062,
2667.808,187.63953,
2664.898,201.97227,
2661.987,206.54161,
2659.076,217.46766,
2656.166,202.43991,
2653.255,199.67432,
2650.345,205.48752,
2647.434,216.28926,
2644.524,213.05844,
2641.613,216.23232,
2638.702,218.39078,
2635.792,209.93731,
2632.881,215.4166,
2629.971,209.65011,
2627.060,221.87406,
2624.149,228.45625,
2621.239,219.86018,
2618.328,221.16306,
2615.418,219.69319,
2612.507,223.8928,
2609.597,230.54865,
2606.686,225.15412,
2603.775,226.93452,
2600.865,240.66515,
2597.954,219.56666,
2595.044,225.68767,
2592.133,226.0947,
2589.223,227.8329,
2586.312,226.3046,
2583.401,240.88593,
2580.491,226.66349,
2577.580,223.3882,
2574.670,227.50068,
2571.759,221.77911,
2568.848,229.49104,
2565.938,228.375,
2563.027,227.27728,
2560.117,226.64603,
2557.206,246.36024,
2554.296,244.51688,
2551.385,249.13509,
2548.474,249.11552,
2545.564,238.56493,
2542.653,243.14346,
2539.743,238.42429,
2536.832,250.98809,
2533.922,255.34346,
2531.011,254.47491,
2528.100,255.24259,
2525.190,254.16557,
2522.279,242.03157,
2519.369,255.07313,
2516.458,262.71423,
2513.548,237.8209,
2510.637,248.92834,
2507.726,253.94005,
2504.816,252.00071,
2501.905,259.62134,
2498.995,252.77781,
2496.084,248.8942,
2493.173,261.92765,
2490.263,247.21791,
2487.352,251.54353,
2484.442,272.1095,
2481.531,257.42818,
2478.621,265.28498,
2475.710,289.12196,
2472.799,262.29422,
2469.889,274.55781,
2466.978,262.60186,
2464.068,264.2057,
2461.157,269.91496,
2458.247,267.84549,
2455.336,266.26738,
2452.425,273.15802,
2449.515,278.375,
2446.604,281.90032,
2443.694,294.18916,
2440.783,282.99099,
2437.872,268.14076,
2434.962,284.69759,
2432.051,275.83799,
2429.141,265.27515,
2426.230,261.30981,
2423.320,285.31774,
2420.409,281.29825,
2417.498,275.34973,
2414.588,285.46243,
2411.677,291.01642,
2408.767,281.62795,
2405.856,287.06545,
2402.946,293.74408,
2400.035,296.17312,
2397.124,284.9258,
2394.214,287.53859,
2391.303,284.29777,
2388.393,285.30527,
2385.482,295.15469,
2382.571,293.05875,
2379.661,293.07255,
2376.750,312.4784,
2373.840,312.10003,
2370.929,310.375,
2368.019,316.47295,
2365.108,296.02422,
2362.197,315.375,
2359.287,322.55996,
2356.376,314.39261,
2353.466,312.9966,
2350.555,307.77001,
2347.645,314.88757,
2344.734,328.83124,
2341.823,311.70666,
2338.913,321.15113,
2336.002,324.55447,
2333.092,325.38634,
2330.181,339.16526,
2327.270,318.69513,
2324.360,319.28306,
2321.449,308.09951,
2318.539,333.01416,
2315.628,329.61081,
2312.718,344.80673,
2309.807,327.26307,
2306.896,339.375,
2303.986,341.98541,
2301.075,337.35375,
2298.165,340.35592,
2295.254,350.20266,
2292.344,333.69455,
2289.433,330.46001,
2286.522,336.97334,
2283.612,337.55614,
2280.701,332.25843,
2277.791,348.61545,
2274.880,357.58494,
2271.969,358.93055,
2269.059,355.22243,
2266.148,356.62041,
2263.238,356.97345,
2260.327,370.03013,
2257.417,367.03555,
2254.506,370.75676,
2251.595,363.23685,
2248.685,372.63264,
2245.774,389.99017,
2242.864,370.6069,
2239.953,380.86479,
2237.043,366.67463,
2234.132,386.02694,
2231.221,389.50679,
2228.311,385.15593,
2225.400,379.79718,
