,PL33C7~1,
Wavenumbers [1/cm],Intensity,
2173.010,450.4263,
2170.099,454.1503,
2167.189,496.82176,
2164.278,510.71181,
2161.368,534.32136,
2158.457,546.7643,
2155.546,572.40098,
2152.636,595.38294,
2149.725,626.71642,
2146.815,635.61652,
2143.904,663.83924,
2140.993,643.57003,
2138.083,667.49162,
2135.172,684.67443,
2132.262,687.4912,
2129.351,676.19823,
2126.441,671.983,
2123.530,637.26737,
2120.619,594.61239,
2117.709,588.47625,
2114.798,565.98068,
2111.888,542.98797,
2108.977,516.22019,
2106.067,496.13271,
2103.156,485.71132,
2100.245,451.75439,
2097.335,455.98037,
2094.424,439.57959,
2091.514,445.31446,
2088.603,426.15556,
2085.692,423.66075,
2082.782,419.26812,
2079.871,435.46528,
2076.961,433.20205,
2074.050,414.04091,
2071.140,420.23272,
2068.229,423.83854,
2065.318,421.00874,
2062.408,420.61383,
2059.497,432.75596,
2056.587,421.98276,
2053.676,409.40045,
2050.766,404.05792,
2047.855,398.75,
2044.944,396.35578,
2042.034,385.96394,
2039.123,400.36953,
2036.213,400.17224,
2033.302,420.96716,
2030.391,424.08925,
2027.481,419.4939,
2024.570,423.12134,
2021.660,428.45435,
2018.749,440.56005,
2015.839,429.96587,
2012.928,392.97987,
2010.017,400.5676,
2007.107,413.49392,
2004.196,412.26191,
2001.286,422.41783,
1998.375,403.00294,
1995.465,420.85446,
1992.554,395.44441,
1989.643,409.09329,
1986.733,387.60614,
1983.822,400.21086,
1980.912,381.33388,
1978.001,378.52923,
1975.090,396.15611,
1972.180,404.36966,
1969.269,399.89937,
1966.359,398.12851,
1963.448,414.70773,
1960.538,434.16868,
1957.627,417.24224,
1954.716,394.35326,
1951.806,422.25322,
1948.895,408.28651,
1945.985,378.77124,
1943.074,386.11526,
1940.164,388.70179,
1937.253,376.0283,
1934.342,379.29706,
1931.432,367.43139,
1928.521,377.47885,
1925.611,380.37997,
1922.700,366.46133,
1919.790,392.17164,
1916.879,398.6105,
1913.968,349.81025,
1911.058,410.71095,
1908.147,367.4843,
1905.237,367.93384,
1902.326,374.64037,
1899.415,364.81341,
1896.505,339.91245,
1893.594,327.83237,
1890.684,364.88712,
1887.773,390.10329,
1884.863,378.16686,
1881.952,378.5149,
1879.041,420.57452,
1876.131,387.95917,
1873.220,351.59945,
1870.310,383.02348,
1867.399,431.9983,
1864.489,388.67211,
1861.578,387.217,
1858.667,389.40271,
1855.757,377.34427,
1852.846,380.73462,
1849.936,385.95819,
1847.025,421.21958,
1844.114,413.27702,
1841.204,404.67308,
1838.293,404.76996,
1835.383,394.3895,
1832.472,414.72739,
1829.562,414.97396,
1826.651,398.86089,
1823.740,431.87651,
1820.830,428.00181,
1817.919,408.9056,
1815.009,448.5617,
1812.098,410.86814,
1809.188,450.77315,
1806.277,437.12624,
1803.366,434.86645,
1800.456,441.53017,
1797.545,436.09051,
1794.635,423.74906,
1791.724,448.93449,
1788.813,437.74743,
1785.903,426.93607,
1782.992,423.11514,
1780.082,425.39824,
1777.171,402.4197,
1774.261,399.14971,
1771.350,396.30776,
1768.439,431.60118,
1765.529,457.30007,
1762.618,468.39121,
1759.708,471.73936,
1756.797,480.30303,
1753.887,486.23834,
1750.976,479.70158,
1748.065,468.20776,
1745.155,469.75,
1742.244,465.77718,
1739.334,474.70529,
1736.423,469.15188,
1733.512,464.02236,
1730.602,445.04958,
1727.691,461.01216,
1724.781,492.13387,
1721.870,477.82607,
1718.960,508.92821,
1716.049,510.0382,
1713.138,477.97015,
1710.228,479.71238,
1707.317,508.17171,
1704.407,496.47725,
1701.496,471.04976,
1698.586,514.94922,
1695.675,515.00717,
1692.764,509.06967,
1689.854,514.49016,
1686.943,508.95235,
1684.033,546.78139,
1681.122,537.91992,
1678.211,546.66434,
1675.301,505.87642,
1672.390,578.68719,
1669.480,557.68582,
1666.569,550.39749,
1663.659,601.01132,
1660.748,617.30917,
1657.837,645.0283,
1654.927,612.53914,
1652.016,604.57617,
1649.106,638.68028,
1646.195,674.91083,
1643.285,640.54492,
1640.374,632.89982,
1637.463,687.03823,
1634.553,703.97656,
1631.642,785.84772,
1628.732,794.73815,
1625.821,792.77682,
