,PL6A6A~1,
Wavenumbers [1/cm],Intensity,
2173.010,475.87557,
2170.099,474.29216,
2167.189,528.50302,
2164.278,515.44008,
2161.368,547.62379,
2158.457,575.16676,
2155.546,597.12407,
2152.636,654.1302,
2149.725,666.7995,
2146.815,670.45816,
2143.904,708.0302,
2140.993,722.72021,
2138.083,729.26026,
2135.172,739.53264,
2132.262,735.60387,
2129.351,722.84912,
2126.441,691.58607,
2123.530,680.11992,
2120.619,640.85414,
2117.709,659.12218,
2114.798,610.46722,
2111.888,563.80149,
2108.977,537.98262,
2106.067,522.66556,
2103.156,488.47028,
2100.245,501.61245,
2097.335,477.16951,
2094.424,443.1889,
2091.514,442.91536,
2088.603,444.92917,
2085.692,443.94467,
2082.782,431.36807,
2079.871,459.12674,
2076.961,435.75607,
2074.050,424.15833,
2071.140,433.98137,
2068.229,427.08725,
2065.318,419.9215,
2062.408,428.05692,
2059.497,450.66074,
2056.587,436.38124,
2053.676,444.40719,
2050.766,428.31857,
2047.855,427.73892,
2044.944,427.3686,
2042.034,406.02393,
2039.123,429.00547,
2036.213,432.74055,
2033.302,432.71194,
2030.391,434.9131,
2027.481,428.92994,
2024.570,435.05335,
2021.660,429.09803,
2018.749,425.53677,
2015.839,446.7418,
2012.928,427.26929,
2010.017,414.9616,
2007.107,440.20631,
2004.196,442.18453,
2001.286,448.25044,
1998.375,438.0994,
1995.465,439.70446,
1992.554,406.56648,
1989.643,440.24245,
1986.733,419.08991,
1983.822,409.48394,
1980.912,404.7534,
1978.001,404.16676,
1975.090,424.054,
1972.180,416.00398,
1969.269,418.49281,
1966.359,409.84112,
1963.448,426.80995,
1960.538,431.37896,
1957.627,419.03366,
1954.716,434.13664,
1951.806,425.71792,
1948.895,441.90645,
1945.985,410.85049,
1943.074,418.99026,
1940.164,420.50946,
1937.253,412.79011,
1934.342,422.14639,
1931.432,409.61553,
1928.521,410.31412,
1925.611,408.69651,
1922.700,411.16505,
1919.790,444.49169,
1916.879,450.55525,
1913.968,393.69509,
1911.058,446.03941,
1908.147,421.49943,
1905.237,409.41178,
1902.326,408.4502,
1899.415,390.54574,
1896.505,390.83573,
1893.594,384.7104,
1890.684,409.56608,
1887.773,403.56514,
1884.863,401.10564,
1881.952,396.46511,
1879.041,448.36177,
1876.131,425.90606,
1873.220,414.88163,
1870.310,431.33349,
1867.399,426.72096,
1864.489,440.06726,
1861.578,400.69101,
1858.667,396.61299,
1855.757,428.81354,
1852.846,439.11219,
1849.936,432.53191,
1847.025,446.62012,
1844.114,452.53083,
1841.204,445.31381,
1838.293,447.65493,
1835.383,433.4505,
1832.472,459.16065,
1829.562,450.98932,
1826.651,451.30055,
1823.740,478.00818,
1820.830,441.64036,
1817.919,434.32564,
1815.009,485.28657,
1812.098,459.51479,
1809.188,463.12886,
1806.277,458.73566,
1803.366,461.19063,
1800.456,492.04201,
1797.545,449.65327,
1794.635,470.39901,
1791.724,473.14931,
1788.813,460.625,
1785.903,462.50096,
1782.992,466.47894,
1780.082,439.53663,
1777.171,401.29738,
1774.261,405.83466,
1771.350,414.61702,
1768.439,454.32457,
1765.529,441.90004,
1762.618,478.84879,
1759.708,505.17937,
1756.797,495.79167,
1753.887,514.39613,
1750.976,520.11453,
1748.065,515.99827,
1745.155,483.5801,
1742.244,499.04251,
1739.334,514.88618,
1736.423,512.21192,
1733.512,505.80385,
1730.602,481.93251,
1727.691,523.75527,
1724.781,533.11896,
1721.870,545.30603,
1718.960,555.20286,
1716.049,534.81166,
1713.138,525.49503,
1710.228,522.88441,
1707.317,563.31528,
1704.407,557.84423,
1701.496,545.68643,
1698.586,577.88844,
1695.675,580.625,
1692.764,591.98566,
1689.854,587.84153,
1686.943,567.33324,
1684.033,629.03548,
1681.122,611.94786,
1678.211,625.49176,
1675.301,590.73292,
1672.390,639.49939,
1669.480,597.92181,
1666.569,634.45995,
1663.659,622.89892,
1660.748,699.4129,
1657.837,688.82183,
1654.927,698.02329,
1652.016,714.77079,
1649.106,721.16358,
1646.195,742.09752,
1643.285,721.19466,
1640.374,746.3567,
1637.463,780.71507,
1634.553,786.45256,
1631.642,841.92902,
1628.732,869.58352,
1625.821,862.70416,
1622.911,982.94315,
1620.000,1031.0203,
1617.089,1037.5056,
1614.179,1110.5099,
1611.268,1199.279,
1608.358,1241.7053,
1605.447,1278.511,
1602.536,1299.2627,
1599.626,1295.1054,
1596.715,1327.2986,
1593.805,1298.4291,
1590.894,1267.3242,
1587.984,1279.2147,
1585.073,1233.1284,
1582.162,1240.4878,
1579.252,1241.9884,
1576.341,1191.9591,
1573.431,1183.5409,
1570.520,1220.5507,
1567.610,1205.5462,
1564.699,1159.6485,
1561.788,1149.1461,
1558.878,1139.018,
1555.967,1131.643,
1553.057,1112.7631,
1550.146,1071.8978,
1547.235,1076.8284,
1544.325,1061.9552,
1541.414,1012.2423,
1538.504,1009.6357,
1535.593,1016.9129,
1532.683,1004.2468,
1529.772,993.56889,
1526.861,972.37144,
1523.951,957.50684,
1521.040,930.9599,
1518.130,890.16832,
1515.219,907.42479,
1512.309,922.05746,
1509.398,936.67646,
1506.487,902.5544,
1503.577,881.53539,
1500.666,888.93148,
1497.756,862.98135,
1494.845,902.50439,
1491.934,875.6124,
1489.024,871.76243,
1486.113,889.2421,
1483.203,847.99295,
1480.292,790.01729,
1477.382,789.51573,
1474.471,803.13568,
1471.560,823.31532,
1468.650,783.16239,
1465.739,785.32314,
1462.829,793.25364,
1459.918,779.12767,
1457.008,783.31747,
1454.097,791.92774,
1451.186,807.58631,
1448.276,806.10746,
1445.365,769.77034,
1442.455,796.07184,
1439.544,782.58684,
1436.633,765.47902,
1433.723,751.7466,
1430.812,764.42737,
1427.902,823.90341,
1424.991,793.57501,
1422.081,758.67835,
1419.170,768.58591,
1416.259,781.15582,
1413.349,764.74397,
1410.438,752.32698,
1407.528,772.7997,
1404.617,715.16961,
1401.707,712.25976,
1398.796,777.22634,
1395.885,777.58147,
1392.975,750.89626,
1390.064,764.62174,
1387.154,761.27045,
1384.243,789.10766,
1381.332,780.98107,
1378.422,737.02585,
1375.511,764.19249,
1372.601,839.2722,
1369.690,850.76833,
1366.780,903.89932,
1363.869,882.02763,
1360.958,898.33473,
1358.048,939.73072,
1355.137,931.3408,
1352.227,938.27878,
1349.316,995.62176,
1346.406,1009.4663,
1343.495,989.55189,
1340.584,1048.5181,
1337.674,1035.8427,
1334.763,1088.1543,
1331.853,1102.0627,
1328.942,1112.4091,
1326.032,1072.0283,
1323.121,1075.9624,
1320.210,1086.6183,
1317.300,1143.3361,
1314.389,1165.208,
1311.479,1163.7317,
1308.568,1190.6824,
1305.657,1217.3347,
1302.747,1235.9856,
1299.836,1233.2959,
1296.926,1319.0178,
1294.015,1370.4999,
1291.105,1344.4477,
1288.194,1410.1156,
1285.283,1462.7092,
1282.373,1496.8749,
1279.462,1533.8794,
1276.552,1577.3889,
1273.641,1608.1803,
1270.731,1610.3325,
1267.820,1597.4173,
1264.909,1590.7013,
1261.999,1548.4905,
1259.088,1572.2056,
1256.178,1561.6346,
1253.267,1502.0853,
1250.356,1484.625,
1247.446,1450.0081,
1244.535,1398.8661,
1241.625,1338.9251,
1238.714,1288.1341,
1235.804,1273.4503,
1232.893,1237.6296,
1229.982,1216.533,
1227.072,1213.8171,
1224.161,1174.9618,
1221.251,1162.4134,
1218.340,1160.625,
1215.430,1120.9865,
1212.519,1098.5857,
1209.608,1106.3725,
1206.698,1096.5824,
1203.787,1091.0923,
1200.877,1093.0678,
1197.966,1084.0762,
1195.055,1151.0316,
1192.145,1171.6411,
1189.234,1231.0699,
1186.324,1269.8076,
1183.413,1261.6098,
1180.503,1263.1976,
1177.592,1287.362,
1174.681,1230.8373,
1171.771,1211.2747,
1168.860,1196.0922,
1165.950,1195.4313,
1163.039,1183.7522,
1160.129,1205.1685,
1157.218,1196.223,
1154.307,1158.8335,
1151.397,1146.9284,
1148.486,1144.0313,
1145.576,1107.5501,
1142.665,1128.8601,
1139.754,1111.0979,
1136.844,1110.8268,
1133.933,1122.0091,
1131.023,1106.9086,
1128.112,1082.2679,
1125.202,1081.8665,
1122.291,1084.129,
1119.380,1094.5384,
1116.470,1085.7131,
1113.559,1104.7295,
1110.649,1074.6085,
1107.738,1069.5563,
1104.828,1088.6987,
1101.917,1106.9094,
1099.006,1121.7179,
1096.096,1097.6037,
1093.185,1080.9216,
1090.275,1083.6714,
1087.364,1063.3552,
1084.453,1097.4972,
1081.543,1108.3993,
1078.632,1083.6393,
1075.722,1091.0518,
1072.811,1075.9973,
1069.901,1081.2369,
1066.990,1105.0666,
1064.079,1105.8614,
1061.169,1132.3447,
1058.258,1147.5788,
1055.348,1140.7404,
1052.437,1152.1009,
1049.527,1159.39,
1046.616,1153.3082,
1043.705,1170.3526,
1040.795,1178.179,
1037.884,1185.1881,
1034.974,1206.2667,
1032.063,1225.9483,
1029.153,1203.898,
1026.242,1197.8433,
1023.331,1240.1223,
1020.421,1213.7699,
1017.510,1242.3265,
1014.600,1266.0517,
1011.689,1251.9101,
1008.778,1252.3318,
1005.868,1251.0652,
1002.957,1300.1054,
1000.047,1312.721,
997.136,1383.9294,
994.226,1429.0558,
991.315,1424.0161,
988.404,1418.4096,
985.494,1396.8168,
982.583,1405.3824,
979.673,1399.3085,
976.762,1400.1476,
973.852,1400.857,
970.941,1401.2924,
968.030,1409.2782,
965.120,1418.6536,
962.209,1425.474,
959.299,1421.6673,
956.388,1399.4663,
953.477,1394.3117,
950.567,1416.6834,
947.656,1435.9565,
944.746,1430.8592,
941.835,1417.668,
938.925,1422.5216,
936.014,1423.0842,
933.103,1415.3879,
930.193,1403.4301,
927.282,1386.0751,
924.372,1375.9278,
921.461,1359.897,
918.551,1330.8067,
915.640,1304.7012,
912.729,1288.0629,
909.819,1278.9611,
906.908,1304.2339,
903.998,1297.6714,
901.087,1315.3567,
898.176,1326.625,
895.266,1340.2732,
892.355,1372.6091,
889.445,1388.5552,
886.534,1394.4691,
883.624,1404.3718,
880.713,1390.2522,
877.802,1367.4141,
874.892,1364.0596,
