,PL892C~1,
Wavenumbers [1/cm],Intensity,
2175.920,785.00273,
2173.010,800.62642,
2170.099,816.16568,
2167.189,840.73679,
2164.278,874.96734,
2161.368,891.21335,
2158.457,914.31264,
2155.546,940.80196,
2152.636,986.06907,
2149.725,1026.7953,
2146.815,1057.6324,
2143.904,1091.0093,
2140.993,1113.0344,
2138.083,1110.7705,
2135.172,1120.9034,
2132.262,1150.6505,
2129.351,1122.2308,
2126.441,1122.7525,
2123.530,1123.7592,
2120.619,1057.6743,
2117.709,1046.4352,
2114.798,1015.1268,
2111.888,979.17559,
2108.977,938.52647,
2106.067,902.0238,
2103.156,862.06627,
2100.245,858.50816,
2097.335,866.68325,
2094.424,837.00504,
2091.514,851.63976,
2088.603,834.63369,
2085.692,833.91257,
2082.782,839.67271,
2079.871,819.60619,
2076.961,833.27302,
2074.050,833.93636,
2071.140,844.10907,
2068.229,850.86719,
2065.318,839.99324,
2062.408,815.21938,
2059.497,813.12502,
2056.587,822.20929,
2053.676,820.05015,
2050.766,836.11435,
2047.855,822.90194,
2044.944,804.49519,
2042.034,822.23995,
2039.123,828.65825,
2036.213,825.20895,
2033.302,831.08713,
2030.391,837.60126,
2027.481,854.68285,
2024.570,865.08551,
2021.660,876.84958,
2018.749,848.23407,
2015.839,843.11417,
2012.928,862.23491,
2010.017,892.79859,
2007.107,890.47569,
2004.196,877.35712,
2001.286,874.5212,
1998.375,881.37107,
1995.465,881.92679,
1992.554,883.25293,
1989.643,867.08758,
1986.733,851.05176,
1983.822,878.21787,
1980.912,869.8955,
1978.001,862.86365,
1975.090,896.10153,
1972.180,891.6383,
1969.269,890.33047,
1966.359,898.98657,
1963.448,901.03897,
1960.538,881.83528,
1957.627,892.65791,
1954.716,929.46583,
1951.806,908.89099,
1948.895,936.13764,
1945.985,935.18954,
1943.074,912.25649,
1940.164,925.35619,
1937.253,953.47404,
1934.342,926.84172,
1931.432,906.76814,
1928.521,915.24093,
1925.611,929.14926,
1922.700,924.58564,
1919.790,944.89281,
1916.879,907.56898,
1913.968,918.48279,
1911.058,940.22673,
1908.147,949.43722,
1905.237,941.70588,
1902.326,933.22594,
1899.415,910.29877,
1896.505,881.3613,
1893.594,880.6708,
1890.684,933.99652,
1887.773,990.64587,
1884.863,1002.8462,
1881.952,960.13788,
1879.041,949.55192,
1876.131,988.14704,
1873.220,976.45125,
1870.310,988.35199,
1867.399,988.51599,
1864.489,977.56536,
1861.578,957.11518,
1858.667,985.28741,
1855.757,1001.3007,
1852.846,1003.2641,
1849.936,1010.8954,
1847.025,1002.444,
1844.114,994.73061,
1841.204,1011.521,
1838.293,1014.0141,
1835.383,1000.5815,
1832.472,1016.6635,
1829.562,1033.0552,
1826.651,1034.5,
1823.740,1047.6035,
1820.830,1040.9251,
1817.919,1064.3744,
1815.009,1037.1069,
1812.098,1047.6575,
1809.188,1034.4923,
1806.277,1060.8803,
1803.366,1040.1821,
1800.456,1080.7198,
1797.545,1082.3795,
1794.635,1063.822,
1791.724,1076.1991,
1788.813,1063.1046,
1785.903,1052.4091,
1782.992,960.03797,
1780.082,900.1687,
1777.171,801.48606,
1774.261,773.22548,
1771.350,885.73503,
1768.439,1011.9493,
1765.529,1079.1446,
1762.618,1134.3988,
1759.708,1141.0761,
1756.797,1129.4394,
1753.887,1128.3469,
1750.976,1131.0137,
1748.065,1108.0668,
1745.155,1096.5,
1742.244,1158.0787,
1739.334,1160.7424,
1736.423,1155.9785,
1733.512,1163.1382,
1730.602,1163.004,
1727.691,1170.1766,
1724.781,1185.8718,
1721.870,1207.2049,
1718.960,1196.6998,
1716.049,1235.4487,
1713.138,1228.9651,
1710.228,1228.2406,
1707.317,1234.692,
1704.407,1264.2487,
1701.496,1273.8808,
1698.586,1268.9561,
1695.675,1307.7998,
1692.764,1328.4877,
1689.854,1316.1063,
1686.943,1329.9941,
1684.033,1381.2085,
1681.122,1357.9248,
1678.211,1348.5857,
1675.301,1376.4137,
1672.390,1426.4372,
1669.480,1405.7005,
1666.569,1430.7666,
1663.659,1452.7086,
1660.748,1525.4036,
1657.837,1521.0249,
1654.927,1545.1326,
1652.016,1571.014,
1649.106,1552.0141,
1646.195,1572.2123,
1643.285,1561.9356,
1640.374,1623.5418,
1637.463,1626.5629,
1634.553,1684.6478,
1631.642,1694.804,
1628.732,1722.9266,
1625.821,1794.5321,
1622.911,1843.2239,
1620.000,1928.4165,
1617.089,1982.4254,
1614.179,2053.4695,
1611.268,2240.3618,
1608.358,2310.4097,
1605.447,2375.7291,
1602.536,2427.0262,
1599.626,2425.9003,
1596.715,2440.9292,
1593.805,2404.9381,
1590.894,2389.932,
1587.984,2333.0701,
1585.073,2339.8147,
1582.162,2273.2045,
1579.252,2253.7719,
1576.341,2253.3011,
1573.431,2280.9111,
1570.520,2260.218,
1567.610,2246.2842,
1564.699,2254.6504,
1561.788,2210.6131,
1558.878,2198.6932,
1555.967,2176.7341,
1553.057,2130.3279,
1550.146,2084.4601,
1547.235,2068.0903,
1544.325,2060.017,
1541.414,2038.9185,
1538.504,2017.7654,
1535.593,2016.3168,
1532.683,2017.9873,
1529.772,2000.2877,
1526.861,1954.1184,
1523.951,1934.3359,
1521.040,1957.2329,
1518.130,1916.9927,
1515.219,1921.6601,
1512.309,1927.428,
1509.398,1942.907,
1506.487,1910.7756,
1503.577,1903.2384,
1500.666,1880.8504,
1497.756,1895.8385,
1494.845,1852.7407,
1491.934,1882.4339,
1489.024,1862.2215,
1486.113,1885.6076,
1483.203,1851.9733,
1480.292,1810.1655,
1477.382,1835.0217,
1474.471,1817.1765,
1471.560,1795.7123,
1468.650,1801.4324,
1465.739,1819.3098,
1462.829,1785.3196,
1459.918,1777.3897,
1457.008,1796.0385,
1454.097,1770.7705,
1451.186,1764.6992,
1448.276,1812.938,
1445.365,1831.2141,
1442.455,1831.5065,
1439.544,1830.302,
1436.633,1810.0352,
1433.723,1863.1291,
1430.812,1852.1701,
1427.902,1834.4627,
1424.991,1790.8656,
1422.081,1817.9418,
1419.170,1855.9265,
1416.259,1863.1201,
1413.349,1842.3533,
1410.438,1871.1888,
1407.528,1874.2689,
1404.617,1852.8218,
1401.707,1879.0659,
1398.796,1904.8916,
1395.885,1896.2598,
1392.975,1897.3335,
1390.064,1891.3162,
1387.154,1876.183,
1384.243,1903.8084,
1381.332,1856.3733,
1378.422,1890.3983,
1375.511,1946.6052,
1372.601,1981.5981,
1369.690,2017.0745,
1366.780,2100.1194,
1363.869,2120.5,
1360.958,2107.9559,
1358.048,2151.9315,
1355.137,2192.2825,
1352.227,2225.4087,
1349.316,2263.1659,
1346.406,2259.0048,
1343.495,2246.2091,
1340.584,2287.7496,
1337.674,2318.644,
1334.763,2334.2417,
1331.853,2274.899,
1328.942,2313.4153,
1326.032,2311.1594,
1323.121,2314.6868,
1320.210,2359.1189,
