,PLBB80~1,
Wavenumbers [1/cm],Intensity,
103.589,25.712201,
100.678,20.875,
97.767,20.875,
94.857,15.331088,
91.946,12.875,
89.036,12.536306,
86.125,10.40869,
83.215,8.2822389,
80.304,6.6355673,
77.393,5.9273974,
74.483,16.357159,
71.572,18.613831,
68.662,12.182325,
65.751,5.1178142,
62.840,11.063934,
59.930,16.878421,
57.019,5.5971091,
54.109,9.2494476,
51.198,12.271781,
48.288,10.818376,
45.377,3.7845949,
42.466,1.6994387,
39.556,3.1052372,
36.645,4.5096176,
33.735,7.9904908,
30.824,8.4452433,
27.914,0.7323156,
25.003,6.7240122,
22.092,12.812427,
19.182,17.172477,
16.271,26.265849,
13.361,124.70304,
10.450,294.17705,
7.539,522.52618,
4.629,595.81577,
1.718,478.44659,
-1.192,53.188424,
-4.103,-70.399322,
-7.013,-79.858405,
-9.924,0.875,
