,PL8F1F~1,
Wavenumbers [1/cm],Intensity,
2178.831,211.21933,
2175.920,199.87773,
2173.010,208.97591,
2170.099,205.57589,
2167.189,228.23149,
2164.278,211.16294,
2161.368,222.80412,
2158.457,223.66018,
2155.546,249.34425,
2152.636,247.31651,
2149.725,251.69714,
2146.815,264.97457,
2143.904,274.78391,
2140.993,294.97819,
2138.083,287.82182,
2135.172,286.34981,
2132.262,297.51144,
2129.351,291.80252,
2126.441,291.90899,
2123.530,285.15052,
2120.619,265.51261,
2117.709,265.58394,
2114.798,258.32494,
2111.888,247.81261,
2108.977,219.94452,
2106.067,225.8512,
2103.156,233.25484,
2100.245,230.375,
2097.335,227.48495,
2094.424,212.83744,
2091.514,226.2244,
2088.603,213.375,
2085.692,216.33037,
2082.782,214.13406,
2079.871,214.83941,
2076.961,208.82705,
2074.050,225.18106,
2071.140,221.21409,
2068.229,224.72916,
2065.318,233.69575,
2062.408,210.17002,
2059.497,200.59525,
2056.587,222.27011,
2053.676,225.92515,
2050.766,195.83838,
2047.855,239.26432,
2044.944,201.90705,
2042.034,207.03398,
2039.123,215.09554,
2036.213,218.16388,
2033.302,227.87481,
2030.391,238.375,
2027.481,236.14331,
2024.570,223.57531,
2021.660,245.83764,
2018.749,249.10907,
2015.839,242.77854,
2012.928,245.60487,
2010.017,246.375,
2007.107,245.53762,
2004.196,247.95835,
2001.286,249.56228,
1998.375,254.6378,
1995.465,258.16161,
1992.554,248.73391,
1989.643,248.34044,
1986.733,237.7829,
1983.822,277.97692,
1980.912,258.13695,
1978.001,255.42511,
1975.090,278.81163,
1972.180,257.61703,
1969.269,255.46984,
1966.359,263.9156,
1963.448,269.29706,
1960.538,257.39085,
1957.627,262.39977,
1954.716,279.88664,
1951.806,293.61695,
1948.895,310.61599,
1945.985,262.12827,
1943.074,261.78815,
1940.164,286.57699,
1937.253,291.08372,
1934.342,281.30655,
1931.432,287.80718,
1928.521,292.53044,
1925.611,300.18658,
1922.700,301.20925,
1919.790,288.31733,
1916.879,277.07249,
1913.968,291.35656,
1911.058,292.90353,
1908.147,301.57063,
1905.237,300.24259,
1902.326,257.83723,
1899.415,234.82987,
1896.505,205.27845,
1893.594,202.00007,
1890.684,256.9042,
1887.773,302.96943,
1884.863,325.21782,
1881.952,311.84519,
1879.041,310.18341,
1876.131,317.26127,
1873.220,297.45456,
1870.310,338.00272,
1867.399,322.67888,
1864.489,290.86873,
1861.578,281.73738,
1858.667,321.27016,
1855.757,353.00507,
1852.846,321.38525,
1849.936,323.44508,
1847.025,308.37744,
1844.114,313.06682,
1841.204,332.76661,
1838.293,340.85421,
1835.383,342.99151,
1832.472,327.85152,
1829.562,342.53907,
1826.651,334.91301,
1823.740,330.01485,
1820.830,316.71345,
1817.919,322.14752,
1815.009,320.95006,
1812.098,344.61121,
1809.188,343.62307,
1806.277,369.77744,
1803.366,327.40827,
1800.456,329.92457,
1797.545,338.36087,
1794.635,326.95598,
1791.724,318.03519,
1788.813,314.366,
1785.903,276.05724,
1782.992,212.59845,
1780.082,83.474267,
1777.171,-63.644296,
1774.261,-89.99908,
1771.350,90.687043,
1768.439,267.08016,
1765.529,313.19635,
1762.618,338.20626,
1759.708,362.78824,
1756.797,358.78409,
1753.887,348.96538,
1750.976,342.81283,
1748.065,353.65149,
1745.155,371.48464,
1742.244,380.99637,
1739.334,364.51854,
1736.423,380.10394,
1733.512,377.2774,
1730.602,361.90276,
1727.691,385.24312,
1724.781,394.16158,
1721.870,400.00837,
1718.960,362.73009,
1716.049,422.33195,
1713.138,418.27508,
1710.228,377.08193,
1707.317,420.911,
1704.407,426.4766,
1701.496,444.60596,
1698.586,420.50344,
1695.675,428.66779,
1692.764,433.16189,
1689.854,444.85532,
1686.943,450.20637,
1684.033,455.25082,
1681.122,459.30703,
1678.211,448.47969,
1675.301,464.32567,
1672.390,490.27631,
1669.480,457.36698,
1666.569,456.90823,
1663.659,498.65265,
1660.748,514.85439,
1657.837,489.77466,
1654.927,551.69556,
1652.016,523.66659,
1649.106,534.59161,
1646.195,504.09429,
1643.285,533.01041,
1640.374,517.18685,
1637.463,509.69006,
1634.553,581.375,
1631.642,581.36414,
1628.732,580.25057,
1625.821,559.43715,
1622.911,653.83966,
1620.000,601.05533,
1617.089,650.36007,
1614.179,622.22103,
1611.268,693.58666,
1608.358,724.97031,
1605.447,722.60354,
1602.536,750.33161,
1599.626,762.49426,
1596.715,720.71774,
1593.805,720.84666,
1590.894,731.06237,
1587.984,708.12442,
1585.073,706.07663,
1582.162,701.36568,
1579.252,739.65345,
1576.341,700.3112,
1573.431,682.89278,
1570.520,681.375,
1567.610,705.2185,
1564.699,703.94961,
1561.788,669.38938,
1558.878,650.23013,
1555.967,651.99965,
1553.057,676.70236,
1550.146,644.51329,
1547.235,629.95251,
1544.325,658.03755,
1541.414,670.21477,
1538.504,650.39191,
1535.593,643.6002,
1532.683,667.69743,
1529.772,656.63792,
1526.861,614.13309,
1523.951,603.00228,
1521.040,607.51356,
1518.130,628.28054,
1515.219,644.25561,
1512.309,627.58673,
1509.398,636.72297,
1506.487,623.91828,
1503.577,622.11336,
1500.666,597.48692,
1497.756,602.41788,
1494.845,650.61458,
1491.934,632.43799,
1489.024,651.68785,
1486.113,614.35916,
1483.203,613.15134,
1480.292,611.67798,
1477.382,638.85544,
1474.471,616.98198,
1471.560,617.80866,
1468.650,634.3572,
1465.739,646.7799,
1462.829,612.7755,
1459.918,608.36966,
1457.008,639.08287,
1454.097,631.57789,
1451.186,615.27635,
1448.276,635.9682,
1445.365,643.37342,
1442.455,633.39455,
1439.544,657.59934,
1436.633,663.79307,
1433.723,689.00113,
1430.812,684.89735,
1427.902,665.36026,
1424.991,622.71095,
1422.081,683.76344,
1419.170,666.04537,
1416.259,690.72721,
1413.349,667.9206,
1410.438,691.96442,
1407.528,694.14391,
1404.617,667.99977,
1401.707,666.56363,
1398.796,699.56026,
1395.885,713.62688,
1392.975,702.271,
1390.064,707.60914,
1387.154,696.36518,
1384.243,680.61772,
1381.332,712.94036,
1378.422,695.21059,
1375.511,730.80827,
1372.601,747.96327,
1369.690,740.80278,
1366.780,771.84844,
1363.869,765.84546,
1360.958,758.39435,
1358.048,796.53358,
1355.137,804.45037,
1352.227,800.18554,
1349.316,783.87985,
1346.406,723.8377,
1343.495,712.83497,
1340.584,751.66041,
1337.674,772.01821,
1334.763,776.24587,
1331.853,746.57448,
1328.942,795.18499,
1326.032,763.85645,
1323.121,767.9714,
1320.210,762.38619,
1317.300,734.35595,
1314.389,716.3194,
1311.479,735.78261,
1308.568,746.85221,
1305.657,715.68925,
1302.747,708.34215,
1299.836,699.32343,
1296.926,720.46046,
1294.015,722.29911,
1291.105,736.46367,
1288.194,707.22402,
1285.283,761.66727,
1282.373,768.02351,
1279.462,758.47302,
1276.552,753.3356,
1273.641,739.54208,
1270.731,696.32571,
1267.820,624.153,
