,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_0E-1mgL_16h_785nm_133mW_3s_1acc_1_RamanShift__0__86,
Raman shift [1/cm],Intensity,
3014.167,1.125,
3011.256,-0.77497853,
3008.346,34.985345,
3005.435,45.47129,
3002.525,35.029922,
2999.614,53.936682,
2996.704,48.080671,
2993.793,55.496544,
2990.882,57.560118,
2987.972,49.109865,
2985.061,48.341752,
2982.151,53.767019,
2979.240,57.074617,
2976.329,59.125,
2973.419,56.755809,
2970.508,55.741663,
2967.598,70.360341,
2964.687,62.288722,
2961.777,64.689047,
2958.866,71.459323,
2955.955,55.706877,
2953.045,64.409123,
2950.134,84.678967,
2947.224,81.125,
2944.313,86.068733,
2941.403,77.350823,
2938.492,77.572163,
2935.581,81.899242,
2932.671,87.283787,
2929.760,81.659616,
2926.850,86.863721,
2923.939,76.559538,
2921.028,82.024868,
2918.118,83.665303,
2915.207,94.365609,
2912.297,94.150388,
2909.386,95.307487,
2906.476,88.125,
2903.565,91.173146,
2900.654,96.348456,
2897.744,86.200433,
2894.833,89.238456,
2891.923,87.557701,
2889.012,90.003612,
2886.102,76.916893,
2883.191,78.123112,
2880.280,69.569967,
2877.370,47.770356,
2874.459,41.414373,
2871.549,61.74354,
2868.638,103.49198,
2865.727,93.574979,
2862.817,102.125,
2859.906,100.5552,
2856.996,102.59556,
2854.085,102.08297,
2851.175,103.91114,
2848.264,93.923838,
2845.353,86.664176,
2842.443,104.33684,
2839.532,106.54283,
2836.622,97.152996,
2833.711,95.591261,
2830.801,103.22574,
2827.890,85.937941,
2824.979,93.90296,
2822.069,94.113628,
2819.158,93.505054,
2816.248,97.860526,
2813.337,109.65062,
2810.427,96.213156,
2807.516,89.916407,
2804.605,101.8774,
2801.695,97.085534,
2798.784,109.38577,
2795.874,96.985162,
2792.963,96.053617,
2790.052,93.125858,
2787.142,95.440692,
2784.231,87.963506,
2781.321,92.747838,
2778.410,88.369922,
2775.500,80.168797,
2772.589,92.778671,
2769.678,90.125,
2766.768,90.936652,
2763.857,99.493015,
2760.947,87.571414,
2758.036,100.30347,
2755.126,99.787396,
2752.215,103.14763,
2749.304,102.23111,
2746.394,102.91331,
2743.483,99.375012,
2740.573,102.44803,
2737.662,97.475586,
2734.751,108.56676,
2731.841,80.474807,
2728.930,115.87929,
2726.020,102.00752,
2723.109,97.125,
2720.199,104.53756,
2717.288,94.581204,
2714.377,109.79976,
2711.467,101.53489,
2708.556,106.94395,
2705.646,104.8292,
2702.735,102.46521,
2699.825,109.125,
2696.914,96.981802,
2694.003,116.94127,
2691.093,100.3392,
2688.182,107.28945,
2685.272,102.36398,
2682.361,106.30731,
2679.450,115.91098,
2676.540,110.92176,
2673.629,103.11602,
2670.719,113.54829,
2667.808,103.8059,
2664.898,110.30691,
2661.987,101.72493,
2659.076,108.72629,
2656.166,114.41506,
2653.255,114.97534,
2650.345,113.6368,
2647.434,110.06727,
2644.524,97.391229,
2641.613,124.46818,
2638.702,122.25125,
2635.792,108.37426,
2632.881,118.74397,
