,PL1D26~1,
Wavenumbers [1/cm],Intensity,
2175.920,680.02437,
2173.010,721.97704,
2170.099,724.07589,
2167.189,751.01133,
2164.278,775.59762,
2161.368,816.01699,
2158.457,838.95852,
2155.546,868.29812,
2152.636,926.98659,
2149.725,955.69378,
2146.815,994.60698,
2143.904,1040.585,
2140.993,1064.1766,
2138.083,1064.0634,
2135.172,1064.9002,
2132.262,1071.2632,
2129.351,1062.5266,
2126.441,1059.642,
2123.530,1008.4485,
2120.619,967.8476,
2117.709,937.27275,
2114.798,887.00557,
2111.888,832.73865,
2108.977,809.14652,
2106.067,768.9226,
2103.156,737.39846,
2100.245,719.86684,
2097.335,705.06872,
2094.424,691.15695,
2091.514,685.65723,
2088.603,672.75521,
2085.692,673.15004,
2082.782,675.34089,
2079.871,663.19589,
2076.961,667.42295,
2074.050,673.11742,
2071.140,683.02402,
2068.229,701.98309,
2065.318,671.30624,
2062.408,648.98091,
2059.497,661.71432,
2056.587,662.81706,
2053.676,661.14147,
2050.766,652.64481,
2047.855,638.21675,
2044.944,648.67789,
2042.034,644.66696,
2039.123,653.13426,
2036.213,657.81505,
2033.302,670.15765,
2030.391,676.24765,
2027.481,678.64331,
2024.570,655.96129,
2021.660,667.8698,
2018.749,667.17892,
2015.839,672.72277,
2012.928,654.96728,
2010.017,655.83484,
2007.107,679.85069,
2004.196,663.14878,
2001.286,654.47924,
1998.375,669.4882,
1995.465,684.52768,
1992.554,639.546,
1989.643,644.46024,
1986.733,650.23289,
1983.822,639.43925,
1980.912,634.44857,
1978.001,618.41676,
1975.090,648.26584,
1972.180,655.25398,
1969.269,664.53594,
1966.359,651.36126,
1963.448,669.63459,
1960.538,648.22612,
1957.627,668.51589,
1954.716,672.84627,
1951.806,659.875,
1948.895,661.15028,
1945.985,665.79003,
1943.074,648.75325,
1940.164,636.26902,
1937.253,612.84904,
1934.342,622.52472,
1931.432,621.40181,
1928.521,640.34478,
1925.611,655.71268,
1922.700,644.58633,
1919.790,667.71286,
1916.879,648.61874,
1913.968,638.88484,
1911.058,660.95007,
1908.147,641.09976,
1905.237,603.82358,
1902.326,631.08389,
1899.415,625.26646,
1896.505,622.18228,
1893.594,606.1615,
1890.684,614.50221,
1887.773,646.71986,
1884.863,643.96156,
1881.952,619.85773,
1879.041,659.80336,
1876.131,673.43186,
1873.220,651.08288,
1870.310,629.31001,
1867.399,689.8674,
1864.489,663.34232,
1861.578,672.35322,
1858.667,643.18042,
1855.757,625.04206,
1852.846,660.36731,
1849.936,675.22232,
1847.025,713.17185,
1844.114,694.03498,
1841.204,694.70017,
1838.293,686.41075,
1835.383,657.22401,
1832.472,691.20196,
1829.562,694.60052,
1826.651,702.0721,
1823.740,709.69109,
1820.830,688.04017,
1817.919,689.20439,
1815.009,713.13708,
1812.098,689.04825,
1809.188,723.39429,
1806.277,723.91926,
1803.366,723.79182,
1800.456,719.47953,
1797.545,729.96719,
1794.635,726.48893,
1791.724,703.14676,
1788.813,735.47577,
1785.903,730.37118,
1782.992,703.9972,
1780.082,678.99168,
1777.171,625.87125,
1774.261,602.0198,
1771.350,634.73952,
1768.439,712.57737,
1765.529,723.96762,
1762.618,742.60502,
1759.708,777.44048,
1756.797,784.04924,
1753.887,785.92748,
1750.976,773.92998,
1748.065,778.60925,
1745.155,759.66233,
1742.244,752.79346,
1739.334,778.04676,
1736.423,788.99462,
1733.512,775.32211,
1730.602,781.84327,
1727.691,776.66307,
1724.781,796.68572,
1721.870,814.9465,
1718.960,820.3417,
1716.049,820.03603,
1713.138,830.98995,
1710.228,822.43144,
1707.317,830.60529,
1704.407,848.04615,
1701.496,857.16738,
1698.586,827.38351,
1695.675,854.81768,
1692.764,883.38321,
1689.854,860.00097,
1686.943,862.7401,
1684.033,916.50901,
1681.122,879.5377,
1678.211,893.73224,
1675.301,908.82875,
1672.390,931.96173,
1669.480,960.78676,
1666.569,949.91309,
1663.659,954.37758,
1660.748,1045.0678,
1657.837,1054.5032,
1654.927,1039.0933,
1652.016,1090.1909,
1649.106,1101.5285,
1646.195,1048.0908,
1643.285,1057.4219,
1640.374,1082.5475,
1637.463,1161.1092,
1634.553,1174.7912,
1631.642,1236.3419,
1628.732,1279.1061,
1625.821,1317.9221,
1622.911,1389.4693,
1620.000,1432.3333,
1617.089,1547.5466,
1614.179,1643.1677,
1611.268,1737.3431,
1608.358,1808.5506,
1605.447,1928.7902,
1602.536,1947.9895,
1599.626,1942.4355,
1596.715,1930.0762,
1593.805,1896.6791,
1590.894,1889.3523,
1587.984,1881.0802,
1585.073,1814.3621,
1582.162,1782.8377,
1579.252,1791.9678,
1576.341,1792.4718,
1573.431,1762.8976,
1570.520,1761.7544,
1567.610,1764.6201,
1564.699,1756.1746,
1561.788,1676.1152,
1558.878,1666.4062,
1555.967,1663.001,
1553.057,1638.0131,
1550.146,1581.1697,
1547.235,1544.2008,
1544.325,1543.9648,
1541.414,1547.875,
1538.504,1534.5161,
1535.593,1471.7228,
1532.683,1435.8726,
1529.772,1460.6187,
1526.861,1427.0445,
1523.951,1389.4928,
1521.040,1399.497,
1518.130,1367.8818,
1515.219,1406.7952,
1512.309,1388.4696,
1509.398,1350.2154,
1506.487,1328.0481,
1503.577,1334.0542,
1500.666,1311.9869,
1497.756,1313.8666,
1494.845,1324.7944,
