,PLF92A~1,
Wavenumbers [1/cm],Intensity,
2370.929,299.16832,
2368.019,303.05233,
2365.108,306.77683,
2362.197,305.50037,
2359.287,307.52834,
2356.376,302.13381,
2353.466,300.70032,
2350.555,308.31004,
2347.645,313.08526,
2344.734,310.39688,
2341.823,321.90942,
2338.913,306.88171,
2336.002,308.17039,
2333.092,324.63067,
2330.181,322.84368,
2327.270,320.18001,
2324.360,320.78068,
2321.449,320.84951,
2318.539,332.48584,
2315.628,317.75569,
2312.718,325.60738,
2309.807,332.78343,
2306.896,329.63674,
2303.986,334.125,
2301.075,340.29519,
2298.165,340.93263,
2295.254,333.2758,
2292.344,352.59802,
2289.433,350.42227,
2286.522,340.09822,
2283.612,339.81505,
2280.701,341.85594,
2277.791,357.56395,
2274.880,344.125,
2271.969,350.3143,
2269.059,359.56642,
2266.148,360.5841,
2263.238,358.42616,
2260.327,359.71115,
2257.417,357.92055,
2254.506,369.72044,
2251.595,374.26315,
2248.685,361.18468,
2245.774,365.03692,
2242.864,376.93049,
2239.953,374.80775,
2237.043,384.5282,
2234.132,386.21336,
2231.221,388.78397,
2228.311,387.90593,
2225.400,379.99751,
2222.490,404.92619,
2219.579,387.59546,
2216.669,395.63692,
2213.758,395.73415,
2210.847,407.60358,
2207.937,390.93936,
2205.026,400.12529,
2202.116,394.74708,
2199.205,401.30006,
2196.294,413.05096,
2193.384,421.704,
2190.473,408.25528,
2187.563,446.05733,
2184.652,435.8903,
2181.742,449.44223,
2178.831,435.52191,
2175.920,450.45105,
2173.010,454.94983,
2170.099,469.72322,
2167.189,491.27569,
2164.278,507.57625,
2161.368,497.40875,
2158.457,546.17391,
2155.546,557.125,
2152.636,568.27391,
2149.725,575.62164,
2146.815,607.05719,
2143.904,616.92797,
2140.993,625.28901,
2138.083,622.19494,
2135.172,619.54523,
2132.262,651.03081,
2129.351,636.93863,
2126.441,639.61047,
2123.530,645.5638,
2120.619,595.98739,
2117.709,594.59762,
2114.798,586.13261,
2111.888,560.26315,
2108.977,525.14485,
2106.067,494.92393,
2103.156,520.79906,
2100.245,484.14445,
2097.335,511.15119,
2094.424,483.32175,
2091.514,494.2756,
2088.603,492.41078,
2085.692,484.99112,
2082.782,480.52266,
2079.871,475.30353,
2076.961,491.9626,
2074.050,488.125,
2071.140,489.25135,
2068.229,496.21354,
2065.318,500.656,
2062.408,486.87464,
2059.497,474.93453,
2056.587,473.15996,
2053.676,496.44012,
2050.766,479.04952,
2047.855,481.55219,
2044.944,497.72115,
2042.034,507.65101,
2039.123,502.04419,
2036.213,488.37609,
2033.302,482.75541,
2030.391,489.92145,
2027.481,508.74681,
2024.570,483.78294,
2021.660,513.87809,
2018.749,524.83332,
2015.839,493.33563,
2012.928,512.6183,
2010.017,540.08699,
2007.107,517.96238,
2004.196,514.51784,
2001.286,515.56315,
1998.375,525.3878,
1995.465,525.76518,
1992.554,527.75439,
1989.643,548.39916,
1986.733,524.96447,
1983.822,523.6767,
1980.912,527.88695,
1978.001,514.82816,
1975.090,531.10211,
1972.180,546.88297,
1969.269,536.01,
1966.359,531.85486,
1963.448,528.35881,
1960.538,508.0833,
1957.627,526.41604,
1954.716,536.89519,
1951.806,530.06888,
1948.895,548.25253,
