,PL7E8B~1,
Wavenumbers [1/cm],Intensity,
2175.920,443.87637,
2173.010,461.47647,
2170.099,453.89335,
2167.189,473.84744,
2164.278,505.9456,
2161.368,526.48059,
2158.457,556.50686,
2155.546,576.04812,
2152.636,614.5292,
2149.725,631.94714,
2146.815,632.65837,
2143.904,670.625,
2140.993,676.21223,
2138.083,696.08396,
2135.172,697.6334,
2132.262,699.7544,
2129.351,684.25593,
2126.441,669.79002,
2123.530,659.09747,
2120.619,610.42326,
2117.709,593.98812,
2114.798,569.14403,
2111.888,534.96279,
2108.977,511.45943,
2106.067,486.45744,
2103.156,466.6678,
2100.245,472.61935,
2097.335,461.45746,
2094.424,446.82175,
2091.514,448.47982,
2088.603,430.86008,
2085.692,424.49112,
2082.782,415.0749,
2079.871,417.66117,
2076.961,412.14162,
2074.050,398.46742,
2071.140,428.67145,
2068.229,404.15624,
2065.318,417.7975,
2062.408,406.20821,
2059.497,421.06551,
2056.587,411.2184,
2053.676,404.89147,
2050.766,400.08688,
2047.855,411.62823,
2044.944,381.08332,
2042.034,400.78103,
2039.123,400.80682,
2036.213,416.41388,
2033.302,413.08153,
2030.391,418.42145,
2027.481,425.34448,
2024.570,444.32453,
2021.660,402.4632,
2018.749,410.08089,
2015.839,420.41437,
2012.928,408.25755,
2010.017,404.98766,
2007.107,427.36892,
2004.196,418.45831,
2001.286,406.18685,
1998.375,398.4498,
1995.465,417.86339,
1992.554,377.17246,
1989.643,377.38305,
1986.733,368.73202,
1983.822,371.18925,
1980.912,372.34759,
1978.001,370.26879,
1975.090,386.60974,
1972.180,404.21009,
1969.269,408.13359,
1966.359,412.65217,
1963.448,413.51139,
1960.538,395.39481,
1957.627,380.03366,
1954.716,426.21739,
1951.806,411.92307,
1948.895,411.50364,
1945.985,376.56945,
1943.074,392.6879,
1940.164,368.53855,
1937.253,383.80309,
1934.342,386.05228,
1931.432,368.38841,
1928.521,372.01533,
1925.611,375.46268,
1922.700,381.74793,
1919.790,382.76374,
1916.879,364.01999,
1913.968,378.60533,
1911.058,387.15353,
1908.147,388.38115,
1905.237,354.97064,
1902.326,375.65909,
1899.415,350.29695,
1896.505,332.39588,
1893.594,306.53354,
1890.684,332.92549,
1887.773,371.06429,
1884.863,382.26281,
1881.952,387.50745,
1879.041,409.29375,
1876.131,384.67861,
1873.220,355.83288,
1870.310,369.33349,
1867.399,415.88929,
1864.489,378.98802,
1861.578,407.48803,
1858.667,360.70582,
1855.757,379.62142,
1852.846,376.58912,
1849.936,376.78613,
1847.025,421.39143,
1844.114,403.56614,
1841.204,402.15647,
1838.293,400.65493,
1835.383,382.625,
1832.472,398.63717,
1829.562,408.3474,
1826.651,373.43613,
1823.740,409.31092,
1820.830,400.84523,
1817.919,384.48124,
1815.009,431.43033,
1812.098,401.92424,
1809.188,418.26061,
1806.277,456.78399,
1803.366,386.39027,
1800.456,431.07543,
1797.545,419.87332,
1794.635,403.52801,
1791.724,409.79005,
1788.813,417.23349,
1785.903,437.52814,
1782.992,410.38206,
1780.082,363.21012,
1777.171,301.95958,
1774.261,290.19967,
1771.350,309.11502,
1768.439,387.15769,
1765.529,404.62688,
1762.618,426.77064,
1759.708,441.20112,
1756.797,442.47348,
1753.887,477.85823,
1750.976,463.57986,
1748.065,460.04589,
1745.155,448.52197,
1742.244,432.625,
1739.334,433.99441,
1736.423,442.39695,
1733.512,442.71442,
1730.602,440.12897,
1727.691,469.56376,
1724.781,463.68005,
1721.870,466.8679,
1718.960,489.1808,
1716.049,467.61678,
1713.138,471.17496,
1710.228,451.73787,
1707.317,477.81586,
1704.407,514.8657,
1701.496,467.57832,
1698.586,487.57258,
1695.675,488.68929,
1692.764,528.38732,
1689.854,507.66436,
1686.943,520.15284,
1684.033,545.97926,
1681.122,514.18575,
1678.211,529.47272,
1675.301,506.69592,
1672.390,558.52631,
1669.480,525.78544,
1666.569,545.3203,
1663.659,523.35623,
1660.748,627.06583,
1657.837,599.14987,
1654.927,622.41414,
1652.016,614.28107,
1649.106,639.52335,
1646.195,596.41622,
1643.285,629.03516,
1640.374,647.75391,
1637.463,700.57096,
1634.553,698.45256,
1631.642,753.74444,
1628.732,764.77906,
1625.821,790.66098,
1622.911,845.31507,
1620.000,895.98247,
1617.089,949.55037,
1614.179,1003.1021,
1611.268,1094.1675,
1608.358,1151.0029,
1605.447,1173.4252,
1602.536,1166.238,
1599.626,1213.4615,
1596.715,1206.7338,
1593.805,1193.1044,
1590.894,1163.4436,
1587.984,1124.1152,
1585.073,1136.4922,
1582.162,1145.4692,
1579.252,1088.5256,
1576.341,1087.641,
1573.431,1083.5764,
1570.520,1090.0331,
1567.610,1062.8206,
1564.699,1075.1009,
1561.788,1035.7381,
1558.878,1023.8182,
1555.967,995.91309,
1553.057,993.65934,
1550.146,972.74143,
1547.235,962.88957,
1544.325,956.1833,
1541.414,929.34317,
1538.504,906.91796,
1535.593,898.16426,
1532.683,869.52074,
1529.772,851.85603,
1526.861,847.28995,
1523.951,814.4886,
1521.040,809.74587,
1518.130,808.33482,
1515.219,829.94565,
1512.309,808.1205,
1509.398,801.89129,
1506.487,774.71156,
1503.577,781.8293,
1500.666,791.82688,
1497.756,769.39616,
1494.845,766.625,
1491.934,766.65965,
1489.024,777.24707,
1486.113,719.21042,
1483.203,718.17767,
1480.292,698.26072,
1477.382,720.48894,
1474.471,705.13839,
1471.560,688.46567,
1468.650,660.71042,
1465.739,682.93049,
1462.829,692.67274,
1459.918,683.31005,
1457.008,688.24048,
1454.097,694.70068,
1451.186,685.30779,
1448.276,668.09046,
1445.365,670.51994,
1442.455,690.97857,
1439.544,662.47235,
1436.633,604.87724,
1433.723,605.47322,
1430.812,660.75392,
1427.902,577.24077,
1424.991,687.18121,
1422.081,609.88702,
1419.170,616.44997,
1416.259,616.19481,
1413.349,623.93265,
1410.438,616.82808,
1407.528,640.94963,
1404.617,619.63592,
1401.707,612.17292,
1398.796,643.72986,
1395.885,625.48691,
1392.975,591.20898,
1390.064,616.09329,
1387.154,615.56947,
1384.243,640.41788,
1381.332,627.87441,
1378.422,574.88093,
1375.511,599.23724,
1372.601,668.74278,
1369.690,688.34056,
1366.780,731.01879,
1363.869,741.625,
1360.958,749.5476,
1358.048,793.9702,
1355.137,802.70037,
1352.227,807.1284,
1349.316,856.34357,
1346.406,868.39935,
1343.495,832.06408,
1340.584,896.23133,
1337.674,946.19457,
1334.763,918.8247,
1331.853,950.35056,
1328.942,958.74071,
1326.032,941.68135,
1323.121,985.04672,
1320.210,1013.6116,
1317.300,1039.1027,
1314.389,1061.3613,
1311.479,1066.1299,
1308.568,1076.3518,
1305.657,1121.7301,
1302.747,1159.3023,
1299.836,1119.4162,
1296.926,1157.1715,
1294.015,1233.4754,
1291.105,1284.1743,
1288.194,1348.1345,
1285.283,1373.365,
1282.373,1417.492,
1279.462,1443.37,
1276.552,1462.8141,
1273.641,1479.2085,
1270.731,1470.6847,
1267.820,1462.5863,
1264.909,1461.7682,
1261.999,1485.7568,
1259.088,1516.7689,
1256.178,1481.7974,
1253.267,1446.4716,
1250.356,1437.625,
1247.446,1387.1665,
1244.535,1322.3885,
1241.625,1272.8436,
1238.714,1241.4455,
1235.804,1224.1736,
1232.893,1176.5048,
1229.982,1153.9811,
1227.072,1134.9695,
1224.161,1105.8884,
1221.251,1119.9822,
1218.340,1101.3603,
1215.430,1080.468,
1212.519,1075.5305,
1209.608,1065.6394,
