,PLABB4~1,
Wavenumbers [1/cm],Intensity,
2225.400,2298.7757,
2222.490,2328.5753,
2219.579,2332.1064,
2216.669,2336.4394,
2213.758,2350.2711,
2210.847,2400.3409,
2207.937,2434.7756,
2205.026,2449.4301,
2202.116,2466.3325,
2199.205,2459.4889,
2196.294,2492.5708,
2193.384,2531.349,
2190.473,2545.0346,
2187.563,2602.9378,
2184.652,2625.2129,
2181.742,2706.5376,
2178.831,2792.4626,
2175.920,2878.9916,
2173.010,3019.1324,
2170.099,3168.3954,
2167.189,3310.0087,
2164.278,3493.2871,
2161.368,3719.152,
2158.457,3974.4334,
2155.546,4168.3704,
2152.636,4419.2575,
2149.725,4646.6735,
2146.815,4818.9698,
2143.904,5026.5218,
2140.993,5161.0599,
2138.083,5244.7351,
2135.172,5289.6987,
2132.262,5311.5009,
2129.351,5311.1198,
2126.441,5175.6998,
2123.530,5041.0914,
2120.619,4768.9037,
2117.709,4539.7542,
2114.798,4264.2699,
2111.888,4007.7538,
2108.977,3748.1332,
2106.067,3493.6827,
2103.156,3320.8182,
2100.245,3176.8248,
2097.335,3082.5452,
2094.424,2968.301,
2091.514,2902.4795,
2088.603,2816.5663,
2085.692,2791.2839,
2082.782,2749.8793,
2079.871,2651.5495,
2076.961,2680.6461,
2074.050,2692.4992,
2071.140,2641.6914,
2068.229,2623.6849,
2065.318,2628.5165,
2062.408,2611.996,
2059.497,2608.0833,
2056.587,2606.6193,
2053.676,2582.8263,
2050.766,2545.5693,
2047.855,2565.0206,
2044.944,2540.6634,
2042.034,2568.557,
2039.123,2552.4339,
2036.213,2552.0462,
2033.302,2574.6575,
2030.391,2564.1975,
2027.481,2550.8994,
2024.570,2555.7748,
2021.660,2593.569,
2018.749,2543.4326,
2015.839,2582.875,
2012.928,2575.7492,
2010.017,2566.1595,
2007.107,2585.4077,
2004.196,2587.7679,
2001.286,2590.5817,
1998.375,2570.7411,
1995.465,2530.4777,
1992.554,2531.3926,
1989.643,2529.9787,
1986.733,2537.7846,
1983.822,2553.0286,
1980.912,2539.4486,
1978.001,2514.9511,
1975.090,2527.0628,
1972.180,2524.1516,
1969.269,2509.648,
1966.359,2521.0914,
1963.448,2519.6478,
1960.538,2528.0476,
1957.627,2545.1413,
1954.716,2494.4262,
1951.806,2531.2853,
1948.895,2504.4458,
1945.985,2523.156,
1943.074,2496.388,
1940.164,2478.8268,
1937.253,2452.8101,
1934.342,2447.4991,
1931.432,2455.5248,
1928.521,2483.9942,
1925.611,2438.4471,
1922.700,2430.4952,
1919.790,2433.1525,
1916.879,2440.317,
1913.968,2468.8406,
1911.058,2448.2804,
1908.147,2444.1261,
1905.237,2466.7132,
1902.326,2445.3476,
1899.415,2436.986,
1896.505,2419.7424,
1893.594,2440.3141,
1890.684,2448.1562,
1887.773,2433.2283,
1884.863,2442.3397,
1881.952,2479.0522,
1879.041,2471.9368,
1876.131,2442.8868,
1873.220,2431.7732,
1870.310,2425.3055,
1867.399,2447.5071,
1864.489,2480.7318,
1861.578,2495.7106,
1858.667,2440.4229,
1855.757,2473.8499,
1852.846,2502.1263,
1849.936,2497.1313,
1847.025,2501.8677,
1844.114,2525.2185,
1841.204,2539.7421,
1838.293,2563.8933,
1835.383,2557.7935,
1832.472,2563.6541,
1829.562,2593.6211,
1826.651,2579.7888,
1823.740,2592.0819,
1820.830,2624.2532,
1817.919,2573.0543,
1815.009,2576.1434,
1812.098,2610.2923,
1809.188,2645.7664,
1806.277,2632.2291,
1803.366,2638.1412,
1800.456,2653.3804,
1797.545,2646.6267,
1794.635,2669.0351,
1791.724,2697.9333,
1788.813,2672.6812,
1785.903,2675.6949,
1782.992,2618.8511,
1780.082,2578.3513,
1777.171,2483.5276,
1774.261,2471.0258,
1771.350,2597.863,
1768.439,2719.3479,
1765.529,2759.5102,
1762.618,2805.502,
1759.708,2810.2549,
1756.797,2788.9205,
1753.887,2805.4129,
1750.976,2786.4922,
1748.065,2828.259,
1745.155,2856.0428,
1742.244,2841.9565,
1739.334,2884.4891,
1736.423,2871.5479,
1733.512,2900.5337,
1730.602,2897.4266,
1727.691,2984.5296,
1724.781,2976.6925,
1721.870,2993.4323,
1718.960,3012.2085,
1716.049,3016.5529,
1713.138,3078.4347,
1710.228,3045.3602,
1707.317,3076.027,
1704.407,3054.8215,
1701.496,3122.0642,
1698.586,3127.027,
1695.675,3152.1391,
1692.764,3217.3054,
1689.854,3241.9223,
1686.943,3207.1228,
1684.033,3318.0188,
1681.122,3330.7051,
1678.211,3415.066,
1675.301,3415.875,
1672.390,3472.0096,
1669.480,3517.6692,
1666.569,3616.4971,
1663.659,3666.2143,
1660.748,3748.4754,
1657.837,3830.881,
1654.927,3877.023,
1652.016,3928.0339,
1649.106,4056.2704,
1646.195,4114.0569,
1643.285,4204.9942,
1640.374,4298.1537,
1637.463,4408.4419,
1634.553,4605.801,
1631.642,4803.242,
1628.732,5020.5756,
1625.821,5306.0556,
1622.911,5580.3197,
1620.000,5943.2639,
1617.089,6389.8999,
1614.179,6810.9178,
1611.268,7149.2717,
1608.358,7548.8648,
1605.447,7817.7342,
1602.536,8003.4103,
1599.626,8043.473,
1596.715,8024.0926,
1593.805,8021.875,
1590.894,7945.2567,
1587.984,7839.6049,
1585.073,7707.4623,
1582.162,7575.0003,
1579.252,7541.4188,
1576.341,7512.4399,
1573.431,7462.8004,
1570.520,7421.8287,
1567.610,7419.581,
1564.699,7320.3708,
1561.788,7210.0447,
1558.878,7101.3572,
1555.967,7012.6825,
1553.057,6851.9108,
1550.146,6692.297,
1547.235,6563.1326,
1544.325,6444.8388,
1541.414,6362.4716,
1538.504,6260.3736,
1535.593,6173.8068,
1532.683,6065.4555,
1529.772,5922.0818,
1526.861,5890.5658,
1523.951,5906.4206,
1521.040,5887.0236,
1518.130,5838.3541,
1515.219,5755.6753,
1512.309,5734.9651,
1509.398,5677.807,
1506.487,5562.2145,
1503.577,5479.8212,
1500.666,5426.2275,
1497.756,5327.3243,
1494.845,5339.7522,
1491.934,5216.7774,
1489.024,5186.9401,
1486.113,5127.4604,
1483.203,5012.7422,
1480.292,4938.6307,
1477.382,4917.3678,
1474.471,4792.0944,
1471.560,4757.7777,
1468.650,4667.9996,
1465.739,4636.7633,
1462.829,4651.2304,
1459.918,4588.9186,
1457.008,4524.7364,
1454.097,4523.7317,
1451.186,4557.8266,
1448.276,4595.8268,
