,PLD87E~1,
Raman shift [1/cm],Intensity,
2213.758,2092.3882,
2210.847,2066.0731,
2207.937,2140.6611,
2205.026,2153.3329,
2202.116,2174.7505,
2199.205,2208.2998,
2196.294,2233.2319,
2193.384,2251.1315,
2190.473,2280.3134,
2187.563,2325.2417,
2184.652,2384.3379,
2181.742,2463.5942,
2178.831,2574.4866,
2175.920,2679.2987,
2173.010,2833.5346,
2170.099,2971.8562,
2167.189,3171.6288,
2164.278,3412.5538,
2161.368,3562.1357,
2158.457,3820.143,
2155.546,4110.1445,
2152.636,4277.1381,
2149.725,4424.3355,
2146.815,4614.2939,
2143.904,4693.8104,
2140.993,4728.7777,
2138.083,4791.2734,
2135.172,4785.9912,
2132.262,4718.2377,
2129.351,4660.1376,
2126.441,4570.5532,
2123.530,4374.3399,
2120.619,4126.5143,
2117.709,3975.8144,
2114.798,3682.2295,
2111.888,3423.8788,
2108.977,3213.8476,
2106.067,3030.2768,
2103.156,2906.1367,
2100.245,2740.9517,
2097.335,2656.8953,
2094.424,2595.6654,
2091.514,2557.7768,
2088.603,2512.1476,
2085.692,2475.6357,
2082.782,2462.6908,
2079.871,2425.9627,
2076.961,2430.2251,
2074.050,2398.1879,
2071.140,2339.9428,
2068.229,2327.5378,
2065.318,2328.9622,
2062.408,2315.5076,
2059.497,2313.7976,
2056.587,2269.024,
2053.676,2228.1347,
2050.766,2253.4596,
2047.855,2285.4589,
2044.944,2266.734,
2042.034,2259.5491,
2039.123,2244.3805,
2036.213,2242.8089,
2033.302,2243.152,
2030.391,2259.6608,
2027.481,2256.0733,
2024.570,2279.9707,
2021.660,2282.1774,
2018.749,2296.6201,
2015.839,2287.5381,
2012.928,2289.1611,
2010.017,2275.5331,
2007.107,2274.6542,
2004.196,2293.9762,
2001.286,2287.5618,
1998.375,2249.2067,
1995.465,2236.3598,
1992.554,2271.1821,
1989.643,2248.0023,
1986.733,2234.6088,
1983.822,2218.0406,
1980.912,2261.3065,
1978.001,2243.5677,
1975.090,2237.0382,
1972.180,2222,
1969.269,2229.9253,
1966.359,2213.297,
1963.448,2206.1136,
1960.538,2272.1093,
1957.627,2268.2755,
1954.716,2243.6607,
1951.806,2198.6329,
1948.895,2244.664,
1945.985,2217.2467,
1943.074,2212.2585,
1940.164,2177,
1937.253,2187.3302,
1934.342,2187.3845,
1931.432,2180.9274,
1928.521,2152.8808,
1925.611,2125.63,
1922.700,2177.4005,
1919.790,2159.272,
1916.879,2176.326,
1913.968,2182.9939,
1911.058,2187.5285,
1908.147,2186.4977,
1905.237,2135.9633,
1902.326,2150.7259,
1899.415,2142.2329,
1896.505,2157.741,
1893.594,2170.1769,
1890.684,2187.2287,
1887.773,2184.7589,
1884.863,2197.1344,
1881.952,2187.7727,
1879.041,2160.0877,
1876.131,2197.1621,
1873.220,2188.6946,
1870.310,2167.435,
1867.399,2179.7761,
1864.489,2155.1683,
1861.578,2181.4782,
1858.667,2161.6946,
1855.757,2191.3914,
1852.846,2211.8051,
1849.936,2238.2563,
1847.025,2253.9294,
1844.114,2282.8587,
1841.204,2247,
1838.293,2261.4759,
1835.383,2271.0815,
1832.472,2278.8609,
1829.562,2279.9732,
1826.651,2293.7782,
1823.740,2310.7356,
1820.830,2277.732,
1817.919,2313.4195,
1815.009,2286.3257,
1812.098,2330.2677,
1809.188,2344.4418,
1806.277,2307.841,
1803.366,2335.8004,
1800.456,2326.1983,
1797.545,2365.1985,
1794.635,2378.935,
1791.724,2392.165,
1788.813,2392.3992,
1785.903,2400.3178,
1782.992,2437.2191,
1780.082,2434.8533,
1777.171,2413.3357,
1774.261,2412.5098,
1771.350,2416.9748,
1768.439,2451.128,
1765.529,2474.913,
1762.618,2499.0337,
1759.708,2477.0541,
1756.797,2479.5909,
1753.887,2511.4111,
1750.976,2513.9241,
1748.065,2483.1936,
1745.155,2517.4577,
1742.244,2520.8388,
1739.334,2523.7482,
1736.423,2591.7625,
1733.512,2574.7966,
1730.602,2604.629,
1727.691,2613.8587,
1724.781,2670.2067,
1721.870,2678.7571,
1718.960,2681.9334,
1716.049,2730.8216,
1713.138,2745.13,
1710.228,2723.3723,
1707.317,2756.2674,
1704.407,2747.524,
1701.496,2829.8624,
1698.586,2808.4325,
1695.675,2870.5639,
1692.764,2824.8237,
1689.854,2836.3504,
1686.943,2966.4808,
1684.033,2952.4719,
1681.122,2933.3229,
1678.211,2988.467,
1675.301,3112.6177,
1672.390,3134.0987,
1669.480,3167.9225,
1666.569,3282.6348,
1663.659,3333.3883,
1660.748,3419.3717,
1657.837,3540.0437,
1654.927,3543.7572,
1652.016,3618.8467,
1649.106,3694.1261,
1646.195,3743.2438,
1643.285,3914.5644,
1640.374,3856.324,
1637.463,4014.1798,
1634.553,4134.6699,
1631.642,4248.3345,
1628.732,4462.031,
1625.821,4635.1289,
1622.911,4830.8899,
1620.000,5126.2456,
1617.089,5421.0895,
1614.179,5695.2165,
1611.268,5951.4081,
1608.358,6181.1839,
1605.447,6425.8305,
1602.536,6585.3744,
1599.626,6560.1226,
1596.715,6604.1953,
1593.805,6567.8607,
1590.894,6498.7111,
1587.984,6531.5724,
1585.073,6513.3263,
1582.162,6483.9534,
1579.252,6479,
1576.341,6348.4267,
1573.431,6312.8673,
1570.520,6284.4824,
1567.610,6232.7836,
1564.699,6173.0482,
1561.788,6105.2963,
1558.878,6039.6204,
1555.967,5904.0443,
1553.057,5837.9828,
1550.146,5738.7457,
1547.235,5625.2803,
