,PL5ACF~1,
Wavenumbers [1/cm],Intensity,
2175.920,2881.2009,
2173.010,3020.5074,
2170.099,3135.1077,
2167.189,3331.4053,
2164.278,3524.2651,
2161.368,3781.6707,
2158.457,4000.3215,
2155.546,4236.1359,
2152.636,4476.5263,
2149.725,4707.6727,
2146.815,4942.4094,
2143.904,5088.1905,
2140.993,5210.2285,
2138.083,5298.3685,
2135.172,5334.5779,
2132.262,5355.25,
2129.351,5351.4741,
2126.441,5260.1332,
2123.530,5096.5338,
2120.619,4819.4076,
2117.709,4511.318,
2114.798,4236.7222,
2111.888,4008.6297,
2108.977,3735.8658,
2106.067,3520.7014,
2103.156,3347.7554,
2100.245,3158.1829,
2097.335,3038.606,
2094.424,2938.5908,
2091.514,2892.7982,
2088.603,2831.9413,
2085.692,2793.6553,
2082.782,2760.9248,
2079.871,2715.1053,
2076.961,2687.6061,
2074.050,2718.6803,
2071.140,2660.8483,
2068.229,2632.8633,
2065.318,2639.4332,
2062.408,2619.0231,
2059.497,2601.1845,
2056.587,2599.8194,
2053.676,2572.3189,
2050.766,2579.0183,
2047.855,2562.8862,
2044.944,2494.3541,
2042.034,2581.3079,
2039.123,2591.2668,
2036.213,2569.0945,
2033.302,2603.0757,
2030.391,2566.2176,
2027.481,2556.0791,
2024.570,2569.1498,
2021.660,2604.1213,
2018.749,2586.8444,
2015.839,2558.7828,
2012.928,2608.8591,
2010.017,2603.5366,
2007.107,2582.5061,
2004.196,2590.9048,
2001.286,2598.4585,
1998.375,2535.9262,
1995.465,2534.9946,
1992.554,2542.25,
1989.643,2544.1809,
1986.733,2504.6412,
1983.822,2526.8519,
1980.912,2528.1919,
1978.001,2556.2259,
1975.090,2492.8744,
1972.180,2513.6609,
1969.269,2535.4942,
1966.359,2535.6825,
1963.448,2522.7176,
1960.538,2551.1449,
1957.627,2553.0085,
1954.716,2540.5947,
1951.806,2544.0642,
1948.895,2504.8006,
1945.985,2517.5523,
1943.074,2498.6891,
1940.164,2488.3556,
1937.253,2452.4504,
1934.342,2442.8912,
1931.432,2448.8588,
1928.521,2465.927,
1925.611,2459.0684,
1922.700,2416.4268,
1919.790,2415.0014,
1916.879,2440.4365,
1913.968,2499.1799,
1911.058,2461.7965,
1908.147,2447.0953,
1905.237,2462.2204,
1902.326,2394.5655,
1899.415,2414.7304,
1896.505,2324.5634,
1893.594,2358.8781,
1890.684,2420.1713,
1887.773,2472.0687,
1884.863,2480.5256,
1881.952,2500.7798,
1879.041,2472.9385,
1876.131,2462.0644,
1873.220,2452.6615,
1870.310,2479.0975,
1867.399,2486.17,
1864.489,2504.5615,
1861.578,2509.3546,
1858.667,2485.7979,
1855.757,2517.83,
1852.846,2543.7679,
1849.936,2546.9948,
1847.025,2540.4811,
1844.114,2555.6288,
1841.204,2553.4073,
1838.293,2572.2251,
1835.383,2571.4015,
1832.472,2538.6796,
1829.562,2567.4109,
1826.651,2580.9933,
1823.740,2604.6409,
1820.830,2622.9666,
1817.919,2612.22,
1815.009,2604.9688,
1812.098,2620.4075,
1809.188,2637.2577,
1806.277,2575.6664,
1803.366,2639.3165,
1800.456,2641.2166,
1797.545,2610.8597,
1794.635,2652.6379,
1791.724,2635.6771,
1788.813,2676.4541,
1785.903,2665.3316,
1782.992,2548.3527,
1780.082,2394.048,
1777.171,2257.9036,
1774.261,2260.351,
1771.350,2464.4133,
1768.439,2683.6603,
1765.529,2752.2519,
1762.618,2769.0813,
1759.708,2773.7391,
1756.797,2776.4773,
1753.887,2804.0722,
1750.976,2832.6846,
1748.065,2842.9366,
1745.155,2829.9211,
1742.244,2815.2908,
1739.334,2847.17,
1736.423,2855.478,
1733.512,2915.5551,
1730.602,2941.4941,
1727.691,2956.8356,
1724.781,2995.0728,
1721.870,3000.2262,
1718.960,2998.4278,
1716.049,3013.3515,
1713.138,3041.0449,
1710.228,3040.8985,
1707.317,3079.1711,
1704.407,3076.1644,
1701.496,3131.766,
1698.586,3173.2854,
1695.675,3214.6141,
1692.764,3229.5574,
1689.854,3213.0295,
1686.943,3209.3512,
1684.033,3356.4997,
1681.122,3369.0971,
1678.211,3387.0787,
1675.301,3402.2037,
1672.390,3498.3936,
1669.480,3546.5388,
1666.569,3583.3418,
1663.659,3669.5076,
1660.748,3747.3324,
1657.837,3854.081,
1654.927,3893.0072,
1652.016,3967.635,
1649.106,4026.2612,
1646.195,4147.8324,
1643.285,4215.3262,
1640.374,4349.1733,
1637.463,4441.8261,
1634.553,4585.0578,
1631.642,4774.6387,
1628.732,4994.1343,
1625.821,5310.4522,
1622.911,5617.5087,
1620.000,5928.3066,
1617.089,6313.5087,
1614.179,6744.9544,
1611.268,7153.9327,
1608.358,7516.2064,
1605.447,7822.7095,
1602.536,8086.2682,
1599.626,8057.3334,
1596.715,8090.4616,
1593.805,7992.2962,
1590.894,7897.467,
1587.984,7835.1506,
1585.073,7783.8583,
1582.162,7667.7148,
1579.252,7589.7872,
1576.341,7574.8468,
1573.431,7498.2821,
1570.520,7520.8195,
1567.610,7456.0135,
1564.699,7332.096,
1561.788,7243.842,
1558.878,7168.9945,
1555.967,7027.3123,
1553.057,6878.5785,
1550.146,6764.952,
1547.235,6656.1818,
1544.325,6530.2066,
1541.414,6397.3423,
1538.504,6280.7869,
1535.593,6164.9773,
1532.683,6095.8718,
1529.772,6027.8385,
1526.861,5972.034,
1523.951,5990.5505,
1521.040,5935.7412,
1518.130,5904.5548,
1515.219,5850.371,
1512.309,5801.8896,
1509.398,5724.9596,
1506.487,5598.1327,
1503.577,5521.5762,
1500.666,5487.4906,
1497.756,5384.4955,
1494.845,5360.0082,
1491.934,5282.1303,
1489.024,5245.5556,
1486.113,5152.4557,
1483.203,5076.8611,
1480.292,5002.9146,
1477.382,4897.4932,
1474.471,4790.0709,
1471.560,4785.2943,
1468.650,4694.8586,
1465.739,4637.7212,
1462.829,4588.2791,
1459.918,4542.1228,
1457.008,4554.6503,
1454.097,4559.4529,
1451.186,4557.2906,
1448.276,4596.3673,
1445.365,4602.2129,
1442.455,4577.8704,
1439.544,4556.0066,
1436.633,4549.6482,
1433.723,4552.8852,
1430.812,4528.2156,
1427.902,4516.6255,
1424.991,4574.439,
1422.081,4588.1772,
1419.170,4579.7453,
1416.259,4667.3569,
1413.349,4630.8517,
1410.438,4681.5282,
1407.528,4637.8634,
1404.617,4601.947,
1401.707,4572.3937,
1398.796,4550.8024,
1395.885,4533.6199,
1392.975,4507.1671,
1390.064,4519.0695,
1387.154,4493.7353,
1384.243,4451.3175,
1381.332,4417.3446,
1378.422,4460.0076,
1375.511,4649.2374,
1372.601,4825.5052,
1369.690,4864.2522,
1366.780,5015.5685,
1363.869,5078.9502,
1360.958,5225.575,
1358.048,5373.9738,
1355.137,5449.3287,
1352.227,5512.2568,
1349.316,5639.4605,
1346.406,5773.9384,
1343.495,5830.6612,
1340.584,5924.5702,
1337.674,6017.8645,
1334.763,6132.8026,
1331.853,6173.6007,
1328.942,6202.8234,
1326.032,6358.7711,
1323.121,6508.8405,
1320.210,6603.8555,
1317.300,6764.6424,
1314.389,6901.4453,
1311.479,7015.3368,
1308.568,7204.8724,
1305.657,7405.9077,
1302.747,7515.6442,
1299.836,7689.9628,
1296.926,7917.5394,
1294.015,8095.8882,
1291.105,8364.7709,
1288.194,8609.5207,
1285.283,8899.247,
1282.373,9059.0623,
1279.462,9218.032,
1276.552,9379.5022,
1273.641,9495.2843,
1270.731,9559.3112,
1267.820,9530.694,
1264.909,9504.4049,
1261.999,9575.3872,
1259.088,9496.9448,
1256.178,9334.662,
1253.267,9223.8585,
1250.356,8981.5288,
1247.446,8624.7839,
1244.535,8298.5808,
1241.625,7966.9875,
