,PLDF5C~1,
Wavenumbers [1/cm],Intensity,
2597.954,1271.8,
2595.044,1267.6434,
2592.133,1293.3815,
2589.223,1264.7118,
2586.312,1279.5409,
2583.401,1273.3094,
2580.491,1315.8125,
2577.580,1299.3618,
2574.670,1294.6958,
2571.759,1322.643,
2568.848,1323.5572,
2565.938,1299.8987,
2563.027,1315.1068,
2560.117,1319.5526,
2557.206,1301.4857,
2554.296,1339.8899,
2551.385,1337.557,
2548.474,1337.0047,
2545.564,1354.8685,
2542.653,1348.8482,
2539.743,1364.3257,
2536.832,1366.1096,
2533.922,1376.7062,
2531.011,1396.825,
2528.100,1373.5178,
2525.190,1389.1602,
2522.279,1375.5626,
2519.369,1379.375,
2516.458,1383.8226,
2513.548,1373.6206,
2510.637,1420.8217,
2507.726,1412.6873,
2504.816,1415.6253,
2501.905,1410.8823,
2498.995,1426.0764,
2496.084,1416.1624,
2493.173,1403.8224,
2490.263,1433.6892,
2487.352,1461.4183,
2484.442,1474.8376,
2481.531,1457.327,
2478.621,1460.0006,
2475.710,1473.2216,
2472.799,1458.8009,
2469.889,1463.7406,
2466.978,1491.0653,
2464.068,1484.3485,
2461.157,1497.99,
2458.247,1497.228,
2455.336,1494.418,
2452.425,1507.5307,
2449.515,1502.3189,
2446.604,1526.5478,
2443.694,1526.5608,
2440.783,1523.1847,
2437.872,1535.5783,
2434.962,1573.6791,
2432.051,1595.2763,
2429.141,1593.681,
2426.230,1577.3529,
2423.320,1569.6746,
2420.409,1601.7465,
2417.498,1603.8356,
2414.588,1612.2646,
2411.677,1599.128,
2408.767,1629.4931,
2405.856,1640.6132,
2402.946,1596.7852,
2400.035,1619.6403,
2397.124,1626.7119,
2394.214,1630.6726,
2391.303,1630.1596,
2388.393,1612.4447,
2385.482,1586.3444,
2382.571,1546.8814,
2379.661,1570.049,
2376.750,1640.0005,
2373.840,1659.375,
2370.929,1689.0501,
2368.019,1694.9169,
2365.108,1723.5111,
2362.197,1756.7777,
2359.287,1755.5767,
2356.376,1737.4067,
2353.466,1728.4367,
2350.555,1721.8553,
2347.645,1751.7684,
2344.734,1779.7114,
2341.823,1746.0217,
2338.913,1765.1511,
2336.002,1787.095,
2333.092,1810.375,
2330.181,1817.9197,
2327.270,1818.485,
2324.360,1837.6864,
2321.449,1824.5757,
2318.539,1828.268,
2315.628,1844.2983,
2312.718,1838.3596,
2309.807,1859.5552,
2306.896,1851.9024,
2303.986,1858.8944,
2301.075,1850.0559,
2298.165,1879.2987,
2295.254,1866.8274,
2292.344,1875.7983,
2289.433,1868.3827,
2286.522,1874.4821,
2283.612,1903.2169,
2280.701,1930.8189,
2277.791,1949.0525,
2274.880,1928.9308,
2271.969,1977.9511,
2269.059,1969.3831,
2266.148,1986.4752,
2263.238,1966.8885,
2260.327,2023.8229,
2257.417,1995.78,
2254.506,2011.1157,
2251.595,2003.9459,
2248.685,2002.1654,
2245.774,2052.7368,
2242.864,1997.4872,
2239.953,2045.106,
2237.043,2043.465,
2234.132,2042.8944,
2231.221,2072.7188,
2228.311,2088.0734,
2225.400,2090.1498,
2222.490,2091.4729,
2219.579,2151.2054,
2216.669,2156.0348,
2213.758,2179.7764,
2210.847,2174.9091,
2207.937,2191.3163,
2205.026,2223.1525,
2202.116,2233.0459,
2199.205,2259.4614,
2196.294,2303.7309,
2193.384,2321.796,
2190.473,2330.9548,
2187.563,2343.5973,
2184.652,2403.6831,
2181.742,2482.8975,
2178.831,2521.5853,
2175.920,2629.5827,
2173.010,2740.8807,
2170.099,2858.498,
2167.189,3011.4513,
2164.278,3175.6353,
2161.368,3330.367,
2158.457,3566.968,
2155.546,3774.8088,
2152.636,3985.4066,
2149.725,4180.8514,
2146.815,4354.3697,
2143.904,4526.4084,
2140.993,4625.7663,
2138.083,4715.1894,
2135.172,4773.8036,
2132.262,4800.5255,
2129.351,4748.6953,
2126.441,4677.1321,
2123.530,4525.3547,
2120.619,4324.9448,
2117.709,4117.1347,
2114.798,3849.351,
2111.888,3607.5551,
2108.977,3366.408,
2106.067,3214.7788,
2103.156,3022.3265,
2100.245,2884.3223,
2097.335,2787.9719,
2094.424,2688.7584,
2091.514,2611.3208,
2088.603,2529.9187,
2085.692,2513.3677,
2082.782,2487.5999,
2079.871,2459.7309,
2076.961,2484.3085,
2074.050,2464.0962,
2071.140,2417.1223,
2068.229,2410.5456,
2065.318,2407.534,
2062.408,2396.1329,
2059.497,2373.2976,
2056.587,2377.1652,
2053.676,2366.5097,
2050.766,2368.7592,
2047.855,2325.0365,
2044.944,2286.5577,
2042.034,2333.612,
2039.123,2331.6545,
2036.213,2313.1083,
2033.302,2332.244,
2030.391,2344.9856,
2027.481,2336.8628,
2024.570,2346.6462,
2021.660,2392.5959,
2018.749,2390.8934,
2015.839,2355.7963,
2012.928,2373.2139,
2010.017,2378.4011,
2007.107,2368.0012,
2004.196,2371.7322,
2001.286,2385.1665,
1998.375,2367.6742,
1995.465,2340.7098,
1992.554,2332.7456,
1989.643,2329.4787,
1986.733,2318.9838,
1983.822,2296.9141,
1980.912,2306.4537,
1978.001,2291.0782,
1975.090,2301.375,
1972.180,2287.8591,
1969.269,2299.4153,
1966.359,2305.7532,
1963.448,2338.5534,
1960.538,2311.1765,
1957.627,2297.8084,
1954.716,2276.007,
1951.806,2339.9969,
1948.895,2278.6907,
1945.985,2298.107,
1943.074,2279.7662,
1940.164,2258.971,
1937.253,2231.4493,
1934.342,2231.5547,
1931.432,2237.9428,
1928.521,2228.6738,
1925.611,2216.4011,
1922.700,2224.8294,
1919.790,2240.4327,
1916.879,2171.676,
1913.968,2231.2951,
1911.058,2203.1768,
1908.147,2203.2977,
1905.237,2214.4338,
1902.326,2186.0668,
1899.415,2191.7823,
1896.505,2144.001,
1893.594,2135.2532,
1890.684,2215.9958,
1887.773,2243.0386,
1884.863,2219.3978,
1881.952,2253.292,
1879.041,2229.9856,
1876.131,2223.5188,
1873.220,2240.1936,
1870.310,2196.8908,
1867.399,2211.0871,
1864.489,2271.2846,
1861.578,2248.9516,
1858.667,2282.6655,
1855.757,2231.7342,
1852.846,2271.5955,
1849.936,2251.6543,
1847.025,2257.3701,
1844.114,2287.4221,
1841.204,2325.9869,
1838.293,2360.8708,
1835.383,2333.864,
1832.472,2332.5037,
1829.562,2353.4854,
1826.651,2352.2723,
1823.740,2348.1911,
1820.830,2351.2333,
1817.919,2362.9619,
1815.009,2397.0557,
1812.098,2413.1466,
1809.188,2398.4293,
1806.277,2369.0168,
1803.366,2396.741,
1800.456,2419.5841,
1797.545,2441.0204,
1794.635,2446.859,
1791.724,2446.3458,
1788.813,2465.5804,
1785.903,2452.3597,
1782.992,2333.9875,
1780.082,2197.0341,
1777.171,1999.0367,
1774.261,2037.3161,
1771.350,2232.938,
1768.439,2427.6157,
1765.529,2494.1028,
1762.618,2505.5881,
1759.708,2523.5707,
1756.797,2504.4053,
1753.887,2537.9173,
1750.976,2549.9437,
1748.065,2535.9771,
1745.155,2540.0976,
1742.244,2551.2935,
1739.334,2592.295,
1736.423,2598.4834,
1733.512,2629.3019,
1730.602,2692.4921,
1727.691,2707.072,
1724.781,2681.9911,
1721.870,2697.1037,
1718.960,2744.3088,
1716.049,2735.7565,
1713.138,2797.3547,
1710.228,2768.3413,
1707.317,2811.0264,
1704.407,2798.5087,
1701.496,2880.2374,
1698.586,2879.1352,
1695.675,2911.1248,
1692.764,2966.3914,
1689.854,2897.623,
1686.943,2893.4087,
1684.033,3036.7241,
1681.122,3004.9867,
1678.211,3115.3091,
1675.301,3117.3719,
1672.390,3169.5604,
1669.480,3231.9205,
1666.569,3299.7178,
1663.659,3327.2569,
1660.748,3382.3032,
1657.837,3480.9874,
1654.927,3509.6636,
1652.016,3565.5619,
1649.106,3655.2845,
1646.195,3734.1563,
1643.285,3848.3776,
1640.374,3893.0893,
1637.463,3976.4915,
1634.553,4149.3601,
1631.642,4351.1763,
1628.732,4607.7319,
1625.821,4835.566,
1622.911,5125.7295,
1620.000,5417.671,
1617.089,5834.977,
1614.179,6105.7607,
1611.268,6541.8308,
1608.358,6883.4083,
1605.447,7114.3482,
1602.536,7265.2943,
1599.626,7285.4943,
1596.715,7327.2171,
1593.805,7260.7228,
1590.894,7149.3366,
1587.984,7073.8825,
1585.073,7018.4309,
1582.162,6936.0701,
1579.252,6888.643,
1576.341,6837.3165,
1573.431,6732.3941,
1570.520,6767.5252,
1567.610,6650.7651,
1564.699,6622.5007,
1561.788,6522.3338,
1558.878,6455.5266,
1555.967,6317.206,
1553.057,6191.4101,
1550.146,6052.288,
1547.235,5915.5358,
1544.325,5846.5814,
1541.414,5702.3013,
1538.504,5604.1925,
1535.593,5573.0134,
1532.683,5465.438,
1529.772,5342.2133,
1526.861,5279.789,
1523.951,5305.3655,
1521.040,5322.1633,
1518.130,5267.7957,
1515.219,5231.6951,
1512.309,5192.6902,
1509.398,5078.1375,
1506.487,5019.7464,
1503.577,4905.289,
1500.666,4880.9953,
1497.756,4827.3238,
1494.845,4786.9331,
1491.934,4704.2585,
1489.024,4668.6462,
1486.113,4571.8718,
1483.203,4519.9666,
1480.292,4438.8575,
1477.382,4360.7151,
1474.471,4268.6371,
1471.560,4253.3573,
1468.650,4187.3644,
1465.739,4153.4535,
1462.829,4154.1655,
1459.918,4131.0654,
1457.008,4098.1748,
1454.097,4065.5022,
1451.186,4061.5046,
1448.276,4109.0373,
1445.365,4160.1278,
1442.455,4139.8044,
1439.544,4002.5349,
1436.633,4035.7553,
1433.723,4102.5177,
1430.812,4057.4592,
1427.902,4008.9613,
1424.991,4033.6031,
1422.081,4076.5789,
1419.170,4143.4514,
1416.259,4159.0454,
1413.349,4130.9206,
1410.438,4140.9688,
1407.528,4130.7065,
1404.617,4066.9463,
1401.707,4032.5546,
1398.796,4007.0534,
1395.885,3997.2846,
1392.975,4009.9576,
1390.064,3990.7962,
1387.154,4008.7851,
1384.243,3963.3422,
1381.332,4010.4696,
1378.422,4048.4953,
1375.511,4147.7941,
1372.601,4283.0027,
1369.690,4341.5222,
1366.780,4480.0608,
1363.869,4605.9111,
1360.958,4688.5708,
1358.048,4809.4915,
1355.137,4891.1455,
1352.227,4977.663,
1349.316,5106.535,
1346.406,5198.962,
1343.495,5267.3193,
1340.584,5338.4091,
1337.674,5454.5591,
1334.763,5544.2444,
1331.853,5672.2023,
1328.942,5672.9277,
1326.032,5791.4556,
1323.121,5875.4293,
1320.210,5991.2676,
1317.300,6063.5745,
1314.389,6204.2246,
1311.479,6362.8795,
1308.568,6471.6904,
1305.657,6637.8048,
1302.747,6843.9386,
1299.836,7004.3851,
1296.926,7210.2716,
1294.015,7337.1383,
1291.105,7612.7013,
1288.194,7883.4067,
1285.283,8086.2916,
1282.373,8238.2965,
1279.462,8422.3921,
1276.552,8592.4855,
1273.641,8695.2251,
1270.731,8755.9004,
1267.820,8774.4565,
1264.909,8725.4853,
1261.999,8752.6787,
1259.088,8678.7969,
1256.178,8593.0116,
1253.267,8381.4386,
1250.356,8136.4847,
1247.446,7863.556,
1244.535,7590.1656,
1241.625,7295.8125,
1238.714,7009.1208,
1235.804,6800.3026,
1232.893,6571.8958,
1229.982,6470.8129,
1227.072,6277.0761,
1224.161,6154.95,
1221.251,6058.4351,
1218.340,5952.0463,
1215.430,5830.199,
1212.519,5783.1271,
1209.608,5771.1268,
1206.698,5714.4176,
1203.787,5712.586,
1200.877,5679.1232,
1197.966,5820.2912,
1195.055,5997.1715,
1192.145,6127.055,
1189.234,6273.2649,
1186.324,6438.5668,
1183.413,6525.375,
1180.503,6525.7123,
1177.592,6508.2534,
1174.681,6444.1935,
1171.771,6413.8296,
1168.860,6346.8479,
1165.950,6316.1863,
1163.039,6357.8664,
1160.129,6363.0388,
1157.218,6324.4923,
1154.307,6244.6576,
1151.397,6141.8668,
1148.486,6099.2655,
1145.576,6151.1348,
1142.665,6053.4643,
1139.754,5997.3709,
1136.844,5991.2771,
1133.933,5941.176,
1131.023,5897.2936,
1128.112,5870.0921,
1125.202,5833.4426,
1122.291,5831.2605,
1119.380,5858.349,
1116.470,5855.7014,
1113.559,5868.5202,
1110.649,5825.881,
1107.738,5756.3663,
1104.828,5710.7174,
1101.917,5717.9438,
1099.006,5747.7361,
1096.096,5702.0525,
1093.185,5696.7845,
1090.275,5738.4571,
1087.364,5805.3232,
1084.453,5862.873,
1081.543,5939.5233,
1078.632,6020.4777,
1075.722,6052.6914,
1072.811,6054.6519,
1069.901,6002.2562,
1066.990,5970.8917,
1064.079,5946.0011,
1061.169,5948.421,
1058.258,5922.2257,
1055.348,5885.5454,
1052.437,5919.5905,
1049.527,5957.8519,
1046.616,5996.0804,
1043.705,6036.601,
1040.795,6048.652,
1037.884,6057.4668,
1034.974,6077.2925,
1032.063,6097.8519,
1029.153,6105.6067,
1026.242,6157.5041,
1023.331,6188.5398,
1020.421,6188.1011,
1017.510,6257.6506,
1014.600,6342.2884,
1011.689,6390.9226,
1008.778,6421.0403,
1005.868,6444.3828,
1002.957,6668.0749,
1000.047,6906.9431,
997.136,7194.8123,
994.226,7366.5746,
991.315,7383.1968,
988.404,7340.1347,
985.494,7260.7996,
982.583,7235.1029,
979.673,7261.3725,
976.762,7257.6974,
973.852,7274.3376,
970.941,7312.5243,
968.030,7320.7218,
965.120,7311.5468,
962.209,7352.4689,
959.299,7359.375,
956.388,7350.4156,
953.477,7371.3249,
950.567,7391.2454,
947.656,7346.7416,
944.746,7441.0423,
941.835,7414.6021,
938.925,7397.5042,
936.014,7397.4333,
933.103,7382.6017,
930.193,7334.7891,
927.282,7284.2046,
924.372,7207.2544,
921.461,7104.5886,
918.551,6956.3502,
915.640,6838.9546,
912.729,6757.757,
909.819,6657.4811,
906.908,6612.8326,
903.998,6608.7843,
901.087,6645.2924,
898.176,6695.4839,
895.266,6748.3233,
892.355,6810.6516,
889.445,6902.971,
886.534,6948.4581,
883.624,7031.3865,
880.713,7096.4653,
877.802,7077.1297,
874.892,6924.5802,
871.981,6635.1015,
869.071,6369.4402,
866.160,6489.6553,
863.250,6735.2651,
860.339,6917.2231,
857.428,6958.8705,
854.518,6926.6329,
851.607,6762.7152,
848.697,6537.6593,
845.786,6441.6284,
842.875,6521.3639,
839.965,6723.9442,
837.054,6918.2354,
834.144,6905.8042,
831.233,6911.3744,
828.323,6872.8418,
825.412,6814.2427,
822.501,6766.4384,
819.591,6678.0137,
816.680,6591.2402,
813.770,6449.46,
810.859,6318.7137,
807.949,6250.4067,
805.038,6252.9989,
802.127,6208.55,
799.217,6139.526,
796.306,6145.7536,
793.396,6130.3899,
790.485,6084.3781,
787.574,6132.2085,
784.664,6206.8387,
781.753,6268.6858,
778.843,6346.2841,
775.932,6393.1159,
773.022,6379.7293,
770.111,6427.1488,
767.200,6391.5481,
764.290,6301.9394,
761.379,6228.8326,
758.469,6209.0252,
755.558,6228.3327,
752.648,6159.906,
749.737,6099.3742,
746.826,6071.5777,
743.916,6037.1018,
741.005,5936.7501,
738.095,5763.0085,
735.184,5598.648,
732.274,5528.2276,
729.363,5628.3397,
726.452,5871.7402,
723.542,5995.5773,
720.631,6132.3466,
717.721,6212.4742,
714.810,6257.9829,
711.899,6272.6522,
708.989,6226.6575,
706.078,6286.4727,
703.168,6266.1562,
700.257,6212.4321,
697.347,6168.1576,
694.436,6168.1606,
691.525,6197.0976,
688.615,6148.0308,
685.704,6152.5006,
682.794,6205.5877,
679.883,6220.8528,
676.973,6253.709,
674.062,6268.6701,
671.151,6271.1833,
668.241,6252.6506,
665.330,6201.3918,
662.420,6180.6248,
659.509,6190.9784,
656.598,6218.8487,
