,PLB20C~1,
Wavenumbers [1/cm],Intensity,
2222.490,2175.9817,
2219.579,2203.2716,
2216.669,2235.1488,
2213.758,2241.2139,
2210.847,2233.4222,
2207.937,2254.1071,
2205.026,2290.3457,
2202.116,2329.7651,
2199.205,2326.4248,
2196.294,2338.993,
2193.384,2359.335,
2190.473,2398.5863,
2187.563,2432.473,
2184.652,2502.3177,
2181.742,2515.7643,
2178.831,2608.6193,
2175.920,2702.921,
2173.010,2800.93,
2170.099,2971.575,
2167.189,3134.8713,
2164.278,3269.526,
2161.368,3509.261,
2158.457,3716.9399,
2155.546,3957.0416,
2152.636,4141.6248,
2149.725,4374.8497,
2146.815,4583.3522,
2143.904,4761.9688,
2140.993,4881.3947,
2138.083,4961.9637,
2135.172,5014.2258,
2132.262,5026.5343,
2129.351,5006.3869,
2126.441,4887.3383,
2123.530,4681.6434,
2120.619,4513.145,
2117.709,4233.9897,
2114.798,4031.3317,
2111.888,3769.6179,
2108.977,3526.2441,
2106.067,3292.5905,
2103.156,3124.1069,
2100.245,2974.078,
2097.335,2888.4077,
2094.424,2790.4983,
2091.514,2700.2377,
2088.603,2643.9545,
2085.692,2606.3891,
2082.782,2566.7476,
2079.871,2520.5159,
2076.961,2508.3833,
2074.050,2558.2765,
2071.140,2468.5958,
2068.229,2494.6758,
2065.318,2480.8527,
2062.408,2469.125,
2059.497,2443.2738,
2056.587,2430.3807,
2053.676,2427.2253,
2050.766,2401.2035,
2047.855,2362.5269,
2044.944,2346.3814,
2042.034,2386.2119,
2039.123,2423.4247,
2036.213,2417.0294,
2033.302,2414.7554,
2030.391,2403.888,
2027.481,2392.6616,
2024.570,2404.6104,
2021.660,2409.0067,
2018.749,2433.4927,
2015.839,2462.7444,
2012.928,2426.5159,
2010.017,2429.2412,
2007.107,2450.3119,
2004.196,2441.2797,
2001.286,2422.8953,
1998.375,2416.6457,
1995.465,2378.1545,
1992.554,2391.7895,
1989.643,2384.5052,
1986.733,2380.6601,
1983.822,2394.2158,
1980.912,2409.5599,
1978.001,2363.0155,
1975.090,2337.7036,
1972.180,2339.367,
1969.269,2376.2803,
1966.359,2376.3948,
1963.448,2342.7842,
1960.538,2362.2818,
1957.627,2373.4748,
1954.716,2376.0675,
1951.806,2411.5417,
1948.895,2361.6149,
1945.985,2353.4273,
1943.074,2330.638,
1940.164,2317.3461,
1937.253,2316.2771,
1934.342,2310.048,
1931.432,2281.4972,
1928.521,2284.0093,
1925.611,2279.4303,
1922.700,2249.5905,
1919.790,2250.8764,
1916.879,2306.0795,
1913.968,2274.1693,
1911.058,2312.2271,
1908.147,2262.4389,
1905.237,2284.419,
1902.326,2239.1902,
1899.415,2230.2091,
1896.505,2155.5886,
1893.594,2168.0063,
1890.684,2243.7785,
1887.773,2256.1941,
1884.863,2276.6375,
1881.952,2274.3852,
1879.041,2289.8197,
1876.131,2327.257,
1873.220,2283.5673,
1870.310,2281.6945,
1867.399,2315.5812,
1864.489,2334.1514,
1861.578,2310.4052,
1858.667,2315.7657,
1855.757,2323.5522,
1852.846,2303.6788,
1849.936,2335.4273,
1847.025,2339.3002,
1844.114,2347.1368,
1841.204,2362.7544,
1838.293,2382.6175,
1835.383,2383.846,
1832.472,2355.6241,
1829.562,2393.062,
1826.651,2369.4228,
1823.740,2395.8109,
1820.830,2406.6367,
1817.919,2405.7538,
1815.009,2444.6555,
1812.098,2443.9439,
1809.188,2437.4971,
1806.277,2420.5012,
1803.366,2441.6241,
1800.456,2472.2791,
1797.545,2490.3733,
1794.635,2478.9301,
1791.724,2517.96,
1788.813,2522.1314,
1785.903,2526.1794,
1782.992,2432.8134,
1780.082,2285.1786,
1777.171,2180.1121,
1774.261,2155.1205,
1771.350,2298.4158,
1768.439,2516.559,
1765.529,2595.8518,
1762.618,2586.3612,
1759.708,2596.4947,
1756.797,2595.375,
1753.887,2597.0492,
1750.976,2640.1976,
1748.065,2651.9084,
1745.155,2620.5768,
1742.244,2621.3541,
1739.334,2664.7297,
1736.423,2679.0054,
1733.512,2699.9543,
1730.602,2741.7858,
1727.691,2753.8927,
1724.781,2721.0888,
1721.870,2750.7538,
1718.960,2720.6579,
1716.049,2790.1496,
1713.138,2894.0446,
1710.228,2878.6646,
1707.317,2849.357,
