,PLDF41~1,
Wavenumbers [1/cm],Intensity,
2222.490,2122.2872,
2219.579,2177.7864,
2216.669,2190.4656,
2213.758,2196.162,
2210.847,2193.2541,
2207.937,2210.4792,
2205.026,2210.5969,
2202.116,2230.6011,
2199.205,2266.387,
2196.294,2284.805,
2193.384,2305.585,
2190.473,2349.9842,
2187.563,2388.5973,
2184.652,2436.333,
2181.742,2467.7639,
2178.831,2544.0755,
2175.920,2639.4115,
2173.010,2753.4306,
2170.099,2891.2957,
2167.189,3071.1069,
2164.278,3198.2001,
2161.368,3409.7961,
2158.457,3631.579,
2155.546,3860.0349,
2152.636,4038.8429,
2149.725,4266.7775,
2146.815,4425.2706,
2143.904,4581.2262,
2140.993,4719.3431,
2138.083,4801.1195,
2135.172,4868.333,
2132.262,4900.9137,
2129.351,4840.347,
2126.441,4727.9087,
2123.530,4645.5129,
2120.619,4361.4497,
2117.709,4118.3939,
2114.798,3918.7395,
2111.888,3658.5934,
2108.977,3396.2292,
2106.067,3206.3767,
2103.156,3037.5199,
2100.245,2884.3211,
2097.335,2788.8619,
2094.424,2701.4238,
2091.514,2618.6328,
2088.603,2574.7483,
2085.692,2537.1819,
2082.782,2478.9816,
2079.871,2451.5885,
2076.961,2423.1186,
2074.050,2435.5023,
2071.140,2419.5013,
2068.229,2413.1289,
2065.318,2376.9302,
2062.408,2387.6254,
2059.497,2388.1428,
2056.587,2363.8985,
2053.676,2382.0569,
2050.766,2329.2248,
2047.855,2337.5744,
2044.944,2348.6314,
2042.034,2374.242,
2039.123,2352.7521,
2036.213,2333.2195,
2033.302,2357.9617,
2030.391,2338.4606,
2027.481,2367.4965,
2024.570,2340.3904,
2021.660,2401.9994,
2018.749,2366.2733,
2015.839,2338.644,
2012.928,2349.7995,
2010.017,2374.5574,
2007.107,2360.7937,
2004.196,2367.5179,
2001.286,2368.5411,
1998.375,2363.2874,
1995.465,2334.8438,
1992.554,2334.3867,
1989.643,2353.7183,
1986.733,2304.6224,
1983.822,2340.5663,
1980.912,2322.3853,
1978.001,2339.6885,
