,PLA0AC~1,
Raman shift [1/cm],Intensity,
2225.400,2162.9412,
2222.490,2196.3238,
2219.579,2222.2021,
2216.669,2225.6369,
2213.758,2238.7799,
2210.847,2259.2157,
2207.937,2271.7178,
2205.026,2334.7906,
2202.116,2363.3384,
2199.205,2379.6862,
2196.294,2440.4069,
2193.384,2445.0995,
2190.473,2500.4736,
2187.563,2560.4053,
2184.652,2636.0478,
2181.742,2768.7426,
2178.831,2903.0435,
2175.920,3104.6096,
2173.010,3311.8591,
2170.099,3533.7714,
2167.189,3795.6606,
2164.278,4052.1451,
2161.368,4375.5454,
2158.457,4645.7955,
2155.546,4950.6166,
2152.636,5191.2204,
2149.725,5397.2457,
2146.815,5519.0217,
2143.904,5684.0283,
2140.993,5696.781,
2138.083,5707.7481,
2135.172,5661.4525,
2132.262,5588.9533,
2129.351,5480.7693,
2126.441,5296.6294,
2123.530,5076.0721,
2120.619,4772.0347,
2117.709,4475.9193,
2114.798,4157.0738,
2111.888,3851.7561,
2108.977,3608.8667,
2106.067,3421.5094,
2103.156,3208.7975,
2100.245,3102.0284,
2097.335,2938.1303,
2094.424,2860.5774,
2091.514,2812.8747,
2088.603,2740.3094,
2085.692,2706.6195,
2082.782,2671.9203,
2079.871,2639.3024,
2076.961,2591.0956,
2074.050,2585.3371,
2071.140,2598.9879,
2068.229,2544.7643,
2065.318,2535.001,
2062.408,2514.2914,
2059.497,2499.5179,
2056.587,2481.5206,
2053.676,2497.1737,
2050.766,2495.6639,
2047.855,2441.8972,
2044.944,2437.4503,
2042.034,2451.3041,
2039.123,2421.3641,
2036.213,2434.6784,
2033.302,2448.4513,
2030.391,2450.2941,
2027.481,2453.6616,
2024.570,2476.5672,
2021.660,2451.0171,
2018.749,2452.2267,
2015.839,2486.3127,
2012.928,2510.724,
2010.017,2477.3053,
2007.107,2506.7512,
2004.196,2489.494,
2001.286,2491.3759,
1998.375,2468.9862,
1995.465,2460.2714,
1992.554,2453.2368,
1989.643,2456.9522,
1986.733,2454.5031,
1983.822,2412.498,
1980.912,2437.0753,
1978.001,2432.9469,
1975.090,2419.5998,
1972.180,2407.0199,
1969.269,2444.9383,
1966.359,2438.7193,
1963.448,2454.8846,
1960.538,2439.9682,
1957.627,2402.0259,
1954.716,2479.7119,
1951.806,2429.0689,
1948.895,2446.2323,
1945.985,2439.308,
1943.074,2437.2468,
1940.164,2423.4035,
1937.253,2390.5424,
1934.342,2416.3731,
1931.432,2418.5698,
1928.521,2404.9696,
1925.611,2413.8912,
1922.700,2363.0988,
1919.790,2407.6908,
1916.879,2435.73,
1913.968,2398.173,
1911.058,2454.3772,
1908.147,2375.9148,
1905.237,2400.0809,
1902.326,2431.7724,
1899.415,2438.3628,
1896.505,2404.6009,
1893.594,2405.4848,
1890.684,2402.7983,
1887.773,2390.2371,
