,PL57AE~1,
Raman shift [1/cm],Intensity,
2173.010,588.30017,
2170.099,594.32441,
2167.189,595.13935,
2164.278,596.97827,
2161.368,596.41068,
2158.457,600.09039,
2155.546,620.94234,
2152.636,629.24735,
2149.725,628.78943,
2146.815,640.72457,
2143.904,649.32945,
2140.993,661.05621,
2138.083,652.08859,
2135.172,649.96546,
2132.262,669.125,
2129.351,636.65239,
2126.441,659.69792,
2123.530,627.97909,
2120.619,614.16174,
2117.709,603.37862,
2114.798,578.85949,
2111.888,558.56261,
2108.977,547.86009,
2106.067,545.40013,
2103.156,525.00896,
2100.245,535.1112,
2097.335,511.43914,
2094.424,495.53476,
2091.514,492.70572,
2088.603,515.24479,
2085.692,512.48566,
2082.782,490.98854,
2079.871,487.58941,
2076.961,523.67104,
2074.050,491.17348,
2071.140,494.5386,
2068.229,510.93489,
2065.318,511.17349,
2062.408,505.95858,
2059.497,519.52977,
2056.587,519.70642,
2053.676,509.3256,
2050.766,497.89481,
2047.855,502.64086,
2044.944,486.92307,
2042.034,489.99202,
2039.123,483.125,
2036.213,489.75836,
2033.302,503.5597,
2030.391,502.32855,
2027.481,513.25901,
2024.570,512.22516,
2021.660,490.42584,
2018.749,516.82108,
2015.839,507.2418,
2012.928,500.87165,
2010.017,509.08699,
2007.107,479.00723,
2004.196,501.88702,
2001.286,514.39359,
1998.375,493.7746,
1995.465,473.60625,
1992.554,498.92474,
1989.643,502.15956,
1986.733,490.98114,
1983.822,499.77714,
1980.912,471.14561,
1978.001,496.97286,
1975.090,478.32805,
1972.180,479.53856,
1969.269,491.7486,
1966.359,491.98977,
1963.448,475.70624,
1960.538,462.19839,
1957.627,494.00738,
1954.716,486.46972,
1951.806,460.82693,
1948.895,458.44074,
1945.985,475.40604,
1943.074,461.53815,
1940.164,473.87479,
1937.253,456.69457,
1934.342,464.19345,
1931.432,469.23856,
1928.521,457.38407,
1925.611,451.40423,
1922.700,466.16229,
1919.790,458.06733,
1916.879,470.07876,
1913.968,480.11393,
1911.058,443.96585,
1908.147,479.34248,
1905.237,453.68386,
1902.326,470.05983,
1899.415,456.73354,
1896.505,466.47443,
1893.594,454.22555,
1890.684,426.86362,
1887.773,441.07272,
1884.863,452.02249,
1881.952,462.37737,
1879.041,459.80361,
1876.131,457.93938,
1873.220,444.17804,
1870.310,445.838,
1867.399,446.125,
1864.489,460.63127,
1861.578,472.5646,
1858.667,468.59206,
1855.757,474.73359,
1852.846,464.37116,
1849.936,463.33421,
1847.025,471.76976,
1844.114,472.06614,
1841.204,470.65647,
1838.293,477.6408,
1835.383,477.41549,
1832.472,497.57891,
1829.562,476.7401,
1826.651,485.42476,
1823.740,483.29356,
1820.830,493.55821,
1817.919,503.82564,
1815.009,528.24332,
1812.098,506.99116,
1809.188,499.43509,
1806.277,515.74876,
1803.366,488.09173,
1800.456,488.21337,
1797.545,520.16066,
1794.635,481.77001,
1791.724,492.8919,
1788.813,528.12629,
1785.903,518.28982,
1782.992,480.09969,
1780.082,486.77324,
1777.171,450.45422,
1774.261,455.93042,
1771.350,493.708,
1768.439,510.16952,
1765.529,508.21197,
1762.618,505.83192,
1759.708,521.95101,
1756.797,530.79924,
1753.887,542.86844,
1750.976,554.68717,
1748.065,545.07738,
1745.155,517.15737,
1742.244,538.58328,
1739.334,527.42148,
1736.423,532.08199,
1733.512,565.3202,
1730.602,572.13293,
1727.691,545.02454,
1724.781,544.99077,
1721.870,577.70613,
1718.960,564.5692,
1716.049,556.7691,
1713.138,573.22492,
1710.228,575.2547,
1707.317,562.741,
1704.407,619.52082,
1701.496,533.14713,
1698.586,528.74492,
1695.675,599.30315,
1692.764,612.6455,
1689.854,582.51081,
1686.943,593.68657,
1684.033,599.97598,
1681.122,622.73417,
1678.211,627.08693,
1675.301,674.977,
1672.390,637.17883,
1669.480,655.80687,
1666.569,739.84569,
1663.659,717.53703,
1660.748,682.83843,
1657.837,719.10313,
1654.927,719.78847,
1652.016,787.88575,
1649.106,738.41877,
1646.195,751.53961,
1643.285,810.05925,
1640.374,850.08319,
1637.463,848.44926,
1634.553,867.14467,
1631.642,934.7124,
1628.732,897.93086,
1625.821,1033.1329,
1622.911,1045.0574,
1620.000,1152.7517,
1617.089,1136.4832,
1614.179,1205.1227,
1611.268,1291.8533,
1608.358,1355.1751,
1605.447,1390.1824,
1602.536,1384.6699,
1599.626,1399.7639,
1596.715,1406.5706,
1593.805,1386.5554,
1590.894,1402.6191,
1587.984,1377.4101,
1585.073,1408.8593,
1582.162,1348.3341,
1579.252,1302.393,
1576.341,1329.5707,
1573.431,1287.2187,
1570.520,1295.2919,
1567.610,1288.713,
1564.699,1239.1732,
1561.788,1216.4913,
1558.878,1187.4972,
1555.967,1168.5184,
1553.057,1138.3322,
1550.146,1136.645,
1547.235,1106.7538,
1544.325,1074.4697,
1541.414,1075.5256,
1538.504,1088.8596,
1535.593,1083.9783,
1532.683,1089.4196,
1529.772,1104.3626,
1526.861,1091.3087,
1523.951,1085.6341,
1521.040,1077.6439,
1518.130,1083.9507,
1515.219,1114.1255,
1512.309,1099.3457,
1509.398,1111.9177,
1506.487,1113.0704,
1503.577,1071.8311,
1500.666,1063.8572,
1497.756,1013.5148,
1494.845,1006.5252,
1491.934,1016.1785,
1489.024,1032.5409,
1486.113,1017.3623,
1483.203,966.38761,
1480.292,926.18454,
1477.382,946.79719,
1474.471,976.14637,
1471.560,948.29303,
1468.650,896.1784,
1465.739,893.49676,
1462.829,894.96319,
1459.918,927.14189,
1457.008,947.47872,
1454.097,919.17652,
1451.186,895.46156,
1448.276,869.142,
1445.365,844.84222,
1442.455,872.19873,
1439.544,854.26579,
1436.633,854.81319,
1433.723,805.87575,
1430.812,804.78994,
1427.902,813.77894,
1424.991,841.26405,
1422.081,821.9405,
1419.170,826.17342,
1416.259,826.31494,
1413.349,869.17374,
1410.438,864.23095,
1407.528,843.89391,
1404.617,814.227,
1401.707,807.13399,
1398.796,806.15649,
1395.885,791.16433,
1392.975,751.89449,
1390.064,672.52335,
1387.154,602.56285,
1384.243,522.19157,
1381.332,463.22363,
1378.422,491.84449,
1375.511,563.97662,
1372.601,685.85071,
1369.690,738.1289,
1366.780,801.3595,
1363.869,812.49261,
1360.958,830.27127,
1358.048,878.09696,
1355.137,917.2671,
1352.227,938.27538,
1349.316,936.29364,
1346.406,936.24166,
1343.495,1002.2941,
1340.584,1074.6248,
1337.674,1080.9794,
1334.763,1039.0071,
1331.853,1062.1879,
1328.942,1121.8296,
1326.032,1115.2594,
1323.121,1149.1732,
1320.210,1136.1541,
1317.300,1155.5878,
1314.389,1209.4728,
1311.479,1222.0863,
1308.568,1191.8636,
1305.657,1165.6057,
1302.747,1142.5951,
1299.836,1176.1103,
1296.926,1235.8169,
1294.015,1293.7343,
1291.105,1338.391,
1288.194,1396.842,
1285.283,1455.9492,
1282.373,1484.8828,
1279.462,1499.3601,
1276.552,1511.6998,
1273.641,1507.8756,
1270.731,1494.0653,
1267.820,1498.0089,
1264.909,1490.3562,
1261.999,1519.5272,
1259.088,1475.7454,
1256.178,1505.6703,
1253.267,1447.4478,
1250.356,1443.0246,
1247.446,1455.4055,
1244.535,1437.3215,
1241.625,1415.125,
1238.714,1413.8796,
1235.804,1407.4114,
1232.893,1389.5071,
1229.982,1355.7758,
1227.072,1315.9421,
1224.161,1299.6769,
1221.251,1274.0452,
1218.340,1226.6085,
1215.430,1175.9466,
1212.519,1165.7078,
1209.608,1180.3531,
1206.698,1192.1892,
1203.787,1233.9441,
1200.877,1222.7937,
1197.966,1233.5836,
1195.055,1281.9069,
1192.145,1326.1895,
1189.234,1393.2723,
1186.324,1441.1267,
1183.413,1453.0336,
1180.503,1453.8466,
1177.592,1464.2866,
1174.681,1462.9298,
1171.771,1427.4135,
1168.860,1439.9167,
1165.950,1479.8269,
1163.039,1440.9352,
1160.129,1408.3279,
1157.218,1437.6224,
1154.307,1463.655,
1151.397,1438.343,
1148.486,1434.027,
1145.576,1422.2406,
1142.665,1424.9044,
1139.754,1403.157,
1136.844,1398.8253,
1133.933,1421.9987,
1131.023,1407.4388,
1128.112,1370.6254,
1125.202,1360.5695,
1122.291,1346.2584,
1119.380,1368.177,
1116.470,1373.4721,
1113.559,1367.939,
1110.649,1339.2763,
1107.738,1334.2339,
1104.828,1323.4005,
1101.917,1308.664,
1099.006,1333.3209,
1096.096,1320.8775,
1093.185,1333.1696,
1090.275,1355.166,
1087.364,1362.8695,
1084.453,1387.7485,
