,PL8D1F~1,
Wavenumbers [1/cm],Intensity,
2175.920,888.17784,
2173.010,921.92545,
2170.099,938.85665,
2167.189,1003.3331,
2164.278,1037.5541,
2161.368,1095.4075,
2158.457,1186.5426,
2155.546,1236.8212,
2152.636,1308.3536,
2149.725,1390.7156,
2146.815,1429.1907,
2143.904,1478.2291,
2140.993,1499.2995,
2138.083,1542.6903,
2135.172,1560.5704,
2132.262,1559.6144,
2129.351,1524.9179,
2126.441,1503.6395,
2123.530,1461.2944,
2120.619,1376.0154,
2117.709,1289.5775,
2114.798,1213.5091,
2111.888,1114.5011,
2108.977,1048.8005,
2106.067,1006.1656,
2103.156,920.93984,
2100.245,907.07921,
2097.335,830.8737,
2094.424,806.1676,
2091.514,799.19217,
2088.603,784.05591,
2085.692,786.35542,
2082.782,773.62713,
2079.871,748.6956,
2076.961,778.8002,
2074.050,755.42803,
2071.140,721.48137,
2068.229,728.19399,
2065.318,745.93899,
2062.408,717.82925,
2059.497,707.73215,
2056.587,721.47365,
2053.676,723.67515,
2050.766,732.35519,
2047.855,718.03956,
2044.944,715.65705,
2042.034,723.39095,
2039.123,724.20244,
2036.213,706.20059,
2033.302,722.19011,
2030.391,712.02374,
2027.481,725.44187,
2024.570,690.14042,
2021.660,727.2868,
2018.749,713.51715,
2015.839,696.10728,
2012.928,686.11326,
2010.017,691.25529,
2007.107,693.68577,
2004.196,713.68453,
2001.286,684.70456,
1998.375,673.86713,
1995.465,663.96607,
1992.554,653.98976,
1989.643,647.33238,
1986.733,644.10483,
1983.822,678.41968,
1980.912,667.06502,
1978.001,637.79475,
1975.090,618.15553,
1972.180,614.3311,
1969.269,619.16234,
1966.359,623.26023,
1963.448,607.40108,
1960.538,601.74802,
1957.627,616.39127,
1954.716,624.92391,
1951.806,622.38627,
1948.895,597.6694,
1945.985,641.01062,
1943.074,579.04018,
1940.164,574.32699,
1937.253,564.62968,
1934.342,548.15922,
1931.432,530.18809,
1928.521,547.24418,
1925.611,551.43034,
1922.700,526.33909,
1919.790,522.84752,
1916.879,543.59051,
1913.968,560.10656,
1911.058,564.89675,
1908.147,512.16594,
1905.237,550.18377,
1902.326,522.60795,
1899.415,502.97617,
1896.505,437.90814,
1893.594,451.84456,
1890.684,476.41906,
1887.773,481.082,
1884.863,518.30723,
1881.952,528.57012,
1879.041,526.15096,
1876.131,538.5263,
1873.220,521.07625,
1870.310,503.27301,
1867.399,498.18897,
1864.489,542.76198,
1861.578,509.7788,
1858.667,518.91241,
1855.757,531.3386,
1852.846,525.67369,
1849.936,535.68458,
1847.025,510.05928,
1844.114,528.24966,
1841.204,523.55856,
1838.293,541.62417,
1835.383,530.64851,
1832.472,527.64848,
1829.562,541.70703,
1826.651,521.82524,
1823.740,552.3473,
1820.830,547.29017,
1817.919,548.45439,
1815.009,564.68098,
1812.098,541.09352,
1809.188,541.87693,
1806.277,551.90368,
1803.366,550.34127,
1800.456,564.2791,
1797.545,582.18893,
1794.635,560.41596,
1791.724,549.05694,
1788.813,573.91189,
1785.903,528.6696,
1782.992,498.02957,
1780.082,418.87729,
1777.171,323.45101,
1774.261,320.58049,
1771.350,430.79828,
1768.439,545.61597,
1765.529,557.03332,
1762.618,576.76442,
1759.708,594.95101,
1756.797,581.74621,
1753.887,573.74016,
1750.976,561.10079,
1748.065,573.17262,
1745.155,590.87335,
1742.244,574.2609,
1739.334,596.99087,
1736.423,607.17921,
1733.512,608.76322,
1730.602,608.62897,
1727.691,625.78119,
1724.781,617.7532,
1721.870,647.12043,
1718.960,594.27982,
1716.049,586.99782,
1713.138,627.45481,
1710.228,651.53094,
1707.317,646.16386,
1704.407,613.6811,
1701.496,628.35596,
1698.586,639.36484,
1695.675,659.77488,
1692.764,677.21927,
1689.854,671.42815,
1686.943,678.85519,
1684.033,704.47926,
1681.122,719.87011,
1678.211,691.401,
1675.301,683.14967,
1672.390,742.17285,
1669.480,758.30148,
1666.569,779.94726,
1663.659,766.30466,
1660.748,778.45544,
1657.837,845.64387,
1654.927,824.21872,
1652.016,829.85023,
1649.106,898.90467,
1646.195,891.3478,
1643.285,941.85417,
1640.374,972.87413,
1637.463,963.03454,
1634.553,1067.79,
1631.642,1113.3302,
1628.732,1223.3739,
1625.821,1265.1957,
1622.911,1372.5164,
1620.000,1509.3864,
1617.089,1654.2195,
1614.179,1748.4741,
1611.268,1900.3624,
1608.358,2059.5865,
1605.447,2151.9828,
1602.536,2112.3944,
1599.626,2134.8831,
1596.715,2148.0162,
1593.805,2066.8465,
1590.894,2051.841,
1587.984,2055.4555,
1585.073,1981.2531,
1582.162,1965.6203,
1579.252,1916.8452,
1576.341,1894.9101,
1573.431,1938.3323,
1570.520,1920.5499,
1567.610,1885.0462,
1564.699,1837.6984,
1561.788,1801.2942,
1558.878,1757.3041,
1555.967,1702.8064,
1553.057,1678.0216,
1550.146,1614.2851,
1547.235,1553.6926,
1544.325,1544.3459,
1541.414,1508.0806,
1538.504,1437.1588,
1535.593,1405.5596,
1532.683,1403.5311,
1529.772,1379.1503,
1526.861,1335.6179,
1523.951,1327.5065,
1521.040,1333.747,
1518.130,1259.4444,
1515.219,1222.2439,
1512.309,1265.5845,
1509.398,1269.0282,
1506.487,1218.543,
1503.577,1158.7415,
1500.666,1167.4535,
1497.756,1163.5743,
1494.845,1177.2829,
1491.934,1085.2163,
1489.024,1113.1286,
1486.113,1050.1471,
1483.203,1006.9338,
1480.292,954.60836,
1477.382,966.3312,
1474.471,902.82827,
1471.560,868.33734,
1468.650,857.65881,
1465.739,852.56304,
1462.829,869.02952,
1459.918,850.18551,
1457.008,803.29395,
1454.097,793.67895,
1451.186,805.0457,
1448.276,810.98026,
1445.365,824.51758,
1442.455,807.45902,
1439.544,772.91974,
1436.633,783.66919,
1433.723,798.27075,
1430.812,748.72123,
1427.902,730.87695,
1424.991,720.45157,
1422.081,735.72211,
1419.170,727.62034,
1416.259,732.6055,
1413.349,728.08307,
1410.438,731.72324,
1407.528,692.28179,
1404.617,671.47351,
1401.707,648.74774,
1398.796,644.11796,
1395.885,667.67228,
1392.975,672.35409,
1390.064,655.88108,
1387.154,640.94858,
1384.243,682.32934,
1381.332,616.56766,
1378.422,625.34194,
1375.511,726.51429,
1372.601,808.30162,
1369.690,830.555,
1366.780,885.39932,
1363.869,920.91931,
1360.958,897.43462,
1358.048,967.15521,
1355.137,987.22438,
1352.227,993.30172,
1349.316,1077.1196,
1346.406,1129.8898,
1343.495,1149.7888,
1340.584,1226.9819,
1337.674,1246.3427,
1334.763,1299.7834,
1331.853,1343.3633,
1328.942,1373.5879,
1326.032,1431.7716,
1323.121,1454.4985,
1320.210,1523.3852,
1317.300,1580.3245,
1314.389,1654.1678,
1311.479,1749.1927,
1308.568,1805.3577,
1305.657,1840.9065,
1302.747,1927.8411,
1299.836,1983.6386,
1296.926,2083.4151,
1294.015,2154.203,
1291.105,2307.6976,
1288.194,2385.6345,
1285.283,2505.3775,
1282.373,2545.2266,
1279.462,2594.0848,
