,PL1212~1,
Wavenumbers [1/cm],Intensity,
3014.167,6.375,
3011.256,-0.87494632,
3008.346,275.9742,
3005.435,319.87677,
3002.525,328.375,
2999.614,359.71135,
2996.704,359.82654,
2993.793,366.73733,
2990.882,377.50476,
2987.972,375.36491,
2985.061,388.89226,
2982.151,410.13635,
2979.240,416.85693,
2976.329,431.13729,
2973.419,444.59015,
2970.508,453.75834,
2967.598,452.28303,
2964.687,466.07677,
2961.777,484.0248,
2958.866,509.71675,
2955.955,510.51658,
2953.045,533.49358,
2950.134,534.03386,
2947.224,559.80203,
2944.313,570.33013,
2941.403,573.19662,
2938.492,589.08774,
2935.581,581.33207,
2932.671,572.45656,
2929.760,586.79039,
2926.850,612.27763,
2923.939,622.13199,
2921.028,628.52202,
2918.118,640.93419,
2915.207,639.08392,
2912.297,623.45539,
2909.386,638.00273,
2906.476,640.50703,
2903.565,637.8113,
2900.654,628.6571,
2897.744,631.96012,
2894.833,612.983,
2891.923,616.15699,
2889.012,585.50217,
2886.102,560.2534,
2883.191,531.39105,
2880.280,404.06873,
2877.370,156.95685,
2874.459,29.928928,
2871.549,268.62699,
2868.638,558.48208,
2865.727,572.38263,
2862.817,626.51936,
2859.906,627.28668,
2856.996,659.26178,
2854.085,656.20688,
2851.175,665.4925,
2848.264,669.57616,
2845.353,683.44762,
2842.443,660.94088,
2839.532,675.62882,
2836.622,682.10547,
2833.711,692.64187,
2830.801,683.87868,
2827.890,693.47814,
2824.979,708.91886,
2822.069,680.85263,
2819.158,714.01381,
2816.248,707.84605,
2813.337,726.9933,
2810.427,722.23587,
2807.516,734.00813,
2804.605,744.24518,
2801.695,728.86186,
2798.784,742.78362,
2795.874,710.4937,
2792.963,724.37479,
2790.052,704.37822,
2787.142,719.82231,
2784.231,714.08463,
2781.321,719.30638,
2778.410,713.33437,
2775.500,721.24811,
2772.589,728.37348,
2769.678,717.90736,
2766.768,749.41968,
2763.857,761.05901,
2760.947,757.36239,
2758.036,754.52786,
2755.126,727.12928,
2752.215,749.5023,
2749.304,736.54588,
2746.394,738.79838,
2743.483,755.77494,
2740.573,731.11378,
2737.662,754.03477,
2734.751,758.86515,
2731.841,764.59112,
2728.930,777.88358,
2726.020,772.94155,
2723.109,763.64334,
2720.199,770.94376,
2717.288,779.16333,
2714.377,794.34156,
2711.467,804.85082,
2708.556,795.75774,
2705.646,822.12153,
2702.735,803.06574,
2699.825,825.88591,
2696.914,822.94636,
2694.003,826.63191,
2691.093,813.64217,
2688.182,801.48463,
2685.272,810.97671,
2682.361,817.40994,
2679.450,828.00465,
2676.540,822.76116,
2673.629,831.4199,
2670.719,825.50625,
2667.808,837.18046,
2664.898,842.55691,
2661.987,848.14188,
2659.076,848.5194,
2656.166,844.45717,
2653.255,852.30527,
2650.345,869.38408,
2647.434,883.08892,
2644.524,873.23593,
2641.613,878.00354,
2638.702,863.59593,
2635.792,881.43582,
2632.881,896.10711,
2629.971,874.6903,
2627.060,894.37313,
2624.149,906.15938,
2621.239,876.8246,
2618.328,877.94333,
2615.418,913.04318,
2612.507,921.68327,
2609.597,909.21133,
2606.686,913.76456,
2603.775,915.85516,
2600.865,935.48769,
2597.954,937.14163,
2595.044,950.39271,
2592.133,939.03735,
2589.223,915.65183,
2586.312,936.69159,
2583.401,950.43345,
2580.491,969.19712,
2577.580,948.46247,
2574.670,985.60098,
2571.759,954.83475,
2568.848,973.2535,
2565.938,963.37486,
2563.027,973.95914,
2560.117,968.27222,
2557.206,982.41559,
2554.296,979.48713,
2551.385,979.13509,
2548.474,987.56013,
2545.564,998.96348,
2542.653,980.58642,
2539.743,978.16552,
2536.832,983.29275,
2533.922,1029.0438,
2531.011,1007.2751,
2528.100,1004.9081,
2525.190,1036.9979,
2522.279,1002.7033,
2519.369,1008.1675,
2516.458,1019.2737,
2513.548,1028.7568,
2510.637,1019.4817,
2507.726,1030.7542,
2504.816,1048.1912,
2501.905,1051.897,
2498.995,1037.3902,
2496.084,1049.3889,
2493.173,1033.7432,
2490.263,1039.5434,
2487.352,1056.3365,
2484.442,1099.3814,
2481.531,1072.7848,
2478.621,1057.2139,
2475.710,1095.076,
2472.799,1058.8413,
2469.889,1072.677,
2466.978,1066.3854,
2464.068,1089.1476,
2461.157,1102.1401,
2458.247,1098.0222,
2455.336,1111.7586,
2452.425,1097.7854,
2449.515,1089.4041,
2446.604,1119.0294,
2443.694,1105.6308,
2440.783,1132.714,
2437.872,1122.8336,
2434.962,1149.2921,
2432.051,1131.4679,
2429.141,1161.8984,
2426.230,1150.5484,
2423.320,1167.2751,
2420.409,1161.7532,
2417.498,1161.7767,
2414.588,1200.6144,
2411.677,1177.7654,
2408.767,1162.1339,
2405.856,1178.4464,
2402.946,1182.0533,
2400.035,1215.9337,
2397.124,1192.1825,
2394.214,1200.4258,
2391.303,1182.6291,
2388.393,1175.2052,
2385.482,1148.3444,
2382.571,1143.5011,
2379.661,1151.9333,
2376.750,1179.3132,
2373.840,1253.0842,
2370.929,1225.8082,
2368.019,1258.6404,
2365.108,1249.7938,
2362.197,1249.7641,
2359.287,1271.3332,
2356.376,1272.382,
2353.466,1275.1781,
2350.555,1280.6952,
2347.645,1290.375,
2344.734,1295.8911,
2341.823,1298.3584,
2338.913,1273.1049,
2336.002,1300.0161,
2333.092,1319.191,
2330.181,1307.7945,
2327.270,1335.5048,
2324.360,1330.4669,
2321.449,1343.5893,
2318.539,1341.6319,
2315.628,1335.9389,
2312.718,1338.0909,
2309.807,1345.1511,
2306.896,1368.6191,
2303.986,1359.849,
2301.075,1340.8857,
2298.165,1393.4338,
2295.254,1358.4737,
2292.344,1384.2797,
2289.433,1362.4986,
2286.522,1392.3214,
2283.612,1400.0357,
2280.701,1409.5678,
2277.791,1403.4169,
2274.880,1429.445,
2271.969,1432.6013,
2269.059,1428.5821,
2266.148,1437.3182,
2263.238,1435.0777,
2260.327,1482.547,
2257.417,1450.3056,
2254.506,1463.3066,
2251.595,1464.0804,
2248.685,1490.5249,
2245.774,1497.375,
2242.864,1499.0508,
2239.953,1495.2853,
2237.043,1501.8818,
2234.132,1513.4321,
2231.221,1519.0856,
2228.311,1510.6766,
2225.400,1510.6697,
2222.490,1557.7887,
2219.579,1576.5807,
2216.669,1585.4084,
2213.758,1609.0326,
2210.847,1597.1635,
2207.937,1600.9271,
2205.026,1637.7085,
2202.116,1637.8814,
2199.205,1656.6748,
2196.294,1658.565,
2193.384,1673.427,
