,PLB1A0~1,
Wavenumbers [1/cm],Intensity,
2175.920,966.44969,
2173.010,1007.0025,
2170.099,1065.3031,
2167.189,1119.7194,
2164.278,1177.0594,
2161.368,1249.0874,
2158.457,1315.4871,
2155.546,1379.2827,
2152.636,1444.9706,
2149.725,1518.4689,
2146.815,1557.4073,
2143.904,1641.1854,
2140.993,1673.1262,
2138.083,1695.375,
2135.172,1703.8036,
2132.262,1707.368,
2129.351,1723.2544,
2126.441,1658.6952,
2123.530,1593.5556,
2120.619,1512.568,
2117.709,1444.9817,
2114.798,1371.1399,
2111.888,1260.6896,
2108.977,1174.9578,
2106.067,1117.4896,
2103.156,1063.2631,
2100.245,1018.3361,
2097.335,956.375,
2094.424,949.19452,
2091.514,923.15723,
2088.603,912.62848,
2085.692,915.65004,
2082.782,904.41125,
2079.871,869.44502,
2076.961,866.18127,
2074.050,844.31439,
2071.140,875.45601,
2068.229,835.02084,
2065.318,843.27802,
2062.408,851.24567,
2059.497,830.58334,
2056.587,829.82855,
2053.676,837.35778,
2050.766,815.3765,
2047.855,809.57435,
2044.944,816.24199,
2042.034,811.34604,
2039.123,801.43561,
2036.213,812.23947,
2033.302,806.41866,
2030.391,809.25601,
2027.481,811.91163,
2024.570,801.94665,
2021.660,822.01503,
2018.749,789.53921,
2015.839,773.21752,
2012.928,796.09983,
2010.017,766.42712,
2007.107,782.47224,
2004.196,802.6964,
2001.286,783.89446,
1998.375,761.06594,
1995.465,754.375,
1992.554,749.11622,
1989.643,728.10084,
1986.733,728.39167,
1983.822,741.29671,
1980.912,704.90921,
1978.001,686.06146,
1975.090,701.31395,
1972.180,720.54788,
1969.269,696.12781,
1966.359,689.15888,
1963.448,666.34593,
1960.538,650.69443,
1957.627,662.74962,
1954.716,660.48991,
1951.806,629.57371,
1948.895,631.5896,
1945.985,617.12827,
1943.074,610.33807,
1940.164,612.17301,
1937.253,624.8833,
1934.342,634.24666,
1931.432,626.30245,
1928.521,605.39918,
1925.611,594.97886,
1922.700,572.63191,
1919.790,568.95879,
1916.879,573.096,
1913.968,558.39344,
1911.058,574.5732,
1908.147,574.45235,
1905.237,547.23524,
1902.326,490.37801,
1899.415,409.26888,
1896.505,376.85086,
1893.594,405.89952,
1890.684,477.32251,
1887.773,515.77129,
1884.863,548.24971,
1881.952,553.30759,
1879.041,535.00168,
1876.131,574.35145,
1873.220,537.30401,
1870.310,513.66651,
1867.399,554.68728,
1864.489,538.9981,
1861.578,553.7212,
1858.667,548.54864,
1855.757,553.98001,
1852.846,546.11347,
1849.936,548.14176,
1847.025,569.0806,
1844.114,559.51143,
1841.204,556.45542,
1838.293,578.36502,
1835.383,583.8285,
1832.472,581.59587,
1829.562,584.84662,
1826.651,562.75901,
1823.740,619.80425,
1820.830,609.87862,
1817.919,592.04561,
1815.009,588.66253,
1812.098,592.86319,
1809.188,613.07263,
1806.277,603.61845,
1803.366,581.40645,
1800.456,640.67133,
1797.545,611.83597,
1794.635,619.21304,
1791.724,628.30718,
1788.813,571.7678,
1785.903,529.91196,
1782.992,413.52834,
1780.082,155.79905,
1777.171,-132.6384,
1774.261,-112.90859,
1771.350,185.67108,
1768.439,527.44877,
1765.529,635.65004,
1762.618,654.24001,
1759.708,658.375,
1756.797,670.20833,
1753.887,677.5543,
1750.976,668.29909,
1748.065,701.47023,
1745.155,710.68478,
1742.244,717.60414,
1739.334,713.0503,
1736.423,692.53764,
1733.512,700.92789,
1730.602,716.84724,
1727.691,719.60734,
1724.781,732.7468,
1721.870,743.6179,
1718.960,764.28634,
1716.049,751.59551,
1713.138,735.55006,
1710.228,772.53836,
1707.317,781.02871,
1704.407,789.46057,
1701.496,800.40203,
1698.586,788.43922,
1695.675,803.28205,
1692.764,866.85864,
1689.854,822.54033,
1686.943,836.80166,
1684.033,848.1018,
1681.122,879.83124,
1678.211,906.12755,
1675.301,966.19,
1672.390,971.45276,
1669.480,997.76808,
1666.569,1046.2734,
1663.659,1038.6527,
1660.748,1056.3584,
1657.837,1106.5937,
1654.927,1118.6008,
1652.016,1210.9133,
1649.106,1192.424,
1646.195,1195.8855,
1643.285,1258.1953,
1640.374,1294.8593,
1637.463,1365.3478,
1634.553,1418.4637,
1631.642,1425.7105,
1628.732,1547.7068,
1625.821,1603.4941,
1622.911,1784.3494,
1620.000,1875.2285,
1617.089,2026.3302,
1614.179,2139.1883,
1611.268,2373.4523,
1608.358,2414.783,
1605.447,2534.2331,
1602.536,2505.9633,
1599.626,2533.7328,
1596.715,2453.7833,
1593.805,2423.0167,
1590.894,2396.5969,
1587.984,2356.9991,
1585.073,2303.7293,
1582.162,2304.5587,
1579.252,2221.2717,
1576.341,2219.1973,
1573.431,2191.2649,
1570.520,2189.2544,
1567.610,2134.7467,
1564.699,2122.6253,
1561.788,2078.1924,
1558.878,2030.3817,
1555.967,1953.2905,
1553.057,1876.3582,
1550.146,1819.4187,
1547.235,1795.833,
1544.325,1749.2635,
1541.414,1685.6719,
1538.504,1650.6128,
1535.593,1644.7834,
1532.683,1601.5168,
1529.772,1531.2815,
1526.861,1505.3401,
1523.951,1494.1387,
1521.040,1493.1156,
1518.130,1499.3098,
1515.219,1490.1758,
1512.309,1441.0596,
1509.398,1380.2343,
1506.487,1375.2258,
1503.577,1337.3463,
1500.666,1328.6888,
